team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
"   & Dyno";"  ";2;0;0.00;938;469;2;1;0;0;6;3;7;3.5;22;11;10;5;7;3.5;28.57;387.91;52.96;4415;2207.5;3147;1573.5;1268;634;40;20;121;60.5;816;408;549;274.5;267;133.5;7;3.5;25;12.5;66.28;33.14;64.61;32.31;674;337;907;453.5;159;79.5;1495.99;980576;490288;356.54;178.27;235.18;117.59;122.43;61.22;431.6;215.8;253.62;126.81;28.92;14.46;11.52;5.76;0.18;64;32;364.4;182.2;318;159;165.23;82.61;548.92;274.46;501.53;250.76;212.61;106.31;374.28;187.14;220.92;110.46;118.94;59.47;2579.38;2282.03;2858.42;2976.68;3;1.5;2;1
LW. &   ;"  ";1;1;100.00;555;555;2;2;1;1;1;1;4;4;7;7;2;2;1;1;50;469;48.22;2785;2785;2113;2113;672;672;25;25;54;54;906;906;592;592;314;314;8;8;22;22;48.2;48.2;32.21;32.21;314;314;372;372;207;207;1563;534897;534897;166.98;166.98;140.05;140.05;64.23;64.23;197.85;197.85;154.15;154.15;19.25;19.25;8.25;8.25;0.11;77;77;171.3;171.3;177.4;177.4;108.7;108.7;262.55;262.55;190.42;190.42;180.83;180.83;142.22;142.22;105.18;105.18;123.86;123.86;2116;1898;2390;3297;0;0;0;0
Vano & s m l & txro!;" Cayyh";3;3;100.00;1409;469.67;4;1.33;2;0.67;4;1.33;15;5;20;6.67;3;1;1;0.33;26.67;447.18;51.63;7128;2376;5170;1723.33;1958;652.67;61;20.33;171;57;2019;673;1248;416;771;257;15;5;63;21;97.43;32.48;82.04;27.35;719;239.67;967;322.33;277;92.33;1588.64;1364000;454666.66;359.46;119.82;391.42;130.47;160.38;53.46;454.73;151.58;400.06;133.35;56.48;18.83;24.91;8.3;0.1;243;81;391.7;130.57;484.8;161.6;225.21;75.07;686.04;228.68;562.99;187.66;348.26;116.09;411.96;137.32;285.61;95.2;213.68;71.23;2023.88;1993.51;2058.01;2846.68;2;0.67;0;0
. &  K1;" K1";1;0;0.00;422;422;1;1;0;0;3;3;4;4;11;11;3;3;3;3;25;298;59.3;1390;1390;996;996;394;394;14;14;37;37;313;313;164;164;149;149;2;2;13;13;12.3;12.3;61.96;61.96;226;226;445;445;42;42;1565;405155;405155;117.92;117.92;113.53;113.53;46.06;46.06;165.51;165.51;105.74;105.74;6.26;6.26;5.32;5.32;0.09;56;56;143.1;143.1;122;122;53.87;53.87;223.64;223.64;173.21;173.21;104.3;104.3;133.13;133.13;89.08;89.08;55.3;55.3;1990;1864;2103;2926;0;0;0;0
! Nassim & Saud;! Nassim;1;1;100.00;764;764;1;1;3;3;3;3;4;4;11;11;3;3;1;1;25;473;50.98;2996;2996;2329;2329;667;667;27;27;57;57;716;716;400;400;316;316;4;4;23;23;46.75;46.75;18.05;18.05;258;258;382;382;0;0;1636;551405;551405;147.18;147.18;159.8;159.8;65.39;65.39;206.11;206.11;152.69;152.69;13.58;13.58;9;9;0.1;89;89;184.5;184.5;167.2;167.2;94.45;94.45;277.93;277.93;239.08;239.08;133.29;133.29;173.93;173.93;124.81;124.81;73.63;73.63;2510;2498;2485;3194;0;0;0;0
Orla & goncc7 & SjH;! snowno;2;1;50.00;1136;568;4;2;0;0;4;2;7;3.5;13;6.5;4;2;1;0.5;57.14;364.63;46.2;3769;1884.5;2600;1300;1169;584.5;33;16.5;105;52.5;1007;503.5;533;266.5;474;237;6;3;43;21.5;76.42;38.21;33.68;16.84;249;124.5;707;353.5;86;43;1659.85;954387;477193.5;236.07;118.04;276.94;138.47;103.83;51.92;320.47;160.24;266.77;133.39;29.61;14.81;13.45;6.73;0.09;147;73.5;252.6;126.3;343.5;171.75;185.91;92.96;430.94;215.47;380.08;190.04;236.77;118.39;290.5;145.25;170.2;85.1;156.15;78.07;2099.39;1917.5;2344.65;3021.04;0;0;4;2
!ols & ymarshyy & Dmy;!ols;6;5;83.33;3917;652.83;18;3;5;0.83;4;0.67;39;6.5;37;6.17;14;2.33;10;1.67;46.15;447.96;45.73;14776;2462.67;10459;1743.17;4317;719.5;122;20.33;379;63.17;3335;555.83;1662;277;1673;278.83;19;3.17;144;24;193.45;32.24;189.98;31.66;1263;210.5;1307;217.83;154;25.67;1597.84;2952037;492006.16;856.97;142.83;798.76;133.13;363.42;60.57;1012.71;168.78;849.54;141.59;156.89;26.15;46.01;7.67;0.09;502;83.67;825.5;137.58;1074.7;179.12;541.98;90.33;1477.17;246.19;1185.58;197.6;833.57;138.93;813.76;135.63;678.28;113.05;527.11;87.85;2299.83;2300.55;2304.74;3104.82;7;1.17;4;0.67
lite & $BTC GO BRRR;$BTC GO BRRR;2;1;50.00;715;357.5;2;1;1;0.5;3;1.5;8;4;9;4.5;5;2.5;3;1.5;25;417.19;42.35;2465;1232.5;1623;811.5;842;421;19;9.5;75;37.5;591;295.5;258;129;333;166.5;3;1.5;29;14.5;52.81;26.4;35.03;17.51;148;74;288;144;45;22.5;1523.94;566134;283067;186.99;93.5;152.68;76.34;63.36;31.68;215.98;107.99;163.67;81.83;23.38;11.69;5.71;2.86;0.15;40;20;190.3;95.15;181.1;90.55;114.05;57.03;288.99;144.49;242.99;121.49;160.05;80.03;178;89;125.59;62.79;99.43;49.72;2085.02;1687.16;2468.78;3072.6;2;1;0;0
pepperell01 & &M&;&M&;1;0;0.00;380;380;2;2;0;0;0;0;3;3;7;7;5;5;3;3;66.67;423;42.2;2231;2231;1751;1751;480;480;19;19;41;41;297;297;180;180;117;117;2;2;10;10;46.87;46.87;40.83;40.83;199;199;150;150;19;19;1538;448140;448140;146.8;146.8;123.67;123.67;51.33;51.33;156.62;156.62;148.23;148.23;16.95;16.95;5.28;5.28;0.13;42;42;137.3;137.3;163.6;163.6;87.03;87.03;234.78;234.78;229.56;229.56;92.24;92.24;170.65;170.65;108.73;108.73;42.43;42.43;2511;2147;2789;3026;1;1;1;1
R1M & ';';1;1;100.00;687;687;4;4;0;0;2;2;4;4;7;7;2;2;1;1;100;413;49.65;2349;2349;1539;1539;810;810;18;18;65;65;582;582;387;387;195;195;5;5;18;18;27.93;27.93;32.51;32.51;393;393;317;317;134;134;1480;453845;453845;170.31;170.31;109.72;109.72;57.17;57.17;187.87;187.87;128.52;128.52;20.82;20.82;7.04;7.04;0.09;77;77;155.2;155.2;155.2;155.2;91.43;91.43;245.78;245.78;228.4;228.4;108.81;108.81;164.72;164.72;112.89;112.89;59.6;59.6;2668;2686;2680;3293;1;1;0;0
