team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
"   & S7EVE_-";"  ";1;0;0.00;911;911;1;1;1;1;6;6;9;9;13;13;6;6;2;2;11.11;415;53.71;4652;4652;3552;3552;1100;1100;42;42;103;103;649;649;350;350;299;299;4;4;27;27;48.36;48.36;102.2;102.2;872;872;703;703;72;72;1525;871779;871779;307.76;307.76;200.24;200.24;108.5;108.5;380.23;380.23;213.21;213.21;23.06;23.06;8.1;8.1;0.17;48;48;355;355;239.3;239.3;137.71;137.71;478.78;478.78;430.19;430.19;186.3;186.3;316.61;316.61;190.2;190.2;109.68;109.68;2627;2557;2709;3051;1;1;4;4
prysm! & Stade & Haven 0;"  ";1;0;0.00;549;549;2;2;0;0;2;2;7;7;7;7;3;3;0;0;28.57;427;52.93;2295;2295;1596;1596;699;699;19;19;64;64;231;231;20;20;211;211;1;1;18;18;58.01;58.01;35.97;35.97;158;158;345;345;79;79;1593;520369;520369;145.48;145.48;151.92;151.92;52.32;52.32;195.24;195.24;143.11;143.11;11.37;11.37;10.47;10.47;0.07;141;141;191.9;191.9;141.9;141.9;65.46;65.46;284.26;284.26;238.58;238.58;111.14;111.14;165.98;165.98;118.24;118.24;65.5;65.5;2599;2238;2825;2878;2;2;1;1
Flakes &    JWeyts   ;"   JWeyts   ";2;0;0.00;1480;740;6;3;0;0;4;2;18;9;20;10;8;4;2;1;33.33;450.5;48.8;6549;3274.5;4598;2299;1951;975.5;52;26;172;86;1987;993.5;1464;732;523;261.5;16;8;52;26;57.6;28.8;81.7;40.85;1129;564.5;637;318.5;140;70;1635.5;1246421;623210.5;333.8;166.9;294.95;147.48;192.83;96.41;411.33;205.67;336.16;168.08;74.08;37.04;13.64;6.82;0.11;130;65;347.7;173.85;453.3;226.65;217.33;108.67;604.25;302.12;535.2;267.6;286.37;143.18;404.31;202.15;245.92;122.96;171.35;85.68;2196.5;1872;2472.5;3050.5;2;1;2;1
prysm! & Stade & Haven 0;" Cayyh";1;0;0.00;379;379;1;1;0;0;3;3;2;2;11;11;5;5;2;2;50;386;42.17;1226;1226;963;963;263;263;11;11;25;25;35;35;0;0;35;35;0;0;3;3;27.87;27.87;21.67;21.67;83;83;157;157;0;0;1517;243864;243864;94.59;94.59;57.8;57.8;31.32;31.32;88.01;88.01;84.17;84.17;11.53;11.53;3.62;3.62;0.1;36;36;95.1;95.1;64.8;64.8;38.4;38.4;145.32;145.32;153.94;153.94;29.78;29.78;114.59;114.59;57.65;57.65;11.46;11.46;2114;1982;2243;2516;1;1;0;0
vinvere &  t;" t";1;1;100.00;599;599;2;2;1;1;2;2;5;5;12;12;2;2;0;0;40;454;53.43;2782;2782;1963;1963;819;819;27;27;66;66;988;988;761;761;227;227;9;9;19;19;28.42;28.42;35.04;35.04;390;390;754;754;138;138;1532;508005;508005;164.67;164.67;128.44;128.44;61.05;61.05;213.26;213.26;123.13;123.13;17.78;17.78;4.55;4.55;0.13;35;35;213.3;213.3;123.3;123.3;65.4;65.4;288.77;288.77;225.64;225.64;128.52;128.52;176.82;176.82;108.39;108.39;68.96;68.96;2418;2255;2565;2962;0;0;1;1
! & Dxve.-;!;1;0;0.00;214;214;1;1;0;0;0;0;4;4;7;7;4;4;1;1;25;435;49.97;1362;1362;1020;1020;342;342;11;11;31;31;208;208;87;87;121;121;1;1;11;11;16.29;16.29;18.11;18.11;158;158;87;87;15;15;1563;283003;283003;81.83;81.83;83.04;83.04;30.22;30.22;110.25;110.25;81.52;81.52;3.31;3.31;3.95;3.95;0.13;31;31;111.5;111.5;86.7;86.7;55.81;55.81;139.28;139.28;124.83;124.83;70.25;70.25;97.38;97.38;47.36;47.36;50.34;50.34;2350;2273;2427;3456;0;0;1;1
! & Hamadi;!;3;1;33.33;2148;716;6;2;1;0.33;9;3;21;7;24;8;10;3.33;4;1.33;28.57;409.02;47.27;8097;2699;6003;2001;2094;698;75;25;189;63;1786;595.33;944;314.67;842;280.67;12;4;77;25.67;127.96;42.65;94.48;31.49;923;307.67;1338;446;272;90.67;1580.41;1788627;596209;513.77;171.26;474.84;158.28;228.72;76.24;588.45;196.15;572.03;190.68;56.84;18.95;27.49;9.16;0.11;243;81;569.8;189.93;578.5;192.83;320.69;106.9;896.63;298.88;715.47;238.49;501.85;167.28;506.77;168.92;398.7;132.9;311.85;103.95;2317.2;2134.28;2526.75;3029.3;5;1.67;0;0
winciuh & !;!;1;0;0.00;478;478;1;1;0;0;3;3;2;2;11;11;3;3;3;3;50;324;49.57;1759;1759;1043;1043;716;716;13;13;59;59;374;374;100;100;274;274;1;1;18;18;32.65;32.65;45.84;45.84;378;378;261;261;0;0;1429;463428;463428;183.15;183.15;109.77;109.77;50.14;50.14;207.47;207.47;128.2;128.2;7.39;7.39;5.47;5.47;0.1;53;53;192;192;141.6;141.6;71.18;71.18;271.87;271.87;236.97;236.97;106.08;106.08;191.33;191.33;93.02;93.02;58.71;58.71;2183;1990;2302;2853;3;3;2;2
prysm! & Stade & Haven 0;! 2 EM;1;1;100.00;764;764;2;2;0;0;5;5;2;2;11;11;3;3;1;1;100;447;51.81;3071;3071;2260;2260;811;811;32;32;74;74;586;586;348;348;238;238;6;6;21;21;26.71;26.71;39.14;39.14;609;609;887;887;165;165;1609;584892;584892;170.35;170.35;141.19;141.19;82.25;82.25;243.16;243.16;127.43;127.43;23.19;23.19;8.03;8.03;0.1;79;79;206.8;206.8;169.9;169.9;77.73;77.73;316.06;316.06;283.38;283.38;110.41;110.41;218.51;218.51;126.19;126.19;49.08;49.08;2334;2224;2289;2857;0;0;1;1
prysm! & Stade & Haven 0;! Bomba;3;0;0.00;1014;338;1;0.33;6;2;3;1;7;2.33;37;12.33;14;4.67;8;2.67;14.29;451.7;50.31;8992;2997.33;7018;2339.33;1974;658;84;28;183;61;1506;502;1006;335.33;500;166.67;11;3.67;47;15.67;166.1;55.37;98.9;32.97;1084;361.33;971;323.67;82;27.33;1668.19;1740743;580247.69;448.55;149.52;418.84;139.61;277.71;92.57;659.2;219.73;437.27;145.76;48.64;16.21;33.94;11.31;0.11;326;108.67;581.6;193.87;496.8;165.6;279.85;93.28;865.26;288.42;768.31;256.1;376.8;125.6;544.07;181.36;399.96;133.32;201.08;67.03;2570.01;2567.05;2590.02;3032.93;1;0.33;6;2
