team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
Merilaww & ;;1;1;100.00;444;444;2;2;1;1;1;1;5;5;2;2;0;0;0;0;40;459;59.19;1936;1936;1470;1470;466;466;18;18;43;43;497;497;327;327;170;170;4;4;15;15;21.68;21.68;21.59;21.59;275;275;372;372;83;83;1661;400208;400208;95.61;95.61;105.78;105.78;54.19;54.19;136.23;136.23;98.07;98.07;21.27;21.27;8;8;0.12;69;69;116.1;116.1;125.6;125.6;59.69;59.69;195.88;195.88;155.8;155.8;99.77;99.77;109.19;109.19;87.55;87.55;58.83;58.83;2366;2138;2463;2910;0;0;0;0
"   R34ks    & Shyriz";"   R34ks   ";1;1;100.00;883;883;2;2;1;1;7;7;4;4;12;12;3;3;2;2;50;366;46.24;2229;2229;1469;1469;760;760;18;18;60;60;485;485;308;308;177;177;4;4;13;13;52.23;52.23;60.38;60.38;304;304;364;364;103;103;1523;488801;488801;170.13;170.13;131.93;131.93;48.28;48.28;190.46;190.46;155.68;155.68;4.2;4.2;6.29;6.29;0.14;45;45;163.9;163.9;165.7;165.7;70.49;70.49;279.85;279.85;238.49;238.49;111.85;111.85;174.78;174.78;116.89;116.89;58.68;58.68;2393;2472;2197;3053;1;1;1;1
Teejay &    norttew;"   norttew";1;1;100.00;412;412;1;1;1;1;2;2;2;2;12;12;3;3;1;1;50;446;46.47;2882;2882;2201;2201;681;681;25;25;60;60;1079;1079;774;774;305;305;8;8;27;27;65.06;65.06;46.14;46.14;296;296;314;314;38;38;1579;551531;551531;155.32;155.32;166.35;166.35;57.97;57.97;177.32;177.32;164.36;164.36;37.95;37.95;6.35;6.35;0.12;55;55;124.9;124.9;228.9;228.9;143.08;143.08;236.55;236.55;224.93;224.93;154.7;154.7;159.93;159.93;121.5;121.5;98.2;98.2;2451;2316;2632;3132;0;0;0;0
" Cayyh & BocketBeast & franchy.";" Cayyh";3;1;33.33;1190;396.67;4;1.33;0;0;5;1.67;15;5;17;5.67;8;2.67;5;1.67;26.67;444.68;50.47;5556;1852;4220;1406.67;1336;445.33;52;17.33;118;39.33;1175;391.67;750;250;425;141.67;10;3.33;38;12.67;93.12;31.04;83.78;27.93;595;198.33;1003;334.33;256;85.33;1600.22;1110762;370254;306.77;102.26;290.32;96.77;150.36;50.12;368.93;122.98;329.23;109.74;49.3;16.43;15.09;5.03;0.09;163;54.33;384.2;128.07;325.6;108.53;170.54;56.85;576.91;192.3;486.83;162.28;260.62;86.87;352.19;117.4;247.27;82.42;148;49.33;2057.31;1779.86;2258.25;2608.34;0;0;1;0.33
Zenat &  Liam;" Liam";1;0;0.00;1331;1331;3;3;0;0;8;8;8;8;19;19;5;5;4;4;37.5;481;52.58;5380;5380;4417;4417;963;963;54;54;94;94;984;984;714;714;270;270;8;8;29;29;62.76;62.76;83.45;83.45;424;424;565;565;87;87;1559;1015316;1015316;298.84;298.84;284.63;284.63;107.27;107.27;391.81;391.81;261.09;261.09;37.84;37.84;10.23;10.23;0.09;117;117;372.9;372.9;299.6;299.6;148.45;148.45;542.28;542.28;445.53;445.53;245.2;245.2;333.55;333.55;223.33;223.33;133.85;133.85;2245;2185;2316;3124;1;1;3;3
JustVaden &  ika.;" ika.";1;0;0.00;216;216;0;0;0;0;1;1;3;3;6;6;4;4;3;3;0;491;52.27;1841;1841;1397;1397;444;444;18;18;41;41;686;686;451;451;235;235;6;6;21;21;23.77;23.77;35.76;35.76;122;122;449;449;167;167;1644;347438;347438;85.77;85.77;95.9;95.9;44.78;44.78;118.38;118.38;90.31;90.31;17.75;17.75;3.01;3.01;0.14;21;21;83.4;83.4;131.5;131.5;86.79;86.79;139.65;139.65;140.39;140.39;86.05;86.05;100.13;100.13;68.56;68.56;57.75;57.75;2345;1728;2760;3190;1;1;1;1
Player 0 & !;!;1;0;0.00;298;298;0;0;0;0;2;2;3;3;7;7;4;4;3;3;0;362;46.91;1529;1529;944;944;585;585;12;12;53;53;284;284;99;99;185;185;1;1;16;16;29.67;29.67;16;16;140;140;181;181;0;0;1576;318298;318298;96.18;96.18;87.12;87.12;37.46;37.46;122.15;122.15;87.8;87.8;10.81;10.81;2.67;2.67;0.13;20;20;125.1;125.1;82.4;82.4;45.9;45.9;174.86;174.86;147.93;147.93;72.84;72.84;106.7;106.7;69.5;69.5;44.56;44.56;2368;2026;2596;2940;1;1;1;1
! & ita;!;2;1;50.00;1213;606.5;2;1;4;2;3;1.5;7;3.5;12;6;4;2;2;1;28.57;428.69;54.47;5314;2657;4173;2086.5;1141;570.5;57;28.5;99;49.5;1556;778;1149;574.5;407;203.5;15;7.5;34;17;57.34;28.67;125.57;62.78;751;375.5;1570;785;351;175.5;1592.9;1106655;553327.5;329.18;164.59;262.68;131.34;154.77;77.39;385.58;192.79;309.36;154.68;51.69;25.85;11.77;5.89;0.11;111;55.5;310.8;155.4;406.8;203.4;190.14;95.07;556.5;278.25;432.16;216.08;314.47;157.24;318.97;159.49;225.04;112.52;202.63;101.32;2105.15;1934.72;2260.82;2938.53;2;1;2;1
ZLZALA. & ! Sajer;! Sajer;1;0;0.00;114;114;0;0;0;0;0;0;0;0;6;6;3;3;2;2;0;534;55.58;3016;3016;2475;2475;541;541;32;32;49;49;559;559;311;311;248;248;4;4;23;23;34.46;34.46;29.45;29.45;558;558;742;742;107;107;1615;515616;515616;133.26;133.26;125.07;125.07;80.06;80.06;192.18;192.18;131.52;131.52;14.69;14.69;5.37;5.37;0.11;47;47;179.7;179.7;153.3;153.3;90.62;90.62;247.77;247.77;184.55;184.55;153.84;153.84;115.58;115.58;133;133;89.81;89.81;2412;2530;2343;3036;0;0;1;1
Knight & mrtn & MegaZero;! Tadow;1;0;0.00;171;171;0;0;0;0;1;1;1;1;8;8;6;6;3;3;0;426;45.64;1694;1694;1274;1274;420;420;15;15;37;37;249;249;165;165;84;84;2;2;7;7;24.32;24.32;30.29;30.29;244;244;234;234;34;34;1646;311704;311704;91.78;91.78;86.34;86.34;39.02;39.02;122.96;122.96;84.05;84.05;10.13;10.13;2.9;2.9;0.11;26;26;111.6;111.6;92.8;92.8;75.96;75.96;141.18;141.18;176.71;176.71;40.43;40.43;143.51;143.51;52.37;52.37;21.26;21.26;2687;2197;2871;3176;0;0;1;1
