team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
" & Sly.0";;16;8;50.00;7773;485.81;24;1.5;16;1;20;1.25;52;3.25;169;10.56;73;4.56;27;1.69;46.15;518.9;46.82;51736;3233.5;39127;2445.44;12609;788.06;482;30.12;1096;68.5;12622;788.88;9065;566.56;3557;222.31;103;6.44;323;20.19;970.85;60.68;377.54;23.6;11273;704.56;7195;449.69;744;46.5;1675.78;9163364;572710.25;2340.72;146.29;2051.17;128.2;1668.39;104.27;3326.26;207.89;2452.86;153.3;281.21;17.58;74.91;4.68;0.12;633;39.56;2502.2;156.39;3085.6;192.85;1941.45;121.34;4118.84;257.43;3919.7;244.98;2140.61;133.79;2916.55;182.28;1843.85;115.24;1299.95;81.25;2523.05;2314.34;2712.82;3279.3;30;1.88;10;0.62
Romantykz &    choob;"   choob";1;1;100.00;680;680;3;3;1;1;2;2;4;4;5;5;1;1;1;1;75;379;56;1535;1535;1270;1270;265;265;16;16;24;24;337;337;241;241;96;96;3;3;8;8;19.62;19.62;36.19;36.19;66;66;348;348;58;58;1417;292256;292256;121.95;121.95;85.62;85.62;21.36;21.36;121.42;121.42;90.56;90.56;16.95;16.95;4.23;4.23;0.15;29;29;117.5;117.5;95.9;95.9;41.43;41.43;187.5;187.5;128.04;128.04;100.89;100.89;97.69;97.69;77.19;77.19;54.05;54.05;2392;2416;2493;3063;0;0;2;2
Suliman. & & & velocity;"   wizzo   ";1;1;100.00;423;423;2;2;1;1;1;1;2;2;3;3;1;1;1;1;100;465;47.48;1295;1295;1035;1035;260;260;11;11;25;25;527;527;387;387;140;140;4;4;12;12;21.6;21.6;20.47;20.47;125;125;75;75;16;16;1557;217185;217185;72.92;72.92;60.85;60.85;24.04;24.04;80.36;80.36;62.5;62.5;14.95;14.95;3.2;3.2;0.09;34;34;52.3;52.3;84.2;84.2;34.81;34.81;123;123;91.07;91.07;66.75;66.75;67.07;67.07;55.39;55.39;35.36;35.36;2341;1954;2674;3032;1;1;0;0
Zenat &  Liam;" Liam";1;1;100.00;438;438;1;1;0;0;2;2;3;3;9;9;2;2;1;1;33.33;473;52.59;3748;3748;2856;2856;892;892;36;36;80;80;1151;1151;870;870;281;281;10;10;24;24;74.79;74.79;53.1;53.1;245;245;566;566;97;97;1666;742863;742863;171.15;171.15;201.6;201.6;96.1;96.1;252.3;252.3;191.46;191.46;25.1;25.1;10.1;10.1;0.09;109;109;224.8;224.8;225;225;96.99;96.99;371.86;371.86;285.9;285.9;182.95;182.95;197.25;197.25;162.32;162.32;109.28;109.28;2769;2361;3198;3462;3;3;1;1
Suliman. & & & velocity;&;12;6;50.00;4167;347.25;12;1;5;0.42;17;1.42;39;3.25;73;6.08;35;2.92;19;1.58;30.77;471.96;45.68;24976;2081.33;18985;1582.08;5991;499.25;222;18.5;505;42.08;3687;307.25;1916;159.67;1771;147.58;26;2.17;138;11.5;515.23;42.94;316.94;26.41;4353;362.75;3130;260.83;526;43.83;1553.18;4653561;387796.75;1487.1;123.92;1123.6;93.63;637.15;53.1;1700.99;141.75;1363.61;113.63;183.26;15.27;55.56;4.63;0.12;447;37.25;1557.4;129.78;1511.2;125.93;800.66;66.72;2447.2;203.93;2130.08;177.51;1117.78;93.15;1514.42;126.2;1107.71;92.31;625.72;52.14;2395.88;2194.31;2576.75;3108.54;5;0.42;8;0.67
(sic) & Jae-Hendrix;(sic);1;1;100.00;858;858;3;3;0;0;4;4;5;5;7;7;2;2;2;2;60;444;54.73;2738;2738;1997;1997;741;741;24;24;65;65;536;536;367;367;169;169;4;4;14;14;35.57;35.57;53.41;53.41;228;228;428;428;32;32;1584;524262;524262;134.96;134.96;164.8;164.8;53.36;53.36;188.39;188.39;140.68;140.68;24.05;24.05;5.18;5.18;0.08;63;63;174.6;174.6;161.7;161.7;77.97;77.97;275.15;275.15;245.26;245.26;107.86;107.86;196.34;196.34;95.75;95.75;61.03;61.03;2451;2026;2934;3005;1;1;1;1
******* & Jbishop;*******;1;0;0.00;597;597;0;0;1;1;4;4;1;1;12;12;4;4;1;1;0;386;52.52;2056;2056;1587;1587;469;469;19;19;43;43;599;599;391;391;208;208;4;4;18;18;25.03;25.03;59.9;59.9;133;133;352;352;16;16;1542;454689;454689;135.33;135.33;135.88;135.88;42.12;42.12;157.2;157.2;128.57;128.57;27.57;27.57;6.27;6.27;0.1;66;66;137.2;137.2;167.4;167.4;99.56;99.56;213.77;213.77;190.7;190.7;122.63;122.63;145.19;145.19;88.96;88.96;79.18;79.18;2044;1847;2221;3063;0;0;1;1
******* & ps & swihnng;*******;2;1;50.00;1629;814.5;8;4;4;2;3;1.5;13;6.5;19;9.5;13;6.5;5;2.5;61.54;538.14;47.81;7158;3579;5612;2806;1546;773;64;32;142;71;1361;680.5;767;383.5;594;297;8;4;53;26.5;115.71;57.85;40.34;20.17;1173;586.5;798;399;36;18;1658.17;1239056;619528;327.05;163.52;363.12;181.56;160.54;80.27;470.81;235.4;356.97;178.49;22.93;11.47;18.66;9.33;0.08;237;118.5;372.4;186.2;406.5;203.25;249.02;124.51;601.7;300.85;525.95;262.97;324.76;162.38;398.83;199.42;257.58;128.79;194.31;97.15;2509.04;2364.31;2631.32;3050.37;8;4;6;3
******* & 00;*******;1;0;0.00;269;269;0;0;0;0;3;3;2;2;9;9;5;5;3;3;0;371;42.39;1516;1516;938;938;578;578;11;11;50;50;530;530;318;318;212;212;4;4;18;18;25.35;25.35;16.12;16.12;114;114;169;169;81;81;1451;327057;327057;126.11;126.11;90.01;90.01;28.29;28.29;136.93;136.93;98.61;98.61;8.87;8.87;5.09;5.09;0.12;43;43;102.7;102.7;125;125;72.54;72.54;171.87;171.87;135.08;135.08;109.33;109.33;91.73;91.73;81.34;81.34;71.35;71.35;2183;1841;2507;2768;0;0;0;0
neekoh9 & ******* & Monke;*******;1;0;0.00;646;646;2;2;2;2;2;2;5;5;9;9;5;5;0;0;40;397;45.1;2863;2863;1992;1992;871;871;22;22;78;78;600;600;300;300;300;300;3;3;27;27;56.38;56.38;34.36;34.36;456;456;212;212;5;5;1529;612482;612482;215.62;215.62;145.02;145.02;77.76;77.76;226.51;226.51;191.85;191.85;20.03;20.03;7.05;7.05;0.11;64;64;201.4;201.4;218.5;218.5;97.86;97.86;340.53;340.53;264.48;264.48;173.91;173.91;187.68;187.68;146.93;146.93;103.78;103.78;2402;2086;2723;3394;1;1;2;2
