team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
Knight & reekkan & ex prodigy 2100;;1;1;100.00;607;607;2;2;1;1;3;3;6;6;11;11;2;2;1;1;33.33;453;45.26;2684;2684;2009;2009;675;675;23;23;60;60;717;717;472;472;245;245;5;5;22;22;74.56;74.56;35.46;35.46;458;458;267;267;35;35;1474;485175;485175;174.05;174.05;122.9;122.9;53.99;53.99;173.46;173.46;153.7;153.7;23.79;23.79;7.39;7.39;0.15;50;50;191.7;191.7;149.3;149.3;74.79;74.79;276.15;276.15;243.18;243.18;107.77;107.77;183.22;183.22;113.42;113.42;54.3;54.3;2455;2171;2705;3118;1;1;1;1
kexii & Reeyko & Blackstrike;!;6;3;50.00;2548;424.67;9;1.5;3;0.5;9;1.5;17;2.83;41;6.83;19;3.17;10;1.67;52.94;394.3;45;9840;1640;6746;1124.33;3094;515.67;80;13.33;280;46.67;2274;379;1494;249;780;130;16;2.67;75;12.5;142.75;23.79;134.52;22.42;1424;237.33;1304;217.33;123;20.5;1532.95;2123613;353935.5;731.58;121.93;566.97;94.49;228.13;38.02;878.03;146.34;588.42;98.07;60.23;10.04;21.25;3.54;0.12;165;27.5;770.7;128.45;666.1;111.02;390.71;65.12;1135.96;189.33;1029.29;171.55;497.38;82.9;745.1;124.18;492.49;82.08;289.08;48.18;2378.22;2298.11;2386.94;2760.12;5;0.83;3;0.5
Knight & reekkan & ex prodigy 2100;"!blizzy ;;";2;0;0.00;1076;538;2;1;1;0.5;6;3;7;3.5;10;5;5;2.5;2;1;28.57;460.83;51.72;5264;2632;3475;1737.5;1789;894.5;45;22.5;163;81.5;1462;731;907;453.5;555;277.5;11;5.5;54;27;60.04;30.02;67.68;33.84;727;363.5;996;498;217;108.5;1666.53;1084153;542076.5;258.95;129.48;267.63;133.82;161.45;80.72;348.87;174.43;304.49;152.24;34.67;17.33;20.25;10.12;0.13;160;80;344.3;172.15;318.2;159.1;182.25;91.12;505.79;252.9;379.24;189.62;308.8;154.4;256.56;128.28;239.23;119.61;192.25;96.12;2183.75;1983.01;2405.84;2977.53;2;1;0;0
Knight & reekkan & ex prodigy 2100;#8 of the Phantom Troupe;1;1;100.00;460;460;1;1;0;0;2;2;4;4;14;14;2;2;0;0;25;423;45.37;2579;2579;1965;1965;614;614;28;28;55;55;788;788;549;549;239;239;7;7;22;22;46.85;46.85;46.03;46.03;556;556;864;864;162;162;1520;523825;523825;178.03;178.03;116.35;116.35;74.08;74.08;192.49;192.49;151.76;151.76;24.21;24.21;9.18;9.18;0.14;66;66;174;174;175;175;103.69;103.69;264.77;264.77;255.99;255.99;112.47;112.47;204.99;204.99;91.91;91.91;71.56;71.56;2173;1991;2316;2830;2;2;1;1
$0Dolphin. & TroyDaddy26 & XXXxXHISOKAXxXXX;$0Dolphin.;4;2;50.00;2320;580;11;2.75;3;0.75;3;0.75;21;5.25;37;9.25;17;4.25;5;1.25;52.38;443.65;46.35;10831;2707.75;8418;2104.5;2413;603.25;99;24.75;208;52;2504;626;1737;434.25;767;191.75;20;5;69;17.25;179.52;44.88;175.75;43.94;1960;490;1480;370;259;64.75;1503.28;2055090;513772.5;728.4;182.1;549.42;137.36;237.72;59.43;872.53;218.13;586.25;146.56;56.76;14.19;27.95;6.99;0.1;265;66.25;671.6;167.9;787.7;196.93;423.47;105.87;1092.07;273.02;889.48;222.37;626.06;156.51;662.95;165.74;453.19;113.3;399.42;99.85;2503.19;2146.21;2975.92;3362.17;1;0.25;6;1.5
******* & Instonktual;*******;1;1;100.00;647;647;2;2;0;0;3;3;6;6;5;5;1;1;0;0;33.33;383;59.3;2189;2189;1712;1712;477;477;23;23;44;44;422;422;255;255;167;167;6;6;17;17;34.24;34.24;38.28;38.28;436;436;580;580;349;349;1456;475460;475460;168.67;168.67;143.94;143.94;28.19;28.19;219.74;219.74;108.88;108.88;12.18;12.18;4.44;4.44;0.08;53;53;148.1;148.1;185.1;185.1;98.6;98.6;242.2;242.2;207.64;207.64;133.16;133.16;149.34;149.34;102.72;102.72;88.74;88.74;2346;2401;2257;3409;3;3;2;2
meese & *******;*******;4;3;75.00;2650;662.5;9;2.25;3;0.75;8;2;19;4.75;31;7.75;12;3;6;1.5;47.37;502.97;41.75;11088;2772;7889;1972.25;3199;799.75;90;22.5;276;69;1956;489;832;208;1124;281;10;2.5;100;25;270.39;67.6;108.69;27.17;2018;504.5;1122;280.5;132;33;1682.02;2126630;531657.5;513.68;128.42;535.15;133.79;332.66;83.17;756.78;189.2;560.65;140.16;64.07;16.02;24.3;6.08;0.08;291;72.75;749.9;187.48;651;162.75;397.93;99.48;983.58;245.89;874.57;218.64;506.93;126.73;664.52;166.13;407.4;101.85;309.59;77.4;2391.38;2186.65;2499.19;3450.36;10;2.5;1;0.25
TeddersGG & *******;*******;1;0;0.00;279;279;0;0;0;0;1;1;4;4;7;7;2;2;1;1;0;497;51.09;3327;3327;2640;2640;687;687;32;32;62;62;426;426;196;196;230;230;2;2;20;20;56.44;56.44;46.13;46.13;294;294;577;577;3;3;1637;592840;592840;125.25;125.25;185.49;185.49;66.36;66.36;204.69;204.69;164.49;164.49;7.93;7.93;11.38;11.38;0.1;115;115;181.4;181.4;195.2;195.2;107.48;107.48;269.62;269.62;224.46;224.46;152.64;152.64;153.67;153.67;134.57;134.57;88.86;88.86;2236;2186;2246;3228;0;0;1;1
DKD_mateus_zz & *******;*******;1;1;100.00;543;543;3;3;0;0;1;1;4;4;1;1;0;0;0;0;75;624;49.72;1462;1462;1252;1252;210;210;15;15;19;19;489;489;419;419;70;70;5;5;7;7;15.05;15.05;17.23;17.23;84;84;250;250;80;80;1548;179813;179813;70.58;70.58;42.76;42.76;20.98;20.98;65.43;65.43;54.13;54.13;14.76;14.76;3.09;3.09;0.1;31;31;52;52;66.1;66.1;26;26;108.31;108.31;83.01;83.01;51.31;51.31;65.07;65.07;32.62;32.62;36.62;36.62;2519;2620;3027;3439;0;0;0;0
kexii & Reeyko & Blackstrike;,;2;0;0.00;962;481;1;0.5;2;1;5;2.5;10;5;20;10;7;3.5;2;1;10;431.37;48.36;4352;2176;3376;1688;976;488;40;20;91;45.5;951;475.5;680;340;271;135.5;8;4;26;13;65.11;32.56;66.48;33.24;502;251;700;350;152;76;1530.76;881293;440646.5;277.98;138.99;250.46;125.23;92.45;46.22;303.18;151.59;267.57;133.79;50.14;25.07;8.52;4.26;0.14;64;32;315.6;157.8;277.8;138.9;157.56;78.78;463.33;231.67;419.68;209.84;201.2;100.6;305.86;152.93;197.54;98.77;117.5;58.75;2074.58;1784.2;2399.19;2888.64;0;0;1;0.5
