team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
" & Gerradreds";;1;0;0.00;420;420;2;2;0;0;1;1;5;5;10;10;4;4;3;3;40;418;42.02;2514;2514;1743;1743;771;771;23;23;59;59;456;456;198;198;258;258;3;3;22;22;84.48;84.48;42.12;42.12;372;372;565;565;108;108;1565;530664;530664;158.93;158.93;152.02;152.02;52.54;52.54;203.34;203.34;155.53;155.53;4.62;4.62;8.47;8.47;0.14;59;59;149.6;149.6;195.1;195.1;115.83;115.83;247.66;247.66;227.18;227.18;136.31;136.31;158.99;158.99;124.22;124.22;80.27;80.27;2226;1983;2406;2997;1;1;0;0
"  & african";" ";1;0;0.00;396;396;2;2;0;0;1;1;3;3;9;9;5;5;1;1;66.67;480;49.96;2002;2002;1641;1641;361;361;19;19;34;34;627;627;516;516;111;111;6;6;11;11;23.1;23.1;31.27;31.27;249;249;278;278;87;87;1674;379994;379994;98.39;98.39;94.78;94.78;60.22;60.22;121.93;121.93;116.75;116.75;14.71;14.71;4.14;4.14;0.11;37;37;108.1;108.1;121.6;121.6;86.23;86.23;167.17;167.17;165.73;165.73;87.67;87.67;124.2;124.2;74.44;74.44;54.76;54.76;2562;2023;2861;3402;0;0;0;0
ryan & Pepis & Angstrl;"  ";1;1;100.00;712;712;1;1;4;4;2;2;5;5;6;6;3;3;1;1;20;471;47.62;2700;2700;2246;2246;454;454;28;28;41;41;998;998;841;841;157;157;11;11;14;14;62.84;62.84;16.7;16.7;501;501;512;512;258;258;1530;438793;438793;156.29;156.29;100.3;100.3;62.88;62.88;171.01;171.01;126.59;126.59;21.88;21.88;5.82;5.82;0.1;57;57;123.6;123.6;171;171;73.57;73.57;245.9;245.9;164.57;164.57;154.91;154.91;119.14;119.14;93.83;93.83;106.51;106.51;2069;1995;2082;2856;1;1;2;2
all r3d. &    & MoLLoR;"  ";1;0;0.00;530;530;0;0;0;0;5;5;0;0;15;15;4;4;2;2;0;403;49.63;2550;2550;2031;2031;519;519;22;22;44;44;380;380;200;200;180;180;2;2;15;15;64.24;64.24;12.82;12.82;176;176;154;154;0;0;1609;507491;507491;146.66;146.66;144.46;144.46;57.88;57.88;164.34;164.34;165.05;165.05;19.6;19.6;6.92;6.92;0.08;82;82;177.6;177.6;160.7;160.7;112.32;112.32;236.68;236.68;223.69;223.69;125.3;125.3;163.42;163.42;105.1;105.1;80.47;80.47;2077;1675;2474;2776;0;0;1;1
"   Flashasaurus &    Algix";"   Algix";1;1;100.00;674;674;3;3;1;1;0;0;4;4;7;7;4;4;4;4;75;443;54.51;3181;3181;2413;2413;768;768;32;32;70;70;445;445;260;260;185;185;3;3;17;17;43.96;43.96;24.09;24.09;474;474;797;797;44;44;1598;596983;596983;169.26;169.26;177.69;177.69;64.27;64.27;242.76;242.76;133.3;133.3;35.16;35.16;9.01;9.01;0.09;98;98;206.8;206.8;170.4;170.4;107.42;107.42;303.79;303.79;272.08;272.08;139.14;139.14;195.72;195.72;140.22;140.22;75.28;75.28;2320;2074;2511;3070;1;1;0;0
"   Flashasaurus &    Algix";"   Flashasaurus";1;1;100.00;715;715;2;2;3;3;2;2;6;6;7;7;4;4;0;0;33.33;349;48.92;2430;2430;1645;1645;785;785;20;20;64;64;470;470;294;294;176;176;4;4;17;17;79.06;79.06;35.94;35.94;150;150;352;352;122;122;1520;569149;569149;199.11;199.11;165.24;165.24;48.33;48.33;234.5;234.5;154.75;154.75;23.42;23.42;3.9;3.9;0.1;38;38;171.4;171.4;209.6;209.6;130.97;130.97;281.7;281.7;255.54;255.54;157.14;157.14;185.09;185.09;133.03;133.03;94.56;94.56;2422;2258;2504;3070;0;0;0;0
tybu & ian & LMC;" t";6;4;66.67;3118;519.67;7;1.17;8;1.33;7;1.17;26;4.33;38;6.33;17;2.83;7;1.17;26.92;459.5;51.55;14593;2432.17;11027;1837.83;3566;594.33;138;23;291;48.5;3283;547.17;1923;320.5;1360;226.67;22;3.67;101;16.83;183.29;30.55;242.83;40.47;2383;397.17;2812;468.67;282;47;1609.6;2893066;482177.66;808.11;134.68;727.29;121.22;414;69;985.55;164.26;851.41;141.9;112.43;18.74;28.88;4.81;0.15;191;31.83;1033.1;172.18;835.1;139.18;375.71;62.62;1573.7;262.28;1265.6;210.93;683.79;113.97;961.15;160.19;616.85;102.81;371.38;61.9;2479.28;2338.62;2572.39;3191.99;1;0.17;7;1.17
Fera & ! Sultan. & .;! Sultan.;3;2;66.67;1541;513.67;4;1.33;3;1;7;2.33;14;4.67;37;12.33;12;4;5;1.67;28.57;447.46;45.99;9468;3156;6959;2319.67;2509;836.33;87;29;209;69.67;1431;477;611;203.67;820;273.33;8;2.67;62;20.67;124.26;41.42;161.67;53.89;1712;570.67;1719;573;190;63.33;1604.08;1861114;620371.31;538.46;179.49;465.35;155.12;255.5;85.17;731.52;243.84;473.09;157.7;54.7;18.23;23.55;7.85;0.1;247;82.33;656.1;218.7;562.5;187.5;286.63;95.54;972.68;324.23;812.85;270.95;446.44;148.81;584.76;194.92;452.17;150.72;222.39;74.13;2614.37;2539.87;2671.8;3137.09;6;2;5;1.67
tybu & ian & LMC;"""  Vek-idge "" ";6;4;66.67;3796;632.67;15;2.5;4;0.67;13;2.17;20;3.33;42;7;16;2.67;13;2.17;75;388.66;56.8;11621;1936.83;8419;1403.17;3202;533.67;114;19;294;49;2218;369.67;1412;235.33;806;134.33;20;3.33;73;12.17;100.05;16.68;174.63;29.11;954;159;2416;402.67;430;71.67;1548.84;2587829;431304.84;819.82;136.64;707.3;117.88;280.08;46.68;1046.15;174.36;670.13;111.69;90.92;15.15;38.29;6.38;0.09;457;76.17;846.3;141.05;868.3;144.72;428.41;71.4;1378.81;229.8;1222.09;203.68;585.12;97.52;902.93;150.49;588.17;98.03;316.11;52.68;2554.28;2314.57;2771.32;3108.88;5;0.83;6;1
Tesla Speed & #DODATT!;#DODATT!;2;0;0.00;761;380.5;2;1;2;1;2;1;5;2.5;19;9.5;8;4;6;3;40;364.32;43.81;3851;1925.5;2631;1315.5;1220;610;30;15;102;51;826;413;389;194.5;437;218.5;4;2;38;19;119.11;59.56;69.65;34.83;365;182.5;263;131.5;16;8;1497.16;903943;451971.5;328.57;164.29;245.98;122.99;78.1;39.05;393.49;196.74;236.15;118.07;23;11.5;10.71;5.36;0.08;129;64.5;370;185;240.6;120.3;151.57;75.79;501.07;250.54;446.32;223.16;206.32;103.16;340.27;170.13;189.86;94.93;122.51;61.25;2225.76;2032.37;2420.29;2660.56;0;0;0;0
