team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
ezox & ! 2 EM;! 2 EM;1;1;100.00;397;397;1;1;1;1;1;1;2;2;6;6;1;1;0;0;50;465;48.01;2059;2059;1532;1532;527;527;17;17;48;48;416;416;280;280;136;136;3;3;13;13;26.02;26.02;31.68;31.68;214;214;194;194;28;28;1637;421062;421062;108.79;108.79;108.48;108.48;59.14;59.14;149.52;149.52;117.56;117.56;9.32;9.32;4.52;4.52;0.09;48;48;138.3;138.3;129.2;129.2;65.23;65.23;211.18;211.18;166.26;166.26;110.14;110.14;122.37;122.37;92.77;92.77;61.27;61.27;2264;2192;2371;2805;1;1;1;1
. & ! Disaster & not smurf6;! Disaster;2;1;50.00;1165;582.5;5;2.5;1;0.5;4;2;11;5.5;14;7;5;2.5;1;0.5;45.45;439.21;45.69;4304;2152;2984;1492;1320;660;35;17.5;104;52;746;373;248;124;498;249;3;1.5;44;22;93.48;46.74;76.67;38.33;1206;603;538;269;55;27.5;1524.79;879404;439702;305.14;152.57;228.44;114.22;92.36;46.18;390.16;195.08;215.23;107.61;20.55;10.27;8.29;4.14;0.13;64;32;312.2;156.1;286.7;143.35;151.03;75.51;474.91;237.45;409.94;204.97;216.01;108;309.75;154.88;193.97;96.99;122.23;61.11;2451.38;2282;2560.21;2976.07;3;1.5;2;1
! KPR. & 8/12;! KPR.;1;1;100.00;680;680;1;1;2;2;5;5;3;3;12;12;3;3;0;0;33.33;478;48.74;3009;3009;2247;2247;762;762;25;25;69;69;934;934;698;698;236;236;8;8;23;23;51.59;51.59;19.84;19.84;388;388;224;224;63;63;1622;552463;552463;148.41;148.41;156.26;156.26;66.19;66.19;198.24;198.24;162.57;162.57;10.04;10.04;7.76;7.76;0.1;77;77;185.7;185.7;172.7;172.7;106.21;106.21;264.65;264.65;216.74;216.74;154.12;154.12;152.01;152.01;133.66;133.66;85.19;85.19;2388;2482;2296;3085;1;1;1;1
Vez & *******;*******;2;1;50.00;1023;511.5;2;1;3;1.5;3;1.5;10;5;14;7;5;2.5;4;2;20;346.18;56.31;4136;2068;3066;1533;1070;535;40;20;97;48.5;815;407.5;474;237;341;170.5;8;4;29;14.5;49.44;24.72;77.96;38.98;340;170;905;452.5;259;129.5;1400.8;898582;449291;387.14;193.57;230.22;115.11;74.04;37.02;368.55;184.27;285.84;142.92;37.01;18.51;15.73;7.87;0.09;163;81.5;345.9;172.95;311.1;155.55;154.84;77.42;536.55;268.28;438.68;219.34;252.71;126.35;335.64;167.82;201.02;100.51;154.73;77.37;2375.7;2321.21;2465.57;3145.53;2;1;2;1
. & Twesii;.;2;2;100.00;1006;503;4;2;2;1;4;2;8;4;10;5;0;0;0;0;50;448;58.38;3734;1867;2888;1444;846;423;38;19;82;41;784;392;576;288;208;104;8;4;18;9;38.11;19.06;74.12;37.06;479;239.5;1004;502;222;111;1567.5;738938;369469;215.15;107.57;187.81;93.9;91.95;45.97;267.14;133.57;180.37;90.18;47.4;23.7;6.03;3.01;0.13;45;22.5;276.1;138.05;195.1;97.55;71.59;35.79;423.33;211.67;293.43;146.71;201.48;100.74;212.26;106.13;177.98;88.99;104.67;52.33;2406;2272;2564;3287;0;0;0;0
. & VenomZ;.;1;1;100.00;296;296;0;0;2;2;1;1;0;0;3;3;0;0;0;0;0;454;50.02;2320;2320;1808;1808;512;512;23;23;46;46;437;437;236;236;201;201;4;4;18;18;20.52;20.52;33.77;33.77;220;220;225;225;37;37;1490;455882;455882;151.52;151.52;129.3;129.3;37.32;37.32;182.03;182.03;118.14;118.14;17.97;17.97;4.52;4.52;0.09;48;48;162.4;162.4;146.6;146.6;83.2;83.2;234.94;234.94;198.36;198.36;119.79;119.79;128.96;128.96;121.03;121.03;68.15;68.15;1848;1823;1820;2693;4;4;0;0
. & Twill.;.;4;3;75.00;2139;534.75;2;0.5;4;1;13;3.25;12;3;30;7.5;8;2;7;1.75;16.67;496.09;48.82;11137;2784.25;7816;1954;3321;830.25;100;25;282;70.5;2639;659.75;1637;409.25;1002;250.5;18;4.5;89;22.25;156.69;39.17;93.14;23.28;1072;268;851;212.75;77;19.25;1658.03;2154980;538745;524.32;131.08;526.05;131.51;335.08;83.77;671.6;167.9;613.79;153.45;100.05;25.01;24.2;6.05;0.12;205;51.25;759.5;189.88;567;141.75;336.38;84.1;1049.05;262.26;901.42;225.35;484.02;121.01;676.59;169.15;416.41;104.1;292.44;73.11;2142.99;2042.66;2280.27;2911.21;5;1.25;3;0.75
T9__AX & .;.;1;0;0.00;469;469;2;2;0;0;1;1;3;3;8;8;3;3;2;2;66.67;489;49.38;2869;2869;2084;2084;785;785;24;24;70;70;1000;1000;662;662;338;338;8;8;30;30;43.57;43.57;41.12;41.12;678;678;315;315;139;139;1649;542091;542091;141.72;141.72;126.97;126.97;83.61;83.61;216.22;216.22;119.85;119.85;16.23;16.23;11.12;11.12;0.15;73;73;164.2;164.2;180.5;180.5;108.21;108.21;244.09;244.09;201.37;201.37;150.93;150.93;134.59;134.59;128.02;128.02;89.69;89.69;2095;1878;2286;3040;1;1;0;0
. & Soapnied;.;1;0;0.00;451;451;0;0;1;1;4;4;3;3;10;10;3;3;1;1;0;450;44.26;2454;2454;1804;1804;650;650;23;23;60;60;435;435;286;286;149;149;4;4;16;16;38.5;38.5;24.22;24.22;335;335;498;498;113;113;1476;484905;484905;167.59;167.59;137.77;137.77;40.87;40.87;201.89;201.89;130.42;130.42;13.91;13.91;9.16;9.16;0.1;90;90;170.6;170.6;165.2;165.2;108.65;108.65;237.58;237.58;235.33;235.33;110.9;110.9;176.6;176.6;103.27;103.27;66.36;66.36;2353;2224;2419;2958;0;0;1;1
. & El_Matadort;.;1;0;0.00;333;333;0;0;1;1;1;1;2;2;12;12;5;5;3;3;0;382;40.86;2248;2248;1763;1763;485;485;19;19;45;45;360;360;260;260;100;100;3;3;9;9;46.86;46.86;46.54;46.54;299;299;173;173;47;47;1390;458909;458909;198.29;198.29;121.01;121.01;38.53;38.53;186.86;186.86;156.92;156.92;14.06;14.06;8.69;8.69;0.08;103;103;161.7;161.7;174;174;111.52;111.52;246.32;246.32;291.2;291.2;66.64;66.64;228.33;228.33;95.17;95.17;34.34;34.34;2032;1763;2169;2595;0;0;1;1
