team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
regser & kexii & MayKo Jackson;;2;2;100.00;849;424.5;2;1;4;2;2;1;8;4;9;4.5;1;0.5;0;0;25;504.86;47.26;4112;2056;3250;1625;862;431;38;19;76;38;876;438;575;287.5;301;150.5;7;3.5;23;11.5;57.3;28.65;50.55;25.27;694;347;582;291;135;67.5;1571.2;712261;356130.5;211.94;105.97;188.22;94.11;90.34;45.17;243.12;121.56;205.22;102.61;42.15;21.08;6.65;3.33;0.08;85;42.5;207.5;103.75;266.6;133.3;129.17;64.58;361.33;180.67;296.43;148.21;194.06;97.03;209.27;104.63;165.78;82.89;115.45;57.72;2012.67;2065.17;2039.15;2821.28;3;1.5;1;0.5
Lev1 &    & blura;"  ";7;3;42.86;4382;626;19;2.71;3;0.43;5;0.71;36;5.14;55;7.86;28;4;13;1.86;52.78;423.23;48.12;18247;2606.71;12753;1821.86;5494;784.86;159;22.71;489;69.86;4488;641.14;2537;362.43;1951;278.71;30;4.29;179;25.57;350.94;50.13;170.49;24.36;1549;221.29;3137;448.14;519;74.14;1551.81;3758612;536944.56;1217.61;173.94;1022.64;146.09;422.53;60.36;1325.72;189.39;1118.25;159.75;218.79;31.26;60.83;8.69;0.09;648;92.57;1158.1;165.44;1338.4;191.2;744.43;106.35;1918.35;274.05;1613.72;230.53;1049.06;149.87;1138.19;162.6;848.67;121.24;675.91;96.56;2256.89;2112.47;2451.8;2920.83;8;1.14;6;0.86
Heavy Drivin Car & Duck & Fiasco;"   ";4;2;50.00;3179;794.75;11;2.75;2;0.5;12;3;25;6.25;31;7.75;12;3;7;1.75;44;480.07;52.02;10562;2640.5;8065;2016.25;2497;624.25;108;27;218;54.5;2553;638.25;1623;405.75;930;232.5;21;5.25;79;19.75;108.4;27.1;155.61;38.9;1260;315;2757;689.25;545;136.25;1596.2;1952650;488162.5;576.64;144.16;494.33;123.58;271.07;67.77;653.56;163.39;607.32;151.83;81.16;20.29;40.58;10.15;0.11;380;95;613.4;153.35;658.6;164.65;273.67;68.42;1068.37;267.09;836.48;209.12;505.57;126.39;614.95;153.74;388.43;97.11;338.67;84.67;2186.63;2082.07;2294.61;2893.81;7;1.75;3;0.75
regser & kexii & MayKo Jackson;"   Dani___RL   ";2;1;50.00;1136;568;3;1.5;2;1;5;2.5;6;3;18;9;7;3.5;1;0.5;50;407.9;50.79;4407;2203.5;3618;1809;789;394.5;47;23.5;72;36;575;287.5;463;231.5;112;56;7;3.5;12;6;51.03;25.51;99.41;49.71;642;321;1088;544;243;121.5;1451.11;895195;447597.5;366.02;183.01;209.42;104.71;96.39;48.19;398.59;199.29;242.2;121.1;31.03;15.51;6.7;3.35;0.12;56;28;373.8;186.9;243.2;121.6;146.64;73.32;525.19;262.6;503.96;251.98;167.86;83.93;390.82;195.41;190.05;95.03;90.95;45.47;2347.08;2059.46;2547.69;2891.67;1;0.5;0;0
Peaking Soon & !;!;1;0;0.00;283;283;0;0;0;0;2;2;3;3;7;7;2;2;1;1;0;437;49.24;2404;2404;1852;1852;552;552;22;22;49;49;690;690;517;517;173;173;6;6;15;15;42.05;42.05;33.15;33.15;275;275;362;362;82;82;1549;478535;478535;140.05;140.05;136.68;136.68;44.76;44.76;168.26;168.26;131.83;131.83;21.4;21.4;7.03;7.03;0.08;87;87;142.4;142.4;186.5;186.5;97.84;97.84;223.65;223.65;193.81;193.81;127.68;127.68;154.04;154.04;85.5;85.5;81.94;81.94;2357;2263;2473;2717;1;1;1;1
Radddad501 & ! Bomba;! Bomba;1;0;0.00;813;813;2;2;0;0;5;5;3;3;13;13;4;4;1;1;66.67;432;45.69;2779;2779;2166;2166;613;613;25;25;53;53;276;276;186;186;90;90;2;2;8;8;26.95;26.95;24.96;24.96;125;125;116;116;0;0;1555;520520;520520;166.81;166.81;148.03;148.03;51.52;51.52;189.1;189.1;158.76;158.76;18.5;18.5;12.39;12.39;0.12;105;105;161.7;161.7;189.2;189.2;94.5;94.5;271.86;271.86;246.37;246.37;119.99;119.99;183.65;183.65;119.54;119.54;63.17;63.17;2406;2288;2581;3256;0;0;1;1
! S A Y Y Z Z & Shinichi Kudo;! S A Y Y Z Z;1;1;100.00;509;509;0;0;1;1;4;4;2;2;7;7;1;1;0;0;0;427;45.02;1915;1915;1392;1392;523;523;16;16;49;49;156;156;0;0;156;156;0;0;14;14;49.23;49.23;24.26;24.26;453;453;141;141;5;5;1683;440613;440613;101.62;101.62;96.72;96.72;85.64;85.64;148.13;148.13;118.95;118.95;16.9;16.9;4.02;4.02;0.11;36;36;154.6;154.6;113.1;113.1;57.82;57.82;226.16;226.16;201.32;201.32;82.66;82.66;149.68;149.68;94.19;94.19;40.11;40.11;2456;2297;2589;2781;0;0;1;1
Bgelun & & DavidW (Device);& DavidW (Device);1;0;0.00;295;295;0;0;2;2;2;2;0;0;9;9;6;6;3;3;0;378;45.77;2234;2234;1615;1615;619;619;17;17;49;49;396;396;200;200;196;196;2;2;11;11;43.26;43.26;31.17;31.17;122;122;102;102;0;0;1480;488656;488656;182.41;182.41;134.88;134.88;47.59;47.59;180.85;180.85;168.34;168.34;15.69;15.69;6.67;6.67;0.1;69;69;176.3;176.3;158.1;158.1;97.27;97.27;267.62;267.62;254.53;254.53;110.35;110.35;182.18;182.18;130.26;130.26;52.44;52.44;2836;2970;2723;3502;0;0;0;0
"&?F""? & Noblesse Oblige";"&?F""?";1;1;100.00;804;804;4;4;0;0;3;3;8;8;5;5;0;0;0;0;50;393;56.62;2127;2127;1604;1604;523;523;23;23;45;45;514;514;346;346;168;168;6;6;14;14;22.29;22.29;38.52;38.52;238;238;550;550;154;154;1524;458987;458987;150.78;150.78;129.72;129.72;36.07;36.07;169.3;169.3;131.29;131.29;15.99;15.99;5.77;5.77;0.13;44;44;150.3;150.3;155.1;155.1;60.29;60.29;256.28;256.28;168.92;168.92;147.66;147.66;117.95;117.95;109.89;109.89;88.74;88.74;2502;2281;2701;3456;1;1;0;0
******* & Alexius_-_09;*******;1;1;100.00;747;747;4;4;0;0;2;2;4;4;8;8;2;2;0;0;100;304;42.37;1417;1417;812;812;605;605;9;9;51;51;170;170;100;100;70;70;1;1;6;6;38.02;38.02;6.57;6.57;101;101;92;92;0;0;1473;425353;425353;165.28;165.28;130.78;130.78;27.03;27.03;196.72;196.72;121.44;121.44;4.94;4.94;5.09;5.09;0.11;46;46;155.8;155.8;138.7;138.7;50.69;50.69;272.41;272.41;237.34;237.34;85.75;85.75;175.39;175.39;104.19;104.19;43.52;43.52;2620;2793;2428;2946;0;0;1;1
