team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
. & lejdo & LXS;"   Zkittlez";1;0;0.00;102;102;0;0;1;1;0;0;0;0;5;5;3;3;1;1;0;360;54.38;779;779;509;509;270;270;7;7;25;25;177;177;100;100;77;77;1;1;7;7;12.74;12.74;14.61;14.61;66;66;134;134;7;7;1394;157994;157994;74.57;74.57;37.17;37.17;22.1;22.1;66.5;66.5;60.06;60.06;7.28;7.28;1.25;1.25;0.07;17;17;51.7;51.7;64.1;64.1;43.49;43.49;90.36;90.36;99.25;99.25;34.59;34.59;72.73;72.73;43.25;43.25;17.86;17.86;2980;2440;3401;2999;0;0;0;0
. & lejdo & LXS;!;1;0;0.00;501;501;2;2;1;1;2;2;2;2;10;10;6;6;4;4;100;397;38.38;1678;1678;1130;1130;548;548;12;12;48;48;339;339;192;192;147;147;2;2;14;14;24.01;24.01;15.18;15.18;108;108;70;70;7;7;1503;379215;379215;155.65;155.65;88.08;88.08;44.82;44.82;167.83;167.83;110.7;110.7;10.02;10.02;5.87;5.87;0.09;64;64;148.1;148.1;122.1;122.1;66.2;66.2;222.35;222.35;188.81;188.81;99.74;99.74;137.52;137.52;101.08;101.08;49.95;49.95;2184;2082;2264;2585;0;0;1;1
Kodro & Elizabeth.rl & LuggarStice;!;1;1;100.00;651;651;2;2;2;2;4;4;2;2;7;7;2;2;1;1;100;384;57.72;1526;1526;1201;1201;325;325;17;17;29;29;644;644;476;476;168;168;7;7;15;15;12.71;12.71;29.26;29.26;159;159;510;510;236;236;1532;288520;288520;109.15;109.15;78.91;78.91;26.59;26.59;128;128;68.95;68.95;17.7;17.7;4.84;4.84;0.14;34;34;104.1;104.1;93.8;93.8;31.35;31.35;183.29;183.29;120.04;120.04;94.6;94.6;93.06;93.06;49.08;49.08;72.51;72.51;2541;2867;2340;3381;0;0;1;1
! Bomba & CouldU & LOUXNZ^^;! Bomba;3;2;66.67;1787;595.67;5;1.67;3;1;10;3.33;17;5.67;25;8.33;9;3;8;2.67;29.41;445.01;47.99;6803;2267.67;4874;1624.67;1929;643;59;19.67;165;55;1714;571.33;1055;351.67;659;219.67;13;4.33;51;17;143.84;47.95;93.12;31.04;766;255.33;1069;356.33;255;85;1597.32;1385781;461927;408.9;136.3;355.03;118.34;181.65;60.55;484.7;161.57;428.97;142.99;31.89;10.63;20.08;6.69;0.09;232;77.33;467.8;155.93;430;143.33;246.13;82.04;699.45;233.15;567.13;189.04;378.42;126.14;407.78;135.93;289.21;96.4;248.58;82.86;2290.45;2202.37;2367.79;3018.09;2;0.67;2;0.67
! Jxuuls & Merrigolo haha;! Jxuuls;1;1;100.00;473;473;1;1;2;2;2;2;1;1;3;3;0;0;0;0;100;432;46.18;1612;1612;1225;1225;387;387;13;13;37;37;285;285;155;155;130;130;2;2;12;12;35;35;18.73;18.73;130;130;96;96;48;48;1599;297955;297955;89.37;89.37;74.87;74.87;37.06;37.06;115.58;115.58;79.56;79.56;6.17;6.17;5.28;5.28;0.11;46;46;101.8;101.8;85;85;28.82;28.82;172.49;172.49;125.35;125.35;75.95;75.95;91.58;91.58;60.64;60.64;49.09;49.09;2331;2411;2162;3006;0;0;1;1
. & lejdo & LXS;! Sultan.;1;0;0.00;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;0;297;27.82;135;135;99;99;36;36;1;1;3;3;0;0;0;0;0;0;0;0;0;0;0.82;0.82;0;0;0;0;0;0;0;0;1093;14691;14691;18.69;18.69;3.69;3.69;0.27;0.27;17.61;17.61;5.04;5.04;0;0;0.62;0.62;0.12;5;5;18;18;15.7;15.7;4.46;4.46;18.2;18.2;22.66;22.66;0;0;21.42;21.42;1.24;1.24;0;0;3184;0;0;4235;0;0;0;0
boludo kid LFT & ViitiN new bind & MaruL;"""DEMON""g  ? g ?""ah$";1;0;0.00;148;148;0;0;0;0;2;2;0;0;8;8;4;4;1;1;0;464;51.07;1491;1491;1180;1180;311;311;12;12;28;28;359;359;292;292;67;67;3;3;6;6;28;28;25.11;25.11;147;147;45;45;12;12;1612;275498;275498;75.83;75.83;77.47;77.47;36.63;36.63;96.29;96.29;83.28;83.28;10.35;10.35;6;6;0.11;54;54;87;87;101.4;101.4;56.72;56.72;133.21;133.21;126.3;126.3;63.62;63.62;88.66;88.66;66.73;66.73;34.54;34.54;2748;2453;2963;3014;1;1;2;2
. & lejdo & LXS;$rizzmas;4;3;75.00;2390;597.5;10;2.5;5;1.25;7;1.75;15;3.75;31;7.75;13;3.25;6;1.5;66.67;441.31;40.48;7924;1981;5816;1454;2108;527;67;16.75;192;48;1616;404;939;234.75;677;169.25;10;2.5;61;15.25;197.17;49.29;76.64;19.16;1798;449.5;902;225.5;74;18.5;1607.17;1664776;416194;497.18;124.29;423.16;105.79;233.46;58.36;610.95;152.74;481.04;120.26;61.81;15.45;21;5.25;0.1;209;52.25;513.3;128.33;573.8;143.45;317.45;79.36;836.35;209.09;731.22;182.8;422.56;105.64;517.66;129.42;387.87;96.97;248.27;62.07;2453.04;2344.24;2548.31;3150.48;3;0.75;6;1.5
Envious. <3 & happy & hesi;&D.;5;4;80.00;3606;721.2;9;1.8;7;1.4;15;3;22;4.4;48;9.6;14;2.8;7;1.4;40.91;449.57;47.84;13874;2774.8;10276;2055.2;3598;719.6;130;26;321;64.2;2437;487.4;1475;295;962;192.4;19;3.8;89;17.8;213.49;42.7;170.07;34.01;1890;378;1685;337;192;38.4;1563.77;2759883;551976.62;883.54;176.71;693.63;138.73;361.08;72.22;1058.14;211.63;739.36;147.87;140.76;28.15;57.03;11.41;0.12;485;97;961.4;192.28;913.4;182.68;434.54;86.91;1503.72;300.74;1294.55;258.91;643.71;128.74;985.2;197.04;573.04;114.61;380.01;76;2552.03;2363.16;2695.27;3221.76;7;1.4;4;0.8
MaR_ViN2408 & 'Dervuu & Mercy;'Dervuu;2;1;50.00;1052;526;5;2.5;1;0.5;1;0.5;7;3.5;12;6;8;4;5;2.5;71.43;451.88;48.29;3679;1839.5;3022;1511;657;328.5;37;18.5;60;30;1031;515.5;747;373.5;284;142;10;5;24;12;70.04;35.02;27.22;13.61;540;270;606;303;257;128.5;1663.89;770264;385132;203.31;101.65;209.93;104.96;107.64;53.82;251.82;125.91;232.46;116.23;36.6;18.3;8.24;4.12;0.09;86;43;192.9;96.45;277.7;138.85;163.63;81.82;357.24;178.62;336.47;168.24;184.41;92.21;232.9;116.45;171.89;85.94;116.09;58.04;2017.23;1794.66;2202.5;2722.66;2;1;0;0
