team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
Daijon & ;;1;0;0.00;673;673;1;1;1;1;4;4;6;6;9;9;4;4;3;3;16.67;438;41.86;2759;2759;2032;2032;727;727;25;25;64;64;591;591;319;319;272;272;4;4;26;26;39.6;39.6;51.65;51.65;363;363;474;474;86;86;1549;521082;521082;168.14;168.14;141.66;141.66;59.91;59.91;197.3;197.3;154.29;154.29;18.1;18.1;4.89;4.89;0.11;43;43;206.1;206.1;146.7;146.7;93.69;93.69;276.01;276.01;222.88;222.88;146.82;146.82;151.65;151.65;135.48;135.48;82.57;82.57;2222;2101;2348;2634;0;0;1;1
Aiipa & Dragon <3 & H4NSEN [chat off];;3;2;66.67;808;269.33;1;0.33;5;1.67;1;0.33;8;2.67;8;2.67;5;1.67;2;0.67;12.5;476.72;46.62;6332;2110.67;4692;1564;1640;546.67;52;17.33;145;48.33;1109;369.67;583;194.33;526;175.33;7;2.33;45;15;137.12;45.71;76.76;25.59;918;306;553;184.33;115;38.33;1592.2;1108314;369438;318.02;106.01;298.81;99.6;135.67;45.22;395.89;131.96;307.32;102.44;49.28;16.43;13.1;4.37;0.09;145;48.33;357.4;119.13;349.5;116.5;156.58;52.19;595.91;198.64;460.77;153.59;291.73;97.24;308.24;102.75;282.69;94.23;161.56;53.85;2483.92;2367.39;2550.74;3225.66;1;0.33;1;0.33
"   & Lev1";"  ";7;4;57.14;3895;556.43;16;2.29;2;0.29;10;1.43;30;4.29;42;6;19;2.71;8;1.14;53.33;442.11;47.74;14337;2048.14;10324;1474.86;4013;573.29;118;16.86;370;52.86;3639;519.86;2204;314.86;1435;205;25;3.57;134;19.14;327.6;46.8;118.57;16.94;1880;268.57;1483;211.86;338;48.29;1613.88;3100031;442861.56;857.71;122.53;829.67;118.52;391.63;55.95;1070.93;152.99;894.93;127.85;113.15;16.16;64.29;9.18;0.1;646;92.29;924.4;132.06;1035.3;147.9;552.73;78.96;1526.26;218.04;1294;184.86;785;112.14;963.93;137.7;651.1;93.01;463.99;66.28;2206.89;2101.34;2298.11;2942.59;1;0.14;1;0.14
"  Alhamdulillah &    2kg";"   2kg";1;0;0.00;156;156;0;0;0;0;0;0;1;1;11;11;4;4;2;2;0;241;41.58;1072;1072;714;714;358;358;9;9;31;31;121;121;0;0;121;121;0;0;10;10;36.01;36.01;28.61;28.61;96;96;107;107;0;0;1390;292550;292550;185.33;185.33;80.06;80.06;38.36;38.36;200.07;200.07;89.22;89.22;14.46;14.46;3.34;3.34;0.13;26;26;151.8;151.8;156.7;156.7;124.5;124.5;179.25;179.25;239.79;239.79;63.95;63.95;199.56;199.56;73.73;73.73;30.45;30.45;2706;2236;2970;3357;0;0;0;0
CheeseFace &    JWeyts   ;"   JWeyts   ";1;1;100.00;752;752;3;3;2;2;2;2;5;5;6;6;2;2;0;0;60;469;53.39;2858;2858;2369;2369;489;489;31;31;44;44;366;366;236;236;130;130;4;4;13;13;25.81;25.81;37.14;37.14;419;419;736;736;172;172;1673;539612;539612;133.12;133.12;126.59;126.59;89.49;89.49;151.42;151.42;167.26;167.26;30.52;30.52;4.69;4.69;0.11;41;41;163.8;163.8;166.2;166.2;80.22;80.22;268.98;268.98;240.44;240.44;108.76;108.76;183.69;183.69;97.95;97.95;67.55;67.55;2516;2260;2704;3409;1;1;1;1
"  Alhamdulillah &    2kg";"  Alhamdulillah";1;0;0.00;563;563;0;0;0;0;4;4;3;3;11;11;4;4;2;2;0;453;50.8;2150;2150;1562;1562;588;588;20;20;55;55;247;247;0;0;247;247;0;0;23;23;28.77;28.77;27;27;619;619;447;447;9;9;1546;434930;434930;141;141;111.57;111.57;49.34;49.34;187.21;187.21;107.22;107.22;7.48;7.48;4.87;4.87;0.1;48;48;172.1;172.1;189.6;189.6;100.74;100.74;201.18;201.18;198.76;198.76;103.16;103.16;158.43;158.43;83.74;83.74;59.75;59.75;2099;1667;2241;3357;2;2;2;2
Aiipa & Dragon <3 & H4NSEN [chat off];!;1;1;100.00;558;558;0;0;2;2;3;3;5;5;7;7;2;2;0;0;0;474;53.5;3205;3205;2476;2476;729;729;30;30;66;66;922;922;632;632;290;290;7;7;26;26;38.36;38.36;58.44;58.44;608;608;565;565;90;90;1611;606283;606283;165.37;165.37;156;156;77.39;77.39;241.77;241.77;141.17;141.17;15.83;15.83;10.74;10.74;0.13;82;82;171.7;171.7;210;210;101.03;101.03;297.73;297.73;213.58;213.58;185.18;185.18;146.42;146.42;131.01;131.01;121.34;121.34;2189;2043;2284;2777;4;4;1;1
M5F-Y & A. & batal2212;!;1;1;100.00;842;842;1;1;0;0;7;7;6;6;13;13;0;0;0;0;16.67;414;59.56;2247;2247;1596;1596;651;651;26;26;54;54;281;281;98;98;183;183;1;1;17;17;13.32;13.32;56.71;56.71;300;300;1025;1025;12;12;1628;499059;499059;123.45;123.45;104.65;104.65;87.28;87.28;166.97;166.97;140.91;140.91;7.5;7.5;5.42;5.42;0.09;58;58;167.2;167.2;150.2;150.2;63.85;63.85;251.53;251.53;232.27;232.27;83.11;83.11;191.21;191.21;75.58;75.58;48.59;48.59;2409;2051;2639;2782;1;1;0;0
! LeV & ~ Shin;! LeV;1;1;100.00;506;506;2;2;1;1;1;1;4;4;2;2;0;0;0;0;50;424;50.81;1979;1979;1417;1417;562;562;19;19;47;47;614;614;428;428;186;186;5;5;12;12;33.13;33.13;48.66;48.66;257;257;511;511;92;92;1587;428478;428478;122.39;122.39;108.31;108.31;55.04;55.04;133.09;133.09;133.69;133.69;18.96;18.96;3.84;3.84;0.11;36;36;131.3;131.3;147;147;42.87;42.87;242.87;242.87;159.02;159.02;126.73;126.73;107.05;107.05;95.08;95.08;83.61;83.61;2385;2542;2202;3394;0;0;0;0
bk`ON@bgN}Y & ! Qin;! Qin;1;0;0.00;517;517;1;1;0;0;2;2;5;5;11;11;3;3;1;1;20;506;47.85;2984;2984;2312;2312;672;672;27;27;54;54;643;643;407;407;236;236;6;6;22;22;71.32;71.32;42.9;42.9;396;396;350;350;211;211;1606;575706;575706;159.39;159.39;155.42;155.42;74.14;74.14;165.55;165.55;193.49;193.49;29.91;29.91;5.1;5.1;0.11;47;47;153.8;153.8;225.4;225.4;121.11;121.11;267.84;267.84;222.15;222.15;166.79;166.79;166.96;166.96;117.78;117.78;104.21;104.21;2206;1926;2546;3261;0;0;1;1
