team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
Trk511 & ;;1;0;0.00;708;708;2;2;1;1;3;3;6;6;14;14;5;5;3;3;33.33;441;45.65;2521;2521;1902;1902;619;619;21;21;54;54;420;420;200;200;220;220;2;2;20;20;60.75;60.75;22.08;22.08;196;196;186;186;18;18;1548;504039;504039;163.88;163.88;135.78;135.78;57.01;57.01;162.7;162.7;167.84;167.84;26.13;26.13;10.06;10.06;0.09;113;113;148;148;182.8;182.8;73.73;73.73;282.95;282.95;234.85;234.85;121.83;121.83;169.32;169.32;116.65;116.65;70.7;70.7;2262;1859;2661;2566;1;1;1;1
_Sarak_ & Awdaz & Nyxoxnz;;1;0;0.00;135;135;0;0;0;0;1;1;0;0;6;6;4;4;4;4;0;381;52.56;902;902;615;615;287;287;8;8;27;27;270;270;180;180;90;90;3;3;8;8;17.79;17.79;19.82;19.82;126;126;218;218;125;125;1676;230623;230623;59.78;59.78;55.98;55.98;37.41;37.41;74.26;74.26;55.82;55.82;23.09;23.09;2.14;2.14;0.14;15;15;71.9;71.9;64.1;64.1;56.36;56.36;96.81;96.81;96.37;96.37;56.8;56.8;69.02;69.02;48.34;48.34;35.81;35.81;2323;1883;2602;3204;0;0;0;0
"    b0 & nrjo";"    b0";1;0;0.00;546;546;2;2;1;1;2;2;3;3;11;11;5;5;2;2;66.67;451;46.38;3265;3265;2306;2306;959;959;27;27;78;78;520;520;361;361;159;159;5;5;15;15;72.49;72.49;52.68;52.68;453;453;426;426;153;153;1603;652196;652196;181.51;181.51;182.96;182.96;80.51;80.51;256.2;256.2;179.72;179.72;9.06;9.06;8.45;8.45;0.09;97;97;248.2;248.2;168.7;168.7;117.86;117.86;327.12;327.12;297.12;297.12;147.86;147.86;227.61;227.61;130.28;130.28;87.09;87.09;2411;2386;2469;3176;2;2;2;2
"   wizzo    & Beebnou";"   wizzo   ";2;1;50.00;678;339;1;0.5;1;0.5;2;1;6;3;18;9;6;3;2;1;16.67;439.24;40.31;4439;2219.5;3140;1570;1299;649.5;34;17;116;58;1131;565.5;762;381;369;184.5;8;4;34;17;107.51;53.75;35.21;17.6;498;249;262;131;38;19;1544.13;877118;438559;281.43;140.71;231.46;115.73;99.36;49.68;330.26;165.13;262.25;131.12;19.74;9.87;13.08;6.54;0.09;136;68;294.4;147.2;313;156.5;162.87;81.43;449.38;224.69;413.26;206.63;198.99;99.49;310.14;155.07;176.53;88.26;125.57;62.79;2150.8;1994.81;2313.88;2874.98;4;2;6;3
Zenat &  Liam;" Liam";1;1;100.00;612;612;2;2;1;1;1;1;7;7;8;8;2;2;1;1;28.57;488;46.95;3631;3631;2506;2506;1125;1125;29;29;90;90;754;754;360;360;394;394;4;4;34;34;72.94;72.94;43.86;43.86;333;333;312;312;37;37;1594;705204;705204;182.95;182.95;203.9;203.9;76.33;76.33;286.74;286.74;159.55;159.55;16.9;16.9;9.74;9.74;0.11;89;89;228.7;228.7;221.6;221.6;122.5;122.5;340.69;340.69;269.29;269.29;193.9;193.9;189.2;189.2;164.34;164.34;109.64;109.64;2402;2350;2472;3237;2;2;3;3
! & DeadLine8256 & iSkeeToX;!;2;2;100.00;987;493.5;3;1.5;0;0;4;2;8;4;13;6.5;3;1.5;2;1;37.5;456.12;48.71;4934;2467;3487;1743.5;1447;723.5;40;20;130;65;856;428;440;220;416;208;5;2.5;38;19;71.77;35.88;52.21;26.1;749;374.5;537;268.5;65;32.5;1556.45;957917;478958.5;294.46;147.23;266.71;133.35;98.66;49.33;407.08;203.54;230.13;115.07;22.63;11.31;18.98;9.49;0.12;153;76.5;340.4;170.2;286.1;143.05;134.44;67.22;525.4;262.7;438.72;219.36;221.12;110.56;322;161;220.33;110.17;117.51;58.76;2395.25;2349.11;2385.88;2898.37;2;1;1;0.5
! & Azghswpu;!;2;1;50.00;1241;620.5;5;2.5;2;1;3;1.5;10;5;17;8.5;10;5;5;2.5;50;480.31;42.58;5265;2632.5;4166;2083;1099;549.5;45;22.5;97;48.5;514;257;283;141.5;231;115.5;3;1.5;20;10;104.1;52.05;54.74;27.37;705;352.5;358;179;18;9;1580.94;1011764;505882;315.82;157.91;265.65;132.83;134.52;67.26;346.92;173.46;318.7;159.35;50.37;25.18;10.77;5.39;0.11;102;51;321.6;160.8;344.3;172.15;197.47;98.74;518.51;259.26;485.88;242.94;230.11;115.06;350.51;175.26;243.01;121.51;122.47;61.24;2395.63;1848.68;2772.83;2792.29;6;3;1;0.5
! Bomba & known as eyas & Bediri;! Bomba;3;3;100.00;1517;505.67;7;2.33;0;0;3;1;14;4.67;18;6;4;1.33;0;0;50;437.09;47.85;6784;2261.33;4994;1664.67;1790;596.67;59;19.67;146;48.67;1206;402;635;211.67;571;190.33;7;2.33;44;14.67;89.44;29.81;98.04;32.68;618;206;678;226;47;15.67;1562.73;1371609;457203;423.03;141.01;354.29;118.1;164.88;54.96;497.93;165.98;391.59;130.53;52.68;17.56;31;10.33;0.12;262;87.33;470.4;156.8;429.5;143.17;215.48;71.83;726.72;242.24;603.1;201.03;339.08;113.03;436.88;145.63;303.13;101.04;202.18;67.39;2331.39;2359.81;2266.33;2968.95;2;0.67;1;0.33
!999 pxnlchrrrr! & 002;!999 pxnlchrrrr!;1;1;100.00;816;816;1;1;1;1;6;6;4;4;15;15;3;3;0;0;25;357;44.35;1698;1698;1156;1156;542;542;15;15;42;42;285;285;184;184;101;101;2;2;11;11;55.6;55.6;34.69;34.69;322;322;348;348;15;15;1508;433662;433662;167.85;167.85;120.14;120.14;45.7;45.7;189.9;189.9;131.02;131.02;12.76;12.76;4.54;4.54;0.09;52;52;191.5;191.5;140;140;91.21;91.21;242.47;242.47;251.7;251.7;81.98;81.98;199.88;199.88;82.35;82.35;51.46;51.46;2470;2462;2467;3117;0;0;1;1
!smn. & TTV_VortexM & Abnormally Washe;!smn.;5;3;60.00;2070;414;6;1.2;2;0.4;10;2;17;3.4;22;4.4;7;1.4;3;0.6;35.29;412.41;49.97;8637;1727.4;6195;1239;2442;488.4;79;15.8;210;42;1895;379;1308;261.6;587;117.4;17;3.4;54;10.8;106.93;21.39;149.83;29.97;1084;216.8;1094;218.8;157;31.4;1490.62;1756431;351286.19;629.24;125.85;463.18;92.64;167.4;33.48;797.95;159.59;416.18;83.24;45.7;9.14;32.17;6.43;0.15;227;45.4;673.3;134.66;554.9;110.98;255.52;51.1;1004.3;200.86;844.54;168.91;415.28;83.06;651.62;130.32;371.32;74.26;236.86;47.37;2491.53;2398.93;2508.23;3116.96;4;0.8;6;1.2
