team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
.rs & ;;6;5;83.33;5737;956.17;18;3;0;0;29;4.83;38;6.33;72;12;18;3;11;1.83;47.37;431.83;42.87;14658;2443;10951;1825.17;3707;617.83;129;21.5;330;55;2272;378.67;1313;218.83;959;159.83;14;2.33;85;14.17;305.04;50.84;386.24;64.37;2058;343;2009;334.83;87;14.5;1569.72;3136168;522694.66;996.41;166.07;813.25;135.54;362.54;60.42;1092.24;182.04;901.66;150.28;178.3;29.72;38.73;6.45;0.15;263;43.83;1141.5;190.25;909.7;151.62;425.47;70.91;1746.73;291.12;1508.78;251.46;663.44;110.57;1167;194.5;607.86;101.31;397.36;66.23;2196.96;1888.15;2484.7;2692.02;3;0.5;2;0.33
" & Ignite-Shooter-4";;1;0;0.00;270;270;1;1;0;0;0;0;3;3;12;12;5;5;1;1;33.33;395;50.58;1996;1996;1421;1421;575;575;18;18;52;52;679;679;503;503;176;176;6;6;15;15;34.91;34.91;32.64;32.64;312;312;357;357;69;69;1600;423977;423977;118.94;118.94;121.98;121.98;47.2;47.2;173.8;173.8;107.56;107.56;6.77;6.77;6;6;0.15;40;40;119.8;119.8;151.3;151.3;85.1;85.1;203.02;203.02;173.13;173.13;114.99;114.99;130.09;130.09;93.18;93.18;64.85;64.85;2139;1935;2197;2582;1;1;1;1
brock & ^BEA$  ^ & Dragon <3;" Cayyh";1;0;0.00;210;210;0;0;0;0;2;2;2;2;6;6;3;3;3;3;0;445;48.03;1435;1435;1091;1091;344;344;13;13;31;31;346;346;200;200;146;146;2;2;13;13;32.01;32.01;22.88;22.88;169;169;212;212;0;0;1626;318917;318917;86.28;86.28;72.99;72.99;49.02;49.02;95.01;95.01;105.38;105.38;7.91;7.91;4.51;4.51;0.1;46;46;106.7;106.7;90.7;90.7;53.99;53.99;154.3;154.3;117.8;117.8;90.5;90.5;78.96;78.96;77.12;77.12;52.22;52.22;2077;1653;2477;3044;1;1;0;0
AlexnderXV & !;!;1;0;0.00;398;398;1;1;1;1;1;1;3;3;5;5;3;3;1;1;33.33;385;52.46;2414;2414;1605;1605;809;809;20;20;64;64;689;689;325;325;364;364;4;4;25;25;59.68;59.68;50.83;50.83;301;301;405;405;74;74;1566;549341;549341;163.29;163.29;151.79;151.79;59.11;59.11;229.59;229.59;127.16;127.16;17.44;17.44;7.69;7.69;0.11;67;67;193.3;193.3;168.5;168.5;102.53;102.53;271.66;271.66;208.5;208.5;165.69;165.69;151.39;151.39;124.94;124.94;97.86;97.86;2487;2490;2487;3420;3;3;0;0
brock & ^BEA$  ^ & Dragon <3;! S A Y Y Z Z;1;1;100.00;691;691;4;4;1;1;1;1;3;3;11;11;6;6;3;3;133.33;431;45.15;2821;2821;1882;1882;939;939;23;23;86;86;514;514;229;229;285;285;4;4;25;25;63.46;63.46;36.23;36.23;456;456;470;470;183;183;1599;587052;587052;184.9;184.9;140.07;140.07;94.23;94.23;234.17;234.17;158.2;158.2;26.84;26.84;4.91;4.91;0.09;54;54;142.3;142.3;248;248;121.53;121.53;297.67;297.67;287.15;287.15;132.06;132.06;206.55;206.55;134.69;134.69;77.97;77.97;2371;2327;2414;2808;2;2;1;1
! Sajer & OMG RAMBO;! Sajer;1;0;0.00;892;892;3;3;0;0;4;4;6;6;10;10;4;4;1;1;50;467;46.68;2793;2793;2347;2347;446;446;25;25;40;40;584;584;461;461;123;123;5;5;12;12;66.73;66.73;29.72;29.72;283;283;159;159;40;40;1573;529398;529398;161;161;142.28;142.28;62.92;62.92;169.2;169.2;168.12;168.12;28.89;28.89;5.57;5.57;0.12;46;46;175.6;175.6;169.5;169.5;103.8;103.8;262.41;262.41;199.95;199.95;166.26;166.26;146.28;146.28;114.8;114.8;105.13;105.13;2274;1841;2814;3274;0;0;1;1
! Tadow & freezzyy;! Tadow;1;1;100.00;649;649;3;3;1;1;2;2;5;5;4;4;0;0;0;0;60;482;53.73;1612;1612;1396;1396;216;216;17;17;20;20;441;441;383;383;58;58;5;5;6;6;25.06;25.06;33.46;33.46;330;330;311;311;121;121;1675;305599;305599;74.04;74.04;83.45;83.45;40.32;40.32;105.98;105.98;73.01;73.01;18.82;18.82;4.27;4.27;0.13;33;33;104;104;80;80;39.89;39.89;157.92;157.92;123.09;123.09;74.72;74.72;96.36;96.36;53.32;53.32;48.13;48.13;2426;2214;2685;3228;1;1;0;0
dirtywhitecloud & Nah its terc3s & #1;#1;1;1;100.00;783;783;3;3;3;3;1;1;5;5;13;13;4;4;4;4;60;502;43.99;3033;3033;2265;2265;768;768;27;27;69;69;433;433;268;268;165;165;3;3;15;15;45.67;45.67;28.26;28.26;486;486;446;446;31;31;1516;531024;531024;189.52;189.52;128.88;128.88;67.95;67.95;180.31;180.31;179.48;179.48;26.57;26.57;7.26;7.26;0.13;54;54;178.7;178.7;171.1;171.1;96.44;96.44;289.91;289.91;270.56;270.56;115.8;115.8;197.86;197.86;122.8;122.8;65.7;65.7;1926;1772;2111;2866;1;1;0;0
$.$$ & Rayzix-8-;$.$$;1;0;0.00;811;811;1;1;0;0;7;7;4;4;14;14;3;3;2;2;25;336;45.28;1868;1868;1412;1412;456;456;16;16;40;40;741;741;630;630;111;111;7;7;10;10;43.93;43.93;75.36;75.36;286;286;205;205;73;73;1444;458520;458520;177.89;177.89;118.72;118.72;40.34;40.34;192.09;192.09;133.87;133.87;11;11;5.7;5.7;0.18;31;31;157.7;157.7;178.1;178.1;103.8;103.8;233.16;233.16;241.73;241.73;95.23;95.23;199.17;199.17;78.08;78.08;59.7;59.7;2022;1620;2247;2634;0;0;1;1
AustinRare & $0Dolphin.;$0Dolphin.;1;1;100.00;734;734;3;3;1;1;3;3;5;5;7;7;1;1;1;1;60;496;53.19;2045;2045;1647;1647;398;398;20;20;37;37;464;464;369;369;95;95;4;4;8;8;19.47;19.47;46.83;46.83;351;351;356;356;30;30;1525;348080;348080;116.1;116.1;91.69;91.69;39.52;39.52;143.12;143.12;92.01;92.01;12.18;12.18;4.69;4.69;0.11;44;44;117.1;117.1;122.9;122.9;72.87;72.87;174.44;174.44;168.52;168.52;78.79;78.79;133;133;69.92;69.92;44.39;44.39;2537;2510;2431;3547;0;0;1;1
