team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
" & ";;1;0;0.00;228;228;1;1;1;1;0;0;2;2;12;12;7;7;5;5;50;407;46.9;2456;2456;1822;1822;634;634;22;22;53;53;660;660;464;464;196;196;5;5;17;17;32;32;55.44;55.44;292;292;389;389;35;35;1534;474053;474053;170.39;170.39;119.33;119.33;56.6;56.6;201.63;201.63;130.27;130.27;14.42;14.42;4.62;4.62;0.11;44;44;157.6;157.6;170.9;170.9;122.43;122.43;223.89;223.89;249.64;249.64;96.68;96.68;185.61;185.61;109.1;109.1;51.61;51.61;2585;2450;2688;3203;1;1;0;0
" & ";;1;0;0.00;690;690;2;2;0;0;4;4;2;2;12;12;7;7;2;2;100;443;41.99;2374;2374;1830;1830;544;544;21;21;49;49;96;96;0;0;96;96;0;0;8;8;43.4;43.4;21.05;21.05;327;327;269;269;0;0;1527;452160;452160;165.08;165.08;116.42;116.42;56.61;56.61;197.58;197.58;130.68;130.68;9.86;9.86;5.08;5.08;0.08;61;61;164.9;164.9;147;147;82.26;82.26;255.86;255.86;262.38;262.38;75.75;75.75;189.09;189.09;120.78;120.78;28.25;28.25;2447;1956;2698;3203;1;1;0;0
" & Kanek!?";;2;2;100.00;783;391.5;2;1;2;1;2;1;8;4;14;7;4;2;1;0.5;25;477.19;45.86;4718;2359;3507;1753.5;1211;605.5;40;20;105;52.5;1344;672;863;431.5;481;240.5;10;5;41;20.5;79.7;39.85;66.8;33.4;920;460;501;250.5;143;71.5;1543;850526;425263;284.56;142.28;209.69;104.85;112.54;56.27;337.96;168.98;245.2;122.6;23.61;11.81;11.57;5.78;0.11;103;51.5;304;152;259.6;129.8;142.45;71.22;464.33;232.17;334.63;167.32;272.14;136.07;245.34;122.67;182.29;91.15;179.14;89.57;2188.44;2145.42;2153.53;3228.67;4;2;1;0.5
" & Lix n0x0n0";;1;0;0.00;632;632;2;2;0;0;3;3;6;6;13;13;4;4;0;0;33.33;570;43.94;2696;2696;2167;2167;529;529;23;23;47;47;627;627;387;387;240;240;4;4;21;21;49.14;49.14;37.86;37.86;653;653;96;96;12;12;1697;483118;483118;120.52;120.52;123.61;123.61;77.68;77.68;173.96;173.96;135.15;135.15;12.69;12.69;5.09;5.09;0.08;63;63;162;162;152.6;152.6;85.38;85.38;236.42;236.42;198.32;198.32;123.48;123.48;146.24;146.24;95.91;95.91;79.66;79.66;2270;1866;2728;3105;0;0;0;0
Valrz &   ;"  ";1;1;100.00;447;447;0;0;3;3;0;0;3;3;6;6;2;2;2;2;0;501;49.39;2978;2978;2087;2087;891;891;25;25;76;76;514;514;200;200;314;314;2;2;22;22;29.23;29.23;31.02;31.02;368;368;461;461;17;17;1649;537022;537022;129.64;129.64;130.44;130.44;87.73;87.73;162.82;162.82;161.37;161.37;23.62;23.62;5.9;5.9;0.11;54;54;162.7;162.7;166.8;166.8;86.49;86.49;261.32;261.32;226.28;226.28;121.53;121.53;157.36;157.36;120.34;120.34;70.11;70.11;2057;1887;2303;2862;0;0;1;1
Finex & Suliman. & WONKRU;" HEM";2;1;50.00;909;454.5;1;0.5;3;1.5;5;2.5;3;1.5;16;8;3;1.5;2;1;33.33;413.76;49.49;3960;1980;2593;1296.5;1367;683.5;33;16.5;123;61.5;758;379;384;192;374;187;5;2.5;33;16.5;68.66;34.33;25.12;12.56;358;179;620;310;133;66.5;1602.69;846831;423415.5;221.89;110.94;236.32;118.16;98.4;49.2;292.2;146.1;223.4;111.7;41.01;20.51;10;5;0.15;65;32.5;297.8;148.9;237.5;118.75;152.71;76.36;403.89;201.95;358.99;179.49;197.61;98.81;268.52;134.26;169.25;84.62;118.85;59.43;2191.11;2162.56;2118.32;2778.44;1;0.5;1;0.5
Inspire & zenulous & furiousHog684;" c.Chook";1;1;100.00;454;454;2;2;1;1;1;1;2;2;3;3;0;0;0;0;100;446;48.15;1701;1701;1172;1172;529;529;15;15;46;46;399;399;256;256;143;143;3;3;12;12;34.4;34.4;18.33;18.33;147;147;342;342;43;43;1561;349685;349685;101.6;101.6;108.04;108.04;25.84;25.84;143.97;143.97;79.86;79.86;11.65;11.65;5.03;5.03;0.14;37;37;82.5;82.5;141.2;141.2;66.81;66.81;168.67;168.67;151.42;151.42;84.06;84.06;99.77;99.77;82.28;82.28;53.45;53.45;2128;1866;2097;3183;0;0;0;0
. & !;!;1;1;100.00;477;477;1;1;2;2;2;2;2;2;13;13;1;1;1;1;50;319;55.61;1983;1983;1380;1380;603;603;18;18;53;53;395;395;269;269;126;126;4;4;11;11;30.96;30.96;51.92;51.92;238;238;442;442;136;136;1403;459287;459287;197.39;197.39;106.18;106.18;48.11;48.11;208.66;208.66;125.18;125.18;17.84;17.84;5.77;5.77;0.1;59;59;196;196;149.3;149.3;67.05;67.05;284.63;284.63;248.38;248.38;103.3;103.3;182.53;182.53;107.15;107.15;61.99;61.99;2519;2526;2521;3015;1;1;2;2
Finex & Suliman. & WONKRU;!;7;6;85.71;3434;490.57;14;2;4;0.57;8;1.14;33;4.71;41;5.86;15;2.14;2;0.29;42.42;434.16;47.69;16233;2319;11051;1578.71;5182;740.29;139;19.86;465;66.43;4571;653;2454;350.57;2117;302.43;31;4.43;185;26.43;246.32;35.19;177.35;25.34;1930;275.71;2957;422.43;640;91.43;1595.38;3451387;493055.28;976.78;139.54;929.08;132.73;430.91;61.56;1218.48;174.07;994.82;142.12;123.47;17.64;43.77;6.25;0.08;562;80.29;1003.9;143.41;1219.1;174.16;621.77;88.82;1714.99;245;1355.26;193.61;981.5;140.21;904.49;129.21;833.85;119.12;598.43;85.49;2275.2;2019.72;2492.57;2834.37;6;0.86;4;0.57
xHzr4 & ! Bomba & .;! Bomba;3;2;66.67;1976;658.67;9;3;2;0.67;4;1.33;19;6.33;18;6;8;2.67;2;0.67;47.37;437.63;49.71;7919;2639.67;6054;2018;1865;621.67;73;24.33;173;57.67;1835;611.67;1254;418;581;193.67;16;5.33;56;18.67;146.91;48.97;120.16;40.05;706;235.33;712;237.33;249;83;1622.55;1567430;522476.66;432.52;144.17;409.3;136.43;203.66;67.89;560.51;186.84;423.75;141.25;61.22;20.41;33.97;11.32;0.11;297;99;510.1;170.03;474;158;259.71;86.57;785.76;261.92;612.25;204.08;433.22;144.41;439.28;146.43;343.45;114.48;262.75;87.58;2386.88;2310.83;2435.85;3143.94;1;0.33;2;0.67
