team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
spross    & Nacho & Dimensiones.;;1;0;0.00;140;140;0;0;0;0;0;0;2;2;5;5;4;4;1;1;0;322;51.41;1783;1783;1259;1259;524;524;16;16;45;45;351;351;91;91;260;260;1;1;22;22;29.3;29.3;26.82;26.82;348;348;349;349;11;11;1455;411659;411659;159.31;159.31;107.51;107.51;36.15;36.15;171.25;171.25;118.72;118.72;13.01;13.01;4.84;4.84;0.14;34;34;161.4;161.4;131;131;95.56;95.56;207.41;207.41;187.96;187.96;115.02;115.02;123.57;123.57;113.91;113.91;65.49;65.49;2442;2220;2577;2909;2;2;1;1
spross    & Nacho & Dimensiones.;"  ";6;4;66.67;3102;517;11;1.83;5;0.83;11;1.83;27;4.5;51;8.5;16;2.67;3;0.5;40.74;361.49;47.31;11280;1880;8306;1384.33;2974;495.67;100;16.67;268;44.67;2274;379;1402;233.67;872;145.33;16;2.67;80;13.33;153.33;25.56;254.04;42.34;1482;247;1746;291;211;35.17;1458.88;2521029;420171.5;1001.02;166.84;610.52;101.75;277.72;46.29;1087.16;181.19;717.62;119.6;84.48;14.08;21.64;3.61;0.1;220;36.67;878.3;146.38;912.3;152.05;489.97;81.66;1399.3;233.22;1203.5;200.58;685.75;114.29;879.17;146.53;590.16;98.36;419.93;69.99;2351.3;2325.15;2326.53;2993.74;3;0.5;3;0.5
Smoolytaaaaaaaaa &   Zaik0_  ;"  Zaik0_  ";2;2;100.00;1216;608;5;2.5;2;1;3;1.5;9;4.5;17;8.5;2;1;1;0.5;55.56;465.57;49.16;4022;2011;2772;1386;1250;625;34;17;107;53.5;725;362.5;400;200;325;162.5;4;2;28;14;56.7;28.35;54.33;27.17;821;410.5;651;325.5;4;2;1647.71;790289;395144.5;218.08;109.04;180.25;90.12;125.76;62.88;290.9;145.45;208.95;104.47;24.24;12.12;6.61;3.3;0.11;64;32;240.3;120.15;242.7;121.35;118.34;59.17;405.74;202.87;348.59;174.29;175.5;87.75;268.6;134.3;157.74;78.87;97.74;48.87;2490.14;2504.9;2504.49;2923.22;2;1;1;0.5
SavageGnome. & ItsDaaes & Schnefske;!;7;3;42.86;3706;529.43;13;1.86;6;0.86;9;1.29;30;4.29;57;8.14;19;2.71;10;1.43;43.33;349.22;51.33;14670;2095.71;9802;1400.29;4868;695.43;132;18.86;428;61.14;3119;445.57;1658;236.86;1461;208.71;23;3.29;131;18.71;140.1;20.01;268.17;38.31;2146;306.57;2901;414.43;516;73.71;1443.83;3292976;470425.16;1309.19;187.03;783.19;111.88;344.79;49.26;1460.03;208.58;879.77;125.68;97.37;13.91;49.93;7.13;0.09;577;82.43;1257.8;179.69;1065;152.14;618.44;88.35;1818.74;259.82;1603.37;229.05;833.81;119.12;1195.57;170.8;743.31;106.19;498.31;71.19;2113.32;2010.18;2140.6;2960.05;12;1.71;5;0.71
. & #1;#1;1;0;0.00;639;639;0;0;2;2;6;6;0;0;14;14;5;5;3;3;0;409;46.11;3710;3710;2287;2287;1423;1423;27;27;125;125;558;558;253;253;305;305;3;3;26;26;56.42;56.42;39.8;39.8;470;470;435;435;52;52;1528;708814;708814;243.36;243.36;152.65;152.65;106.77;106.77;260.3;260.3;215.89;215.89;26.6;26.6;9.62;9.62;0.14;68;68;277.1;277.1;209.9;209.9;108.58;108.58;394.21;394.21;357.1;357.1;145.69;145.69;264;264;160.06;160.06;78.74;78.74;2531;2502;2576;3006;2;2;3;3
slow & $ p e n c e.;$ p e n c e.;1;0;0.00;281;281;1;1;0;0;1;1;2;2;9;9;4;4;4;4;50;423;35.92;1197;1197;950;950;247;247;11;11;21;21;36;36;0;0;36;36;0;0;3;3;24.59;24.59;21.27;21.27;160;160;149;149;0;0;1469;222051;222051;89.12;89.12;70.64;70.64;16.13;16.13;110.92;110.92;64.97;64.97;0;0;2.82;2.82;0.12;23;23;92;92;70.4;70.4;40.2;40.2;135.69;135.69;134.02;134.02;41.87;41.87;103.86;103.86;52.33;52.33;19.7;19.7;2543;1624;2844;2581;0;0;1;1
(?) & gvn;(?);1;0;0.00;140;140;0;0;0;0;0;0;1;1;5;5;3;3;1;1;0;453;52.22;1919;1919;1541;1541;378;378;17;17;36;36;209;209;100;100;109;109;1;1;10;10;36.13;36.13;43.75;43.75;156;156;187;187;8;8;1505;355650;355650;110.27;110.27;111.99;111.99;25.66;25.66;128.21;128.21;106.14;106.14;13.56;13.56;6.61;6.61;0.15;44;44;158.2;158.2;86.7;86.7;54.76;54.76;193.15;193.15;175.55;175.55;72.36;72.36;132.81;132.81;80.15;80.15;34.94;34.94;2159;1989;2312;2899;0;0;2;2
LimzFB & -;-;1;1;100.00;691;691;3;3;1;1;0;0;7;7;2;2;1;1;0;0;42.86;400;49.95;2425;2425;1533;1533;892;892;17;17;80;80;572;572;214;214;358;358;3;3;33;33;43.58;43.58;13.45;13.45;267;267;176;176;85;85;1602;524434;524434;138.7;138.7;169.58;169.58;45.02;45.02;216.57;216.57;120.4;120.4;16.33;16.33;6.43;6.43;0.08;80;80;179.5;179.5;160.8;160.8;96.73;96.73;256.57;256.57;170.15;170.15;183.15;183.15;116.76;116.76;125.99;125.99;110.55;110.55;2849;2842;2851;3598;1;1;2;2
Nerxxy & s7ero & Stop The Cap_-;.;2;1;50.00;959;479.5;2;1;1;0.5;6;3;6;3;20;10;4;2;3;1.5;33.33;393.97;54.27;4037;2018.5;2773;1386.5;1264;632;38;19;109;54.5;1097;548.5;741;370.5;356;178;10;5;30;15;61.3;30.65;87.85;43.93;483;241.5;1131;565.5;264;132;1497.34;883689;441844.5;301.07;150.54;228.09;114.04;96.94;48.47;335.64;167.82;241.53;120.76;48.93;24.47;9.9;4.95;0.13;72;36;339.8;169.9;274.6;137.3;122.43;61.22;503.67;251.83;401.39;200.7;224.7;112.35;290.59;145.29;206.86;103.43;128.64;64.32;2171.58;1925.26;2314.56;2774.83;4;2;5;2.5
spross    & Nacho & Dimensiones.;.;6;3;50.00;3428;571.33;11;1.83;1;0.17;12;2;24;4;53;8.83;20;3.33;10;1.67;45.83;472.12;51.5;15360;2560;12017;2002.83;3343;557.17;151;25.17;298;49.67;3525;587.5;2480;413.33;1045;174.17;31;5.17;88;14.67;173.46;28.91;239.87;39.98;2447;407.83;3205;534.17;670;111.67;1627.97;2941028;490171.34;795.2;132.53;732.07;122.01;427.51;71.25;992.4;165.4;810.23;135.04;152.14;25.36;37.62;6.27;0.1;356;59.33;940.3;156.72;1163.6;193.93;583.5;97.25;1371.27;228.54;1311.09;218.51;643.69;107.28;952.92;158.82;605.64;100.94;396.21;66.04;2141.98;1757.49;2472.14;3229.12;10;1.67;3;0.5
