team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
ttvOTBeast02 & Need boost! & ehvn.;;1;1;100.00;1000;1000;3;3;5;5;2;2;3;3;9;9;5;5;3;3;100;364;47.7;2813;2813;2214;2214;599;599;25;25;54;54;427;427;247;247;180;180;4;4;16;16;35.3;35.3;67.03;67.03;447;447;270;270;155;155;1541;555930;555930;200.25;200.25;156.67;156.67;54.69;54.69;211.87;211.87;189.01;189.01;10.73;10.73;10.01;10.01;0.18;56;56;196.8;196.8;183.8;183.8;87.74;87.74;323.87;323.87;293.72;293.72;117.89;117.89;216.95;216.95;130.45;130.45;64.2;64.2;2425;2463;2370;2997;2;2;1;1
Reeyko & Suliman. & M;;2;0;0.00;1188;594;4;2;0;0;6;3;12;6;24;12;9;4.5;6;3;33.33;497.28;39.89;5728;2864;4170;2085;1558;779;47;23.5;140;70;1057;528.5;491;245.5;566;283;5;2.5;51;25.5;156.42;78.21;56.44;28.22;741;370.5;546;273;7;3.5;1648.24;1105832;552916;290;145;268.55;134.27;177.32;88.66;333.49;166.74;377.06;188.53;25.32;12.66;10.36;5.18;0.08;127;63.5;350.7;175.35;353.4;176.7;207.9;103.95;527.97;263.99;445.37;222.68;290.5;145.25;324.43;162.21;232.5;116.25;178.94;89.47;2218.69;2137.14;2294.92;3072.85;6;3;2;1
Leo &   ;"  ";1;0;0.00;641;641;1;1;0;0;5;5;5;5;11;11;2;2;0;0;20;415;52.81;2342;2342;1556;1556;786;786;19;19;73;73;768;768;487;487;281;281;6;6;25;25;27.19;27.19;46.81;46.81;493;493;408;408;125;125;1570;521861;521861;155.76;155.76;134.04;134.04;57.67;57.67;208.12;208.12;129.07;129.07;10.29;10.29;3.5;3.5;0.14;25;25;173.6;173.6;163.2;163.2;97.65;97.65;249.81;249.81;211.02;211.02;136.45;136.45;163.64;163.64;96.63;96.63;87.2;87.2;2410;1996;2794;2940;1;1;0;0
ToXx & razmo & Adot;"   wizzo   ";1;1;100.00;734;734;2;2;1;1;2;2;9;9;9;9;3;3;1;1;22.22;460;45.86;3977;3977;2714;2714;1263;1263;32;32;111;111;605;605;220;220;385;385;3;3;33;33;82.71;82.71;28.56;28.56;644;644;437;437;91;91;1579;746434;746434;212.99;212.99;199.38;199.38;92.43;92.43;278.42;278.42;212.83;212.83;13.54;13.54;10.17;10.17;0.09;111;111;223.1;223.1;274.9;274.9;144.17;144.17;360.62;360.62;311.7;311.7;193.09;193.09;219.51;219.51;174.36;174.36;110.92;110.92;2252;2031;2467;3033;1;1;3;3
Reeyko & Suliman. & M;" Cayyh";1;1;100.00;632;632;2;2;1;1;3;3;4;4;8;8;3;3;1;1;50;406;45.7;2387;2387;1561;1561;826;826;18;18;76;76;529;529;275;275;254;254;3;3;23;23;29.83;29.83;31.62;31.62;245;245;254;254;33;33;1584;533339;533339;157.19;157.19;148.37;148.37;61.2;61.2;202.63;202.63;154.52;154.52;9.6;9.6;9.98;9.98;0.11;91;91;166.7;166.7;179.1;179.1;85.17;85.17;281.59;281.59;231.96;231.96;134.79;134.79;163.25;163.25;124.58;124.58;78.92;78.92;2202;2153;2240;2495;2;2;2;2
kristian, & & tybu & evelynn.;" t";1;0;0.00;392;392;0;0;0;0;3;3;3;3;12;12;3;3;3;3;0;478;49.05;2913;2913;2307;2307;606;606;28;28;53;53;575;575;457;457;118;118;6;6;10;10;41.4;41.4;49.05;49.05;218;218;515;515;145;145;1494;519015;519015;183.76;183.76;122.97;122.97;65.6;65.6;196.21;196.21;158.74;158.74;17.37;17.37;6.09;6.09;0.16;39;39;218.2;218.2;149.4;149.4;102.13;102.13;270.19;270.19;253.75;253.75;118.51;118.51;204.98;204.98;95.03;95.03;72.32;72.32;2277;2123;2392;2831;0;0;3;3
! Bomba & Lunix & In fam0us;! Bomba;8;3;37.50;3737;467.12;12;1.5;8;1;11;1.38;22;2.75;53;6.62;23;2.88;14;1.75;54.55;440.17;46.46;18097;2262.12;14194;1774.25;3903;487.88;170;21.25;350;43.75;3446;430.75;2161;270.12;1285;160.62;28;3.5;115;14.38;315.23;39.4;242.79;30.35;1698;212.25;2489;311.12;464;58;1594.38;3576836;447104.5;1017.53;127.19;953.39;119.17;452.26;56.53;1251.43;156.43;1079.51;134.94;92.24;11.53;65.24;8.15;0.1;650;81.25;1230.7;153.84;1077.4;134.68;577.94;72.24;1845.21;230.65;1540.19;192.52;882.95;110.37;1118.53;139.82;805.46;100.68;499.17;62.4;2340.39;2300.28;2372.51;2989.43;2;0.25;12;1.5
Reeyko & Suliman. & M;! Ghassan;8;5;62.50;3363;420.38;11;1.38;7;0.88;10;1.25;26;3.25;73;9.12;27;3.38;13;1.62;42.31;439.58;47.66;20961;2620.12;15429;1928.62;5532;691.5;188;23.5;479;59.88;5223;652.88;3327;415.88;1896;237;42;5.25;157;19.62;412.98;51.62;380.86;47.61;3098;387.25;3439;429.88;903;112.88;1514.92;3770278;471284.75;1322.73;165.34;994.53;124.32;404.04;50.5;1577.74;197.22;998.31;124.79;145.21;18.15;48.37;6.05;0.1;501;62.62;1235.8;154.48;1342.8;167.85;821.75;102.72;1899.51;237.44;1776.55;222.07;944.72;118.09;1231.25;153.91;953.05;119.13;536.96;67.12;2573.47;2439.09;2694.88;3323.4;11;1.38;9;1.12
Lucky & ! Teyna & rxa-.;! Teyna;6;4;66.67;2135;355.83;6;1;4;0.67;5;0.83;21;3.5;35;5.83;17;2.83;8;1.33;28.57;411.82;48.59;13053;2175.5;10426;1737.67;2627;437.83;124;20.67;236;39.33;2022;337;1188;198;834;139;14;2.33;73;12.17;242.69;40.45;291.28;48.55;1387;231.17;1457;242.83;154;25.67;1638.1;2724438;454073;819.89;136.65;648.04;108.01;417.31;69.55;1039.47;173.24;785.61;130.93;60.17;10.03;18.18;3.03;0.16;114;19;924.3;154.05;916.1;152.68;533.72;88.95;1351.52;225.25;1258.39;209.73;626.85;104.47;857.06;142.84;690.44;115.07;337.76;56.29;2587.71;2364.46;2763.57;3119.39;6;1;6;1
"onnset. & !blizzy ;;";"!blizzy ;;";1;0;0.00;473;473;0;0;0;0;2;2;3;3;9;9;2;2;0;0;0;436;55.77;3842;3842;2388;2388;1454;1454;31;31;135;135;969;969;484;484;485;485;5;5;45;45;48.16;48.16;58.84;58.84;560;560;786;786;49;49;1660;814068;814068;182.63;182.63;211.27;211.27;111.6;111.6;274.94;274.94;212.71;212.71;17.86;17.86;16.28;16.28;0.11;147;147;241.3;241.3;263.1;263.1;155.37;155.37;350.13;350.13;325.11;325.11;180.4;180.4;242.56;242.56;162.24;162.24;100.7;100.7;2446;2236;2595;3034;2;2;1;1
