team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
sweet Bun Bun x3 & ;;1;0;0.00;655;655;1;1;0;0;4;4;3;3;12;12;4;4;2;2;33.33;448;51.48;2577;2577;1874;1874;703;703;25;25;54;54;535;535;373;373;162;162;5;5;14;14;37.62;37.62;75.85;75.85;474;474;616;616;105;105;1554;507502;507502;151.05;151.05;136.02;136.02;57.94;57.94;186.98;186.98;135.41;135.41;22.62;22.62;6.46;6.46;0.15;42;42;136.5;136.5;192.9;192.9;97.13;97.13;247.88;247.88;235.27;235.27;109.74;109.74;180.36;180.36;96.91;96.91;67.74;67.74;2319;1834;2621;3395;1;1;0;0
nova earth & Nacho_HSV & ;;1;1;100.00;288;288;1;1;0;0;0;0;2;2;4;4;1;1;0;0;50;376;42.51;1958;1958;1335;1335;623;623;16;16;53;53;482;482;186;186;296;296;2;2;25;25;46.72;46.72;15.72;15.72;237;237;176;176;13;13;1401;446207;446207;189.28;189.28;113.48;113.48;30.76;30.76;184;184;127.66;127.66;21.86;21.86;6.18;6.18;0.08;76;76;148.4;148.4;183.3;183.3;102.69;102.69;230.83;230.83;169.7;169.7;163.82;163.82;127.88;127.88;92.57;92.57;113.07;113.07;2129;2010;2232;3025;0;0;2;2
BDubya &   Loko & ***;"  Loko";2;1;50.00;998;499;3;1.5;1;0.5;3;1.5;8;4;17;8.5;5;2.5;5;2.5;37.5;425.27;48.19;4925;2462.5;3699;1849.5;1226;613;43;21.5;111;55.5;1316;658;802;401;514;257;10;5;46;23;65.91;32.96;72.44;36.22;802;401;633;316.5;216;108;1610.96;1058091;529045.5;287.45;143.73;263.06;131.53;144.89;72.44;374.78;187.39;278.08;139.04;42.54;21.27;9.33;4.66;0.15;63;31.5;383.2;191.6;295.9;147.95;174.72;87.36;520.68;260.34;429.39;214.7;266.01;133.01;309.79;154.89;223.48;111.74;162.13;81.07;2402.2;2241.34;2515.54;3077.2;1;0.5;5;2.5
Reeyko & velocity & WONKRU;!;4;3;75.00;2324;581;6;1.5;5;1.25;8;2;14;3.5;24;6;8;2;2;0.5;42.86;391.05;53.34;8434;2108.5;6222;1555.5;2212;553;83;20.75;194;48.5;2249;562.25;1560;390;689;172.25;20;5;55;13.75;108.37;27.09;144.49;36.12;1301;325.25;2136;534;468;117;1526.04;1757955;439488.75;581.78;145.45;468.29;117.07;196.71;49.18;741.03;185.26;446.03;111.51;59.71;14.93;15.47;3.87;0.12;128;32;639.1;159.77;540.3;135.07;264.45;66.11;982.32;245.58;819.67;204.92;427.11;106.78;592.32;148.08;425.99;106.5;228.47;57.12;2201.64;2106.95;2227.39;2691.82;4;1;4;1
Reeyko & velocity & WONKRU;!;1;0;0.00;155;155;0;0;0;0;1;1;2;2;8;8;2;2;1;1;0;384;44.65;1774;1774;1303;1303;471;471;14;14;40;40;189;189;79;79;110;110;1;1;10;10;54.19;54.19;14.62;14.62;54;54;107;107;30;30;1510;414790;414790;130.98;130.98;107.6;107.6;44.23;44.23;133.34;133.34;128.75;128.75;20.73;20.73;4.48;4.48;0.11;39;39;143.6;143.6;135.2;135.2;75.28;75.28;207.54;207.54;202.69;202.69;80.13;80.13;155.02;155.02;83.53;83.53;44.27;44.27;2241;2121;2274;3168;0;0;1;1
! 2 EM & !ollie;! 2 EM;8;5;62.50;3800;475;12;1.5;6;0.75;11;1.38;33;4.12;68;8.5;26;3.25;15;1.88;36.36;443.52;47.69;20567;2570.88;14461;1807.62;6106;763.25;168;21;549;68.62;5548;693.5;3295;411.88;2253;281.62;37;4.62;196;24.5;460;57.5;213.96;26.75;3261;407.62;2535;316.88;466;58.25;1645.76;4370979;546372.38;1106.3;138.29;1156.67;144.58;621.37;77.67;1706.35;213.29;1043.74;130.47;134.25;16.78;67.6;8.45;0.11;597;74.62;1411.3;176.41;1321.1;165.14;754.65;94.33;2129.67;266.21;1838.25;229.78;1046.08;130.76;1345.04;168.13;937.91;117.24;601.39;75.17;2343.13;2249.95;2430.98;3005.43;9;1.12;13;1.62
danger & ! Dcw & Leo (chat off);! Dcw;3;2;66.67;1707;569;5;1.67;1;0.33;8;2.67;14;4.67;33;11;7;2.33;3;1;35.71;361.93;45.47;6937;2312.33;4693;1564.33;2244;748;55;18.33;192;64;1234;411.33;641;213.67;593;197.67;8;2.67;54;18;129.95;43.32;146.95;48.98;937;312.33;869;289.67;156;52;1516.33;1598843;532947.69;535.04;178.35;423.9;141.3;165.68;55.23;635.06;211.69;438.81;146.27;50.76;16.92;17.93;5.98;0.12;155;51.67;596.8;198.93;485.1;161.7;271.89;90.63;852.73;284.24;761.25;253.75;363.37;121.12;563.47;187.82;343.92;114.64;217.23;72.41;2375.41;2236.53;2499.27;2962.36;2;0.67;2;0.67
! S A Y Y Z Z & NZ00. Do Brazil;! S A Y Y Z Z;1;0;0.00;489;489;1;1;2;2;2;2;5;5;8;8;6;6;2;2;20;423;46.82;2754;2754;2007;2007;747;747;25;25;69;69;278;278;38;38;240;240;1;1;22;22;69.01;69.01;34.04;34.04;354;354;506;506;67;67;1543;562834;562834;196.6;196.6;141.2;141.2;71.93;71.93;230.55;230.55;160.92;160.92;18.26;18.26;7.18;7.18;0.12;58;58;217.7;217.7;155.7;155.7;101.45;101.45;308.29;308.29;278.34;278.34;131.39;131.39;199.1;199.1;143.9;143.9;66.73;66.73;2393;2314;2474;3082;2;2;1;1
Reeyko & velocity & WONKRU;! Sultan.;2;2;100.00;1296;648;5;2.5;0;0;5;2.5;8;4;18;9;5;2.5;3;1.5;62.5;506.13;48.88;6055;3027.5;4622;2311;1433;716.5;56;28;124;62;1270;635;733;366.5;537;268.5;8;4;40;20;87.61;43.81;58.09;29.05;1343;671.5;954;477;67;33.5;1679.1;1082233;541116.5;255.03;127.51;260.69;130.35;184.37;92.18;402.62;201.31;274.08;137.04;23.4;11.7;11.19;5.6;0.09;135;67.5;313.8;156.9;362.7;181.35;161.87;80.93;538.22;269.11;430.58;215.29;269.52;134.76;296.43;148.21;259.88;129.94;143.78;71.89;2615.13;2612.71;2640.97;3421.74;3;1.5;3;1.5
! 2 EM & !ollie;!ollie;8;5;62.50;4906;613.25;15;1.88;7;0.88;18;2.25;36;4.5;68;8.5;26;3.25;11;1.38;41.67;460.15;44.81;21942;2742.75;15472;1934;6470;808.75;181;22.62;582;72.75;4145;518.12;1901;237.62;2244;280.5;21;2.62;186;23.25;340.33;42.54;359.05;44.88;2262;282.75;2215;276.88;142;17.75;1553.11;4139553;517444.12;1313.61;164.2;1077.68;134.71;505.28;63.16;1474.58;184.32;1230.23;153.78;191.77;23.97;70.87;8.86;0.09;758;94.75;1358.9;169.86;1392.9;174.11;739.42;92.43;2157.15;269.64;1916.21;239.53;980.37;122.55;1366.94;170.87;980.7;122.59;548.95;68.62;2256.47;2108.54;2395.16;3005.43;6;0.75;9;1.12
