team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
tenkvii & ;;1;0;0.00;455;455;1;1;1;1;2;2;6;6;9;9;5;5;4;4;16.67;432;52.55;2359;2359;1883;1883;476;476;22;22;43;43;608;608;478;478;130;130;6;6;13;13;47.72;47.72;35.01;35.01;199;199;312;312;135;135;1550;498906;498906;146.38;146.38;155.83;155.83;45.83;45.83;178.84;178.84;150.61;150.61;18.58;18.58;5.78;5.78;0.11;51;51;152.8;152.8;167.3;167.3;112.45;112.45;235.59;235.59;205.02;205.02;143.01;143.01;147.4;147.4;109.98;109.98;90.66;90.66;2359;1964;2744;2878;1;1;0;0
trevor & King Ranny & swazz;;5;5;100.00;4409;881.8;10;2;3;0.6;18;3.6;31;6.2;50;10;8;1.6;2;0.4;32.26;451.36;50.87;14770;2954;11338;2267.6;3432;686.4;146;29.2;291;58.2;3186;637.2;2125;425;1061;212.2;26;5.2;93;18.6;260.39;52.08;357.71;71.54;2644;528.8;3368;673.6;473;94.6;1591.9;3081779;616355.81;860.65;172.13;811.65;162.33;362.48;72.5;1000.91;200.18;870.49;174.1;163.38;32.68;38.6;7.72;0.13;289;57.8;1071.4;214.28;896.4;179.28;482.07;96.41;1552.69;310.54;1311.77;262.35;722.98;144.6;972.19;194.44;603.57;120.71;459.02;91.8;2217.37;1887.13;2591.53;2895.59;6;1.2;0;0
pereranextdoor &    DRC    & akunn.;"   DRC   ";2;1;50.00;928;464;2;1;2;1;4;2;10;5;31;15.5;9;4.5;4;2;20;381.16;50.02;4917;2458.5;3544;1772;1373;686.5;42;21;117;58.5;1124;562;634;317;490;245;8;4;36;18;65.8;32.9;100.46;50.23;684;342;728;364;187;93.5;1589.26;1048916;524458;331.03;165.51;269.34;134.67;129.97;64.99;412.27;206.14;292.18;146.09;25.88;12.94;10.48;5.24;0.12;82;41;337.7;168.85;341.8;170.9;213.85;106.93;516.5;258.25;463.46;231.73;266.88;133.44;350.88;175.44;216.77;108.39;162.7;81.35;2982.05;2894.26;3059.84;3490.11;4;2;2;1
Hasin & ! Hunter .;! Hunter .;1;0;0.00;216;216;0;0;0;0;1;1;3;3;9;9;3;3;2;2;0;571;42.26;3020;3020;2418;2418;602;602;29;29;51;51;923;923;614;614;309;309;7;7;26;26;76.04;76.04;26.7;26.7;545;545;484;484;89;89;1679;544989;544989;123.56;123.56;145.74;145.74;77.84;77.84;188.48;188.48;138.19;138.19;20.46;20.46;10.04;10.04;0.09;107;107;159.1;159.1;181.3;181.3;106.14;106.14;240.99;240.99;207.74;207.74;139.39;139.39;146.78;146.78;123.12;123.12;77.23;77.23;2377;1994;2644;3353;1;1;1;1
mernoh & ! Mohammed. & BrowRL;! Mohammed.;3;2;66.67;1985;661.67;6;2;3;1;8;2.67;13;4.33;30;10;9;3;4;1.33;46.15;433.03;51.61;7656;2552;5214;1738;2442;814;60;20;219;73;1890;630;989;329.67;901;300.33;12;4;76;25.33;70.95;23.65;83.25;27.75;894;298;920;306.67;250;83.33;1672.2;1646833;548944.31;402.64;134.21;430.73;143.58;231.76;77.25;557.93;185.98;462.71;154.24;44.48;14.83;34.73;11.58;0.08;414;138;529.1;176.37;514;171.33;235.58;78.53;829.55;276.52;725.62;241.87;339.49;113.16;536.63;178.88;347.53;115.84;180.96;60.32;2358.65;2244.72;2460.94;3040.2;3;1;3;1
Aero & prysm! & olxd1x;! nthn;9;2;22.22;5364;596;13;1.44;3;0.33;29;3.22;36;4;97;10.78;34;3.78;15;1.67;36.11;403.56;48.83;22384;2487.11;16568;1840.89;5816;646.22;209;23.22;494;54.89;4381;486.78;2999;333.22;1382;153.56;34;3.78;123;13.67;389.68;43.3;614.48;68.28;2285;253.89;3985;442.78;348;38.67;1546.64;4628105;514233.88;1507.61;167.51;1216.37;135.15;546.72;60.75;1798.56;199.84;1288.94;143.22;183.22;20.36;49.12;5.46;0.13;382;42.44;1676.2;186.24;1457.2;161.91;819.51;91.06;2451.23;272.36;2328.74;258.75;942;104.67;1769.99;196.67;966.51;107.39;534.24;59.36;2404.21;2226.19;2542.71;3106.9;6;0.67;8;0.89
nithumo & ! pow;! pow;2;1;50.00;1127;563.5;3;1.5;2;1;5;2.5;5;2.5;15;7.5;4;2;3;1.5;60;450.22;48.12;4899;2449.5;3782;1891;1117;558.5;45;22.5;103;51.5;881;440.5;566;283;315;157.5;8;4;28;14;70.56;35.28;69.85;34.92;884;442;733;366.5;245;122.5;1539.44;965652;482826;314.35;157.18;251.11;125.56;115.59;57.79;343.82;171.91;291.3;145.65;45.94;22.97;12.77;6.39;0.09;130;65;316.9;158.45;329.6;164.8;211.4;105.7;469.65;234.82;448.08;224.04;232.98;116.49;332.62;166.31;214.75;107.38;133.69;66.85;2393.54;2106.07;2651.71;2907.56;1;0.5;0;0
Aero & prysm! & olxd1x;!ols;1;0;0.00;466;466;1;1;0;0;3;3;5;5;15;15;5;5;2;2;20;429;45.11;2478;2478;1751;1751;727;727;20;20;65;65;180;180;0;0;180;180;0;0;17;17;40.05;40.05;26.61;26.61;60;60;129;129;0;0;1524;481386;481386;163.42;163.42;127.9;127.9;51.24;51.24;167.85;167.85;150.93;150.93;23.78;23.78;14.19;14.19;0.15;97;97;169.2;169.2;164.4;164.4;87.64;87.64;254.92;254.92;229.84;229.84;112.71;112.71;170.93;170.93;114.44;114.44;57.18;57.18;2465;2615;2310;3420;1;1;2;2
Dizzzzii & #repticJS;#repticJS;1;1;100.00;833;833;2;2;0;0;5;5;5;5;12;12;2;2;1;1;40;429;55.83;2445;2445;1998;1998;447;447;25;25;41;41;544;544;354;354;190;190;4;4;17;17;41.51;41.51;47.47;47.47;282;282;532;532;61;61;1604;539134;539134;152;152;131.34;131.34;72.79;72.79;184.73;184.73;149.66;149.66;21.74;21.74;5.17;5.17;0.11;48;48;158.5;158.5;203.4;203.4;71.96;71.96;284.16;284.16;249.76;249.76;106.37;106.37;194.96;194.96;105.87;105.87;55.29;55.29;2509;2142;2941;2772;1;1;0;0
Aero & prysm! & olxd1x;&;1;1;100.00;485;485;2;2;0;0;2;2;4;4;5;5;1;1;1;1;50;553;50.19;2914;2914;2284;2284;630;630;27;27;59;59;553;553;400;400;153;153;4;4;14;14;55.65;55.65;24.98;24.98;604;604;388;388;0;0;1655;507245;507245;128.43;128.43;108.97;108.97;85.28;85.28;176.75;176.75;127.14;127.14;18.8;18.8;5.37;5.37;0.11;47;47;160.2;160.2;160.7;160.7;71.62;71.62;251.07;251.07;216.05;216.05;106.63;106.63;155.72;155.72;114.51;114.51;52.45;52.45;2593;2281;2950;3233;0;0;1;1
trevor & King Ranny & swazz;& Lefty;1;1;100.00;422;422;2;2;1;1;0;0;4;4;6;6;0;0;0;0;50;546;43.93;1747;1747;1462;1462;285;285;16;16;25;25;293;293;193;193;100;100;3;3;9;9;26.65;26.65;22.86;22.86;349;349;140;140;106;106;1613;317051;317051;88.46;88.46;75.05;75.05;48.83;48.83;98.03;98.03;102.02;102.02;12.28;12.28;3.82;3.82;0.08;48;48;95.5;95.5;103.1;103.1;50.96;50.96;161.37;161.37;122.42;122.42;89.91;89.91;92.48;92.48;71.95;71.95;47.9;47.9;2178;2343;1867;3228;2;2;0;0
