team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
bryan & venuzz. & ;;1;1;100.00;324;324;1;1;0;0;2;2;2;2;7;7;3;3;2;2;50;442;44.34;2611;2611;1828;1828;783;783;21;21;72;72;608;608;328;328;280;280;4;4;25;25;42.32;42.32;32.04;32.04;343;343;200;200;72;72;1543;521493;521493;174.23;174.23;131.09;131.09;67.2;67.2;220.57;220.57;134.23;134.23;17.72;17.72;8.06;8.06;0.14;58;58;190.9;190.9;158.6;158.6;83.34;83.34;289.19;289.19;254.38;254.38;118.14;118.14;176.15;176.15;134.62;134.62;61.75;61.75;2475;2432;2480;3118;1;1;2;2
LJF & Le Seann & SHL-10-;;1;1;100.00;676;676;2;2;0;0;3;3;3;3;9;9;1;1;1;1;66.67;513;48.76;2786;2786;2141;2141;645;645;25;25;58;58;295;295;163;163;132;132;2;2;12;12;59.04;59.04;27.56;27.56;403;403;361;361;36;36;1551;499585;499585;148.07;148.07;133.31;133.31;60.58;60.58;173.89;173.89;141.64;141.64;26.43;26.43;5.31;5.31;0.1;55;55;164.8;164.8;167.8;167.8;78.93;78.93;263.03;263.03;239.05;239.05;102.91;102.91;165.67;165.67;127.81;127.81;48.48;48.48;2524;2615;2398;3233;0;0;1;1
"   3Mvp    & PrAyY";"   3Mvp   ";3;1;33.33;1047;349;2;0.67;2;0.67;3;1;11;3.67;15;5;5;1.67;4;1.33;18.18;402.57;48.71;6405;2135;4476;1492;1929;643;54;18;162;54;1961;653.67;1245;415;716;238.67;15;5;59;19.67;95.72;31.91;87.68;29.23;808;269.33;888;296;278;92.67;1520.25;1387949;462649.66;453.1;151.03;334.33;111.44;170.59;56.86;472.73;157.58;401.33;133.78;83.94;27.98;18.22;6.07;0.15;122;40.67;467.1;155.7;476.4;158.8;249.33;83.11;708.68;236.23;543.65;181.22;414.36;138.12;365.64;121.88;332.78;110.93;259.61;86.54;2091.92;1943.57;2211.92;3093.74;1;0.33;2;0.67
. & Snowyyy & smashy;" Cayyh";1;0;0.00;298;298;1;1;0;0;2;2;1;1;10;10;4;4;3;3;100;390;55.25;1409;1409;1006;1006;403;403;12;12;39;39;294;294;179;179;115;115;2;2;10;10;31.27;31.27;16.5;16.5;243;243;148;148;20;20;1614;295685;295685;116.11;116.11;72.16;72.16;45.33;45.33;94.82;94.82;124.76;124.76;14.01;14.01;4.03;4.03;0.11;38;38;103.9;103.9;147.3;147.3;85.68;85.68;147.91;147.91;167.92;167.92;65.67;65.67;98.9;98.9;95.09;95.09;39.6;39.6;2147;1361;2669;2699;1;1;1;1
lain & Raider & Willymzz;" Firebinx";1;0;0.00;586;586;1;1;1;1;4;4;1;1;12;12;4;4;2;2;100;499;48.07;3009;3009;2360;2360;649;649;28;28;57;57;288;288;100;100;188;188;1;1;16;16;55.8;55.8;35.76;35.76;328;328;456;456;0;0;1509;501997;501997;174.07;174.07;139.75;139.75;49.15;49.15;211.31;211.31;136.01;136.01;15.65;15.65;7.45;7.45;0.13;57;57;170.9;170.9;173.7;173.7;111.69;111.69;251.28;251.28;258.67;258.67;104.3;104.3;202.19;202.19;106.21;106.21;54.57;54.57;2754;2347;3154;3562;1;1;2;2
^BEA$  ^ & easy & brock;! Nassim;3;2;66.67;1934;644.67;6;2;3;1;8;2.67;9;3;29;9.67;10;3.33;3;1;66.67;419.24;49.12;7312;2437.33;5148;1716;2164;721.33;66;22;183;61;1282;427.33;763;254.33;519;173;10;3.33;48;16;90.68;30.23;77.92;25.97;1013;337.67;1398;466;246;82;1558.58;1501957;500652.34;460.02;153.34;394.92;131.64;193.89;64.63;570.88;190.29;438.4;146.13;39.56;13.19;26.73;8.91;0.11;258;86;560.6;186.87;437;145.67;263.97;87.99;784.87;261.62;738.75;246.25;310.09;103.36;549.39;183.13;334.45;111.48;165;55;2530.52;2517.6;2476.3;3086.04;1;0.33;4;1.33
R2mbo. & ! Sajer & nollaj;! Sajer;2;1;50.00;1339;669.5;3;1.5;3;1.5;6;3;11;5.5;18;9;5;2.5;2;1;27.27;481.03;48.07;5385;2692.5;4026;2013;1359;679.5;51;25.5;122;61;1043;521.5;690;345;353;176.5;8;4;32;16;54.72;27.36;78.54;39.27;569;284.5;1135;567.5;121;60.5;1593.46;1042253;521126.5;287.77;143.89;266.95;133.48;143.49;71.74;355.68;177.84;303.7;151.85;38.81;19.41;12.76;6.38;0.12;102;51;337.3;168.65;333.3;166.65;195.58;97.79;502.62;251.31;424.61;212.3;273.59;136.79;304.05;152.02;223.39;111.69;170.76;85.38;2329.55;1998.49;2733.45;3087.79;0;0;2;1
! nthn & Lomon.d1 & dayyzz;! nthn;17;8;47.06;7453;438.41;16;0.94;19;1.12;27;1.59;50;2.94;157;9.24;54;3.18;23;1.35;32;403.49;46.09;39781;2340.06;29163;1715.47;10618;624.59;352;20.71;909;53.47;6267;368.65;3618;212.82;2649;155.82;44;2.59;234;13.76;746.58;43.92;831.79;48.93;4526;266.24;5306;312.12;433;25.47;1543.16;8393098;493711.66;2699.39;158.79;2243.52;131.97;930.53;54.74;3329.35;195.84;2277.78;133.99;266.32;15.67;78.08;4.59;0.14;563;33.12;2951.8;173.64;2653.6;156.09;1472.63;86.63;4400.79;258.87;4017.43;236.32;1855.98;109.18;2976.82;175.11;1936.16;113.89;960.43;56.5;2440.74;2293.34;2565.18;3099.12;11;0.65;15;0.88
slow & $ p e n c e.;$ p e n c e.;1;0;0.00;620;620;1;1;0;0;5;5;3;3;12;12;4;4;0;0;33.33;465;50.9;2338;2338;1631;1631;707;707;18;18;55;55;601;601;431;431;170;170;5;5;16;16;25.27;25.27;35.84;35.84;373;373;197;197;88;88;1598;473822;473822;139.33;139.33;126.52;126.52;53.31;53.31;191.08;191.08;113.42;113.42;14.66;14.66;6.1;6.1;0.13;47;47;161.7;161.7;136.6;136.6;92.89;92.89;226.27;226.27;210.02;210.02;109.14;109.14;150.36;150.36;106.87;106.87;61.93;61.93;2658;2486;2857;3279;0;0;0;0
^BEA$  ^ & easy & brock;(Live) Mochaa;4;1;25.00;1377;344.25;3;0.75;2;0.5;6;1.5;7;1.75;41;10.25;12;3;9;2.25;42.86;389.81;53.31;7117;1779.25;4848;1212;2269;567.25;61;15.25;198;49.5;1431;357.75;737;184.25;694;173.5;8;2;59;14.75;82.29;20.57;175.85;43.96;694;173.5;1390;347.5;101;25.25;1498.8;1496273;374068.25;508.7;127.18;406.4;101.6;148.63;37.16;624.44;156.11;390.14;97.54;49.15;12.29;17.06;4.27;0.11;160;40;537.3;134.32;505.3;126.33;287.77;71.94;775.97;193.99;723.37;180.84;340.38;85.1;568.86;142.22;321.36;80.34;173.51;43.38;2430.55;2428.1;2470.29;3026.57;3;0.75;4;1
