team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
iamu & highest in the room & Lil Uprise;;1;1;100.00;642;642;3;3;0;0;2;2;7;7;7;7;1;1;1;1;42.86;466;53.03;1716;1716;1274;1274;442;442;14;14;40;40;553;553;398;398;155;155;4;4;13;13;28.42;28.42;30.38;30.38;220;220;146;146;3;3;1645;345961;345961;89.9;89.9;101.88;101.88;41.22;41.22;132.08;132.08;84.95;84.95;15.97;15.97;2.9;2.9;0.09;33;33;110.2;110.2;103.3;103.3;51.42;51.42;181.57;181.57;157.13;157.13;75.87;75.87;125.78;125.78;57.17;57.17;50.04;50.04;2359;2010;2631;2975;1;1;1;1
" & Syrus & samtohh";;6;3;50.00;3126;521;6;1;5;0.83;13;2.17;28;4.67;36;6;13;2.17;8;1.33;21.43;420.4;50.19;14596;2432.67;11591;1931.83;3005;500.83;140;23.33;268;44.67;2826;471;1859;309.83;967;161.17;21;3.5;87;14.5;314.16;52.36;222.72;37.12;1490;248.33;2520;420;279;46.5;1521.2;3042587;507097.84;975.81;162.63;819.85;136.64;334.27;55.71;1062.45;177.07;954.74;159.12;112.75;18.79;44.97;7.5;0.09;498;83;1045.2;174.2;983.3;163.88;474.8;79.13;1655.12;275.85;1321.97;220.33;807.97;134.66;970.89;161.82;663.42;110.57;495.64;82.61;2213.11;1992.41;2414.75;3022.43;5;0.83;2;0.33
KamouniaDiesel & imPhantomRaVeN & Haawk_Tuuah.;"  ";1;1;100.00;382;382;1;1;2;2;0;0;3;3;6;6;2;2;1;1;33.33;359;50.07;2170;2170;1337;1337;833;833;18;18;67;67;542;542;172;172;370;370;2;2;32;32;53.27;53.27;26.49;26.49;240;240;467;467;4;4;1604;543277;543277;148.35;148.35;171.78;171.78;45.83;45.83;189.56;189.56;149.59;149.59;26.8;26.8;7.38;7.38;0.1;77;77;189.2;189.2;155;155;84.63;84.63;281.33;281.33;210.21;210.21;155.75;155.75;143.25;143.25;152.44;152.44;70.26;70.26;2481;2463;2470;3017;2;2;1;1
KamouniaDiesel & imPhantomRaVeN & Haawk_Tuuah.;"  ";1;1;100.00;746;746;2;2;2;2;2;2;8;8;6;6;3;3;2;2;25;477;47.98;3185;3185;2266;2266;919;919;27;27;78;78;515;515;287;287;228;228;3;3;20;20;34.89;34.89;62.35;62.35;447;447;400;400;20;20;1643;585606;585606;161.81;161.81;121.22;121.22;103.58;103.58;207.66;207.66;140.19;140.19;38.75;38.75;6.38;6.38;0.11;58;58;210.5;210.5;154.4;154.4;85.52;85.52;301.08;301.08;266.21;266.21;120.39;120.39;198.86;198.86;121.11;121.11;66.63;66.63;2311;2234;2372;3032;1;1;1;1
"       5 & .";"       5";1;0;0.00;896;896;0;0;2;2;8;8;7;7;14;14;4;4;3;3;0;468;42.31;3086;3086;2205;2205;881;881;26;26;77;77;1002;1002;680;680;322;322;8;8;28;28;73.17;73.17;23.34;23.34;506;506;319;319;126;126;1565;605190;605190;185.17;185.17;150.06;150.06;80.72;80.72;222.03;222.03;177.46;177.46;16.47;16.47;6.38;6.38;0.11;56;56;188.9;188.9;215;215;113.87;113.87;302.08;302.08;226.5;226.5;189.46;189.46;166.2;166.2;115.45;115.45;134.31;134.31;1858;1835;1883;2979;2;2;0;0
" Firebinx & Werbz_";" Firebinx";1;0;0.00;385;385;0;0;1;1;2;2;4;4;7;7;2;2;0;0;0;486;45.68;2654;2654;2103;2103;551;551;25;25;50;50;545;545;360;360;185;185;4;4;17;17;35.74;35.74;46;46;567;567;346;346;46;46;1492;485683;485683;163.88;163.88;130.87;130.87;46.51;46.51;203.88;203.88;127.02;127.02;10.36;10.36;8.54;8.54;0.13;64;64;159.4;159.4;168.8;168.8;111.64;111.64;229.62;229.62;176.2;176.2;165.06;165.06;115.47;115.47;135.3;135.3;90.49;90.49;2001;1938;2131;2926;0;0;0;0
FLYING & Rin. & moth ;!;1;1;100.00;858;858;2;2;2;2;4;4;5;5;9;9;3;3;2;2;40;456;52.28;2865;2865;1785;1785;1080;1080;24;24;84;84;1036;1036;596;596;440;440;8;8;33;33;34.91;34.91;41.13;41.13;425;425;639;639;203;203;1598;576620;576620;166.06;166.06;150.65;150.65;73.85;73.85;221.1;221.1;155.42;155.42;14.03;14.03;5.98;5.98;0.09;65;65;160.1;160.1;209;209;102.94;102.94;287.61;287.61;206.35;206.35;184.21;184.21;149.26;149.26;123.49;123.49;117.81;117.81;2066;1953;2196;3324;2;2;3;3
! & torxie!;!;1;0;0.00;348;348;0;0;1;1;2;2;1;1;12;12;4;4;1;1;0;356;39.77;1483;1483;987;987;496;496;11;11;42;42;158;158;87;87;71;71;1;1;6;6;19.85;19.85;8.56;8.56;131;131;116;116;12;12;1398;341327;341327;144.71;144.71;85.82;85.82;32.73;32.73;142.27;142.27;102.19;102.19;18.8;18.8;3.32;3.32;0.17;20;20;130.9;130.9;132;132;78;78;185.26;185.26;198.66;198.66;64.6;64.6;149.58;149.58;87.22;87.22;26.46;26.46;2461;2017;2765;2878;0;0;2;2
! Kill & L1P Deusi;! Kill;1;0;0.00;578;578;1;1;1;1;3;3;3;3;8;8;5;5;3;3;33.33;433;50.08;2355;2355;1874;1874;481;481;24;24;42;42;464;464;323;323;141;141;5;5;12;12;37.27;37.27;34.27;34.27;439;439;537;537;180;180;1592;451362;451362;136.75;136.75;104.54;104.54;68.21;68.21;141.98;141.98;143.31;143.31;24.2;24.2;8.39;8.39;0.14;58;58;153.4;153.4;137;137;85.11;85.11;224.39;224.39;197.79;197.79;111.71;111.71;142.82;142.82;94.47;94.47;72.2;72.2;2272;2244;2369;3321;0;0;1;1
! S & Tbz.;! S;1;0;0.00;458;458;1;1;2;2;1;1;6;6;11;11;4;4;3;3;16.67;408;49.95;3403;3403;2488;2488;915;915;31;31;82;82;1147;1147;707;707;440;440;8;8;39;39;41.64;41.64;68.27;68.27;327;327;645;645;105;105;1554;699895;699895;214.35;214.35;186.88;186.88;76.12;76.12;271.36;271.36;172.74;172.74;33.26;33.26;3.59;3.59;0.08;44;44;184.5;184.5;282.7;282.7;158.81;158.81;318.54;318.54;252.86;252.86;224.49;224.49;173.19;173.19;155.39;155.39;148.78;148.78;2145;1883;2391;3088;1;1;2;2
!! & RL_P2LCY;!!;2;2;100.00;1080;540;5;2.5;2;1;2;1;11;5.5;11;5.5;4;2;1;0.5;45.45;346.86;40.02;2819;1409.5;1977;988.5;842;421;24;12;60;30;722;361;474;237;248;124;5;2.5;21;10.5;37.8;18.9;48.59;24.3;668;334;440;220;25;12.5;1434.2;651648;325824;300.01;150.01;180.46;90.23;67.1;33.55;352.79;176.39;178.91;89.46;15.86;7.93;5.63;2.82;0.14;41;20.5;214;107;299.7;149.85;138.32;69.16;409.24;204.62;312.38;156.19;235.17;117.58;237.02;118.51;159.81;79.9;150.73;75.36;2441.46;2527;2207.22;2644.64;0;0;1;0.5
NoSkillsAustin & $$$$$$$$$$$$$$$$;$$$$$$$$$$$$$$$$;1;0;0.00;173;173;0;0;0;0;2;2;1;1;7;7;3;3;1;1;0;414;52.65;791;791;648;648;143;143;9;9;12;12;278;278;242;242;36;36;3;3;3;3;21.17;21.17;9.02;9.02;136;136;251;251;57;57;1483;178017;178017;67.92;67.92;41.58;41.58;22.05;22.05;65.64;65.64;58.45;58.45;7.47;7.47;0.69;0.69;0.14;5;5;63.1;63.1;69.8;69.8;48.33;48.33;83.22;83.22;83.36;83.36;48.19;48.19;69.12;69.12;34.78;34.78;27.65;27.65;2223;2189;2178;3222;0;0;0;0
Diyos. & &D.;&D.;4;3;75.00;2183;545.75;1;0.25;2;0.5;17;4.25;10;2.5;44;11;10;2.5;2;0.5;10;448.35;51.05;11263;2815.75;8055;2013.75;3208;802;108;27;272;68;1689;422.25;966;241.5;723;180.75;14;3.5;66;16.5;200.08;50.02;146.48;36.62;2049;512.25;2272;568;256;64;1587.6;2242706;560676.5;651.42;162.86;519.34;129.84;323.98;81;809.2;202.3;607.42;151.85;78.13;19.53;37.91;9.48;0.12;332;83;715.9;178.97;731;182.75;375.28;93.82;1119.46;279.86;1044.23;261.06;450.52;112.63;771.58;192.9;457.3;114.32;265.85;66.46;2451.64;2355.97;2499.17;3211.58;6;1.5;2;0.5
slurp miaow & zizisurtatete59 & (broken controller) zobas;(broken controller) zobas;1;0;0.00;513;513;1;1;1;1;1;1;4;4;8;8;5;5;1;1;25;461;43.04;2860;2860;2185;2185;675;675;26;26;62;62;726;726;384;384;342;342;5;5;31;31;61.31;61.31;42.78;42.78;258;258;421;421;119;119;1593;553081;553081;167.45;167.45;140.1;140.1;72.76;72.76;200.29;200.29;153.28;153.28;26.74;26.74;7.23;7.23;0.11;66;66;172.2;172.2;187.1;187.1;123.64;123.64;256.67;256.67;208.74;208.74;171.57;171.57;142.6;142.6;126.48;126.48;111.24;111.24;1922;1616;2318;2779;1;1;0;0
ChYxE & *' Ts;*' Ts;1;0;0.00;470;470;1;1;0;0;2;2;3;3;7;7;3;3;1;1;33.33;319;53.82;1695;1695;1132;1132;563;563;15;15;50;50;352;352;151;151;201;201;2;2;18;18;19.35;19.35;65.55;65.55;214;214;388;388;48;48;1472;462966;462966;166.18;166.18;130.03;130.03;35.16;35.16;210.82;210.82;114.24;114.24;6.31;6.31;9.73;9.73;0.23;42;42;149.4;149.4;164.9;164.9;103.65;103.65;227.73;227.73;218.87;218.87;112.51;112.51;151.24;151.24;110.26;110.26;69.88;69.88;2257;2048;2379;3200;1;1;0;0
- Nova - & Goliathus;- Nova -;2;2;100.00;1460;730;6;3;4;2;4;2;10;5;18;9;4;2;0;0;60;478;50.13;4656;2328;3644;1822;1012;506;48;24;96;48;676;338;368;184;308;154;6;3;26;13;49.27;24.64;74.06;37.03;824;412;878;439;230;115;1585.5;878388;439194;262.85;131.43;218.95;109.47;125.93;62.97;310.93;155.46;265.03;132.51;31.76;15.88;13.29;6.64;0.16;85;42.5;232.7;116.35;320.2;160.1;198.35;99.18;409.39;204.7;393.68;196.84;214.04;107.02;288.5;144.25;194.46;97.23;124.77;62.38;2231;2091.5;2394.5;3303.5;2;1;0;0
hever & WillGamerBR76 & Fabriloko;-Shold&;2;2;100.00;1433;716.5;5;2.5;2;1;6;3;9;4.5;22;11;4;2;2;1;55.56;414.25;49.7;5193;2596.5;4075;2037.5;1118;559;47;23.5;94;47;1365;682.5;1113;556.5;252;126;12;6;23;11.5;43.2;21.6;79.13;39.56;741;370.5;659;329.5;93;46.5;1547.67;1027116;513558;344.09;172.04;261.08;130.54;124.57;62.28;422.84;211.42;279.38;139.69;27.55;13.77;10.58;5.29;0.08;130;65;321;160.5;396.3;198.15;186.05;93.03;543.7;271.85;485.48;242.74;244.27;122.14;378.17;189.08;203.37;101.68;148.21;74.1;2533.77;2053.1;2931.01;3057.65;2;1;1;0.5
. & big1.;.;1;0;0.00;32;32;0;0;0;0;0;0;1;1;5;5;3;3;3;3;0;423;55.36;995;995;738;738;257;257;11;11;23;23;156;156;75;75;81;81;3;3;8;8;8.9;8.9;11.71;11.71;194;194;367;367;230;230;1679;229204;229204;55.52;55.52;62.09;62.09;30.63;30.63;92.46;92.46;51.11;51.11;4.67;4.67;3.9;3.9;0.13;29;29;96.8;96.8;42.9;42.9;37.14;37.14;111.09;111.09;93.8;93.8;54.43;54.43;67.7;67.7;51.61;51.61;28.93;28.93;2725;2744;2673;2961;0;0;0;0
Azhaline & .;.;1;0;0.00;448;448;2;2;0;0;1;1;4;4;8;8;4;4;1;1;50;455;52.02;2377;2377;1882;1882;495;495;26;26;46;46;489;489;348;348;141;141;4;4;13;13;33.41;33.41;39.55;39.55;180;180;741;741;61;61;1647;513686;513686;140.1;140.1;140.62;140.62;70.77;70.77;169.45;169.45;151.19;151.19;30.85;30.85;4;4;0.11;36;36;169.5;169.5;176.6;176.6;141.36;141.36;210.13;210.13;226.92;226.92;124.57;124.57;163.63;163.63;132.77;132.77;55.09;55.09;2640;2283;3014;3156;1;1;3;3
"       5 & .";.;1;0;0.00;683;683;3;3;0;0;1;1;6;6;14;14;4;4;1;1;50;505;50.33;3426;3426;2830;2830;596;596;35;35;55;55;638;638;482;482;156;156;6;6;14;14;43.41;43.41;45.23;45.23;690;690;615;615;117;117;1585;596040;596040;171.01;171.01;157.32;157.32;78.05;78.05;229.23;229.23;153.8;153.8;23.35;23.35;5.24;5.24;0.14;37;37;212.6;212.6;175.1;175.1;100;100;306.39;306.39;238.95;238.95;167.44;167.44;174.59;174.59;126.79;126.79;105.01;105.01;2300;2196;2414;2979;2;2;4;4
BigE & Butter & Dimensiones.;.;1;1;100.00;754;754;2;2;1;1;4;4;4;4;8;8;2;2;1;1;50;464;50.69;2877;2877;2187;2187;690;690;28;28;64;64;795;795;574;574;221;221;8;8;21;21;33.76;33.76;53.62;53.62;544;544;636;636;236;236;1695;575381;575381;130.31;130.31;130.89;130.89;101.57;101.57;166.02;166.02;175.15;175.15;21.61;21.61;7.74;7.74;0.12;67;67;169;169;183.3;183.3;77.32;77.32;285.45;285.45;230.79;230.79;131.97;131.97;160.63;160.63;117.51;117.51;84.63;84.63;2082;1914;2265;2821;2;2;0;0
aLx. & . & i hate ksa;.;1;1;100.00;667;667;3;3;2;2;0;0;4;4;9;9;4;4;2;2;75;435;43.46;2578;2578;1891;1891;687;687;23;23;56;56;659;659;463;463;196;196;6;6;19;19;68.68;68.68;40.93;40.93;396;396;427;427;143;143;1625;574318;574318;154.19;154.19;158.09;158.09;78.64;78.64;182.16;182.16;181.14;181.14;27.62;27.62;5.17;5.17;0.17;30;30;133.6;133.6;225.5;225.5;140.91;140.91;250.01;250.01;253.88;253.88;137.04;137.04;170.18;170.18;137.86;137.86;82.87;82.87;2163;1893;2372;3013;0;0;0;0
Cubby :') & rileyK0 & i may be boosted;.;1;0;0.00;186;186;0;0;0;0;0;0;1;1;12;12;4;4;2;2;0;425;55.5;1685;1685;1284;1284;401;401;17;17;39;39;358;358;259;259;99;99;3;3;9;9;37.74;37.74;17.87;17.87;257;257;420;420;34;34;1559;351419;351419;99.91;99.91;85.74;85.74;58.91;58.91;124.31;124.31;108.77;108.77;11.49;11.49;1.75;1.75;0.1;17;17;125.4;125.4;114.4;114.4;70.84;70.84;173.72;173.72;181.67;181.67;62.89;62.89;140.49;140.49;67.26;67.26;36.82;36.82;2178;1934;2301;2558;0;0;1;1
. & Lawerr;.;2;1;50.00;1087;543.5;1;0.5;3;1.5;5;2.5;11;5.5;13;6.5;5;2.5;1;0.5;9.09;473.98;50.39;6378;3189;5095;2547.5;1283;641.5;62;31;108;54;1016;508;612;306;404;202;8;4;28;14;116.32;58.16;96.48;48.24;984;492;1129;564.5;186;93;1557.22;1156263;578131.5;348.7;174.35;300.7;150.35;138.85;69.42;428.06;214.03;316.86;158.43;43.33;21.67;13.09;6.55;0.1;131;65.5;373.1;186.55;387.8;193.9;241.31;120.65;546.93;273.46;493.06;246.53;295.18;147.59;348.24;174.12;265.53;132.76;174.47;87.24;2148.59;2065.51;2268.59;3061.87;2;1;0;0
Butzi & Husein & Indiv;.;1;0;0.00;186;186;1;1;0;0;0;0;1;1;4;4;3;3;2;2;100;495;48.82;2572;2572;2100;2100;472;472;26;26;41;41;585;585;378;378;207;207;4;4;18;18;60.62;60.62;35.42;35.42;356;356;506;506;28;28;1594;499727;499727;138.05;138.05;130.64;130.64;60.26;60.26;183.68;183.68;124.28;124.28;20.98;20.98;8.8;8.8;0.17;52;52;174.5;174.5;145;145;91.19;91.19;237.75;237.75;183.67;183.67;145.27;145.27;128.59;128.59;114.51;114.51;85.85;85.85;2405;2321;2408;3126;0;0;1;1
Pand4RL & . & Zyra;.;2;0;0.00;630;315;1;0.5;1;0.5;3;1.5;6;3;20;10;9;4.5;3;1.5;16.67;430.18;51.79;4840;2420;3521;1760.5;1319;659.5;41;20.5;125;62.5;1027;513.5;573;286.5;454;227;7;3.5;43;21.5;84.52;42.26;70.39;35.19;553;276.5;643;321.5;153;76.5;1618.89;980606;490303;285.35;142.68;226.2;113.1;153.14;76.57;374.51;187.26;268.03;134.01;22.16;11.08;9.36;4.68;0.16;57;28.5;322.5;161.25;312.5;156.25;195.74;97.87;468.96;234.48;434.34;217.17;230.35;115.18;331.45;165.73;193.74;96.87;139.51;69.75;2485.63;2383.73;2544.78;3168.76;0;0;2;1
ThrillerxPain & grandiorr & Deff;.;1;0;0.00;124;124;0;0;0;0;0;0;0;0;8;8;4;4;2;2;0;369;44.86;1479;1479;1037;1037;442;442;12;12;40;40;250;250;100;100;150;150;1;1;13;13;60.5;60.5;15.29;15.29;148;148;162;162;0;0;1597;370928;370928;105.05;105.05;96.88;96.88;45.6;45.6;108.21;108.21;119.32;119.32;20.01;20.01;3.31;3.31;0.08;41;41;101.5;101.5;132.4;132.4;79.06;79.06;168.48;168.48;163.09;163.09;84.44;84.44;119.84;119.84;78.78;78.78;48.92;48.92;2144;1947;2261;2853;0;0;0;0
Charog & .;.;1;0;0.00;550;550;0;0;2;2;3;3;4;4;10;10;3;3;3;3;0;381;43.72;2670;2670;1536;1536;1134;1134;18;18;100;100;399;399;193;193;206;206;3;3;19;19;80.66;80.66;24.39;24.39;363;363;283;283;112;112;1532;575369;575369;190;190;147.92;147.92;60.67;60.67;248.22;248.22;139.77;139.77;10.59;10.59;9.11;9.11;0.13;69;69;229.8;229.8;165.3;165.3;101.84;101.84;296.75;296.75;261.71;261.71;136.88;136.88;184.5;184.5;159.61;159.61;54.48;54.48;2444;2558;2328;3040;1;1;1;1
. & buggy;.;1;0;0.00;354;354;0;0;1;1;0;0;4;4;5;5;2;2;0;0;0;446;52.61;2557;2557;1831;1831;726;726;25;25;66;66;415;415;195;195;220;220;3;3;19;19;34.91;34.91;38.34;38.34;439;439;436;436;2;2;1539;477209;477209;150.29;150.29;113.09;113.09;63.33;63.33;177.71;177.71;131.52;131.52;17.49;17.49;4.75;4.75;0.15;32;32;154.9;154.9;167.8;167.8;77.34;77.34;249.37;249.37;229.95;229.95;96.76;96.76;175.28;175.28;107.86;107.86;43.57;43.57;2376;2101;2671;2822;2;2;1;1
.. & Big ol junk;..;1;0;0.00;264;264;0;0;1;1;0;0;7;7;7;7;3;3;0;0;0;448;52.08;2668;2668;2070;2070;598;598;27;27;57;57;643;643;446;446;197;197;6;6;18;18;41.97;41.97;47.84;47.84;250;250;658;658;161;161;1575;532063;532063;153.68;153.68;143.13;143.13;63.92;63.92;186.08;186.08;154.15;154.15;20.49;20.49;4.73;4.73;0.14;35;35;163.1;163.1;187.5;187.5;88.06;88.06;272.67;272.67;226.34;226.34;134.38;134.38;156.84;156.84;130.8;130.8;73.09;73.09;2308;2361;2211;2837;1;1;1;1
spix! & AJL & MR. Frog;.P;4;2;50.00;2103;525.75;5;1.25;3;0.75;9;2.25;19;4.75;38;9.5;14;3.5;6;1.5;26.32;406.61;45.5;9079;2269.75;6380;1595;2699;674.75;76;19;232;58;2172;543;1204;301;968;242;14;3.5;88;22;143.82;35.96;116.96;29.24;1478;369.5;1160;290;215;53.75;1549.34;1845846;461461.5;571.06;142.76;554.37;138.59;176.51;44.13;730.03;182.51;506.06;126.51;65.85;16.46;19.58;4.89;0.12;163;40.75;611.1;152.77;615.8;153.95;333.08;83.27;968.86;242.21;826.48;206.62;475.46;118.87;576.91;144.23;454.21;113.55;270.81;67.7;2480.33;2197.97;2703.08;3181.7;4;1;2;0.5
Zelia_RL & .balisto;.balisto;1;0;0.00;424;424;2;2;0;0;1;1;4;4;7;7;4;4;4;4;50;448;46.97;2720;2720;1774;1774;946;946;21;21;87;87;670;670;260;260;410;410;3;3;39;39;69.97;69.97;27.53;27.53;603;603;320;320;74;74;1646;564414;564414;148.81;148.81;128.32;128.32;95.45;95.45;207.74;207.74;159;159;5.85;5.85;5.03;5.03;0.09;55;55;148.3;148.3;198;198;134.63;134.63;237.95;237.95;202.79;202.79;169.8;169.8;143.56;143.56;115.34;115.34;113.69;113.69;2305;2004;2566;2799;0;0;0;0
