team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
Dathokami! & 385ms & Lem-washed;"  hopeless  ";3;1;33.33;986;328.67;2;0.67;2;0.67;5;1.67;5;1.67;24;8;9;3;4;1.33;40;316.06;53.13;4563;1521;3216;1072;1347;449;46;15.33;125;41.67;867;289;514;171.33;353;117.67;9;3;34;11.33;62.4;20.8;123.93;41.31;477;159;1451;483.67;400;133.33;1546.75;1136493;378831;363.35;121.12;332.78;110.93;103.18;34.39;432.59;144.2;327.33;109.11;39.39;13.13;9.87;3.29;0.1;101;33.67;379.9;126.63;372.6;124.2;225.7;75.23;573.61;191.2;509.14;169.71;290.16;96.72;363.29;121.1;274.07;91.36;161.97;53.99;2442.5;2332.54;2570.29;3246.73;0;0;2;0.67
! mxrc & shookz.;! mxrc;2;1;50.00;983;491.5;2;1;3;1.5;4;2;8;4;13;6.5;4;2;3;1.5;25;423.36;46.12;4584;2292;3611;1805.5;973;486.5;42;21;86;43;979;489.5;751;375.5;228;114;9;4.5;21;10.5;90.53;45.26;63.13;31.57;490;245;551;275.5;93;46.5;1511.93;911454;455727;322.25;161.12;220.6;110.3;101.93;50.97;343.09;171.54;279.59;139.8;22.11;11.06;8.34;4.17;0.13;64;32;304.3;152.15;306;153;191.52;95.76;453.27;226.64;423.59;211.79;221.2;110.6;314.95;157.48;209.98;104.99;119.86;59.93;2288.17;2088.21;2502.82;2910.88;1;0.5;2;1
!wrld & Landon;!wrld;1;1;100.00;602;602;2;2;1;1;3;3;3;3;13;13;1;1;0;0;66.67;488;50.18;2675;2675;2081;2081;594;594;24;24;49;49;331;331;100;100;231;231;1;1;14;14;33.87;33.87;40.05;40.05;568;568;254;254;1;1;1572;506741;506741;145.32;145.32;119.8;119.8;79.67;79.67;193.2;193.2;132.12;132.12;19.47;19.47;4.73;4.73;0.08;62;62;194.7;194.7;139;139;80.02;80.02;264.77;264.77;238.31;238.31;106.48;106.48;189.7;189.7;94.43;94.43;60.67;60.67;2445;2379;2518;3567;2;2;1;1
easy & tvaristo & rellec;#1;3;2;66.67;2381;793.67;6;2;4;1.33;8;2.67;19;6.33;27;9;10;3.33;7;2.33;31.58;430.15;45.19;8938;2979.33;6168;2056;2770;923.33;75;25;247;82.33;1724;574.67;1049;349.67;675;225;13;4.33;62;20.67;142.75;47.58;112.92;37.64;1264;421.33;1397;465.67;275;91.67;1516.94;1814897;604965.69;609.14;203.05;452.59;150.86;227.55;75.85;634.13;211.38;572.96;190.99;82.19;27.4;18.52;6.17;0.12;147;49;638.1;212.7;604;201.33;323.51;107.84;965.77;321.92;812.34;270.78;476.96;158.99;605.76;201.92;405.23;135.08;278.31;92.77;2044.39;1949.49;2157.66;2808.23;2;0.67;1;0.33
jp. & Crimsix . & skully;#8 of the Phantom Troupe;1;1;100.00;643;643;2;2;2;2;2;2;3;3;8;8;2;2;2;2;66.67;450;48.47;2375;2375;1746;1746;629;629;21;21;56;56;459;459;305;305;154;154;4;4;14;14;44.17;44.17;38.5;38.5;332;332;289;289;101;101;1564;482869;482869;150.32;150.32;113.85;113.85;67.66;67.66;161.2;161.2;153.11;153.11;17.52;17.52;9.75;9.75;0.12;79;79;160;160;161.6;161.6;82.05;82.05;249.78;249.78;229.69;229.69;102.15;102.15;175.67;175.67;97.6;97.6;58.56;58.56;2339;2326;2363;2994;3;3;4;4
Tesla Speed & #DODATT!;#DODATT!;4;4;100.00;2514;628.5;10;2.5;2;0.5;6;1.5;20;5;36;9;16;4;11;2.75;50;367.53;43.07;8767;2191.75;6036;1509;2731;682.75;70;17.5;243;60.75;2247;561.75;1420;355;827;206.75;16;4;74;18.5;221.92;55.48;130.99;32.75;715;178.75;863;215.75;91;22.75;1480.68;2028184;507046;785.97;196.49;559.14;139.79;175.57;43.89;901.43;225.36;549.59;137.4;69.67;17.42;23.91;5.98;0.09;286;71.5;788.3;197.07;602.5;150.62;320.39;80.1;1200.31;300.08;1031.99;258;488.68;122.17;763.08;190.77;461.17;115.29;296.42;74.11;2389.85;2331.67;2445.09;2826.74;6;1.5;0;0
$ p e n c e. & slow;$ p e n c e.;1;0;0.00;461;461;2;2;0;0;1;1;5;5;12;12;4;4;1;1;40;424;51.36;2856;2856;2163;2163;693;693;26;26;60;60;475;475;236;236;239;239;3;3;21;21;50.04;50.04;59.07;59.07;490;490;458;458;76;76;1491;567479;567479;219.83;219.83;122.4;122.4;70.14;70.14;256.76;256.76;148.54;148.54;7.06;7.06;5.04;5.04;0.14;37;37;219.5;219.5;166.3;166.3;111.91;111.91;300.45;300.45;278.31;278.31;134.05;134.05;206.3;206.3;129.23;129.23;76.83;76.83;2209;2065;2321;3043;0;0;0;0
easy & tvaristo & rellec;&AVC;2;0;0.00;354;177;2;1;0;0;1;0.5;2;1;11;5.5;7;3.5;2;1;100;424.74;50.98;2283;1141.5;1524;762;759;379.5;21;10.5;56;28;439;219.5;239;119.5;200;100;3;1.5;14;7;41.5;20.75;40.36;20.18;593;296.5;626;313;90;45;1531.53;451155;225577.5;171.92;85.96;98.2;49.1;62.24;31.12;207.85;103.93;109.19;54.6;15.32;7.66;6.01;3.01;0.09;66;33;154.9;77.45;157.4;78.7;95.1;47.55;237.25;118.62;205.14;102.57;127.22;63.61;153.73;76.87;102.89;51.44;75.74;37.87;2561.47;2507.63;2596.63;3336;4;2;3;1.5
******* & Luddy;*******;1;0;0.00;220;220;0;0;1;1;0;0;2;2;8;8;4;4;2;2;0;406;43.85;2261;2261;1712;1712;549;549;19;19;47;47;620;620;467;467;153;153;5;5;13;13;67.67;67.67;33.18;33.18;298;298;201;201;32;32;1539;472536;472536;157.32;157.32;115.71;115.71;56.65;56.65;162.22;162.22;158.45;158.45;9;9;6.88;6.88;0.12;56;56;138.1;138.1;175;175;109.06;109.06;220.62;220.62;218.36;218.36;111.32;111.32;145.1;145.1;121.56;121.56;63.02;63.02;2161;1857;2320;3140;2;2;0;0
Dathokami! & 385ms & Lem-washed;*************;1;0;0.00;258;258;0;0;0;0;2;2;2;2;10;10;4;4;3;3;0;404;54.17;1509;1509;1145;1145;364;364;14;14;33;33;170;170;92;92;78;78;1;1;8;8;21.71;21.71;45.49;45.49;202;202;277;277;16;16;1543;343650;343650;105.72;105.72;96.52;96.52;36.64;36.64;136.83;136.83;90.25;90.25;11.79;11.79;1.88;1.88;0.14;13;13;116.5;116.5;112.4;112.4;79.44;79.44;159.44;159.44;173.14;173.14;65.74;65.74;120.52;120.52;87.38;87.38;30.97;30.97;2705;2184;3217;3392;0;0;0;0
Aleksiii & Live on tik tok @HoppyTye & FlaGellanT_;,;1;0;0.00;186;186;0;0;0;0;1;1;4;4;8;8;3;3;2;2;0;384;47.59;1466;1466;1114;1114;352;352;13;13;31;31;295;295;195;195;100;100;2;2;9;9;38.61;38.61;12.81;12.81;172;172;189;189;4;4;1557;342850;342850;104.47;104.47;78.6;78.6;47.96;47.96;112.53;112.53;105.09;105.09;13.4;13.4;3.34;3.34;0.13;26;26;94.5;94.5;126.1;126.1;67.93;67.93;163.1;163.1;146.64;146.64;84.38;84.38;95.62;95.62;84.93;84.93;50.47;50.47;2317;2351;2358;3267;1;1;1;1
Dathokami! & 385ms & Lem-washed;-_KZX_-;1;1;100.00;336;336;1;1;0;0;0;0;3;3;3;3;0;0;0;0;33.33;446;51.18;2346;2346;1628;1628;718;718;18;18;65;65;677;677;337;337;340;340;4;4;31;31;37.4;37.4;40.23;40.23;668;668;216;216;84;84;1686;516469;516469;105.71;105.71;147.47;147.47;64.86;64.86;184.83;184.83;112.41;112.41;20.8;20.8;6;6;0.14;42;42;145.8;145.8;173.6;173.6;72.89;72.89;245.16;245.16;164.07;164.07;153.98;153.98;114.04;114.04;110.56;110.56;93.44;93.44;2673;2311;2972;3423;0;0;2;2
svs & PigeonDesAlpes & Psycoquaxe;.;1;1;100.00;444;444;1;1;2;2;0;0;6;6;4;4;3;3;2;2;16.67;433;49.17;2665;2665;1960;1960;705;705;24;24;56;56;639;639;398;398;241;241;5;5;21;21;34.09;34.09;34.79;34.79;252;252;451;451;113;113;1548;520250;520250;167.59;167.59;131.16;131.16;68.21;68.21;188.38;188.38;153.52;153.52;25.07;25.07;8.75;8.75;0.14;64;64;179.6;179.6;166.3;166.3;73.84;73.84;293.12;293.12;222.01;222.01;144.95;144.95;161.87;161.87;125.83;125.83;79.26;79.26;2283;2324;2233;2967;0;0;1;1
easy & tvaristo & rellec;.;9;4;44.44;4801;533.44;13;1.44;5;0.56;19;2.11;30;3.33;83;9.22;29;3.22;14;1.56;43.33;478.6;47.29;24832;2759.11;17542;1949.11;7290;810;220;24.44;661;73.44;5062;562.44;2665;296.11;2397;266.33;36;4;214;23.78;386.74;42.97;226.05;25.12;4431;492.33;4527;503;995;110.56;1654.35;4728155;525350.56;1196.03;132.89;1100.05;122.23;785.13;87.24;1739.73;193.3;1176.08;130.68;165.37;18.37;69.88;7.76;0.11;649;72.11;1483.6;164.84;1438.7;159.86;748.49;83.17;2332.7;259.19;2043.36;227.04;1037.84;115.32;1501.2;166.8;978.58;108.73;601.42;66.82;2227.06;2045.11;2390.31;2870.45;9;1;4;0.44
svs & PigeonDesAlpes & Psycoquaxe;.;2;2;100.00;1157;578.5;2;1;3;1.5;6;3;7;3.5;12;6;1;0.5;1;0.5;28.57;430.01;45.05;4167;2083.5;3154;1577;1013;506.5;38;19;89;44.5;1002;501;651;325.5;351;175.5;8;4;32;16;100.47;50.24;37.55;18.78;636;318;661;330.5;147;73.5;1566.66;941631;470815.5;273.57;136.79;246.6;123.3;111.67;55.83;320.39;160.2;263.62;131.81;47.84;23.92;7.53;3.77;0.09;87;43.5;290.9;145.45;318.1;159.05;124.44;62.22;507.4;253.7;357.37;178.68;274.47;137.24;257.91;128.96;222.95;111.48;150.98;75.49;1935.78;1879.95;1946.61;2807.64;2;1;1;0.5
