team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
H4NSEN [chat off] & Dathokami! & LydoJr;;1;1;100.00;466;466;1;1;2;2;1;1;4;4;6;6;3;3;2;2;25;463;49.05;2831;2831;2088;2088;743;743;26;26;67;67;710;710;406;406;304;304;5;5;28;28;33.64;33.64;35.65;35.65;475;475;517;517;99;99;1584;531012;531012;162.64;162.64;129.51;129.51;73.68;73.68;197.28;197.28;154.04;154.04;14.51;14.51;8.09;8.09;0.1;85;85;200.4;200.4;143.7;143.7;64.19;64.19;301.64;301.64;226.96;226.96;138.87;138.87;165.21;165.21;117.77;117.77;82.85;82.85;2255;2220;2282;2713;0;0;1;1
" & Akatsuki";;1;1;100.00;518;518;2;2;2;2;0;0;8;8;2;2;2;2;1;1;25;370;46.97;1989;1989;1502;1502;487;487;18;18;43;43;466;466;214;214;252;252;3;3;21;21;40.99;40.99;16.67;16.67;235;235;302;302;85;85;1504;432766;432766;151.51;151.51;110.86;110.86;51.78;51.78;158.93;158.93;126.69;126.69;28.54;28.54;5.3;5.3;0.1;52;52;151;151;144.1;144.1;81.46;81.46;232.7;232.7;156.23;156.23;157.92;157.92;99.36;99.36;106.12;106.12;108.67;108.67;2113;1876;2438;2928;2;2;1;1
jimmerz~ (chat off) & biffy boofy &  t;" t";2;0;0.00;1305;652.5;2;1;1;0.5;7;3.5;8;4;22;11;9;4.5;4;2;25;493.87;54.84;5760;2880;4357;2178.5;1403;701.5;56;28;115;57.5;1524;762;1114;557;410;205;13;6.5;37;18.5;61.29;30.65;76.94;38.47;1009;504.5;1283;641.5;208;104;1581.22;997241;498620.5;294.67;147.34;251.74;125.87;138;69;361.11;180.55;288.64;144.32;34.67;17.33;10.92;5.46;0.14;78;39;311.3;155.65;333.1;166.55;196.38;98.19;488.04;244.02;429.87;214.93;254.54;127.27;323.21;161.6;213.2;106.6;148;74;2359.89;1989.44;2642.89;3085.69;1;0.5;3;1.5
H4NSEN [chat off] & Dathokami! & LydoJr;!;1;1;100.00;420;420;2;2;0;0;2;2;3;3;5;5;1;1;1;1;66.67;385;54.25;1356;1356;887;887;469;469;12;12;41;41;198;198;50;50;148;148;1;1;14;14;8.77;8.77;25.21;25.21;130;130;331;331;54;54;1533;302275;302275;96.64;96.64;91.09;91.09;28.45;28.45;147.72;147.72;65.72;65.72;2.74;2.74;3.58;3.58;0.09;41;41;132.9;132.9;70.7;70.7;49.87;49.87;166.3;166.3;152.73;152.73;63.45;63.45;116.15;116.15;70.82;70.82;29.21;29.21;2734;2737;2819;2888;1;1;1;1
javii_gc & !Estrime. & Alexluu boosted;!Estrime.;2;2;100.00;1402;701;4;2;4;2;6;3;10;5;12;6;1;0.5;1;0.5;40;387.74;40.92;3542;1771;2484;1242;1058;529;29;14.5;94;47;528;264;157;78.5;371;185.5;2;1;33;16.5;78.93;39.47;64.88;32.44;193;96.5;357;178.5;46;23;1564.35;793146;396573;241.62;120.81;225.73;112.87;77.78;38.89;287.83;143.92;238.32;119.16;18.98;9.49;13.01;6.51;0.11;123;61.5;252.8;126.4;255.2;127.6;118.9;59.45;426.25;213.12;348.66;174.33;196.48;98.24;238.28;119.14;202.63;101.32;104.23;52.11;2499.02;2477.47;2593.96;3119.09;1;0.5;0;0
Emre7x_- & 'Azizinho;'Azizinho;1;0;0.00;574;574;2;2;0;0;3;3;3;3;11;11;5;5;3;3;66.67;386;45.23;2563;2563;1836;1836;727;727;21;21;55;55;385;385;200;200;185;185;2;2;16;16;61.7;61.7;39.46;39.46;269;269;283;283;7;7;1530;531712;531712;186.1;186.1;152.84;152.84;46.35;46.35;215.63;215.63;150.86;150.86;18.79;18.79;8.94;8.94;0.11;78;78;200.2;200.2;159.2;159.2;97.83;97.83;287.45;287.45;270.11;270.11;115.17;115.17;193.4;193.4;133.62;133.62;58.26;58.26;2579;2462;2627;3288;1;1;1;1
amomentspeace & mrsad_i & XL__FHD;***** 4t1_;1;1;100.00;1241;1241;6;6;0;0;4;4;10;10;12;12;3;3;1;1;60;440;45.16;2585;2585;1992;1992;593;593;24;24;55;55;461;461;302;302;159;159;4;4;14;14;37.49;37.49;49.61;49.61;604;604;425;425;97;97;1611;555837;555837;156.72;156.72;158.98;158.98;67.34;67.34;191.18;191.18;177.25;177.25;14.61;14.61;4.23;4.23;0.09;49;49;202;202;156.9;156.9;73.7;73.7;309.35;309.35;272.12;272.12;110.92;110.92;212.63;212.63;105.22;105.22;65.2;65.2;2164;1974;2385;3165;1;1;2;2
. & RonaldinhoB & ***** b_8d ;***** b_8d ;3;2;66.67;1062;354;4;1.33;4;1.33;1;0.33;9;3;18;6;7;2.33;4;1.33;44.44;327.91;49.05;5570;1856.67;4081;1360.33;1489;496.33;48;16;126;42;524;174.67;61;20.33;463;154.33;1;0.33;41;13.67;118.79;39.6;123.94;41.31;364;121.33;574;191.33;45;15;1369.88;1219790;406596.66;566.51;188.84;323.22;107.74;75.16;25.05;541.61;180.54;379.37;126.46;43.92;14.64;13.01;4.34;0.13;98;32.67;485.6;161.87;425.5;141.83;210.79;70.26;754.1;251.37;660.29;220.1;304.6;101.53;499.53;166.51;314.05;104.68;151.32;50.44;2467.08;2457.68;2464.3;3041.54;1;0.33;5;1.67
H4NSEN [chat off] & Dathokami! & LydoJr;*******;1;0;0.00;519;519;0;0;2;2;4;4;5;5;11;11;3;3;0;0;0;351;51.01;2650;2650;1817;1817;833;833;23;23;74;74;396;396;189;189;207;207;2;2;18;18;51.45;51.45;42.62;42.62;390;390;509;509;10;10;1605;673082;673082;180.85;180.85;199.69;199.69;62.23;62.23;287.64;287.64;144.09;144.09;11.05;11.05;6.08;6.08;0.18;34;34;236.4;236.4;192.7;192.7;101.48;101.48;341.3;341.3;300.86;300.86;141.91;141.91;213.15;213.15;157.24;157.24;72.39;72.39;3039;2927;3113;3552;1;1;1;1
. & *******;*******;1;1;100.00;1022;1022;4;4;0;0;4;4;6;6;11;11;3;3;3;3;66.67;444;48.58;2965;2965;2076;2076;889;889;25;25;86;86;704;704;468;468;236;236;6;6;23;23;26.17;26.17;50.76;50.76;629;629;484;484;142;142;1593;604081;604081;181.24;181.24;149.03;149.03;80.77;80.77;245.7;245.7;146.08;146.08;19.26;19.26;6.66;6.66;0.11;61;61;229.8;229.8;163.9;163.9;84.81;84.81;326.23;326.23;306.34;306.34;104.7;104.7;233.59;233.59;117.51;117.51;59.93;59.93;2185;2073;2301;3125;2;2;0;0
******* & BaconisagodatRL;*******;1;1;100.00;685;685;3;3;1;1;1;1;6;6;3;3;0;0;0;0;50;488;49.25;2096;2096;1653;1653;443;443;20;20;32;32;579;579;505;505;74;74;6;6;8;8;27.98;27.98;61.79;61.79;372;372;361;361;101;101;1539;381651;381651;121.59;121.59;101.73;101.73;43.87;43.87;136.7;136.7;121.59;121.59;8.9;8.9;5.26;5.26;0.12;44;44;105.6;105.6;150.5;150.5;72.26;72.26;194.93;194.93;157.21;157.21;109.98;109.98;100.73;100.73;98.56;98.56;67.9;67.9;1828;1615;2126;2933;1;1;0;0
clawingatmyskintoseeifimreal & *******;*******;1;0;0.00;513;513;0;0;2;2;2;2;3;3;9;9;4;4;0;0;0;370;41.87;2220;2220;1672;1672;548;548;19;19;41;41;176;176;0;0;176;176;0;0;8;8;53.28;53.28;52;52;169;169;231;231;0;0;1425;465989;465989;203.26;203.26;110.72;110.72;45.66;45.66;196.96;196.96;147.96;147.96;14.72;14.72;6.74;6.74;0.1;68;68;200.7;200.7;144.1;144.1;79.52;79.52;280.13;280.13;289.31;289.31;70.33;70.33;225.32;225.32;98.24;98.24;36.08;36.08;2600;2432;2794;3046;2;2;3;3
******* & Lain.;*******;1;0;0.00;417;417;0;0;1;1;2;2;7;7;9;9;2;2;1;1;0;492;50.52;2542;2542;2062;2062;480;480;25;25;44;44;1078;1078;835;835;243;243;9;9;22;22;34.35;34.35;49.94;49.94;523;523;458;458;75;75;1492;466622;466622;162.95;162.95;111.43;111.43;54.56;54.56;182.81;182.81;121.15;121.15;24.97;24.97;6.12;6.12;0.08;73;73;121.5;121.5;199.4;199.4;109.59;109.59;219.34;219.34;160.49;160.49;168.44;168.44;115.72;115.72;97;97;116.22;116.22;1925;1789;2113;2964;3;3;1;1
