team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
" & KELIANAUSAURUS";;1;1;100.00;361;361;0;0;2;2;1;1;4;4;5;5;1;1;1;1;0;461;54.65;2241;2241;1698;1698;543;543;22;22;48;48;472;472;274;274;198;198;3;3;17;17;40.75;40.75;24.49;24.49;270;270;514;514;30;30;1604;446850;446850;120.42;120.42;121.56;121.56;51.49;51.49;150.57;150.57;119.19;119.19;23.71;23.71;8.3;8.3;0.13;66;66;151.1;151.1;131.4;131.4;66.61;66.61;226.86;226.86;181.28;181.28;112.19;112.19;134.5;134.5;98.61;98.61;60.37;60.37;2609;2218;3014;3291;0;0;1;1
"   Dani___RL    & C0RIACE";"   Dani___RL   ";1;0;0.00;82;82;0;0;0;0;0;0;2;2;3;3;2;2;2;2;0;495;44.23;966;966;763;763;203;203;8;8;18;18;169;169;100;100;69;69;1;1;6;6;12.13;12.13;11.83;11.83;187;187;36;36;0;0;1522;176166;176166;66.06;66.06;37.45;37.45;26.84;26.84;85.66;85.66;39.72;39.72;4.97;4.97;1.37;1.37;0.14;10;10;73.6;73.6;52.9;52.9;28.37;28.37;101.97;101.97;83.42;83.42;46.93;46.93;66.79;66.79;35.7;35.7;27.86;27.86;2436;1903;2838;3049;0;0;1;1
"   norttew & KindaSmuud";"   norttew";1;1;100.00;649;649;3;3;1;1;1;1;6;6;5;5;3;3;1;1;50;427;40.19;2501;2501;1801;1801;700;700;20;20;56;56;533;533;373;373;160;160;4;4;14;14;63.48;63.48;36.69;36.69;198;198;200;200;26;26;1557;530338;530338;171.18;171.18;130.06;130.06;70.7;70.7;166.42;166.42;167.57;167.57;37.96;37.96;6.73;6.73;0.11;63;63;181.3;181.3;177.6;177.6;100.57;100.57;271.37;271.37;255.35;255.35;116.59;116.59;183.38;183.38;111.59;111.59;76.98;76.98;2082;1741;2422;3095;0;0;1;1
Awdaz & tt-askeladd & Maxactimel;" HEM";1;0;0.00;192;192;0;0;0;0;0;0;6;6;7;7;5;5;1;1;0;418;48.71;2444;2444;1552;1552;892;892;18;18;83;83;689;689;299;299;390;390;4;4;38;38;28.99;28.99;24.48;24.48;471;471;256;256;118;118;1594;519453;519453;147.19;147.19;137.65;137.65;62.86;62.86;212.58;212.58;125.88;125.88;9.24;9.24;7.55;7.55;0.16;48;48;164.1;164.1;172.8;172.8;93.02;93.02;254.68;254.68;193.5;193.5;154.19;154.19;125.44;125.44;125.42;125.42;96.84;96.84;2420;2442;2418;2800;0;0;2;2
" t & JXZ.-";" t";1;1;100.00;465;465;1;1;1;1;1;1;6;6;6;6;3;3;2;2;16.67;418;50.36;2745;2745;2033;2033;712;712;26;26;65;65;449;449;240;240;209;209;3;3;19;19;54.36;54.36;55.95;55.95;394;394;568;568;61;61;1573;558245;558245;176.92;176.92;135.59;135.59;73.37;73.37;206.74;206.74;169.69;169.69;9.45;9.45;6.39;6.39;0.14;47;47;212;212;150.2;150.2;101.46;101.46;284.43;284.43;259.76;259.76;126.12;126.12;189.84;189.84;123.87;123.87;72.18;72.18;2599;2536;2624;3648;0;0;1;1
! & zrrn;!;6;5;83.33;2649;441.5;10;1.67;3;0.5;6;1;25;4.17;42;7;15;2.5;7;1.17;40;389.44;46.83;13607;2267.83;9558;1593;4049;674.83;115;19.17;375;62.5;3622;603.67;2374;395.67;1248;208;28;4.67;117;19.5;215.07;35.85;243.22;40.54;1472;245.33;1468;244.67;365;60.83;1568.59;3041183;506863.84;955.65;159.28;725;120.83;419.12;69.85;1136.59;189.43;836.91;139.49;126.29;21.05;55.18;9.2;0.1;565;94.17;1041.6;173.6;943.9;157.32;481.7;80.28;1618.08;269.68;1311.1;218.52;788.67;131.45;970.64;161.77;665.8;110.97;463.33;77.22;2509.3;2364.95;2633.49;3023.46;5;0.83;7;1.17
! & frizbil;!;1;0;0.00;107;107;0;0;0;0;1;1;0;0;4;4;3;3;2;2;0;406;50.09;925;925;763;763;162;162;8;8;14;14;155;155;99;99;56;56;1;1;5;5;18.7;18.7;12.71;12.71;247;247;38;38;0;0;1504;207674;207674;76.38;76.38;50.09;50.09;23.19;23.19;96.84;96.84;44.63;44.63;8.19;8.19;2.45;2.45;0.11;22;22;72.5;72.5;73.1;73.1;55.64;55.64;94.01;94.01;86.27;86.27;63.39;63.39;56.16;56.16;55.81;55.81;37.69;37.69;2772;2316;3217;3363;0;0;1;1
KamouniaDiesel & Lekdo & #1;#1;3;1;33.33;1996;665.33;5;1.67;2;0.67;11;3.67;13;4.33;29;9.67;16;5.33;5;1.67;38.46;424.96;48.58;8119;2706.33;6097;2032.33;2022;674;75;25;184;61.33;1894;631.33;1209;403;685;228.33;16;5.33;63;21;162.17;54.06;100.19;33.4;969;323;1382;460.67;337;112.33;1597.89;1747332;582444;520.89;173.63;446.94;148.98;234.19;78.06;586.64;195.55;538.24;179.41;77.15;25.72;20.08;6.69;0.09;211;70.33;521.6;173.87;616.1;205.37;361.13;120.38;840.88;280.29;730.14;243.38;471.88;157.29;530.35;176.78;370.39;123.46;301.26;100.42;2160.7;1984.27;2359.94;2932.37;7;2.33;2;0.67
daivD & jiggy bruh & Golden;$'Affn;1;0;0.00;357;357;0;0;0;0;3;3;3;3;8;8;4;4;1;1;0;519;40.26;2931;2931;2079;2079;852;852;23;23;68;68;778;778;573;573;205;205;6;6;17;17;39.25;39.25;20.66;20.66;646;646;220;220;26;26;1574;481013;481013;134.4;134.4;121.47;121.47;67.79;67.79;192.06;192.06;121.33;121.33;10.27;10.27;7.63;7.63;0.1;74;74;134.4;134.4;185.9;185.9;115.6;115.6;208.05;208.05;211.79;211.79;111.86;111.86;168.78;168.78;82.65;82.65;72.23;72.23;2043;1526;2353;2353;0;0;3;3
Leijten12 & 'Hdries.;'Hdries.;1;1;100.00;794;794;1;1;2;2;7;7;3;3;10;10;2;2;2;2;33.33;429;48.22;2448;2448;1880;1880;568;568;21;21;43;43;421;421;282;282;139;139;3;3;12;12;32.33;32.33;56.98;56.98;445;445;235;235;20;20;1593;527554;527554;149.08;149.08;134.55;134.55;69.77;69.77;191.63;191.63;147.32;147.32;14.45;14.45;7.41;7.41;0.17;43;43;191.7;191.7;155.3;155.3;66.75;66.75;286.64;286.64;236.37;236.37;117.02;117.02;188.46;188.46;94.75;94.75;70.19;70.19;2562;2348;2809;2864;0;0;0;0
*GO & All_InfInItY;*GO;1;1;100.00;867;867;5;5;1;1;0;0;9;9;5;5;2;2;1;1;55.56;401;49.07;2165;2165;1582;1582;583;583;17;17;47;47;434;434;186;186;248;248;2;2;17;17;39.45;39.45;29.46;29.46;256;256;140;140;26;26;1479;401535;401535;149.21;149.21;118.01;118.01;38.86;38.86;172.17;172.17;127.58;127.58;6.33;6.33;3.11;3.11;0.09;34;34;155.4;155.4;130.1;130.1;64.61;64.61;241.48;241.48;188.74;188.74;117.34;117.34;138.73;138.73;85.75;85.75;81.6;81.6;2206;2046;2391;3222;3;3;2;2
Le Monk & .;.;1;1;100.00;452;452;0;0;3;3;2;2;3;3;8;8;2;2;2;2;0;444;41.28;2456;2456;1709;1709;747;747;18;18;68;68;489;489;275;275;214;214;3;3;19;19;73.55;73.55;27.37;27.37;287;287;107;107;24;24;1570;518415;518415;150;150;143.09;143.09;63.29;63.29;193.98;193.98;139.5;139.5;22.91;22.91;5.43;5.43;0.07;79;79;154.5;154.5;185.3;185.3;98.55;98.55;257.84;257.84;229.04;229.04;127.35;127.35;181.14;181.14;95.68;95.68;79.56;79.56;2316;2475;2119;3102;2;2;1;1
