team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
Jay &  & jls;;1;0;0.00;14;14;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;113;19.22;23;23;0;0;23;23;0;0;2;2;0;0;0;0;0;0;0;0;0;0;9.78;9.78;0;0;0;0;0;0;0;0;1242;24330;24330;15.85;15.85;5.77;5.77;2.15;2.15;10.68;10.68;13.09;13.09;0;0;0.27;0.27;0.09;3;3;10.6;10.6;9;9;6.89;6.89;16.88;16.88;16.44;16.44;7.33;7.33;13.15;13.15;7.25;7.25;3.37;3.37;1647;402;1757;2437;0;0;0;0
No Powers &    choob;"   choob";1;1;100.00;428;428;1;1;1;1;1;1;4;4;6;6;2;2;0;0;25;386;53.05;2364;2364;1805;1805;559;559;24;24;51;51;566;566;354;354;212;212;5;5;20;20;44.94;44.94;48.38;48.38;222;222;626;626;163;163;1455;479568;479568;185.19;185.19;129.18;129.18;38.78;38.78;195.4;195.4;135.44;135.44;22.31;22.31;6.69;6.69;0.16;43;43;153;153;190.6;190.6;80.23;80.23;272.92;272.92;206.14;206.14;147.01;147.01;143.62;143.62;123.88;123.88;85.66;85.66;2100;1962;2134;2848;1;1;2;2
Werbz_ &  Firebinx;" Firebinx";1;0;0.00;386;386;1;1;1;1;2;2;2;2;10;10;5;5;3;3;50;425;40.11;2015;2015;1523;1523;492;492;16;16;42;42;472;472;367;367;105;105;4;4;10;10;57.12;57.12;20.05;20.05;303;303;79;79;35;35;1457;415539;415539;172.87;172.87;101.56;101.56;38.18;38.18;175.11;175.11;115.09;115.09;22.41;22.41;4.21;4.21;0.16;26;26;144.3;144.3;147.5;147.5;97.19;97.19;215.4;215.4;224.54;224.54;88.06;88.06;177.87;177.87;81.57;81.57;53.15;53.15;2503;2281;2676;3052;1;1;1;1
DirtyDan_yy &  GNM;" GNM";1;1;100.00;679;679;2;2;1;1;2;2;6;6;12;12;4;4;3;3;33.33;477;40.46;2706;2706;1856;1856;850;850;21;21;77;77;363;363;100;100;263;263;1;1;24;24;78.38;78.38;38.72;38.72;521;521;243;243;0;0;1603;569298;569298;165.98;165.98;159.77;159.77;66.02;66.02;223.02;223.02;153.01;153.01;15.74;15.74;4.07;4.07;0.14;29;29;162.5;162.5;198.1;198.1;120.45;120.45;271.32;271.32;260.59;260.59;131.18;131.18;190.73;190.73;124.35;124.35;76.7;76.7;1996;1987;2057;2909;2;2;1;1
Zenat &  Liam;" Liam";4;1;25.00;1899;474.75;4;1;3;0.75;8;2;21;5.25;34;8.5;13;3.25;7;1.75;19.05;455.83;48.92;11462;2865.5;8483;2120.75;2979;744.75;104;26;255;63.75;2392;598;1600;400;792;198;19;4.75;75;18.75;222.48;55.62;168.03;42.01;1053;263.25;1513;378.25;188;47;1616.11;2303552;575888;613.09;153.27;627.76;156.94;285.07;71.27;852.92;213.23;588.62;147.15;84.38;21.09;25.79;6.45;0.1;262;65.5;790.7;197.67;696.2;174.05;385.3;96.32;1140.61;285.15;990.97;247.74;534.94;133.74;730.02;182.51;485.31;121.33;310.59;77.65;2498.4;2478.38;2489.91;3170.99;1;0.25;4;1
Grewys rl &  nxt ;" nxt ";1;1;100.00;671;671;2;2;1;1;3;3;3;3;8;8;3;3;3;3;66.67;463;50.48;3315;3315;2699;2699;616;616;33;33;54;54;728;728;502;502;226;226;7;7;20;20;78.15;78.15;45.26;45.26;487;487;607;607;197;197;1581;658381;658381;191.98;191.98;172.83;172.83;81.5;81.5;231.07;231.07;193.21;193.21;22.03;22.03;5.23;5.23;0.11;47;47;232.4;232.4;190.5;190.5;112.58;112.58;333.73;333.73;288.7;288.7;157.61;157.61;229;229;132.05;132.05;85.25;85.25;2055;1915;2197;2774;1;1;0;0
barlos & evelynn. & spross   ;!;4;2;50.00;2346;586.5;8;2;1;0.25;7;1.75;23;5.75;35;8.75;10;2.5;6;1.5;34.78;398.9;46.8;9170;2292.5;6105;1526.25;3065;766.25;74;18.5;263;65.75;2100;525;1110;277.5;990;247.5;12;3;84;21;142.79;35.7;162.37;40.59;1447;361.75;1385;346.25;115;28.75;1564.32;1815728;453932;555.09;138.77;470.73;117.68;222.01;55.5;694.12;173.53;506.48;126.62;47.22;11.81;15.96;3.99;0.15;111;27.75;529.4;132.35;665.3;166.32;331.76;82.94;916.07;229.02;811.88;202.97;435.95;108.99;596.45;149.11;389.13;97.28;262.27;65.57;2126.93;1878.8;2362.58;2793.71;9;2.25;3;0.75
Arth & ! Ghassan;! Ghassan;1;1;100.00;529;529;3;3;1;1;0;0;5;5;3;3;2;2;0;0;60;482;53.06;2084;2084;1710;1710;374;374;23;23;33;33;382;382;289;289;93;93;4;4;9;9;21.71;21.71;38.89;38.89;416;416;593;593;110;110;1538;379838;379838;127.12;127.12;100.81;100.81;37.86;37.86;155.56;155.56;98.55;98.55;11.69;11.69;5.5;5.5;0.1;57;57;130.4;130.4;117.6;117.6;48.15;48.15;217.64;217.64;169.71;169.71;96.09;96.09;115.48;115.48;100.94;100.94;49.38;49.38;2385;2293;2507;3155;2;2;0;0
! Sajer & ZLZALA.;! Sajer;2;0;0.00;1115;557.5;1;0.5;2;1;6;3;10;5;17;8.5;9;4.5;5;2.5;10;486.94;46.95;5704;2852;4333;2166.5;1371;685.5;52;26;124;62;1400;700;835;417.5;565;282.5;10;5;50;25;103.21;51.61;70.57;35.28;525;262.5;904;452;165;82.5;1634.27;1055219;527609.5;267.43;133.71;285.27;142.63;141.64;70.82;322.84;161.42;338.47;169.24;33.04;16.52;8.28;4.14;0.12;67;33.5;289.8;144.9;364.1;182.05;212.87;106.43;481.47;240.74;401.11;200.55;293.24;146.62;282.36;141.18;231.84;115.92;180.15;90.07;2381.02;1922.24;2777.69;3063.19;2;1;1;0.5
barlos & evelynn. & spross   ;! Tadow;2;2;100.00;984;492;4;2;0;0;4;2;8;4;7;3.5;1;0.5;1;0.5;50;456.92;47.55;4229;2114.5;3261;1630.5;968;484;37;18.5;83;41.5;668;334;383;191.5;285;142.5;4;2;25;12.5;76.2;38.1;57.99;28.99;749;374.5;448;224;24;12;1658.27;848838;424419;202.85;101.43;218.8;109.4;120.51;60.25;279.67;139.84;237.82;118.91;24.66;12.33;9.55;4.78;0.12;77;38.5;307.7;153.85;216.1;108.05;85.12;42.56;457.03;228.51;370.22;185.11;171.94;85.97;273.93;136.96;172.05;86.02;96.17;48.08;2088.66;1997.11;2141.17;3087.72;0;0;2;1
