team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
void & ;;1;0;0.00;172;172;0;0;1;1;1;1;2;2;10;10;4;4;2;2;0;407;46.3;1372;1372;952;952;420;420;13;13;39;39;585;585;422;422;163;163;5;5;15;15;27.76;27.76;11.51;11.51;251;251;347;347;77;77;1615;301625;301625;85.7;85.7;76.7;76.7;43.05;43.05;121.34;121.34;77.7;77.7;6.41;6.41;3.49;3.49;0.08;43;43;95.2;95.2;100.5;100.5;68.86;68.86;136.59;136.59;136.18;136.18;69.26;69.26;99.14;99.14;69.81;69.81;36.5;36.5;2436;2252;2531;2664;1;1;0;0
TitanAro & ;;1;0;0.00;276;276;0;0;0;0;2;2;1;1;8;8;3;3;1;1;0;385;41.43;1520;1520;1069;1069;451;451;13;13;40;40;274;274;178;178;96;96;2;2;8;8;23.26;23.26;18.76;18.76;134;134;231;231;21;21;1433;324662;324662;138.49;138.49;72.8;72.8;30.27;30.27;143.15;143.15;87.72;87.72;10.68;10.68;5.64;5.64;0.14;40;40;157;157;83.6;83.6;53.28;53.28;188.28;188.28;180.39;180.39;61.17;61.17;146.85;146.85;67.61;67.61;27.09;27.09;2120;2067;2127;2614;0;0;3;3
lubey & Static & sly (slumping);;2;2;100.00;1609;804.5;6;3;2;1;5;2.5;17;8.5;17;8.5;8;4;4;2;35.29;506.64;50.09;6287;3143.5;4851;2425.5;1436;718;63;31.5;136;68;1683;841.5;1102;551;581;290.5;13;6.5;53;26.5;92.35;46.17;75.27;37.63;846;423;1130;565;120;60;1671.56;1148388;574194;301.43;150.71;278.41;139.21;190.51;95.25;359.02;179.51;348.07;174.04;63.25;31.62;14.23;7.12;0.09;146;73;346.7;173.35;366.5;183.25;174.52;87.26;595.82;297.91;440.53;220.26;329.81;164.9;325.59;162.79;239.77;119.88;204.97;102.49;2340.69;2279.18;2436.82;3082.75;3;1.5;3;1.5
lubey & Static & sly (slumping);"   SpaceKitten (hmu for coaching)";5;4;80.00;3025;605;10;2;3;0.6;12;2.4;27;5.4;47;9.4;11;2.2;6;1.2;37.04;407.13;41.31;10843;2168.6;7048;1409.6;3795;759;77;15.4;324;64.8;2567;513.4;1442;288.4;1125;225;16;3.2;90;18;283.23;56.65;126.88;25.38;888;177.6;725;145;164;32.8;1484.16;2250943;450188.59;798.29;159.66;617.26;123.45;219.82;43.96;870.48;174.1;691.97;138.39;72.93;14.59;29.63;5.93;0.11;271;54.2;693;138.6;854.4;170.88;479.03;95.81;1156.36;231.27;1055.11;211.02;580.27;116.05;816.59;163.32;442.75;88.55;376.03;75.21;2154.5;2063.1;2245.44;2817.21;6;1.2;0;0
LXS & Krespo & Kais3r.;!j y u i;1;0;0.00;247;247;0;0;0;0;2;2;2;2;7;7;3;3;2;2;0;394;47.08;1612;1612;1009;1009;603;603;12;12;56;56;332;332;41;41;291;291;1;1;27;27;22.8;22.8;27.07;27.07;340;340;203;203;70;70;1578;381218;381218;106.76;106.76;104.46;104.46;41.76;41.76;134.92;134.92;99.99;99.99;18.07;18.07;6.03;6.03;0.13;48;48;133.3;133.3;115.2;115.2;75.23;75.23;177.75;177.75;139.73;139.73;113.24;113.24;95.52;95.52;95.45;95.45;62.01;62.01;2089;2059;2094;2852;1;1;2;2
ymarshyy & !ols;!ols;11;6;54.55;5620;510.91;11;1;12;1.09;24;2.18;47;4.27;82;7.45;26;2.36;16;1.45;23.4;485.29;46.86;28965;2633.18;20600;1872.73;8365;760.45;251;22.82;698;63.45;5437;494.27;2803;254.82;2634;239.45;33;3;219;19.91;481.24;43.75;391.45;35.59;3131;284.64;3967;360.64;374;34;1616.19;5357364;487033.09;1390.12;126.37;1497.16;136.11;675.4;61.4;1772.62;161.15;1518.41;138.04;271.6;24.69;80.06;7.28;0.09;842;76.55;1519.6;138.15;1868.9;169.9;1092.82;99.35;2469.82;224.53;2224.82;202.26;1337.84;121.62;1607.52;146.14;1155.37;105.03;799.77;72.71;2262.7;2100.33;2407.11;2988.08;21;1.91;9;0.82
taiiy0. & !s r k;!s r k;1;0;0.00;177;177;0;0;0;0;2;2;0;0;6;6;3;3;1;1;0;423;50.25;655;655;534;534;121;121;7;7;10;10;23;23;0;0;23;23;0;0;2;2;11.35;11.35;15.1;15.1;65;65;165;165;0;0;1599;132001;132001;41.42;41.42;32.82;32.82;16.46;16.46;53.51;53.51;35.14;35.14;2.05;2.05;2.12;2.12;0.08;28;28;51.7;51.7;32.8;32.8;24.52;24.52;66.18;66.18;78.02;78.02;12.68;12.68;65.56;65.56;19.27;19.27;5.87;5.87;2692;2405;2863;3473;1;1;0;0
lubey & Static & sly (slumping);#1;2;1;50.00;1463;731.5;4;2;2;1;5;2.5;12;6;21;10.5;10;5;5;2.5;33.33;478.09;43.23;5901;2950.5;4438;2219;1463;731.5;52;26;130;65;1249;624.5;735;367.5;514;257;8;4;45;22.5;93.35;46.67;54.01;27;731;365.5;777;388.5;63;31.5;1549.92;1132631;566315.5;361.35;180.68;259.35;129.67;183.62;91.81;360.36;180.18;369.93;184.96;74.03;37.01;13.72;6.86;0.14;103;51.5;368.7;184.35;381.7;190.85;208.42;104.21;595.9;297.95;548.15;274.08;256.16;128.08;387.89;193.95;248.35;124.18;168.08;84.04;2068.33;1898.03;2320.24;2737.7;0;0;0;0
$ & ilusioon;$;1;1;100.00;529;529;2;2;1;1;0;0;5;5;5;5;2;2;1;1;40;533;54.34;3407;3407;2609;2609;798;798;32;32;64;64;1686;1686;1174;1174;512;512;14;14;33;33;37.23;37.23;54.92;54.92;511;511;643;643;229;229;1670;599639;599639;141.74;141.74;145.86;145.86;93.73;93.73;171.66;171.66;180.83;180.83;28.84;28.84;6.35;6.35;0.13;50;50;122.9;122.9;236.3;236.3;145.36;145.36;235.96;235.96;171.88;171.88;209.44;209.44;123.71;123.71;113.81;113.81;143.8;143.8;2063;1608;2551;2962;0;0;0;0
F0xc. & Hydur & Luko;$nYxx;1;1;100.00;548;548;1;1;3;3;1;1;6;6;5;5;2;2;1;1;16.67;373;53.97;2427;2427;1792;1792;635;635;22;22;57;57;699;699;421;421;278;278;6;6;24;24;34.48;34.48;67.73;67.73;286;286;430;430;181;181;1580;523054;523054;156.88;156.88;142.8;142.8;57.03;57.03;186.31;186.31;150.75;150.75;19.66;19.66;6.5;6.5;0.1;62;62;164.1;164.1;179.9;179.9;103.92;103.92;252.8;252.8;197.02;197.02;159.7;159.7;146.96;146.96;107.85;107.85;101.91;101.91;2353;2513;2134;2866;2;2;1;1
