team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
rYu '89er #1337 &   ;"  ";1;0;0.00;297;297;0;0;1;1;2;2;1;1;6;6;2;2;2;2;0;435;46.47;2365;2365;1850;1850;515;515;21;21;46;46;393;393;187;187;206;206;2;2;18;18;65.76;65.76;33.03;33.03;427;427;267;267;12;12;1587;503705;503705;134.51;134.51;139.33;139.33;59.96;59.96;173.29;173.29;142.9;142.9;17.61;17.61;6.19;6.19;0.17;37;37;168.6;168.6;161.1;161.1;101.09;101.09;232.71;232.71;210.21;210.21;123.59;123.59;149.11;149.11;118.55;118.55;66.14;66.14;1957;1554;2270;2566;0;0;0;0
rizun & Lewd block & Fanis0;! Nassim;2;2;100.00;1795;897.5;7;3.5;2;1;7;3.5;13;6.5;17;8.5;6;3;3;1.5;53.85;456.33;44.17;5645;2822.5;4304;2152;1341;670.5;49;24.5;120;60;1212;606;730;365;482;241;8;4;45;22.5;118.12;59.06;71.86;35.93;775;387.5;539;269.5;46;23;1593.44;1101366;550683;323.69;161.85;286.73;143.37;149.2;74.6;366.32;183.16;341.37;170.68;51.92;25.96;13.39;6.7;0.11;122;61;403.2;201.6;317.9;158.95;180.3;90.15;579.32;289.66;426.96;213.48;332.66;166.33;310.78;155.39;223.63;111.82;225.2;112.6;2087.4;2042.13;2213.87;2965.6;1;0.5;3;1.5
Mega & nibra & trbo;%el.;1;1;100.00;579;579;3;3;2;2;0;0;4;4;1;1;0;0;0;0;75;424;54.9;1629;1629;1300;1300;329;329;20;20;32;32;379;379;283;283;96;96;4;4;10;10;14.76;14.76;44.91;44.91;144;144;718;718;130;130;1628;315677;315677;90.93;90.93;81.45;81.45;45.58;45.58;115.77;115.77;85.98;85.98;16.21;16.21;3.09;3.09;0.13;24;24;105.6;105.6;98.8;98.8;40.92;40.92;177.04;177.04;136.19;136.19;81.78;81.78;95.87;95.87;79.79;79.79;42.31;42.31;2597;2608;2663;2879;0;0;1;1
Mega & nibra & trbo;&AxDEN;4;2;50.00;1285;321.25;2;0.5;5;1.25;3;0.75;8;2;20;5;7;1.75;1;0.25;25;478.46;47.47;7702;1925.5;5744;1436;1958;489.5;71;17.75;153;38.25;1256;314;734;183.5;522;130.5;10;2.5;39;9.75;167.17;41.79;104.94;26.24;1403;350.75;1289;322.25;271;67.75;1572.89;1451029;362757.25;435.98;109;368.55;92.14;189.53;47.38;484.81;121.2;434.52;108.63;74.74;18.68;16.56;4.14;0.17;108;27;475.8;118.95;537.7;134.43;288.37;72.09;705.7;176.43;656.13;164.03;337.94;84.49;484.23;121.06;320.55;80.14;189.31;47.33;2287.29;2290.09;2500.02;2854.16;3;0.75;4;1
'AR1SE' & N11_Ryusei;'AR1SE';1;0;0.00;154;154;0;0;0;0;0;0;1;1;6;6;4;4;3;3;0;413;54.15;2002;2002;1559;1559;443;443;19;19;39;39;444;444;349;349;95;95;4;4;8;8;33.92;33.92;38.63;38.63;280;280;363;363;50;50;1538;394759;394759;125.13;125.13;107.58;107.58;43.91;43.91;170.81;170.81;92.85;92.85;12.95;12.95;4.03;4.03;0.08;50;50;108.1;108.1;148;148;97.22;97.22;179.39;179.39;191.06;191.06;85.55;85.55;133.24;133.24;92.65;92.65;50.73;50.73;2389;2055;2750;3093;1;1;0;0
my teammates name is a lie & (BOOSTING THIS ACC FOR FRIEND);(BOOSTING THIS ACC FOR FRIEND);1;0;0.00;90;90;0;0;0;0;1;1;0;0;6;6;4;4;3;3;0;478;47.95;907;907;672;672;235;235;7;7;21;21;54;54;0;0;54;54;0;0;5;5;20.03;20.03;11.11;11.11;79;79;30;30;1;1;1525;175229;175229;65.08;65.08;49.59;49.59;16.88;16.88;73.93;73.93;55.44;55.44;2.19;2.19;2.33;2.33;0.11;21;21;62;62;56.5;56.5;44.47;44.47;87.09;87.09;93.05;93.05;38.5;38.5;63.01;63.01;50.35;50.35;18.19;18.19;2572;2176;2825;3125;0;0;0;0
Trevor . & *******;*******;1;1;100.00;785;785;1;1;1;1;6;6;3;3;10;10;0;0;0;0;33.33;354;46.57;1963;1963;1389;1389;574;574;18;18;44;44;200;200;68;68;132;132;2;2;12;12;52.76;52.76;47.78;47.78;111;111;432;432;143;143;1463;448226;448226;157.73;157.73;121.39;121.39;41.97;41.97;165.86;165.86;145.86;145.86;9.36;9.36;5.14;5.14;0.1;53;53;180.6;180.6;138.8;138.8;59.35;59.35;261.73;261.73;239.54;239.54;81.54;81.54;184.54;184.54;98.51;98.51;38.04;38.04;2193;1829;2526;2721;3;3;2;2
Mega & nibra & trbo;*******;6;2;33.33;2483;413.83;6;1;6;1;7;1.17;20;3.33;43;7.17;24;4;9;1.5;30;385.69;50.41;13380;2230;9544;1590.67;3836;639.33;116;19.33;333;55.5;2755;459.17;1488;248;1267;211.17;18;3;106;17.67;182.33;30.39;227.77;37.96;1554;259;1986;331;320;53.33;1544.67;2898915;483152.5;966.97;161.16;731.02;121.84;350.58;58.43;1148.12;191.35;791.93;131.99;108.52;18.09;25.07;4.18;0.08;308;51.33;948;158;1005.8;167.63;571.85;95.31;1476.71;246.12;1329.32;221.55;719.24;119.87;955.15;159.19;661.84;110.31;431.6;71.93;2516.66;2296.95;2702.2;3100.4;6;1;9;1.5
Mega & nibra & trbo;*******;2;0;0.00;967;483.5;3;1.5;0;0;4;2;9;4.5;18;9;8;4;6;3;33.33;399.2;54.91;3823;1911.5;2894;1447;929;464.5;38;19;84;42;632;316;301;150.5;331;165.5;5;2.5;29;14.5;81.46;40.73;54.32;27.16;321;160.5;936;468;197;98.5;1548.59;828528;414264;265.91;132.96;222.03;111.01;92.38;46.19;305.26;152.63;256.37;128.18;18.7;9.35;12.59;6.3;0.11;123;61.5;282.2;141.1;272.9;136.45;150.93;75.46;429.39;214.7;391.3;195.65;189.02;94.51;280.59;140.29;200.81;100.4;98.92;49.46;2352.79;2089.91;2530.93;3052.95;2;1;1;0.5
******* & Riztuh;*******;2;1;50.00;823;411.5;2;1;1;0.5;4;2;10;5;14;7;5;2.5;2;1;20;433.41;52.88;5136;2568;3756;1878;1380;690;47;23.5;128;64;1325;662.5;787;393.5;538;269;9;4.5;49;24.5;85.02;42.51;79.1;39.55;517;258.5;1029;514.5;125;62.5;1614.99;1056142;528071;276.29;138.14;327.84;163.92;94.88;47.44;418.19;209.1;246.3;123.15;34.52;17.26;12.86;6.43;0.11;113;56.5;303.8;151.9;381.5;190.75;205.22;102.61;493.79;246.9;403.34;201.67;295.67;147.83;298.42;149.21;217.44;108.72;183.15;91.57;2527.31;2406.36;2599.66;3067.8;1;0.5;2;1
