team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
ant8pizza & Finkxzd & Mint;" ";1;0;0.00;238;238;0;0;0;0;2;2;1;1;8;8;4;4;1;1;0;503;59.34;1934;1934;1349;1349;585;585;17;17;47;47;503;503;383;383;120;120;5;5;13;13;28.87;28.87;21.99;21.99;557;557;387;387;135;135;1633;327787;327787;82.48;82.48;83.13;83.13;50.32;50.32;121.01;121.01;84.87;84.87;10.06;10.06;4.78;4.78;0.12;39;39;105.1;105.1;94.8;94.8;59.58;59.58;156.35;156.35;149.31;149.31;66.62;66.62;101.08;101.08;75.6;75.6;39.26;39.26;2789;2176;3087;3645;2;2;0;0
mrtn & swazz & kexii;"   AloY Of Rah   ";4;2;50.00;1885;471.25;5;1.25;3;0.75;11;2.75;11;2.75;33;8.25;11;2.75;3;0.75;45.45;461.58;47.44;8237;2059.25;5889;1472.25;2348;587;73;18.25;206;51.5;1705;426.25;1095;273.75;610;152.5;13;3.25;55;13.75;125.72;31.43;110.48;27.62;2016;504;1491;372.75;224;56;1596.59;1538951;384737.75;468.02;117;354.31;88.58;242.26;60.57;626.68;156.67;399.77;99.94;38.15;9.54;18.64;4.66;0.13;144;36;541.3;135.32;450.4;112.6;245.7;61.43;818.91;204.73;752.18;188.04;312.42;78.1;569.24;142.31;327.04;81.76;168.32;42.08;2605.95;2458.72;2743.24;3111.29;1;0.25;2;0.5
mrtn & swazz & kexii;"   JWeyts   ";19;8;42.11;11129;585.74;28;1.47;15;0.79;50;2.63;88;4.63;185;9.74;68;3.58;38;2;31.82;453.36;51.27;49398;2599.89;37012;1948;12386;651.89;451;23.74;1134;59.68;11411;600.58;7312;384.84;4099;215.74;89;4.68;370;19.47;640.7;33.72;804.62;42.35;8024;422.32;8320;437.89;1685;88.68;1611.17;9591249;504802.59;2734.42;143.92;2346.27;123.49;1385.89;72.94;3305.11;173.95;2749.97;144.74;411.5;21.66;89.17;4.69;0.12;766;40.32;3062.9;161.21;3059.2;161.01;1669.82;87.89;4796.77;252.46;4041.79;212.73;2424.79;127.62;2885.75;151.88;2148.85;113.1;1431.99;75.37;2330.13;2155.35;2485.62;3142.02;24;1.26;20;1.05
mrtn & swazz & kexii;! Elijae;1;0;0.00;159;159;0;0;0;0;1;1;1;1;7;7;4;4;2;2;0;459;52.87;1786;1786;1243;1243;543;543;15;15;34;34;405;405;200;200;205;205;2;2;11;11;22.5;22.5;29.07;29.07;276;276;263;263;0;0;1521;312339;312339;101.01;101.01;74.73;74.73;45.06;45.06;112.19;112.19;98.18;98.18;10.43;10.43;5.8;5.8;0.14;40;40;91.4;91.4;118.8;118.8;70.97;70.97;149.82;149.82;142.06;142.06;78.74;78.74;99.83;99.83;80.24;80.24;40.73;40.73;2267;1683;2891;2936;1;1;1;1
mrtn & swazz & kexii;!sk.;3;2;66.67;1345;448.33;5;1.67;2;0.67;2;0.67;15;5;23;7.67;8;2.67;4;1.33;33.33;417.01;53.64;7429;2476.33;4825;1608.33;2604;868;65;21.67;236;78.67;1946;648.67;829;276.33;1117;372.33;11;3.67;101;33.67;109.5;36.5;131.02;43.67;723;241;1705;568.33;313;104.33;1621.68;1559488;519829.34;410.23;136.74;397.95;132.65;223.62;74.54;525.59;175.2;440.92;146.97;65.28;21.76;19.66;6.55;0.1;192;64;494.4;164.8;490.9;163.63;277.86;92.62;753.93;251.31;581.66;193.89;450.12;150.04;419.51;139.84;334.49;111.5;277.8;92.6;2448.1;2354.13;2547.89;3134.75;2;0.67;3;1
mrtn & swazz & kexii;-breyyn;10;5;50.00;5115;511.5;14;1.4;9;0.9;18;1.8;51;5.1;98;9.8;31;3.1;15;1.5;27.45;403.3;52.99;24147;2414.7;17100;1710;7047;704.7;223;22.3;633;63.3;6499;649.9;3622;362.2;2877;287.7;45;4.5;250;25;243.3;24.33;448.15;44.82;3134;313.4;5418;541.8;936;93.6;1605.02;5186203;518620.31;1470.59;147.06;1404.21;140.42;618.29;61.83;1948.45;194.85;1354.18;135.42;190.48;19.05;52.11;5.21;0.12;427;42.7;1702.4;170.24;1628.8;162.88;865.93;86.59;2627.17;262.72;2173.29;217.33;1319.81;131.98;1592.48;159.25;1119.88;111.99;780.73;78.07;2276.62;2084.57;2451.42;2988.79;12;1.2;10;1
mrtn & swazz & kexii;-gabi;3;2;66.67;2103;701;6;2;1;0.33;11;3.67;20;6.67;32;10.67;7;2.33;3;1;30;450.37;47.88;7720;2573.33;5727;1909;1993;664.33;74;24.67;178;59.33;1617;539;1061;353.67;556;185.33;12;4;47;15.67;96.66;32.22;97.73;32.58;1152;384;1705;568.33;136;45.33;1536.18;1521238;507079.34;493.68;164.56;362.76;120.92;205.05;68.35;567.31;189.1;440.42;146.81;53.75;17.92;17.88;5.96;0.12;149;49.67;522.1;174.03;532.3;177.43;216.85;72.28;844.65;281.55;696.13;232.04;365.36;121.79;514.85;171.62;308.39;102.8;238.26;79.42;2396.44;2074.84;2685.81;3132.98;0;0;4;1.33
mrtn & swazz & kexii;-yova;2;2;100.00;1068;534;0;0;2;1;10;5;8;4;12;6;2;1;0;0;0;566.5;49.13;6618;3309;5158;2579;1460;730;62;31;120;60;1418;709;828;414;590;295;12;6;40;20;75.45;37.72;77.24;38.62;1761;880.5;1058;529;378;189;1624.5;1057469;528734.5;270.25;135.12;232.14;116.07;178.9;89.45;327.46;163.73;299.86;149.93;53.98;26.99;12.81;6.4;0.09;145;72.5;303.5;151.75;366.5;183.25;168.99;84.49;512.31;256.15;405.64;202.82;275.66;137.83;291.35;145.68;219.61;109.81;170.35;85.18;2160;1751;2573.5;2834.5;0;0;4;2
. & ApparentlyTiox;.;3;2;66.67;1852;617.33;2;0.67;5;1.67;11;3.67;10;3.33;31;10.33;11;3.67;7;2.33;20;429.62;41.7;7890;2630;5339;1779.67;2551;850.33;65;21.67;230;76.67;1848;616;1100;366.67;748;249.33;14;4.67;70;23.33;167.59;55.86;96.81;32.27;1395;465;1130;376.67;353;117.67;1634.62;1564515;521505;434.34;144.78;376.25;125.42;248.19;82.73;546.43;182.14;448.94;149.65;63.41;21.14;15.25;5.08;0.1;155;51.67;475.9;158.63;540.5;180.17;264.84;88.28;793.94;264.65;692.13;230.71;366.65;122.22;515.16;171.72;340.81;113.6;202.81;67.6;2168.45;2070.49;2246.47;2897.8;4;1.33;5;1.67
mrtn & swazz & kexii;.;4;1;25.00;1629;407.25;3;0.75;3;0.75;5;1.25;17;4.25;22;5.5;8;2;2;0.5;17.65;490.35;51.55;9078;2269.5;6689;1672.25;2389;597.25;86;21.5;207;51.75;3158;789.5;2198;549.5;960;240;26;6.5;84;21;167.93;41.98;156.43;39.11;1677;419.25;1970;492.5;453;113.25;1665.45;1788346;447086.5;425.2;106.3;438.29;109.57;275.63;68.91;586.95;146.74;464.91;116.23;87.26;21.82;26.67;6.67;0.11;239;59.75;491.4;122.85;611.3;152.82;348.9;87.22;790.2;197.55;631.84;157.96;507.27;126.82;446.25;111.56;359.32;89.83;333.57;83.39;2362.03;2241.37;2415.74;3141.11;9;2.25;3;0.75
