team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
Zamberg & Coconut & Speedy;;1;1;100.00;560;560;1;1;1;1;3;3;3;3;16;16;3;3;1;1;33.33;336;43.58;2122;2122;1357;1357;765;765;16;16;67;67;275;275;119;119;156;156;2;2;14;14;51.88;51.88;28.8;28.8;203;203;263;263;90;90;1469;496190;496190;192.45;192.45;131.13;131.13;45.5;45.5;210.14;210.14;140.37;140.37;18.58;18.58;6.24;6.24;0.12;50;50;182.3;182.3;176.4;176.4;81.76;81.76;287.32;287.32;264.52;264.52;104.56;104.56;198.56;198.56;114.1;114.1;56.42;56.42;2381;2220;2580;2873;0;0;1;1
Zamberg & Coconut & Speedy;"   JWeyts   ";2;1;50.00;898;449;1;0.5;4;2;3;1.5;6;3;14;7;6;3;3;1.5;16.67;439.67;48.07;4174;2087;2991;1495.5;1183;591.5;36;18;101;50.5;1126;563;827;413.5;299;149.5;9;4.5;28;14;49.83;24.92;66.53;33.26;548;274;649;324.5;80;40;1621.95;792805;396402.5;220.06;110.03;207.08;103.54;106.05;53.03;260.55;130.27;241.65;120.82;30.99;15.5;7.37;3.68;0.12;63;31.5;261.7;130.85;239;119.5;160.53;80.26;372.66;186.33;350.77;175.38;182.42;91.21;273.65;136.83;153.55;76.78;105.99;52.99;2312.53;2059.4;2513.23;3198.17;1;0.5;1;0.5
Zamberg & Coconut & Speedy;" Cayyh";3;2;66.67;1418;472.67;5;1.67;2;0.67;3;1;14;4.67;19;6.33;5;1.67;4;1.33;35.71;478.93;52.02;8141;2713.67;6192;2064;1949;649.67;77;25.67;175;58.33;1676;558.67;1182;394;494;164.67;15;5;46;15.33;106.86;35.62;148.55;49.52;1116;372;1583;527.67;346;115.33;1588.72;1523955;507985;418.38;139.46;396.07;132.02;199.38;66.46;540.54;180.18;404.5;134.83;68.79;22.93;25.6;8.53;0.1;250;83.33;488.8;162.93;488.7;162.9;270.02;90.01;743.81;247.94;682.22;227.41;331.6;110.53;481.2;160.4;341.59;113.86;191.04;63.68;2091.35;2007.45;2162.74;2803.51;3;1;4;1.33
Zamberg & Coconut & Speedy;!;2;1;50.00;302;151;1;0.5;1;0.5;0;0;5;2.5;4;2;2;1;2;1;20;551.46;50.77;2168;1084;1641;820.5;527;263.5;19;9.5;49;24.5;563;281.5;337;168.5;226;113;4;2;20;10;26.53;13.26;18.12;9.06;467;233.5;279;139.5;73;36.5;1700.04;378640;189320;91.19;45.6;78.65;39.33;71.25;35.62;131.91;65.96;95.77;47.89;13.41;6.7;5.02;2.51;0.11;48;24;121.8;60.9;105.1;52.55;65.82;32.91;175.26;87.63;136.72;68.36;104.37;52.18;91.59;45.79;78.26;39.13;71.23;35.61;2037.83;1870.66;1919.15;2996.63;3;1.5;1;0.5
Zamberg & Coconut & Speedy;!;4;2;50.00;1986;496.5;6;1.5;3;0.75;7;1.75;15;3.75;36;9;13;3.25;8;2;40;376.48;44.4;7813;1953.25;5487;1371.75;2326;581.5;64;16;213;53.25;1070;267.5;412;103;658;164.5;6;1.5;59;14.75;237.92;59.48;60.12;15.03;1102;275.5;989;247.25;195;48.75;1512.97;1801236;450309;615.86;153.96;476.08;119.02;205.95;51.49;739.69;184.92;503.75;125.94;54.45;13.61;26.1;6.52;0.12;222;55.5;705.6;176.4;525.9;131.48;261.11;65.28;1036.8;259.2;904.66;226.17;393.25;98.31;658.13;164.53;406.66;101.67;233.1;58.28;2351.37;2235.74;2421.61;3024.44;0;0;5;1.25
Zamberg & Coconut & Speedy;!;2;1;50.00;293;146.5;1;0.5;0;0;1;0.5;2;1;13;6.5;5;2.5;4;2;50;394.74;51.93;2438;1219;1628;814;810;405;20;10;58;29;540;270;300;150;240;120;3;1.5;14;7;33.71;16.85;21.94;10.97;294;147;246;123;3;1.5;1560.57;521684;260842;197.33;98.67;119.31;59.65;81.29;40.65;237.33;118.66;137.34;68.67;23.26;11.63;6.76;3.38;0.2;37;18.5;220.6;110.3;159.8;79.9;106.35;53.17;291.58;145.79;280.42;140.21;117.51;58.76;218.08;109.04;117.7;58.85;62.16;31.08;2263.99;2121.22;2401.28;2802.69;2;1;2;1
! Khan. & Slothy.;! Khan.;2;0;0.00;860;430;2;1;2;1;4;2;6;3;14;7;7;3.5;6;3;33.33;394;46.63;4251;2125.5;3177;1588.5;1074;537;35;17.5;98;49;732;366;400;200;332;166;4;2;30;15;73.69;36.85;66.21;33.1;222;111;262;131;0;0;1395.01;921651;460825.5;407.53;203.76;226.1;113.05;86.17;43.08;380.21;190.11;310.17;155.08;29.43;14.72;10.94;5.47;0.09;126;63;371.2;185.6;327.5;163.75;151.74;75.87;568.06;284.03;457.31;228.65;262.49;131.24;312.62;156.31;283.16;141.58;124.03;62.01;2260.59;2457.05;1996.98;2871.5;0;0;4;2
Zamberg & Coconut & Speedy;! Sultan.;2;0;0.00;627;313.5;1;0.5;2;1;2;1;4;2;20;10;9;4.5;6;3;25;438.02;49.29;5463;2731.5;4231;2115.5;1232;616;58;29;114;57;930;465;712;356;218;109;10;5;22;11;75.2;37.6;65.57;32.78;1293;646.5;1543;771.5;287;143.5;1599.19;1022715;511357.5;306.81;153.4;261.31;130.65;162.05;81.02;401.98;200.99;313.37;156.68;14.82;7.41;11.98;5.99;0.09;141;70.5;335.2;167.6;371.4;185.7;238.04;119.02;492.14;246.07;464.42;232.21;265.75;132.88;330.88;165.44;256.75;128.38;142.54;71.27;2652.12;2499.63;2766.15;3435.48;0;0;2;1
Zamberg & Coconut & Speedy;!!;17;4;23.53;7600;447.06;25;1.47;8;0.47;27;1.59;59;3.47;158;9.29;54;3.18;21;1.24;42.37;438.58;48.51;36174;2127.88;26972;1586.59;9202;541.29;328;19.29;832;48.94;9772;574.82;6471;380.65;3301;194.18;80;4.71;291;17.12;509.12;29.95;558.63;32.86;7865;462.65;6035;355;1605;94.41;1641.41;7749885;455875.59;2010.91;118.29;1982;116.59;1107.94;65.17;2698.53;158.74;2062.06;121.3;340.24;20.01;67.97;4;0.12;548;32.24;2264.6;133.21;2576.6;151.56;1489.54;87.62;3611.3;212.43;3286.4;193.32;1814.42;106.73;2438.73;143.45;1580.69;92.98;1081.39;63.61;2425.45;2237.71;2564.69;2982.73;22;1.29;13;0.76
Zamberg & Coconut & Speedy;!!;1;0;0.00;325;325;1;1;0;0;1;1;5;5;8;8;4;4;2;2;20;412;44.14;1339;1339;902;902;437;437;11;11;31;31;97;97;0;0;97;97;0;0;9;9;31.07;31.07;19.85;19.85;164;164;197;197;0;0;1506;276989;276989;100.1;100.1;72.21;72.21;32.25;32.25;103.61;103.61;94.13;94.13;6.81;6.81;1.27;1.27;0.12;11;11;103.9;103.9;91.5;91.5;60.73;60.73;143.83;143.83;131.24;131.24;73.32;73.32;104.07;104.07;55.01;55.01;45.48;45.48;2088;1855;2235;2823;1;1;1;1
