team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
velocity & Syracks & Shark.;" NXZO !";1;1;100.00;633;633;2;2;2;2;2;2;3;3;9;9;2;2;1;1;66.67;473;44.62;2574;2574;1692;1692;882;882;20;20;79;79;576;576;315;315;261;261;4;4;24;24;26.02;26.02;36.13;36.13;496;496;332;332;99;99;1604;520849;520849;142.59;142.59;133.79;133.79;71.16;71.16;197.68;197.68;132.59;132.59;17.28;17.28;11.79;11.79;0.1;114;114;183.9;183.9;159.6;159.6;70.99;70.99;276.55;276.55;232.53;232.53;115.01;115.01;172.76;172.76;113.86;113.86;60.92;60.92;2563;2462;2674;3304;1;1;2;2
velocity & Syracks & Shark.;!;1;0;0.00;216;216;0;0;1;1;0;0;2;2;8;8;3;3;2;2;0;447;49.31;2443;2443;1893;1893;550;550;21;21;52;52;387;387;200;200;187;187;2;2;19;19;27.79;27.79;38.51;38.51;381;381;238;238;14;14;1639;492689;492689;124.49;124.49;122.8;122.8;70.45;70.45;172.39;172.39;129.73;129.73;15.62;15.62;5.44;5.44;0.1;52;52;170;170;133.5;133.5;71.65;71.65;246.08;246.08;192.18;192.18;125.55;125.55;127.13;127.13;132.85;132.85;57.76;57.76;1999;1681;2340;3385;1;1;1;1
velocity & Syracks & Shark.;! KiroX;1;0;0.00;56;56;0;0;0;0;0;0;1;1;3;3;2;2;1;1;0;490;49.27;1077;1077;804;804;273;273;10;10;23;23;350;350;278;278;72;72;4;4;6;6;14.42;14.42;18.06;18.06;174;174;198;198;121;121;1556;187279;187279;58.75;58.75;52.22;52.22;21.46;21.46;76.73;76.73;48.49;48.49;7.2;7.2;2.54;2.54;0.11;23;23;69.5;69.5;52.9;52.9;42.54;42.54;89.88;89.88;77.18;77.18;55.25;55.25;56.02;56.02;46.21;46.21;30.19;30.19;2384;2297;2471;3062;0;0;0;0
!evas a tahW & danger & kexii;!evas a tahW;2;1;50.00;1059;529.5;4;2;1;0.5;4;2;5;2.5;17;8.5;5;2.5;3;1.5;80;430.89;44.71;3688;1844;2604;1302;1084;542;30;15;100;50;462;231;200;100;262;131;2;1;24;12;73;36.5;63.75;31.88;534;267;430;215;11;5.5;1593.35;830664;415332;234.66;117.33;229.51;114.76;101.85;50.92;289.47;144.74;250.91;125.46;25.64;12.82;10.58;5.29;0.09;115;57.5;295.3;147.65;247.9;123.95;117.6;58.8;448.41;224.21;408.09;204.05;157.92;78.96;289.62;144.81;199.93;99.96;76.46;38.23;2498.1;2211.92;2744.88;3042.32;1;0.5;3;1.5
velocity & Syracks & Shark.;!sk.;2;1;50.00;1202;601;5;2.5;0;0;3;1.5;12;6;17;8.5;9;4.5;3;1.5;41.67;422.24;47.21;3839;1919.5;2720;1360;1119;559.5;32;16;100;50;635;317.5;278;139;357;178.5;4;2;30;15;61.91;30.95;50.11;25.06;511;255.5;477;238.5;120;60;1606.82;809632;404816;252.76;126.38;182.64;91.32;128.14;64.07;275;137.5;243.64;121.82;44.9;22.45;9.27;4.64;0.09;104;52;280.9;140.45;246.2;123.1;128.19;64.1;435.35;217.68;370.7;185.35;192.84;96.42;268.47;134.24;172.61;86.31;122.47;61.24;2388.55;2021.5;2574.73;3357.12;3;1.5;1;0.5
velocity & Syracks & Shark.;';13;7;53.85;5944;457.23;14;1.08;16;1.23;19;1.46;50;3.85;89;6.85;36;2.77;18;1.38;28;425.53;43.28;27717;2132.08;20054;1542.62;7663;589.46;239;18.38;659;50.69;6391;491.62;3831;294.69;2560;196.92;48;3.69;228;17.54;608.6;46.82;351.26;27.02;2391;183.92;2472;190.15;352;27.08;1566.18;5678877;436836.69;1761.83;135.53;1471.94;113.23;699.82;53.83;1673.35;128.72;2007.07;154.39;253.2;19.48;45.53;3.5;0.12;390;30;1782.7;137.13;1919.6;147.66;996.28;76.64;2937.32;225.95;2434.56;187.27;1499.03;115.31;1761.21;135.48;1239.27;95.33;933.12;71.78;2034.57;1825.03;2221.86;2940.05;6;0.46;8;0.62
velocity & Syracks & Shark.;(:;2;2;100.00;1251;625.5;2;1;5;2.5;6;3;5;2.5;21;10.5;5;2.5;2;1;40;410.5;51.67;5464;2732;3920;1960;1544;772;53;26.5;145;72.5;1128;564;547;273.5;581;290.5;9;4.5;55;27.5;61.9;30.95;86.95;43.47;679;339.5;1370;685;269;134.5;1567.76;1126483;563241.5;334.27;167.13;310.85;155.43;130.89;65.44;427.19;213.6;314.65;157.32;34.18;17.09;14.28;7.14;0.11;137;68.5;391.3;195.65;341.4;170.7;186.26;93.13;589.76;294.88;477.99;238.99;298.02;149.01;354.8;177.4;256.39;128.19;164.83;82.42;2351.14;2242.47;2430.51;2959.11;2;1;0;0
-200 not2splayergetrdy4Ls & DataReggie;-200 not2splayergetrdy4Ls;1;1;100.00;1027;1027;4;4;2;2;5;5;4;4;12;12;5;5;2;2;100;393;45.84;2610;2610;1941;1941;669;669;24;24;62;62;485;485;273;273;212;212;3;3;19;19;50.69;50.69;27.78;27.78;138;138;472;472;26;26;1603;576788;576788;180.24;180.24;147.66;147.66;78.3;78.3;192.16;192.16;193.89;193.89;20.14;20.14;8.14;8.14;0.1;83;83;197.2;197.2;172.7;172.7;102.83;102.83;303.36;303.36;267.63;267.63;138.56;138.56;191.14;191.14;133.3;133.3;81.76;81.76;2153;2074;2162;3071;0;0;0;0
velocity & Syracks & Shark.;-trace;4;1;25.00;1702;425.5;4;1;2;0.5;9;2.25;14;3.5;33;8.25;10;2.5;3;0.75;28.57;458.15;43.94;7427;1856.75;5197;1299.25;2230;557.5;59;14.75;194;48.5;2025;506.25;1284;321;741;185.25;14;3.5;60;15;125.86;31.47;114.18;28.55;1017;254.25;756;189;151;37.75;1495.7;1426499;356624.75;503.11;125.78;370.43;92.61;145.56;36.39;584.16;146.04;368.49;92.12;66.47;16.62;15.54;3.89;0.11;131;32.75;469.5;117.37;501.4;125.35;252.23;63.06;766.87;191.72;656.35;164.09;362.75;90.69;457.22;114.31;349.76;87.44;212.12;53.03;2407.25;2204.06;2599.78;3299.89;2;0.5;2;0.5
velocity & Syracks & Shark.;.;8;4;50.00;3272;409;9;1.12;6;0.75;13;1.62;25;3.12;69;8.62;22;2.75;12;1.5;36;478.44;49.56;18637;2329.62;14589;1823.62;4048;506;173;21.62;351;43.88;4317;539.62;2964;370.5;1353;169.12;33;4.12;114;14.25;286.11;35.76;318.91;39.86;3422;427.75;2813;351.62;350;43.75;1560.69;3234800;404350;1058.27;132.28;752.38;94.05;452.04;56.5;1243.21;155.4;879.53;109.94;139.97;17.5;36.86;4.61;0.07;466;58.25;1025.6;128.2;1118;139.75;556.97;69.62;1705.72;213.22;1411.59;176.45;851.11;106.39;989.28;123.66;790.82;98.85;482.58;60.32;2399.79;2264.83;2525.3;2966.17;9;1.12;6;0.75
