team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
KnightYuh :) & Coconut & piece control plexi;"   JWeyts   ";4;0;0.00;1896;474;5;1.25;3;0.75;8;2;20;5;38;9.5;20;5;8;2;25;415.81;50.6;8968;2242;6651;1662.75;2317;579.25;82;20.5;221;55.25;2135;533.75;1302;325.5;833;208.25;16;4;80;20;134.6;33.65;161.97;40.49;1840;460;1661;415.25;351;87.75;1607.43;1859917;464979.25;575.49;143.87;444.65;111.16;287.88;71.97;726.66;181.66;506.58;126.64;74.78;18.69;22.38;5.59;0.15;143;35.75;633.3;158.32;613.3;153.32;363;90.75;945.02;236.26;843.37;210.84;464.64;116.16;613.49;153.37;410.56;102.64;283.97;70.99;2445.55;2285.54;2582.92;3116.77;5;1.25;3;0.75
KnightYuh :) & Coconut & piece control plexi;" Cayyh";11;2;18.18;5043;458.45;14;1.27;8;0.73;17;1.55;35;3.18;96;8.73;40;3.64;24;2.18;40;403.5;45.92;23643;2149.36;17141;1558.27;6502;591.09;207;18.82;580;52.73;4327;393.36;2477;225.18;1850;168.18;28;2.55;169;15.36;444.99;40.45;368.39;33.49;2210;200.91;3500;318.18;376;34.18;1522.52;5096982;463362;1691.82;153.8;1358.12;123.47;569.08;51.73;1763.24;160.29;1639.96;149.09;215.81;19.62;81.17;7.38;0.11;763;69.36;1748.7;158.97;1688.6;153.51;882.27;80.21;2736.75;248.8;2367.04;215.19;1251.98;113.82;1743.89;158.54;1188.61;108.06;686.53;62.41;2166.13;1955.96;2372.19;2811.38;3;0.27;12;1.09
suliman & !;!;1;0;0.00;366;366;1;1;0;0;2;2;4;4;13;13;6;6;2;2;25;411;45.87;2053;2053;1628;1628;425;425;19;19;39;39;255;255;153;153;102;102;2;2;9;9;56.91;56.91;19.26;19.26;265;265;275;275;46;46;1675;421134;421134;102.82;102.82;110.88;110.88;63.69;63.69;116.35;116.35;138.73;138.73;22.31;22.31;9.96;9.96;0.09;108;108;128.7;128.7;129.8;129.8;92.74;92.74;184.66;184.66;185.65;185.65;91.74;91.74;136.52;136.52;85.3;85.3;55.58;55.58;2121;1590;2444;2712;1;1;0;0
KnightYuh :) & Coconut & piece control plexi;! 2 EM;1;0;0.00;256;256;0;0;0;0;2;2;1;1;10;10;2;2;1;1;0;417;49.4;2331;2331;1446;1446;885;885;18;18;65;65;510;510;87;87;423;423;1;1;25;25;29.91;29.91;38.72;38.72;297;297;354;354;22;22;1523;478266;478266;148.43;148.43;111.32;111.32;65.21;65.21;180.33;180.33;131.12;131.12;13.51;13.51;4.01;4.01;0.11;36;36;167.4;167.4;156.3;156.3;84.18;84.18;240.78;240.78;185.07;185.07;139.89;139.89;123.09;123.09;113.01;113.01;88.86;88.86;2122;2261;1919;3028;0;0;0;0
KnightYuh :) & Coconut & piece control plexi;! Khan.;2;1;50.00;1108;554;1;0.5;1;0.5;7;3.5;9;4.5;22;11;4;2;2;1;11.11;424.47;51.49;5036;2518;3729;1864.5;1307;653.5;45;22.5;117;58.5;951;475.5;455;227.5;496;248;5;2.5;44;22;78.73;39.37;77.11;38.56;487;243.5;802;401;50;25;1563.19;1078228;539114;306.61;153.3;293.33;146.67;124.4;62.2;383.71;191.86;296.43;148.21;44.22;22.11;11.03;5.51;0.1;109;54.5;362;181;353.4;176.7;189.91;94.96;534.44;267.22;451.47;225.74;272.87;136.43;311.35;155.67;248.03;124.01;164.97;82.49;2249.44;1872.79;2546.99;3020.81;2;1;1;0.5
KnightYuh :) & Coconut & piece control plexi;! Krabby.;5;4;80.00;2935;587;10;2;4;0.8;10;2;23;4.6;37;7.4;11;2.2;3;0.6;43.48;438.23;43.91;11920;2384;9087;1817.4;2833;566.6;108;21.6;247;49.4;2155;431;1148;229.6;1007;201.4;14;2.8;87;17.4;225.35;45.07;214.09;42.82;1500;300;1678;335.6;265;53;1563.15;2382054;476410.81;712.38;142.48;645.35;129.07;291.03;58.21;818.17;163.63;698.79;139.76;131.81;26.36;33.03;6.61;0.11;281;56.2;761.1;152.22;821.6;164.32;412.39;82.48;1236.4;247.28;1049.54;209.91;599.23;119.85;743.5;148.7;534.36;106.87;370.93;74.19;2282.23;2055.85;2508.03;2872.6;3;0.6;7;1.4
KnightYuh :) & Coconut & piece control plexi;! LeV;10;6;60.00;5702;570.2;20;2;10;1;17;1.7;39;3.9;75;7.5;30;3;17;1.7;51.28;426.54;47.07;19716;1971.6;15388;1538.8;4328;432.8;186;18.6;386;38.6;3205;320.5;1950;195;1255;125.5;24;2.4;112;11.2;444.01;44.4;399.15;39.92;1952;195.2;3243;324.3;385;38.5;1536.76;4074241;407424.09;1325.25;132.53;1082.7;108.27;494.56;49.46;1346.7;134.67;1390.69;139.07;165.12;16.51;47.73;4.77;0.12;386;38.6;1372.1;137.21;1338.7;133.87;677.53;67.75;2224.99;222.5;1891.68;189.17;1010.82;101.08;1319.44;131.94;1029.5;102.95;553.57;55.36;2416.09;2245.73;2561.01;2974.28;10;1;10;1
KnightYuh :) & Coconut & piece control plexi;! Sultan.;2;2;100.00;1311;655.5;5;2.5;3;1.5;3;1.5;8;4;15;7.5;8;4;4;2;62.5;467.77;44.16;5966;2983;4640;2320;1326;663;54;27;120;60;1036;518;627;313.5;409;204.5;7;3.5;37;18.5;101.99;50.99;74.8;37.4;1169;584.5;686;343;80;40;1598.17;1156405;578202.5;352.73;176.36;278.34;139.17;168.85;84.43;438.74;219.37;314.95;157.48;46.23;23.11;15.17;7.59;0.09;166;83;415.5;207.75;328.9;164.45;177.26;88.63;622.65;311.33;506.36;253.18;293.56;146.78;380.85;190.42;259.27;129.64;159.8;79.9;2526.84;2416.08;2590.59;3176.37;3;1.5;4;2
KnightYuh :) & Coconut & piece control plexi;! TKL;2;0;0.00;252;126;0;0;1;0.5;0;0;2;1;11;5.5;6;3;2;1;0;383.11;50.52;2806;1403;2168;1084;638;319;27;13.5;57;28.5;798;399;610;305;188;94;7;3.5;17;8.5;74.2;37.1;50.34;25.17;295;147.5;538;269;86;43;1623.84;655554;327777;163.29;81.64;170.75;85.38;96.55;48.28;211.55;105.77;192.87;96.43;26.17;13.09;8.57;4.28;0.09;102;51;204.1;102.05;207.6;103.8;137.25;68.62;293.34;146.67;242.66;121.33;187.93;93.96;175.23;87.61;152.46;76.23;102.9;51.45;2650.27;2596.34;2720.83;3234.07;0;0;1;0.5
KnightYuh :) & Coconut & piece control plexi;! evi;5;4;80.00;2251;450.2;7;1.4;7;1.4;6;1.2;22;4.4;35;7;11;2.2;6;1.2;31.82;469.73;53.21;12535;2507;9380;1876;3155;631;122;24.4;275;55;2148;429.6;1190;238;958;191.6;15;3;87;17.4;135.04;27.01;164.2;32.84;2175;435;2825;565;336;67.2;1614.18;2348899;469779.81;655.3;131.06;569.97;113.99;353.86;70.77;850.95;170.19;632.52;126.5;95.66;19.13;36.24;7.25;0.1;374;74.8;780.1;156.02;719;143.8;352.8;70.56;1226.34;245.27;1016.05;203.21;563.11;112.62;726.38;145.28;550.43;110.09;302.33;60.47;2329.83;2148.9;2532.82;2939.4;6;1.2;8;1.6
