team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
velocity & Kito & Aiipa;;4;3;75.00;2251;562.75;11;2.75;3;0.75;4;1;22;5.5;23;5.75;11;2.75;7;1.75;50;447.24;47.69;8539;2134.75;6464;1616;2075;518.75;77;19.25;189;47.25;2491;622.75;1797;449.25;694;173.5;21;5.25;62;15.5;122.53;30.63;146.94;36.74;1744;436;1200;300;301;75.25;1562.05;1646219;411554.75;530.57;132.64;401.66;100.42;229.2;57.3;655.69;163.92;440.51;110.13;65.24;16.31;17.55;4.39;0.12;142;35.5;601.5;150.38;478.4;119.6;273.83;68.46;887.6;221.9;730.79;182.7;430.64;107.66;531.18;132.79;381.58;95.39;248.66;62.17;2406.52;2398.16;2363.8;2786.95;5;1.25;3;0.75
velocity & Kito & Aiipa;"  ";1;0;0.00;502;502;2;2;2;2;1;1;4;4;9;9;8;8;4;4;50;453;47.45;2530;2530;1970;1970;560;560;24;24;53;53;434;434;294;294;140;140;5;5;13;13;27.88;27.88;23.81;23.81;367;367;260;260;118;118;1588;402915;402915;133.39;133.39;100.61;100.61;63.26;63.26;174.54;174.54;115.99;115.99;6.73;6.73;4.54;4.54;0.11;43;43;122.5;122.5;144.8;144.8;94.76;94.76;202.5;202.5;213.31;213.31;83.96;83.96;141.8;141.8;106.31;106.31;49.15;49.15;2528;2336;2591;3181;2;2;0;0
velocity & Kito & Aiipa;!;2;1;50.00;1101;550.5;2;1;4;2;5;2.5;9;4.5;15;7.5;5;2.5;1;0.5;22.22;434.15;49.52;4942;2471;3594;1797;1348;674;43;21.5;123;61.5;998;499;461;230.5;537;268.5;6;3;49;24.5;76.22;38.11;96.95;48.47;648;324;623;311.5;169;84.5;1571.54;987985;493992.5;295.15;147.58;263.41;131.71;118.61;59.31;391.22;195.61;250.09;125.04;35.86;17.93;9.91;4.95;0.11;88;44;337.3;168.65;304.2;152.1;174.02;87.01;503.15;251.57;373.47;186.74;303.69;151.85;256.47;128.24;241.03;120.51;179.67;89.83;2333.24;2228.15;2493.75;2937.12;5;2.5;1;0.5
wi wi wi cat & nszniity & lunR;!;1;1;100.00;336;336;1;1;1;1;0;0;5;5;4;4;1;1;1;1;20;402;45.65;2313;2313;1300;1300;1013;1013;18;18;90;90;574;574;154;154;420;420;3;3;39;39;31.66;31.66;25.76;25.76;415;415;435;435;155;155;1599;519563;519563;137.49;137.49;132.13;132.13;70.47;70.47;198.32;198.32;118.68;118.68;23.09;23.09;5.05;5.05;0.09;58;58;172;172;156;156;88.22;88.22;251.87;251.87;169.66;169.66;170.43;170.43;105.68;105.68;122.78;122.78;111.63;111.63;2076;1994;2136;2834;0;0;0;0
velocity & Kito & Aiipa;!;4;3;75.00;2246;561.5;6;1.5;4;1;10;2.5;11;2.75;37;9.25;10;2.5;6;1.5;54.55;398.01;48.95;9346;2336.5;6259;1564.75;3087;771.75;72;18;273;68.25;2378;594.5;1283;320.75;1095;273.75;16;4;99;24.75;207.21;51.8;137.08;34.27;1682;420.5;894;223.5;386;96.5;1510.3;2010517;502629.25;706.6;176.65;498.12;124.53;226.49;56.62;926.94;231.74;457.24;114.31;47.01;11.75;26.05;6.51;0.17;160;40;721.8;180.45;643.9;160.98;288.04;72.01;1143.16;285.79;860.66;215.16;570.53;142.63;629.75;157.44;438.41;109.6;363.06;90.76;2189.15;2192.3;2185.39;2756.89;8;2;4;1
velocity & Kito & Aiipa;!;1;0;0.00;955;955;2;2;0;0;6;6;5;5;15;15;3;3;2;2;40;497;47.17;2992;2992;2474;2474;518;518;29;29;47;47;879;879;741;741;138;138;8;8;12;12;25.01;25.01;67.37;67.37;658;658;453;453;58;58;1685;558082;558082;128.13;128.13;146.22;146.22;79.86;79.86;177.43;177.43;143.1;143.1;33.68;33.68;3.67;3.67;0.12;30;30;158.9;158.9;174.9;174.9;92.72;92.72;261.49;261.49;246.23;246.23;107.98;107.98;181.44;181.44;105.69;105.69;67.08;67.08;1852;1627;2080;2742;2;2;0;0
velocity & Kito & Aiipa;! 2 EM;2;2;100.00;1129;564.5;2;1;2;1;5;2.5;12;6;17;8.5;4;2;2;1;16.67;514.44;49.41;6677;3338.5;4993;2496.5;1684;842;64;32;156;78;1626;813;907;453.5;719;359.5;13;6.5;65;32.5;89.64;44.82;89.44;44.72;1035;517.5;1464;732;428;214;1718.16;1262069;631034.5;252.27;126.13;331.27;165.63;197.66;98.83;447.8;223.9;291.06;145.53;42.35;21.17;12;6;0.1;119;59.5;387.8;193.9;375;187.5;201.08;100.54;580.13;290.07;450.51;225.25;330.7;165.35;316.52;158.26;253.97;126.99;210.71;105.36;2208.14;1992.79;2457.79;2961.19;4;2;1;0.5
velocity & Kito & Aiipa;! A1zy.;1;0;0.00;228;228;1;1;0;0;1;1;2;2;6;6;3;3;2;2;50;454;51.96;1308;1308;1073;1073;235;235;13;13;21;21;254;254;135;135;119;119;2;2;10;10;18.68;18.68;19.03;19.03;247;247;238;238;65;65;1584;265271;265271;83.43;83.43;59.22;59.22;40.44;40.44;105.33;105.33;68.91;68.91;8.86;8.86;2.37;2.37;0.14;17;17;69.5;69.5;99.2;99.2;48.32;48.32;134.78;134.78;106.22;106.22;76.87;76.87;65.44;65.44;64.71;64.71;52.95;52.95;2130;2072;2219;2845;1;1;0;0
velocity & Kito & Aiipa;! Digitalkiwi.;4;3;75.00;1675;418.75;5;1.25;4;1;4;1;16;4;21;5.25;9;2.25;3;0.75;31.25;392.91;41.6;8093;2023.25;5689;1422.25;2404;601;66;16.5;204;51;1934;483.5;987;246.75;947;236.75;12;3;84;21;256.46;64.11;80.88;20.22;1490;372.5;940;235;228;57;1573.25;1901383;475345.75;569.63;142.41;490.49;122.62;232.36;58.09;716.1;179.02;512.91;128.23;63.48;15.87;14.54;3.64;0.12;120;30;565.3;141.33;686.3;171.57;294.39;73.6;998.1;249.52;740.05;185.01;552.44;138.11;505.78;126.45;452.94;113.23;333.77;83.44;2104.11;1904.47;2295.28;3019.24;2;0.5;4;1
velocity & Kito & Aiipa;!evas a tahW;1;0;0.00;331;331;0;0;1;1;2;2;0;0;6;6;3;3;2;2;0;507;49.45;2720;2720;2027;2027;693;693;27;27;55;55;681;681;445;445;236;236;6;6;21;21;35.57;35.57;49.18;49.18;487;487;586;586;155;155;1559;455427;455427;134.47;134.47;110.67;110.67;66.21;66.21;151.75;151.75;136.25;136.25;23.36;23.36;5.15;5.15;0.09;56;56;123.6;123.6;177.6;177.6;108.15;108.15;203.2;203.2;179.51;179.51;131.84;131.84;129.2;129.2;99.86;99.86;82.29;82.29;2105;1922;2307;2928;3;3;0;0
