team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
"Coconut & regser & Mystic""!";!;3;2;66.67;847;282.33;2;0.67;1;0.33;1;0.33;10;3.33;15;5;6;2;2;0.67;20;452.73;50.11;6612;2204;4685;1561.67;1927;642.33;63;21;157;52.33;2390;796.67;1636;545.33;754;251.33;22;7.33;69;23;60.02;20.01;142.16;47.39;1076;358.67;1686;562;583;194.33;1606.59;1204878;401626;350.04;116.68;278.56;92.85;191.61;63.87;359.24;119.75;417.74;139.25;43.26;14.42;11.52;3.84;0.09;127;42.33;375.5;125.17;405.2;135.07;234.61;78.2;585.62;195.21;467.62;155.87;352.61;117.54;330.74;110.25;245.1;81.7;244.39;81.46;2257.13;2064.35;2527.62;3135.44;9;3;2;0.67
"Coconut & regser & Mystic""!";! Elijae;2;1;50.00;1365;682.5;3;1.5;3;1.5;6;3;14;7;24;12;7;3.5;4;2;21.43;525;50.4;8616;4308;6606;3303;2010;1005;82;41;158;79;2059;1029.5;1292;646;767;383.5;15;7.5;54;27;122.87;61.43;157.13;78.57;1530;765;1671;835.5;231;115.5;1590.78;1529373;764686.5;420.15;210.07;385.33;192.67;215.84;107.92;508.71;254.36;433.01;216.51;79.61;39.81;19.37;9.68;0.11;173;86.5;455.5;227.75;527;263.5;296.59;148.29;724.72;362.36;635.98;317.99;385.33;192.66;469.37;234.68;304.14;152.07;247.81;123.9;2219.78;2012;2442.56;2830.11;2;1;4;2
"Coconut & regser & Mystic""!";! TKL;1;1;100.00;728;728;2;2;1;1;4;4;6;6;10;10;3;3;2;2;33.33;456;50.63;2798;2798;2286;2286;512;512;28;28;41;41;585;585;466;466;119;119;6;6;11;11;37.12;37.12;44.13;44.13;308;308;456;456;133;133;1637;552504;552504;140.94;140.94;143.18;143.18;79.09;79.09;172.28;172.28;158.38;158.38;32.54;32.54;6.5;6.5;0.08;77;77;161;161;188.9;188.9;119.99;119.99;243.21;243.21;212.52;212.52;150.68;150.68;159.25;159.25;112.16;112.16;91.8;91.8;2280;1861;2708;3029;3;3;1;1
"Coconut & regser & Mystic""!";!Lost__;1;1;100.00;566;566;1;1;4;4;2;2;2;2;11;11;4;4;1;1;50;465;41.16;3027;3027;2435;2435;592;592;26;26;55;55;580;580;360;360;220;220;4;4;20;20;100.44;100.44;27.66;27.66;380;380;164;164;39;39;1490;512349;512349;198.93;198.93;114.51;114.51;70.35;70.35;195.91;195.91;179.97;179.97;7.9;7.9;7.97;7.97;0.11;73;73;183.4;183.4;171.4;171.4;86.14;86.14;297.64;297.64;252.21;252.21;131.58;131.58;181.43;181.43;130.25;130.25;72.11;72.11;2469;2332;2603;2756;2;2;1;1
monkan & !ols;!ols;8;3;37.50;3707;463.38;5;0.62;12;1.5;17;2.12;26;3.25;70;8.75;22;2.75;9;1.12;19.23;466.03;45.03;21491;2686.38;14878;1859.75;6613;826.62;174;21.75;598;74.75;3873;484.12;1986;248.25;1887;235.88;22;2.75;172;21.5;377.01;47.13;235.09;29.39;2017;252.12;1905;238.12;190;23.75;1558.39;4038021;504752.62;1240.25;155.03;1071.13;133.89;483.39;60.42;1412.73;176.59;1223.74;152.97;158.29;19.79;65.59;8.2;0.1;679;84.88;1416.2;177.03;1264.3;158.04;743.3;92.91;2051.49;256.44;1910.48;238.81;884.28;110.53;1410.48;176.31;883.36;110.42;500.94;62.62;2313.91;2232.1;2385.09;2931.29;7;0.88;8;1
"Coconut & regser & Mystic""!";';15;6;40.00;7048;469.87;21;1.4;6;0.4;25;1.67;54;3.6;98;6.53;49;3.27;21;1.4;38.89;410.41;44.83;29861;1990.73;22073;1471.53;7788;519.2;260;17.33;681;45.4;7231;482.07;4677;311.8;2554;170.27;52;3.47;210;14;507.64;33.84;467.21;31.15;2025;135;3173;211.53;325;21.67;1563.65;6027822;401854.81;1898.62;126.57;1534.39;102.29;782.37;52.16;1692.16;112.81;2217.15;147.81;306.03;20.4;46.1;3.07;0.11;430;28.67;1929.9;128.66;2058.3;137.22;1052.77;70.18;3162.58;210.84;2667.23;177.82;1548.14;103.21;1965.64;131.04;1275.46;85.03;974.27;64.95;2166.23;1969.93;2342.3;2872.92;8;0.53;13;0.87
"Coconut & regser & Mystic""!";)moh;1;0;0.00;389;389;1;1;1;1;1;1;5;5;7;7;5;5;3;3;20;454;51.46;2805;2805;1956;1956;849;849;27;27;68;68;465;465;136;136;329;329;2;2;21;21;49.14;49.14;39.35;39.35;695;695;758;758;74;74;1691;605345;605345;145.96;145.96;160.13;160.13;89.21;89.21;220.98;220.98;144.63;144.63;29.68;29.68;4.98;4.98;0.09;57;57;234.3;234.3;137.2;137.2;77.77;77.77;317.52;317.52;244.99;244.99;150.31;150.31;174.98;174.98;130.35;130.35;89.97;89.97;2650;2380;2924;3073;3;3;4;4
"Coconut & regser & Mystic""!";,;8;6;75.00;4090;511.25;14;1.75;6;0.75;13;1.62;42;5.25;48;6;19;2.38;7;0.88;33.33;454.16;46.22;15834;1979.25;11963;1495.38;3871;483.88;140;17.5;337;42.12;3529;441.12;2277;284.62;1252;156.5;26;3.25;110;13.75;268.09;33.51;289.8;36.23;1348;168.5;2125;265.62;280;35;1587.82;3175578;396947.25;936.79;117.1;867.93;108.49;375.49;46.94;992.1;124.01;1015.54;126.94;172.55;21.57;33.18;4.15;0.11;294;36.75;1006.7;125.84;1047;130.88;540.64;67.58;1639.55;204.94;1294.64;161.83;885.56;110.7;903.67;112.96;739.17;92.4;537.35;67.17;2229.03;2023.09;2397.16;3103.06;5;0.62;8;1
"Coconut & regser & Mystic""!";-breyyn;6;3;50.00;3162;527;7;1.17;7;1.17;12;2;23;3.83;55;9.17;19;3.17;9;1.5;30.43;398.52;49.92;13885;2314.17;9290;1548.33;4595;765.83;120;20;394;65.67;2457;409.5;1308;218;1149;191.5;15;2.5;96;16;166.37;27.73;188.79;31.46;1475;245.83;2711;451.83;212;35.33;1566.21;2869091;478181.84;903.4;150.57;780.78;130.13;313.97;52.33;1096.78;182.8;802.83;133.81;98.55;16.43;36.84;6.14;0.13;276;46;969.9;161.65;917.6;152.93;414.59;69.1;1583.57;263.93;1411.83;235.3;586.35;97.72;1067.23;177.87;612.19;102.03;318.76;53.13;2413.27;2128.35;2648.86;2903.85;1;0.17;4;0.67
-gabi & WAZOX;-gabi;2;0;0.00;967;483.5;3;1.5;0;0;4;2;12;6;19;9.5;6;3;2;1;25;430.7;47.58;4996;2498;3521;1760.5;1475;737.5;44;22;128;64;1336;668;621;310.5;715;357.5;8;4;62;31;84.01;42;49.45;24.72;638;319;704;352;185;92.5;1524.18;1007100;503550;326.96;163.48;267.18;133.59;111.63;55.82;382.01;191.01;289.85;144.93;33.92;16.96;10.06;5.03;0.11;88;44;362.4;181.2;325.3;162.65;199.91;99.96;505.86;252.93;385.54;192.77;320.24;160.12;269.35;134.68;236.1;118.05;200.33;100.17;2199.93;1915.57;2493.86;2943.82;2;1;3;1.5
