team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
rizun & ? & Nym;!;4;1;25.00;1668;417;2;0.5;3;0.75;7;1.75;23;5.75;21;5.25;10;2.5;5;1.25;8.7;462.7;50.15;8986;2246.5;6118;1529.5;2868;717;79;19.75;252;63;2505;626.25;1463;365.75;1042;260.5;16;4;93;23.25;109.18;27.3;130.6;32.65;1646;411.5;1866;466.5;152;38;1600.4;1782796;445699;495.88;123.97;443.1;110.77;246.34;61.58;647.08;161.77;465.87;116.47;72.38;18.09;26.64;6.66;0.12;228;57;563.6;140.9;565.8;141.45;277.94;69.49;907.37;226.84;702.51;175.63;482.81;120.7;481.46;120.37;403.17;100.79;300.69;75.17;2172.47;1895.38;2416.26;2881.84;2;0.5;4;1
rizun & ? & Nym;!;5;3;60.00;2535;507;6;1.2;6;1.2;10;2;21;4.2;36;7.2;8;1.6;6;1.2;28.57;433.78;43.23;10044;2008.8;7434;1486.8;2610;522;86;17.2;214;42.8;1823;364.6;926;185.2;897;179.4;10;2;70;14;186.09;37.22;137.43;27.49;1081;216.2;1083;216.6;50;10;1513.33;1894334;378866.81;633.77;126.75;477.28;95.46;225.48;45.1;710.52;142.1;535.64;107.13;90.35;18.07;20.49;4.1;0.14;143;28.6;674.3;134.86;623.7;124.74;307.33;61.47;1029.19;205.84;881.65;176.33;454.86;90.97;669.22;133.84;399.74;79.95;267.54;53.51;2147.9;2049.04;2177.4;3033.95;5;1;3;0.6
Akagifted & ! wikixi;! wikixi;1;0;0.00;194;194;1;1;0;0;0;0;4;4;5;5;4;4;3;3;25;487;45.93;1372;1372;1109;1109;263;263;13;13;25;25;336;336;246;246;90;90;3;3;9;9;29.5;29.5;14.52;14.52;324;324;194;194;53;53;1768;281286;281286;57.92;57.92;73.09;73.09;47.25;47.25;85.05;85.05;77;77;16.21;16.21;1.57;1.57;0.13;12;12;68;68;96.3;96.3;56.3;56.3;121.96;121.96;113.61;113.61;64.65;64.65;82.53;82.53;55.62;55.62;40.12;40.12;2337;1912;2496;3338;3;3;0;0
rizun & ? & Nym;!carolo;3;1;33.33;1177;392.33;1;0.33;3;1;6;2;7;2.33;28;9.33;7;2.33;5;1.67;14.29;379.79;48.1;5094;1698;3673;1224.33;1421;473.67;50;16.67;122;40.67;1296;432;793;264.33;503;167.67;10;3.33;44;14.67;87.76;29.25;94.18;31.39;634;211.33;1323;441;166;55.33;1586.49;1129377;376459;362.21;120.74;252.62;84.21;177.13;59.04;408.86;136.29;343.12;114.37;39.97;13.32;12.48;4.16;0.1;126;42;412.7;137.57;370.1;123.37;195.5;65.17;596.46;198.82;514.57;171.52;277.39;92.46;404.44;134.81;215.22;71.74;172.3;57.43;2121.3;1995.23;2212.06;2802.89;1;0.33;5;1.67
rizun & ? & Nym;!evas a tahW;3;1;33.33;1946;648.67;7;2.33;0;0;9;3;15;5;34;11.33;12;4;4;1.33;46.67;431.95;43.81;7055;2351.67;5375;1791.67;1680;560;61;20.33;147;49;970;323.33;512;170.67;458;152.67;6;2;42;14;165.02;55.01;145.44;48.48;993;331;792;264;105;35;1546.12;1375728;458576;434.18;144.73;357.87;119.29;177.01;59;460.48;153.49;453.37;151.12;55.21;18.4;13.6;4.53;0.09;143;47.67;458.3;152.77;452.3;150.77;264.2;88.07;704.85;234.95;689.6;229.87;279.44;93.15;495.76;165.25;321.14;107.05;152.15;50.72;2380.13;2208.29;2517.99;3051.29;2;0.67;2;0.67
rizun & ? & Nym;!sk.;2;1;50.00;652;326;2;1;1;0.5;2;1;5;2.5;13;6.5;6;3;1;0.5;40;410.22;45.5;3272;1636;2157;1078.5;1115;557.5;25;12.5;98;49;689;344.5;379;189.5;310;155;5;2.5;28;14;43.08;21.54;45.26;22.63;315;157.5;361;180.5;108;54;1637.43;649780;324890;187.47;93.74;170.6;85.3;88.11;44.06;232.34;116.17;175.78;87.89;38.05;19.02;8.08;4.04;0.11;72;36;184.8;92.4;250.4;125.2;121.37;60.68;324.81;162.4;280.28;140.14;165.89;82.95;203.92;101.96;145.04;72.52;97.21;48.6;2465.65;2370.06;2605.86;3142.78;3;1.5;3;1.5
rizun & ? & Nym;$crub Killa;7;3;42.86;3328;475.43;8;1.14;3;0.43;16;2.29;23;3.29;50;7.14;22;3.14;16;2.29;34.78;385.89;48.23;14298;2042.57;10057;1436.71;4241;605.86;126;18;364;52;2975;425;1590;227.14;1385;197.86;20;2.86;116;16.57;201.82;28.83;147.76;21.11;640;91.43;2632;376;450;64.29;1504.37;3056679;436668.44;1036.44;148.06;951.45;135.92;216.87;30.98;1078.01;154;976.13;139.45;150.61;21.52;32.68;4.67;0.13;249;35.57;1020.5;145.79;1049.4;149.91;539.55;77.08;1665.18;237.88;1399.19;199.88;805.55;115.08;1015.64;145.09;707.96;101.14;481.14;68.73;2245.93;2147.32;2322.79;2936.78;6;0.86;3;0.43
rizun & ? & Nym;';1;0;0.00;178;178;0;0;0;0;1;1;2;2;7;7;3;3;3;3;0;392;38.63;1609;1609;949;949;660;660;10;10;56;56;278;278;0;0;278;278;0;0;24;24;64.4;64.4;12.06;12.06;165;165;58;58;7;7;1543;392411;392411;108.12;108.12;121.35;121.35;35.21;35.21;141.36;141.36;114.58;114.58;8.74;8.74;6.21;6.21;0.15;42;42;158.9;158.9;101.3;101.3;72.8;72.8;191.88;191.88;159.72;159.72;104.96;104.96;108.99;108.99;96.41;96.41;59.27;59.27;2083;1798;2322;2870;1;1;2;2
rizun & ? & Nym;***********;5;2;40.00;2589;517.8;9;1.8;5;1;8;1.6;18;3.6;46;9.2;21;4.2;12;2.4;50;442.65;48.57;13353;2670.6;9785;1957;3568;713.6;122;24.4;304;60.8;3816;763.2;2454;490.8;1362;272.4;30;6;113;22.6;205.11;41.02;179.51;35.9;2866;573.2;2416;483.2;575;115;1598.23;2655496;531099.19;788.83;157.77;662.25;132.45;367.87;73.57;1026.87;205.37;665.98;133.2;126.11;25.22;39.07;7.81;0.12;341;68.2;882.1;176.42;863;172.6;549.75;109.95;1269.2;253.84;1143.89;228.78;675.08;135.02;844.28;168.86;585.02;117;389.66;77.93;2383.91;2197.67;2545.49;3049.64;9;1.8;10;2
- & Kbq.;-;1;1;100.00;316;316;1;1;1;1;0;0;3;3;6;6;1;1;1;1;33.33;416;54.35;2393;2393;1617;1617;776;776;22;22;69;69;352;352;194;194;158;158;3;3;17;17;25.49;25.49;39.05;39.05;327;327;611;611;119;119;1549;451308;451308;146.35;146.35;116.03;116.03;47.62;47.62;178.84;178.84;121.1;121.1;10.07;10.07;6.63;6.63;0.08;81;81;153;153;143.2;143.2;66.78;66.78;243.23;243.23;194.42;194.42;115.6;115.6;127.32;127.32;119.32;119.32;63.37;63.37;2751;2978;2452;3312;1;1;0;0
