team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
rizun & shallow _0 & regser;;5;2;40.00;2433;486.6;5;1;4;0.8;12;2.4;15;3;35;7;13;2.6;10;2;33.33;387.38;48.81;10635;2127;7073;1414.6;3562;712.4;92;18.4;302;60.4;2095;419;1040;208;1055;211;14;2.8;96;19.2;129.97;25.99;173.11;34.62;839;167.8;2194;438.8;391;78.2;1546.17;2334523;466904.59;744.34;148.87;623.86;124.77;254.97;50.99;847.43;169.49;681.69;136.34;94.02;18.8;35.21;7.04;0.11;315;63;840;168;725.3;145.06;373.76;74.75;1249.39;249.88;1067.46;213.49;555.7;111.14;761.09;152.22;550.28;110.06;311.79;62.36;2274.57;2132.11;2402.42;3033.03;1;0.2;6;1.2
rizun & shallow _0 & regser;;2;0;0.00;1012;506;0;0;4;2;4;2;9;4.5;15;7.5;6;3;3;1.5;0;501.77;54.52;6426;3213;4831;2415.5;1595;797.5;59;29.5;136;68;2207;1103.5;1402;701;805;402.5;16;8;65;32.5;83.24;41.62;81.93;40.97;1390;695;1131;565.5;234;117;1662.97;1202666;601333;291.59;145.79;287.6;143.8;195.94;97.97;401.88;200.94;321.64;160.82;51.62;25.81;16.63;8.31;0.09;193;96.5;371.7;185.85;366.1;183.05;234.33;117.17;540.81;270.4;423.48;211.74;351.65;175.82;299.19;149.6;242.04;121.02;233.91;116.96;2418.63;2138.19;2754.3;3320.97;3;1.5;1;0.5
rizun & shallow _0 & regser;"  ";1;1;100.00;340;340;2;2;1;1;0;0;3;3;1;1;0;0;0;0;66.67;399;53.35;860;860;641;641;219;219;9;9;22;22;270;270;148;148;122;122;3;3;12;12;5.32;5.32;27.34;27.34;95;95;267;267;154;154;1559;197542;197542;61.55;61.55;56.29;56.29;20.51;20.51;85.28;85.28;49.98;49.98;3.09;3.09;1.48;1.48;0.11;13;13;67.1;67.1;65;65;25.95;25.95;112.4;112.4;57.65;57.65;80.7;80.7;35.97;35.97;51.23;51.23;51.15;51.15;2555;2469;2690;2944;1;1;2;2
rizun & shallow _0 & regser;"  boa?";11;6;54.55;5342;485.64;18;1.64;6;0.55;17;1.55;46;4.18;76;6.91;23;2.09;9;0.82;39.13;429.48;50.99;21779;1979.91;16115;1465;5664;514.91;195;17.73;528;48;3825;347.73;2086;189.64;1739;158.09;26;2.36;154;14;357.14;32.47;255.41;23.22;1553;141.18;2315;210.45;394;35.82;1523.31;4313874;392170.38;1418.26;128.93;1157.99;105.27;473.45;43.04;1649.48;149.95;1203.71;109.43;196.51;17.86;58.81;5.35;0.08;695;63.18;1439.7;130.88;1492.2;135.65;748.7;68.06;2300.97;209.18;1875.71;170.52;1173.98;106.73;1360.7;123.7;1004.96;91.36;684.02;62.18;2331.42;2187.3;2492.88;2973.25;4;0.36;9;0.82
rizun & shallow _0 & regser;!;3;2;66.67;1365;455;6;2;1;0.33;4;1.33;12;4;18;6;5;1.67;2;0.67;50;499.49;46.08;5651;1883.67;4386;1462;1265;421.67;50;16.67;121;40.33;1014;338;630;210;384;128;7;2.33;37;12.33;79.07;26.36;74.09;24.7;1058;352.67;671;223.67;78;26;1586.99;1072953;357651;317.35;105.78;257.61;85.87;153.24;51.08;396.02;132.01;293.25;97.75;38.93;12.98;12.45;4.15;0.11;117;39;393.8;131.27;312.5;104.17;154.47;51.49;573.75;191.25;491.41;163.8;236.8;78.93;370.54;123.51;207.55;69.18;150.11;50.04;2028.66;1777.43;2253.31;2895.76;3;1;4;1.33
rizun & shallow _0 & regser;!sk.;1;0;0.00;413;413;0;0;1;1;2;2;4;4;9;9;3;3;3;3;0;410;49.77;2570;2570;1831;1831;739;739;23;23;65;65;609;609;277;277;332;332;3;3;29;29;35.04;35.04;60.98;60.98;144;144;487;487;22;22;1633;538295;538295;135.33;135.33;137.01;137.01;75.85;75.85;181.51;181.51;142.64;142.64;24.04;24.04;6.01;6.01;0.11;57;57;152.1;152.1;178;178;102.35;102.35;245.84;245.84;207.3;207.3;140.88;140.88;153.93;153.93;101.12;101.12;93.14;93.14;2192;1902;2457;3089;1;1;0;0
virtuoso & $ARCHIE;$ARCHIE;3;1;33.33;1776;592;5;1.67;3;1;9;3;8;2.67;27;9;10;3.33;4;1.33;62.5;416.17;47.68;6828;2276;5237;1745.67;1591;530.33;64;21.33;131;43.67;1097;365.67;596;198.67;501;167;7;2.33;36;12;129.98;43.33;136.09;45.36;1105;368.33;1091;363.67;109;36.33;1524.05;1428898;476299.34;484.76;161.59;329.99;110;200.27;66.76;543.38;181.13;402.63;134.21;69.03;23.01;14.74;4.91;0.14;106;35.33;507;169;457.3;152.43;240.1;80.03;774.93;258.31;687.54;229.18;327.49;109.16;515.06;171.69;301.7;100.57;198.27;66.09;2104.66;1988.58;2131.86;2784.62;6;2;2;0.67
rizun & shallow _0 & regser;(:;1;0;0.00;234;234;1;1;0;0;1;1;2;2;6;6;4;4;3;3;50;509;50.31;1595;1595;1189;1189;406;406;14;14;38;38;534;534;360;360;174;174;4;4;16;16;6.81;6.81;17.42;17.42;211;211;220;220;44;44;1544;252895;252895;86.09;86.09;58.49;58.49;37.57;37.57;100.81;100.81;72.6;72.6;8.74;8.74;1.84;1.84;0.1;18;18;70.2;70.2;93.1;93.1;58.96;58.96;123.19;123.19;111.02;111.02;71.13;71.13;79.74;79.74;56.01;56.01;46.4;46.4;2372;2194;2424;3131;0;0;0;0
rizun & shallow _0 & regser;-200;1;0;0.00;364;364;1;1;0;0;1;1;5;5;11;11;3;3;3;3;20;447;47.65;2576;2576;1791;1791;785;785;22;22;72;72;795;795;560;560;235;235;6;6;21;21;34.96;34.96;23.81;23.81;641;641;432;432;52;52;1611;534898;534898;159.55;159.55;117.3;117.3;79.66;79.66;201.37;201.37;127.62;127.62;27.52;27.52;4.97;4.97;0.14;36;36;176.4;176.4;159.4;159.4;104.31;104.31;252.2;252.2;217.81;217.81;138.7;138.7;167.25;167.25;98.45;98.45;90.8;90.8;2161;2173;2149;2619;1;1;0;0
rizun & shallow _0 & regser;-300;3;1;33.33;1789;596.33;6;2;5;1.67;3;1;14;4.67;26;8.67;11;3.67;5;1.67;42.86;485.77;47.58;8408;2802.67;6177;2059;2231;743.67;74;24.67;196;65.33;1989;663;1185;395;804;268;15;5;69;23;147.78;49.26;98.08;32.69;1267;422.33;1270;423.33;317;105.67;1712.26;1671229;557076.31;375.59;125.2;403.48;134.49;281.3;93.77;530.07;176.69;466.97;155.66;63.32;21.11;19.05;6.35;0.12;161;53.67;459.4;153.13;554.8;184.93;309.26;103.09;751.11;250.37;669.89;223.3;390.48;130.16;484.47;161.49;334.57;111.52;241.33;80.44;2204.15;1926.95;2544.51;2987.91;5;1.67;3;1
rizun & shallow _0 & regser;-> m4;2;2;100.00;977;488.5;6;3;2;1;2;1;7;3.5;7;3.5;1;0.5;0;0;85.71;407.48;48.49;2294;1147;1623;811.5;671;335.5;20;10;61;30.5;193;96.5;11;5.5;182;91;1;0.5;17;8.5;36.63;18.32;35.79;17.9;326;163;388;194;101;50.5;1507.61;443438;221719;172.73;86.36;108.28;54.14;54.31;27.16;190.12;95.06;134.43;67.21;10.78;5.39;4.94;2.47;0.11;45;22.5;157.1;78.55;143.4;71.7;67.99;34;267.34;133.67;217.52;108.76;117.81;58.9;136.95;68.47;131.97;65.99;66.41;33.2;2496.16;2573.77;2413.92;2978.35;2;1;0;0
rizun & shallow _0 & regser;-gabi;4;4;100.00;1785;446.25;7;1.75;3;0.75;4;1;17;4.25;21;5.25;8;2;7;1.75;41.18;443.56;47.74;9098;2274.5;6863;1715.75;2235;558.75;84;21;203;50.75;2023;505.75;1317;329.25;706;176.5;17;4.25;66;16.5;178.79;44.7;98.36;24.59;1585;396.25;1597;399.25;399;99.75;1624.84;1861825;465456.25;508.93;127.23;465.64;116.41;271.82;67.96;652.01;163;542.72;135.68;51.67;12.92;16.31;4.08;0.1;155;38.75;523.3;130.83;663.2;165.8;343.77;85.94;902.63;225.66;768.54;192.13;477.77;119.44;554.64;138.66;405.43;101.36;286.34;71.58;2448.47;2340.34;2528.48;3054.56;3;0.75;0;0
rizun & shallow _0 & regser;-yova;6;4;66.67;2916;486;6;1;7;1.17;15;2.5;16;2.67;53;8.83;15;2.5;8;1.33;37.5;469.7;47.47;14787;2464.5;10871;1811.83;3916;652.67;128;21.33;331;55.17;2154;359;1218;203;936;156;16;2.67;87;14.5;293.96;48.99;212.09;35.35;2575;429.17;1967;327.83;421;70.17;1591.43;2761285;460214.16;822.01;137;608.52;101.42;449.19;74.86;962.38;160.4;817.21;136.2;100.12;16.69;46.09;7.68;0.09;472;78.67;932.9;155.48;864;144;446.91;74.49;1432.8;238.8;1263.91;210.65;615.79;102.63;940.3;156.72;580.03;96.67;359.37;59.9;2412.55;2295.92;2508.05;2930.95;3;0.5;6;1
rizun & shallow _0 & regser;.;1;1;100.00;729;729;1;1;2;2;6;6;4;4;10;10;2;2;0;0;25;531;45.13;3099;3099;2436;2436;663;663;26;26;53;53;450;450;300;300;150;150;3;3;13;13;44.33;44.33;39.11;39.11;718;718;176;176;0;0;1644;540570;540570;127.73;127.73;149.83;149.83;73.57;73.57;185.3;185.3;145.69;145.69;20.15;20.15;8.95;8.95;0.09;101;101;174.8;174.8;167.3;167.3;76.33;76.33;274.81;274.81;210.44;210.44;140.69;140.69;148.24;148.24;132.61;132.61;70.28;70.28;2433;2349;2461;3029;0;0;0;0
rizun & shallow _0 & regser;.;3;1;33.33;1102;367.33;3;1;2;0.67;2;0.67;13;4.33;24;8;13;4.33;10;3.33;23.08;416.39;45.98;6391;2130.33;4078;1359.33;2313;771;52;17.33;205;68.33;1150;383.33;368;122.67;782;260.67;6;2;65;21.67;115.43;38.48;74.35;24.78;989;329.67;1046;348.67;214;71.33;1560.98;1273910;424636.66;408.25;136.08;330.21;110.07;156.41;52.14;512.28;170.76;351.26;117.09;31.34;10.45;16.83;5.61;0.11;148;49.33;452;150.67;391.7;130.57;255.87;85.29;638.98;212.99;587.14;195.71;307.72;102.57;430.62;143.54;294.28;98.09;169.97;56.66;2462.12;2293.56;2597.9;3118.26;4;1.33;3;1
rizun & shallow _0 & regser;.;10;6;60.00;5892;589.2;17;1.7;6;0.6;30;3;43;4.3;85;8.5;28;2.8;15;1.5;39.53;406.01;42.66;22345;2234.5;16206;1620.6;6139;613.9;191;19.1;538;53.8;4508;450.8;2861;286.1;1647;164.7;32;3.2;146;14.6;452.55;45.25;334.67;33.47;1668;166.8;2129;212.9;297;29.7;1542.25;4832105;483210.5;1604.92;160.49;1253.24;125.32;578.92;57.89;1779.54;177.95;1418.28;141.83;239.25;23.92;44.18;4.42;0.14;307;30.7;1757.2;175.72;1612;161.2;836.38;83.64;2600.66;260.07;2233.94;223.39;1203.12;120.31;1631.64;163.16;1116.96;111.7;688.46;68.85;2324.32;2103.48;2545.29;2946.01;13;1.3;13;1.3
rizun & shallow _0 & regser;.;7;5;71.43;3409;487;6;0.86;8;1.14;15;2.14;28;4;55;7.86;14;2;7;1;21.43;415.13;51.35;16543;2363.29;12566;1795.14;3977;568.14;157;22.43;376;53.71;2794;399.14;1542;220.29;1252;178.86;22;3.14;119;17;286.78;40.97;212.21;30.32;2105;300.71;3111;444.43;722;103.14;1567.82;3377333;482476.16;1002.07;143.15;919.27;131.32;392.2;56.03;1277.56;182.51;916.93;130.99;119.06;17.01;29.87;4.27;0.11;279;39.86;1129.3;161.33;1084.1;154.87;509.22;72.75;1804.34;257.76;1470.32;210.05;843.24;120.46;1076.93;153.85;726.09;103.73;510.53;72.93;2442.44;2267.86;2620.46;3086.21;3;0.43;10;1.43
rizun & shallow _0 & regser;.;1;0;0.00;311;311;0;0;1;1;2;2;3;3;10;10;3;3;1;1;0;400;46.92;1876;1876;1326;1326;550;550;17;17;44;44;720;720;498;498;222;222;5;5;16;16;40.19;40.19;19.66;19.66;168;168;380;380;8;8;1410;376381;376381;148.3;148.3;107.11;107.11;27.33;27.33;151.49;151.49;119.4;119.4;11.85;11.85;3.05;3.05;0.12;26;26;156.2;156.2;118.9;118.9;59.49;59.49;223.25;223.25;183.59;183.59;99.14;99.14;138.53;138.53;93.7;93.7;50.51;50.51;2236;2311;2159;3153;1;1;2;2
rizun & shallow _0 & regser;.;4;3;75.00;1770;442.5;6;1.5;5;1.25;6;1.5;13;3.25;28;7;6;1.5;2;0.5;46.15;364.05;40.06;5347;1336.75;3217;804.25;2130;532.5;36;9;176;44;1178;294.5;643;160.75;535;133.75;8;2;46;11.5;146.44;36.61;64.01;16;709;177.25;409;102.25;155;38.75;1436.58;1192186;298046.5;490.47;122.62;302.74;75.68;122.66;30.67;528.07;132.02;357.88;89.47;29.94;7.48;10.4;2.6;0.1;99;24.75;436.1;109.03;436.9;109.22;177.14;44.28;738.73;184.68;634.78;158.69;281.1;70.28;465.32;116.33;282.21;70.55;168.36;42.09;2313.55;2308;2273.24;2859.17;0;0;6;1.5
