team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
regser & Syracks & insp1rinho75;;1;0;0.00;964;964;0;0;2;2;8;8;2;2;16;16;3;3;0;0;0;419;46.81;3720;3720;2375;2375;1345;1345;29;29;113;113;976;976;542;542;434;434;6;6;30;30;68.41;68.41;82.4;82.4;604;604;596;596;65;65;1532;765565;765565;234.5;234.5;211.69;211.69;76.77;76.77;288.33;288.33;196.82;196.82;37.81;37.81;9.29;9.29;0.12;78;78;264.1;264.1;256.6;256.6;126.99;126.99;395.98;395.98;374.94;374.94;148.03;148.03;293.64;293.64;141.06;141.06;88.26;88.26;2478;2224;2765;2982;4;4;0;0
regser & Syracks & insp1rinho75;"  ";1;1;100.00;558;558;2;2;0;0;1;1;6;6;6;6;3;3;1;1;33.33;457;43.42;2991;2991;2054;2054;937;937;25;25;84;84;600;600;382;382;218;218;4;4;19;19;44.11;44.11;47.12;47.12;445;445;447;447;17;17;1517;594087;594087;204.13;204.13;150.84;150.84;67.17;67.17;228.92;228.92;162.54;162.54;30.68;30.68;9.11;9.11;0.11;84;84;227.1;227.1;185.2;185.2;87.46;87.46;334.68;334.68;294.02;294.02;128.12;128.12;222.35;222.35;134.23;134.23;65.56;65.56;2474;2106;2769;3189;2;2;2;2
! & N4SCA;!;1;0;0.00;208;208;0;0;2;2;0;0;0;0;9;9;5;5;2;2;0;471;48.76;2393;2393;1640;1640;753;753;20;20;67;67;609;609;285;285;324;324;3;3;29;29;31.09;31.09;24.61;24.61;418;418;376;376;19;19;1546;469404;469404;153;153;122.08;122.08;56.96;56.96;191.6;191.6;126.67;126.67;13.77;13.77;6.88;6.88;0.11;60;60;177.2;177.2;139.7;139.7;86.9;86.9;245.14;245.14;206;206;126.04;126.04;147.32;147.32;108.71;108.71;76.01;76.01;2461;2237;2669;3182;2;2;1;1
regser & Syracks & insp1rinho75;! A1zy.;1;0;0.00;332;332;1;1;1;1;0;0;4;4;8;8;6;6;2;2;25;465;51.68;2707;2707;2205;2205;502;502;29;29;45;45;859;859;605;605;254;254;8;8;22;22;29.64;29.64;42.52;42.52;330;330;710;710;202;202;1538;484284;484284;172.29;172.29;120.58;120.58;58.22;58.22;201.8;201.8;132.21;132.21;17.1;17.1;4.31;4.31;0.13;33;33;149;149;172.2;172.2;109.68;109.68;241.42;241.42;177.76;177.76;173.34;173.34;110.01;110.01;136.13;136.13;104.96;104.96;2291;2132;2417;3011;1;1;1;1
regser & Syracks & insp1rinho75;! Digitalkiwi.;1;0;0.00;623;623;1;1;2;2;2;2;6;6;10;10;4;4;2;2;16.67;375;47.23;2211;2211;1431;1431;780;780;17;17;68;68;618;618;350;350;268;268;4;4;24;24;31.43;31.43;25.23;25.23;316;316;299;299;62;62;1550;541940;541940;173.05;173.05;136.8;136.8;70.62;70.62;204.39;204.39;151.4;151.4;24.68;24.68;4.24;4.24;0.12;35;35;201.6;201.6;153.6;153.6;71.7;71.7;308.78;308.78;238.33;238.33;142.14;142.14;181.2;181.2;115.79;115.79;83.48;83.48;2419;2138;2661;2899;0;0;1;1
regser & Syracks & insp1rinho75;! Khan.;1;1;100.00;963;963;2;2;0;0;6;6;7;7;17;17;2;2;1;1;28.57;385;49.45;3407;3407;2341;2341;1066;1066;27;27;83;83;682;682;463;463;219;219;5;5;19;19;58.93;58.93;39.24;39.24;359;359;217;217;40;40;1551;806837;806837;235.17;235.17;218.9;218.9;89.64;89.64;271.55;271.55;230.26;230.26;41.91;41.91;11.83;11.83;0.1;118;118;263.1;263.1;270.3;270.3;141.39;141.39;402.33;402.33;373.99;373.99;169.73;169.73;284.84;284.84;150.49;150.49;108.39;108.39;2038;1860;2267;2699;2;2;1;1
regser & Syracks & insp1rinho75;! Sultan.;4;2;50.00;1936;484;3;0.75;3;0.75;10;2.5;16;4;28;7;10;2.5;4;1;18.75;507.88;49.09;10190;2547.5;7470;1867.5;2720;680;93;23.25;225;56.25;2247;561.75;1438;359.5;809;202.25;17;4.25;73;18.25;121.87;30.47;100.91;25.23;2179;544.75;1892;473;275;68.75;1671.79;1854017;463504.25;428.48;107.12;455.53;113.88;296.2;74.05;683.47;170.87;443.85;110.96;52.88;13.22;20.25;5.06;0.08;237;59.25;623.9;155.98;510;127.5;280.36;70.09;899.85;224.96;731.69;182.92;448.52;112.13;539.82;134.96;370.53;92.63;269.89;67.47;2586.46;2366.19;2781.29;3306.09;2;0.5;3;0.75
regser & Syracks & insp1rinho75;(H* (JC1;2;1;50.00;1446;723;3;1.5;0;0;10;5;10;5;26;13;3;1.5;1;0.5;30;513.53;51.47;6656;3328;5304;2652;1352;676;67;33.5;123;61.5;1142;571;733;366.5;409;204.5;11;5.5;38;19;99.44;49.72;72.74;36.37;1166;583;1412;706;376;188;1589.03;1200742;600371;328.39;164.2;307.91;153.96;150.09;75.04;415.76;207.88;319.4;159.7;51.22;25.61;9.94;4.97;0.1;101;50.5;331.6;165.8;445.6;222.8;211.89;105.94;574.49;287.24;483.1;241.55;303.27;151.63;343.2;171.6;264.58;132.29;178.58;89.29;1961.63;1788.77;2150.16;2804.93;2;1;0;0
regser & Syracks & insp1rinho75;**********;5;1;20.00;1819;363.8;5;1;1;0.2;5;1;23;4.6;36;7.2;17;3.4;12;2.4;21.74;414.83;42.65;10008;2001.6;7622;1524.4;2386;477.2;89;17.8;216;43.2;2304;460.8;1498;299.6;806;161.2;16;3.2;71;14.2;255.4;51.08;114.59;22.92;837;167.4;1229;245.8;126;25.2;1540.68;2118289;423657.81;646.02;129.2;662.9;132.58;176.44;35.29;831.94;166.39;574.08;114.82;79.35;15.87;18.19;3.64;0.14;125;25;700;140;714.6;142.92;414.99;83;1070.36;214.07;893.71;178.74;591.68;118.34;633.68;126.74;510.42;102.08;341.26;68.25;2098.44;1916.59;2209.52;2790.78;3;0.6;2;0.4
regser & Syracks & insp1rinho75;***********;5;1;20.00;2568;513.6;6;1.2;6;1.2;7;1.4;21;4.2;42;8.4;19;3.8;12;2.4;28.57;492.12;49.55;13506;2701.2;10076;2015.2;3430;686;129;25.8;285;57;4160;832;2626;525.2;1534;306.8;34;6.8;113;22.6;245.96;49.19;197.01;39.4;3327;665.4;2759;551.8;715;143;1631.95;2607839;521567.81;696.4;139.28;632.35;126.47;393.57;78.71;971.58;194.32;637.87;127.57;112.86;22.57;36.65;7.33;0.12;300;60;777.5;155.5;867.5;173.5;521.36;104.27;1200.94;240.19;1043.28;208.66;679.04;135.81;761.27;152.25;533.49;106.7;427.55;85.51;2269.26;2080.55;2454.19;2952.97;7;1.4;4;0.8
