team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
velocity & Syracks & Reeyko;"   JWeyts   ";12;8;66.67;6830;569.17;17;1.42;10;0.83;31;2.58;41;3.42;112;9.33;24;2;16;1.33;41.46;432.4;51.28;27918;2326.5;20178;1681.5;7740;645;248;20.67;691;57.58;4679;389.92;2409;200.75;2270;189.17;30;2.5;208;17.33;328.93;27.41;506.46;42.2;3344;278.67;4703;391.92;691;57.58;1574.07;5591850;465987.5;1657.3;138.11;1414.61;117.88;737.57;61.46;1874.54;156.21;1681.52;140.13;253.43;21.12;58.51;4.88;0.12;467;38.92;1854.5;154.54;1778;148.17;908.92;75.74;2900.58;241.72;2628;219;1181.49;98.46;1931;160.92;1180.97;98.41;697.5;58.12;2359.14;2237.75;2448.04;3105.28;5;0.42;9;0.75
velocity & Syracks & Reeyko;! LeV;4;2;50.00;2434;608.5;7;1.75;3;0.75;8;2;19;4.75;34;8.5;10;2.5;5;1.25;36.84;454.87;51.65;11076;2769;8666;2166.5;2410;602.5;115;28.75;224;56;2623;655.75;1852;463;771;192.75;25;6.25;72;18;192.55;48.14;200.63;50.16;1391;347.75;2956;739;627;156.75;1599.28;2274324;568581;613.24;153.31;587.86;146.96;316.48;79.12;740.01;185;675.66;168.91;101.94;25.49;26.17;6.54;0.12;214;53.5;665.1;166.27;794.6;198.65;417.52;104.38;1100.08;275.02;889.91;222.48;627.68;156.92;615.52;153.88;507.2;126.8;394.87;98.72;2417.68;2259;2546.88;3092.18;6;1.5;3;0.75
velocity & Syracks & Reeyko;# F A A Y !;4;0;0.00;1626;406.5;2;0.5;2;0.5;9;2.25;7;1.75;41;10.25;13;3.25;5;1.25;28.57;447.76;46.41;10216;2554;7321;1830.25;2895;723.75;89;22.25;252;63;2158;539.5;1271;317.75;887;221.75;16;4;79;19.75;230.67;57.67;114.2;28.55;1841;460.25;1581;395.25;337;84.25;1544.57;1976275;494068.75;596.97;149.24;509.08;127.27;253.44;63.36;767.51;191.88;522.08;130.52;69.9;17.48;24.9;6.22;0.13;194;48.5;650.1;162.52;665;166.25;383.23;95.81;976.26;244.07;828.2;207.05;531.3;132.82;589.39;147.35;471.12;117.78;298.99;74.75;2195.38;1927.63;2401.91;2838.27;3;0.75;6;1.5
velocity & Syracks & Reeyko;& .FlowZ. &;2;2;100.00;1186;593;6;3;2;1;2;1;12;6;10;5;4;2;0;0;50;369;44.87;2816;1408;2056;1028;760;380;24;12;64;32;482;241;222;111;260;130;4;2;22;11;65.02;32.51;43.63;21.82;240;120;346;173;176;88;1551;603950;301975;199.78;99.89;173.01;86.5;69.1;34.55;229.67;114.84;181.27;90.63;30.95;15.48;9.38;4.69;0.14;68;34;191.5;95.75;201.2;100.6;88.06;44.03;353.82;176.91;258.09;129.04;183.79;91.9;183.13;91.57;162.14;81.07;96.62;48.31;2565.5;2418.5;2758;3388.5;0;0;0;0
velocity & Syracks & Reeyko;-trace;4;3;75.00;2939;734.75;13;3.25;4;1;6;1.5;23;5.75;35;8.75;12;3;6;1.5;56.52;370.75;40.06;8077;2019.25;5224;1306;2853;713.25;60;15;250;62.5;1647;411.75;820;205;827;206.75;9;2.25;73;18.25;211.61;52.9;96.77;24.19;670;167.5;716;179;95;23.75;1470.68;1819187;454796.75;711.56;177.89;459.97;114.99;190.46;47.61;701.01;175.25;588.67;147.17;72.33;18.08;17.57;4.39;0.12;148;37;659.4;164.85;599.3;149.83;300.67;75.17;1061.32;265.33;928.28;232.07;433.73;108.43;675.14;168.78;431.93;107.98;254.91;63.73;2238.32;2086.46;2326.88;3067.09;2;0.5;2;0.5
velocity & Syracks & Reeyko;.;1;0;0.00;274;274;0;0;0;0;3;3;1;1;10;10;6;6;3;3;0;416;29.48;997;997;642;642;355;355;7;7;31;31;154;154;100;100;54;54;1;1;5;5;39.39;39.39;8.85;8.85;269;269;57;57;0;0;1540;228411;228411;83.86;83.86;64.02;64.02;26.07;26.07;102.81;102.81;67.3;67.3;3.83;3.83;2.83;2.83;0.13;22;22;90.9;90.9;84;84;40.72;40.72;133.22;133.22;143.01;143.01;30.93;30.93;116.12;116.12;47.66;47.66;10.17;10.17;2236;1876;2381;2766;0;0;4;4
velocity & Syracks & Reeyko;.;6;3;50.00;2693;448.83;8;1.33;2;0.33;13;2.17;18;3;51;8.5;19;3.17;10;1.67;44.44;402.69;42.13;11654;1942.33;8208;1368;3446;574.33;95;15.83;298;49.67;2017;336.17;1172;195.33;845;140.83;13;2.17;77;12.83;305.21;50.87;129.68;21.61;1165;194.17;1227;204.5;106;17.67;1567.04;2401753;400292.16;745.13;124.19;629.77;104.96;292.91;48.82;838.83;139.8;742.71;123.79;86.27;14.38;40.99;6.83;0.13;309;51.5;778.4;129.73;844.1;140.68;444.13;74.02;1223.67;203.94;1088.21;181.37;579.59;96.6;801.31;133.55;538.14;89.69;328.35;54.73;2270.67;2152.02;2334.96;3149.28;6;1;10;1.67
velocity & Syracks & Reeyko;.;3;1;33.33;1973;657.67;4;1.33;4;1.33;9;3;10;3.33;27;9;9;3;6;2;40;458.31;48.44;7380;2460;5509;1836.33;1871;623.67;68;22.67;167;55.67;1321;440.33;811;270.33;510;170;10;3.33;47;15.67;82.44;27.48;92.1;30.7;815;271.67;1349;449.67;193;64.33;1597.8;1337651;445883.66;380.01;126.67;345.79;115.26;179.75;59.92;417.71;139.24;425.49;141.83;62.33;20.78;20.18;6.73;0.11;167;55.67;452.7;150.9;420.5;140.17;202.4;67.47;703.15;234.38;629.75;209.92;275.8;91.93;476.47;158.82;273.77;91.26;155.31;51.77;2255.56;1908.49;2544.69;2976.15;2;0.67;4;1.33
velocity & Syracks & Reeyko;.;1;0;0.00;244;244;1;1;0;0;1;1;2;2;7;7;4;4;1;1;50;488;45.23;904;904;722;722;182;182;9;9;16;16;131;131;103;103;28;28;2;2;3;3;9.57;9.57;5.54;5.54;160;160;185;185;104;104;1489;136907;136907;67.08;67.08;38.39;38.39;17.59;17.59;75.3;75.3;41.06;41.06;6.71;6.71;2.3;2.3;0.09;27;27;53.4;53.4;63.2;63.2;33.37;33.37;89.69;89.69;108.74;108.74;14.32;14.32;93.07;93.07;24.1;24.1;5.9;5.9;1953;2050;1860;2741;0;0;3;3
velocity & Syracks & Reeyko;.;10;6;60.00;5113;511.3;11;1.1;5;0.5;24;2.4;37;3.7;87;8.7;28;2.8;18;1.8;29.73;429.51;44.77;22885;2288.5;17271;1727.1;5614;561.4;210;21;471;47.1;5359;535.9;3521;352.1;1838;183.8;43;4.3;159;15.9;490.68;49.07;301.2;30.12;3514;351.4;3713;371.3;724;72.4;1609.89;4595160;459516;1299.52;129.95;1123.89;112.39;672.34;67.23;1594.32;159.43;1272.8;127.28;228.65;22.87;49.66;4.97;0.12;403;40.3;1392.8;139.28;1566.5;156.65;849.43;84.94;2246.32;224.63;2009.59;200.96;1086.18;108.62;1519.92;151.99;881.47;88.15;694.35;69.44;2308;2106.77;2500.13;2974.97;14;1.4;14;1.4
