team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
Snipe & ;;1;0;0.00;507;507;1;1;1;1;1;1;3;3;11;11;3;3;2;2;33.33;463;48.56;2741;2741;2143;2143;598;598;25;25;54;54;524;524;361;361;163;163;4;4;14;14;40.59;40.59;58.42;58.42;325;325;380;380;38;38;1566;512338;512338;157.94;157.94;130.24;130.24;61.15;61.15;192.1;192.1;138.53;138.53;18.7;18.7;7.34;7.34;0.13;58;58;195.1;195.1;150.9;150.9;72.61;72.61;276.72;276.72;235.71;235.71;113.61;113.61;178.04;178.04;105.02;105.02;66.27;66.27;2147;2050;2222;2834;3;3;2;2
t.tv/bellamyyy_ &  Cayyh;" Cayyh";1;0;0.00;388;388;1;1;0;0;2;2;4;4;7;7;3;3;2;2;25;399;45.24;1769;1769;1350;1350;419;419;15;15;37;37;249;249;100;100;149;149;1;1;13;13;36.61;36.61;29.97;29.97;167;167;149;149;7;7;1581;409100;409100;115.85;115.85;110.96;110.96;47.96;47.96;98.56;98.56;143.19;143.19;33.02;33.02;4.79;4.79;0.1;48;48;124.8;124.8;137.9;137.9;73.28;73.28;201.5;201.5;164.71;164.71;110.06;110.06;123.08;123.08;88.89;88.89;62.8;62.8;2089;1703;2409;3124;1;1;0;0
Jup. & Mat. & Kehvn;!;1;1;100.00;481;481;1;1;1;1;3;3;5;5;6;6;0;0;0;0;20;384;58.91;1938;1938;1538;1538;400;400;19;19;37;37;288;288;189;189;99;99;2;2;9;9;15.85;15.85;25.57;25.57;319;319;361;361;15;15;1531;409148;409148;126.9;126.9;102.36;102.36;49.24;49.24;165.66;165.66;100.83;100.83;12.02;12.02;5.46;5.46;0.09;59;59;160.4;160.4;113.4;113.4;38.24;38.24;240.26;240.26;198.17;198.17;80.34;80.34;153.89;153.89;74.78;74.78;49.84;49.84;2405;2175;2559;2818;0;0;1;1
Jup. & Mat. & Kehvn;!;6;2;33.33;3540;590;8;1.33;7;1.17;17;2.83;20;3.33;63;10.5;21;3.5;6;1;40;441.11;51.95;15675;2612.5;10471;1745.17;5204;867.33;133;22.17;458;76.33;3365;560.83;1752;292;1613;268.83;23;3.83;136;22.67;203.82;33.97;206.4;34.4;3093;515.5;2927;487.83;563;93.83;1614.4;3242354;540392.31;890.94;148.49;792.03;132.01;493.24;82.21;1195.85;199.31;878.94;146.49;101.42;16.9;47.61;7.93;0.12;397;66.17;1000.3;166.72;1066.8;177.8;595.31;99.22;1580.88;263.48;1399.68;233.28;776.51;129.42;1035.2;172.53;708.52;118.09;432.49;72.08;2253.88;2112.48;2362.45;2781.73;4;0.67;8;1.33
Jup. & Mat. & Kehvn;! Mayrox;3;1;33.33;1494;498;3;1;1;0.33;7;2.33;14;4.67;28;9.33;10;3.33;3;1;21.43;404.96;52.6;6506;2168.67;4967;1655.67;1539;513;63;21;139;46.33;1093;364.33;692;230.67;401;133.67;9;3;35;11.67;92.64;30.88;137;45.67;1333;444.33;1318;439.33;215;71.67;1504.5;1331766;443922;460.5;153.5;326.93;108.98;168.83;56.28;553.94;184.65;356.45;118.82;45.86;15.29;13.15;4.38;0.11;123;41;462.1;154.03;477.3;159.1;246.38;82.13;709.89;236.63;668.98;222.99;287.28;95.76;519.46;173.15;259.6;86.53;177.21;59.07;2245.33;1967.02;2482.49;2965.77;1;0.33;2;0.67
Jup. & Mat. & Kehvn;!!;2;0;0.00;666;333;1;0.5;0;0;3;1.5;8;4;18;9;7;3.5;3;1.5;12.5;497.44;50.5;5573;2786.5;4054;2027;1519;759.5;49;24.5;146;73;847;423.5;349;174.5;498;249;4;2;45;22.5;63.14;31.57;76.9;38.45;1118;559;951;475.5;64;32;1656.56;1080532;540266;274.14;137.07;253.77;126.88;169.06;84.53;389.82;194.91;264.53;132.26;42.62;21.31;13.24;6.62;0.11;118;59;396.6;198.3;283.6;141.8;194.54;97.27;502.45;251.23;442.53;221.26;254.45;127.22;331.79;165.9;219.96;109.98;145.22;72.61;2474.37;2203.74;2704.26;3165.14;1;0.5;2;1
Jup. & Mat. & Kehvn;!carolo;1;1;100.00;681;681;3;3;0;0;3;3;3;3;5;5;1;1;0;0;100;302;55.76;1234;1234;922;922;312;312;11;11;29;29;496;496;365;365;131;131;5;5;12;12;11.34;11.34;26.94;26.94;76;76;181;181;138;138;1475;241007;241007;102.04;102.04;52.55;52.55;31.31;31.31;106.92;106.92;66.49;66.49;12.49;12.49;3.3;3.3;0.1;34;34;82.4;82.4;81.3;81.3;33.72;33.72;152.17;152.17;105.42;105.42;80.48;80.48;82.06;82.06;58.36;58.36;45.48;45.48;2515;2568;2460;3232;0;0;1;1
!ols & M <3 & ymarshyy;!ols;9;4;44.44;5494;610.44;11;1.22;8;0.89;32;3.56;29;3.22;98;10.89;29;3.22;17;1.89;37.93;449.12;44.12;21880;2431.11;14727;1636.33;7153;794.78;177;19.67;621;69;4147;460.78;2003;222.56;2144;238.22;25;2.78;193;21.44;335.8;37.31;257.46;28.61;1869;207.67;1996;221.78;184;20.44;1537.58;4230232;470025.78;1341.15;149.02;1136.65;126.29;491.21;54.58;1538.77;170.97;1256.8;139.64;173.47;19.27;71.36;7.93;0.1;727;80.78;1460;162.22;1374.6;152.73;830.42;92.27;2138.58;237.62;1998.45;222.05;970.55;107.84;1507.19;167.47;905.43;100.6;556.39;61.82;2256.55;2019;2489.2;2997.42;10;1.11;11;1.22
Jup. & Mat. & Kehvn;!saphiix;2;2;100.00;1576;788;5;2.5;2;1;6;3;14;7;21;10.5;3;1.5;1;0.5;35.71;428.48;49.13;5062;2531;3395;1697.5;1667;833.5;41;20.5;145;72.5;1354;677;827;413.5;527;263.5;10;5;47;23.5;51.34;25.67;45.49;22.74;724;362;771;385.5;179;89.5;1640.45;1101431;550715.5;271.76;135.88;305.59;152.79;134.46;67.23;354.85;177.43;315.56;157.78;41.39;20.69;20.8;10.4;0.09;230;115;294.9;147.45;408.8;204.4;202.86;101.43;508.95;254.47;463.32;231.66;248.49;124.24;322.36;161.18;249.94;124.97;139.51;69.76;2224.52;2146.21;2334.85;3081.67;4;2;4;2
Jup. & Mat. & Kehvn;"""!";1;1;100.00;472;472;2;2;2;2;0;0;5;5;7;7;1;1;1;1;40;495;46.09;2221;2221;1785;1785;436;436;20;20;40;40;370;370;187;187;183;183;2;2;16;16;44.31;44.31;31.77;31.77;531;531;207;207;12;12;1612;433736;433736;114.05;114.05;117.23;117.23;56.98;56.98;155.85;155.85;115.7;115.7;16.71;16.71;5.8;5.8;0.13;45;45;158.2;158.2;113.4;113.4;72.17;72.17;216.09;216.09;197.11;197.11;91.15;91.15;142.36;142.36;88.93;88.93;56.97;56.97;2431;2214;2669;2926;1;1;0;0
