team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
velocity & Syracks & Linearrrrr.;;1;1;100.00;661;661;2;2;0;0;4;4;6;6;12;12;2;2;1;1;33.33;414;45.76;2416;2416;1687;1687;729;729;20;20;68;68;730;730;435;435;295;295;5;5;27;27;32;32;30.2;30.2;270;270;345;345;80;80;1592;521946;521946;143.6;143.6;160.22;160.22;46.68;46.68;181.11;181.11;144.69;144.69;24.7;24.7;7.31;7.31;0.12;61;61;154.8;154.8;184.6;184.6;93.98;93.98;256.52;256.52;228.48;228.48;122.02;122.02;164.96;164.96;110.93;110.93;74.61;74.61;2170;2094;2248;3188;0;0;1;1
velocity & Syracks & Linearrrrr.;!;8;6;75.00;4665;583.12;13;1.62;9;1.12;18;2.25;47;5.88;61;7.62;20;2.5;10;1.25;27.66;409.03;49.02;17763;2220.38;13569;1696.12;4194;524.25;167;20.88;378;47.25;4099;512.38;2811;351.38;1288;161;32;4;115;14.38;337.79;42.22;269.61;33.7;2241;280.12;3097;387.12;447;55.88;1508.85;3525971;440746.38;1200.75;150.09;931.9;116.49;405.34;50.67;1375.11;171.89;1040.15;130.02;122.72;15.34;30.2;3.77;0.15;199;24.88;1229.8;153.73;1171.5;146.44;562.31;70.29;1975.68;246.96;1496.51;187.06;1041.49;130.19;1047.14;130.89;859.91;107.49;630.91;78.86;2192.35;2023.85;2314.08;2931.09;8;1;4;0.5
velocity & Syracks & Linearrrrr.;!;2;1;50.00;872;436;1;0.5;1;0.5;5;2.5;2;1;20;10;6;3;3;1.5;50;483.53;52.65;5883;2941.5;4388;2194;1495;747.5;60;30;142;71;1302;651;764;382;538;269;10;5;52;26;91.11;45.56;96.65;48.33;1303;651.5;1579;789.5;263;131.5;1697.46;1136104;568052;268.53;134.26;285.39;142.7;172.61;86.31;397.6;198.8;293.37;146.68;35.57;17.78;16.53;8.26;0.11;145;72.5;287.7;143.85;395.9;197.95;220.28;110.14;506.24;253.12;432.36;216.18;294.17;147.08;318.33;159.16;243.16;121.58;165.05;82.53;2030.74;1942.18;2117.69;2696.46;6;3;1;0.5
velocity & Syracks & Linearrrrr.;! Ghassan;11;6;54.55;5593;508.45;19;1.73;9;0.82;15;1.36;48;4.36;81;7.36;32;2.91;11;1;39.58;436.29;49.44;27321;2483.73;18905;1718.64;8416;765.09;247;22.45;734;66.73;5114;464.91;2428;220.73;2686;244.18;35;3.18;232;21.09;406.09;36.92;426.96;38.81;5128;466.18;5827;529.73;1107;100.64;1567.62;5408016;491637.81;1657.32;150.67;1443.49;131.23;635.67;57.79;2269.99;206.36;1328.85;120.8;137.62;12.51;66.64;6.06;0.1;653;59.36;1906.2;173.29;1641.7;149.25;860.21;78.2;2876.24;261.48;2424.36;220.4;1312.12;119.28;1735.34;157.76;1276.97;116.09;724.17;65.83;2530.63;2463.12;2570.19;3119.22;4;0.36;13;1.18
velocity & Syracks & Linearrrrr.;! Noah;4;1;25.00;2176;544;6;1.5;3;0.75;12;3;12;3;42;10.5;18;4.5;7;1.75;50;409.65;45.81;9121;2280.25;6016;1504;3105;776.25;76;19;269;67.25;1802;450.5;1112;278;690;172.5;14;3.5;64;16;188.7;47.18;123.51;30.88;929;232.25;1673;418.25;325;81.25;1593.46;1871367;467841.75;551.53;137.88;534.15;133.54;212.17;53.04;708.21;177.05;510.77;127.69;78.87;19.72;19.73;4.93;0.12;159;39.75;601.8;150.45;600.9;150.22;359.16;89.79;938.69;234.67;899.63;224.91;398.21;99.55;677.78;169.45;389.95;97.49;230.13;57.53;2408.1;2320.1;2479.45;3053.59;1;0.25;2;0.5
velocity & Syracks & Linearrrrr.;! Sultan.;1;1;100.00;695;695;3;3;1;1;2;2;5;5;9;9;3;3;1;1;60;487;48.25;2359;2359;1847;1847;512;512;22;22;44;44;444;444;300;300;144;144;3;3;12;12;27.14;27.14;32.6;32.6;350;350;355;355;0;0;1566;389142;389142;130.5;130.5;94.08;94.08;54.23;54.23;165.81;165.81;109.15;109.15;3.85;3.85;4.76;4.76;0.1;50;50;162.4;162.4;108.1;108.1;54.95;54.95;223.86;223.86;201.65;201.65;77.15;77.15;156.45;156.45;81.54;81.54;40.82;40.82;2702;2994;2445;3135;1;1;5;5
velocity & Syracks & Linearrrrr.;! wikixi;3;2;66.67;1667;555.67;4;1.33;1;0.33;7;2.33;16;5.33;21;7;7;2.33;4;1.33;25;440.01;52.08;7146;2382;4786;1595.33;2360;786.67;65;21.67;213;71;2783;927.67;1686;562;1097;365.67;20;6.67;94;31.33;78.87;26.29;141.78;47.26;1333;444.33;1847;615.67;342;114;1661.24;1495862;498620.66;366.54;122.18;344.17;114.72;250.88;83.63;490.47;163.49;413.14;137.71;57.98;19.33;15.59;5.2;0.14;115;38.33;431.3;143.77;494.5;164.83;248.5;82.83;713.09;237.7;498.45;166.15;463.14;154.38;328.21;109.4;312.11;104.04;321.27;107.09;2329.58;1874.7;2781.15;3130.25;3;1;2;0.67
velocity & Syracks & Linearrrrr.;!evas a tahW;1;0;0.00;504;504;0;0;0;0;4;4;0;0;10;10;1;1;0;0;0;473;47.02;2445;2445;1813;1813;632;632;21;21;49;49;493;493;400;400;93;93;4;4;8;8;62.27;62.27;41.88;41.88;228;228;290;290;0;0;1580;482166;482166;125.22;125.22;138.55;138.55;50.15;50.15;135.99;135.99;148.74;148.74;29.19;29.19;6.25;6.25;0.11;58;58;146.9;146.9;168.6;168.6;106.13;106.13;207.79;207.79;212.58;212.58;101.34;101.34;163.7;163.7;93.5;93.5;56.72;56.72;2199;1834;2616;2841;2;2;2;2
!saphiix & Owenya~;!saphiix;2;0;0.00;524;262;0;0;1;0.5;1;0.5;1;0.5;16;8;7;3.5;3;1.5;0;487.68;49.88;5185;2592.5;3612;1806;1573;786.5;46;23;129;64.5;1112;556;632;316;480;240;7;3.5;41;20.5;82.63;41.31;50.93;25.47;1050;525;980;490;77;38.5;1752.66;1075628;537814;199.15;99.57;274.89;137.45;176.75;88.38;284.57;142.29;311.02;155.51;55.19;27.6;13.09;6.55;0.08;167;83.5;285.7;142.85;347.9;173.95;211.74;105.87;439.05;219.52;413.05;206.52;237.74;118.87;282.53;141.26;223.67;111.83;144.59;72.29;2534.31;2180.34;2826.18;3363.63;3;1.5;3;1.5
velocity & Syracks & Linearrrrr.;(F 9,',00;2;2;100.00;1585;792.5;5;2.5;4;2;5;2.5;13;6.5;22;11;5;2.5;2;1;38.46;502.67;48.81;5799;2899.5;4712;2356;1087;543.5;59;29.5;101;50.5;1685;842.5;1325;662.5;360;180;17;8.5;35;17.5;73.48;36.74;61.08;30.54;1234;617;1107;553.5;379;189.5;1643.69;1060515;530257.5;284.46;142.23;247.35;123.68;172.9;86.45;396.65;198.32;268.92;134.46;39.14;19.57;8.1;4.05;0.12;65;32.5;309.7;154.85;361.7;180.85;182.21;91.1;522.51;261.26;445.04;222.52;259.68;129.84;338.01;169.01;202.99;101.49;163.72;81.86;2394.82;2074.44;2750.37;3089.39;6;3;5;2.5
