team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
tybu & easy & Kehvn;"   JWeyts   ";2;1;50.00;983;491.5;4;2;1;0.5;4;2;7;3.5;11;5.5;5;2.5;2;1;57.14;478.71;46.94;3488;1744;2557;1278.5;931;465.5;32;16;79;39.5;563;281.5;360;180;203;101.5;5;2.5;17;8.5;50.23;25.11;64.45;32.22;345;172.5;659;329.5;141;70.5;1659.35;622989;311494.5;162.09;81.04;161.07;80.53;92.54;46.27;206.94;103.47;184.2;92.1;24.58;12.29;6.9;3.45;0.1;68;34;165.9;82.95;215;107.5;109.92;54.96;305.79;152.9;286.74;143.37;128.98;64.49;204.24;102.12;141.61;70.81;69.86;34.93;2489.93;2341.04;2557.46;3089.03;2;1;1;0.5
tybu & easy & Kehvn;!;8;5;62.50;5598;699.75;9;1.12;5;0.62;31;3.88;44;5.5;92;11.5;24;3;13;1.62;20.45;452.85;50.68;24912;3114;17309;2163.62;7603;950.38;226;28.25;638;79.75;5923;740.38;3382;422.75;2541;317.62;40;5;214;26.75;288.38;36.05;367.82;45.98;1668;208.5;3495;436.88;386;48.25;1556.48;4800369;600046.12;1485.5;185.69;1233.45;154.18;567.13;70.89;1666.02;208.25;1316.64;164.58;303.4;37.92;79.28;9.91;0.09;861;107.62;1526.3;190.79;1595.8;199.48;789.15;98.64;2496.93;312.12;2055.09;256.89;1230.98;153.87;1527.84;190.98;1022.01;127.75;736.23;92.03;2044.61;1841.34;2251.04;2883.71;5;0.62;4;0.5
tybu & easy & Kehvn;! Ghassan;6;0;0.00;2706;451;5;0.83;4;0.67;15;2.5;23;3.83;62;10.33;23;3.83;8;1.33;21.74;434.72;50.47;14484;2414;10683;1780.5;3801;633.5;133;22.17;333;55.5;2906;484.33;1684;280.67;1222;203.67;20;3.33;103;17.17;225.08;37.51;283.02;47.17;2347;391.17;2833;472.17;349;58.17;1506.63;2788660;464776.66;953.37;158.9;769.59;128.26;260.94;43.49;1173.77;195.63;708.28;118.05;101.85;16.98;39.87;6.64;0.1;376;62.67;1048.4;174.73;870.7;145.12;503.01;83.83;1480.87;246.81;1334.1;222.35;649.8;108.3;974.22;162.37;651.92;108.65;357.75;59.62;2610.6;2323.75;2823.23;3243.71;5;0.83;5;0.83
tybu & easy & Kehvn;! Sultan.;5;3;60.00;2598;519.6;9;1.8;7;1.4;7;1.4;18;3.6;22;4.4;10;2;6;1.2;50;493.62;47.89;10335;2067;7974;1594.8;2361;472.2;99;19.8;210;42;1793;358.6;989;197.8;804;160.8;13;2.6;70;14;132.72;26.54;110.53;22.11;2531;506.2;1849;369.8;311;62.2;1696.54;1894484;378896.81;470.23;94.05;464.14;92.83;309.31;61.86;718.87;143.77;456.7;91.34;68.11;13.62;20.14;4.03;0.09;222;44.4;651.2;130.24;493.3;98.66;261.66;52.33;982.04;196.41;796.8;159.36;446.88;89.38;568.48;113.7;415.71;83.14;259.52;51.9;2613.26;2428.34;2776.33;3268.3;5;1;0;0
tybu & easy & Kehvn;! Z H E N #;4;4;100.00;2264;566;5;1.25;3;0.75;6;1.5;23;5.75;35;8.75;9;2.25;4;1;21.74;432.47;50.44;10784;2696;7310;1827.5;3474;868.5;96;24;310;77.5;2025;506.25;907;226.75;1118;279.5;13;3.25;97;24.25;112.94;28.24;126.57;31.64;1465;366.25;2344;586;413;103.25;1568.92;2126523;531630.75;671.33;167.83;526.85;131.71;260.86;65.21;807.49;201.87;537.07;134.27;114.47;28.62;27.47;6.87;0.14;199;49.75;722.4;180.6;697.9;174.47;319.13;79.78;1139.9;284.97;876.28;219.07;582.77;145.69;609.35;152.34;518.62;129.65;331.08;82.77;2226.88;2071.27;2391.66;3063.22;5;1.25;5;1.25
$Zerno & stizzy;$Zerno;1;0;0.00;226;226;1;1;0;0;0;0;3;3;6;6;4;4;1;1;33.33;430;41.71;1285;1285;930;930;355;355;11;11;34;34;311;311;200;200;111;111;2;2;11;11;35.57;35.57;9.24;9.24;271;271;186;186;9;9;1739;294370;294370;68.57;68.57;66.15;66.15;58.91;58.91;105.18;105.18;82.08;82.08;6.37;6.37;3.77;3.77;0.11;33;33;85.9;85.9;88.3;88.3;43.88;43.88;149.74;149.74;122.05;122.05;71.57;71.57;88.97;88.97;64.23;64.23;40.42;40.42;2685;2525;2753;3063;0;0;0;0
Angel. <3 & &;&;1;0;0.00;835;835;1;1;0;0;7;7;2;2;15;15;4;4;3;3;50;409;46.19;2974;2974;2013;2013;961;961;22;22;76;76;616;616;400;400;216;216;4;4;19;19;52.59;52.59;30.45;30.45;340;340;190;190;2;2;1522;621532;621532;207.39;207.39;151.35;151.35;79.76;79.76;240.01;240.01;174.81;174.81;23.68;23.68;7.1;7.1;0.12;59;59;216.1;216.1;198.4;198.4;108.76;108.76;329.74;329.74;302.19;302.19;136.3;136.3;229.12;229.12;138.07;138.07;71.31;71.31;2114;1883;2330;2630;2;2;1;1
+1 & Eibur;+1;1;1;100.00;482;482;2;2;0;0;1;1;7;7;4;4;1;1;0;0;28.57;488;46.53;2669;2669;2175;2175;494;494;26;26;48;48;529;529;300;300;229;229;4;4;22;22;37.1;37.1;61.08;61.08;419;419;436;436;103;103;1498;465461;465461;158.04;158.04;116.53;116.53;51.47;51.47;175.51;175.51;124.88;124.88;25.65;25.65;7.23;7.23;0.11;63;63;134.2;134.2;186.3;186.3;78.11;78.11;247.93;247.93;162.23;162.23;163.81;163.81;98.29;98.29;140.09;140.09;87.66;87.66;2282;2140;2400;3267;3;3;1;1
tybu & easy & Kehvn;-Kryy\;5;4;80.00;3261;652.2;11;2.2;4;0.8;12;2.4;30;6;35;7;6;1.2;4;0.8;36.67;447.28;45.98;10138;2027.6;7896;1579.2;2242;448.4;98;19.6;199;39.8;2209;441.8;1349;269.8;860;172;14;2.8;69;13.8;199.48;39.9;175.41;35.08;1747;349.4;1858;371.6;51;10.2;1609.95;2124449;424889.81;568.83;113.77;547.49;109.5;297.07;59.41;735.22;147.04;601.61;120.32;76.57;15.31;30.1;6.02;0.11;282;56.4;671.4;134.28;676.4;135.28;292.18;58.44;1121.21;224.24;897.58;179.52;515.81;103.16;668.62;133.72;415.83;83.17;328.97;65.79;2255.51;1972.62;2539.19;2927.14;4;0.8;3;0.6
tybu & easy & Kehvn;-breyyn;2;0;0.00;1044;522;2;1;1;0.5;4;2;11;5.5;18;9;8;4;5;2.5;18.18;366.48;51.55;4306;2153;2830;1415;1476;738;39;19.5;127;63.5;1430;715;837;418.5;593;296.5;11;5.5;48;24;43.54;21.77;78.68;39.34;362;181;1042;521;287;143.5;1608.44;1003740;501870;284.47;142.23;258.81;129.4;130.99;65.49;366.85;183.42;274.91;137.46;32.52;16.26;12.25;6.12;0.12;101;50.5;320.9;160.45;319.8;159.9;145.61;72.81;528.66;264.33;427.88;213.94;246.4;123.2;311.75;155.88;204.05;102.03;158.48;79.24;2235.07;2099.39;2325.11;2890.04;1;0.5;1;0.5
