team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
" & Trammer.";;1;0;0.00;163;163;0;0;0;0;2;2;0;0;5;5;3;3;0;0;0;453;53.08;1028;1028;773;773;255;255;8;8;22;22;11;11;0;0;11;11;0;0;1;1;12.26;12.26;1.89;1.89;69;69;26;26;0;0;1526;185861;185861;59.47;59.47;54.75;54.75;18.8;18.8;69.49;69.49;60.26;60.26;3.26;3.26;2.63;2.63;0.06;44;44;81.5;81.5;37.4;37.4;32.02;32.02;100.99;100.99;100.78;100.78;32.23;32.23;73.65;73.65;51.12;51.12;8.25;8.25;2478;2316;2526;2675;0;0;0;0
Kehvn & Reevo & Syracks;;1;1;100.00;619;619;3;3;0;0;2;2;5;5;8;8;2;2;0;0;60;485;48.06;2176;2176;1740;1740;436;436;19;19;39;39;434;434;269;269;165;165;3;3;15;15;28.75;28.75;26.54;26.54;194;194;166;166;37;37;1584;409155;409155;115.77;115.77;118.84;118.84;49.86;49.86;141.84;141.84;119.61;119.61;23.01;23.01;7;7;0.12;58;58;116.4;116.4;145;145;76.35;76.35;208.11;208.11;169.81;169.81;114.65;114.65;110.29;110.29;96.74;96.74;77.43;77.43;2267;2224;2317;3006;0;0;0;0
Kehvn & Reevo & Syracks;"  ";2;2;100.00;1256;628;2;1;4;2;6;3;6;3;12;6;4;2;2;1;33.33;429.5;42.92;4443;2221.5;3427;1713.5;1016;508;42;21;89;44.5;1109;554.5;761;380.5;348;174;8;4;30;15;80.77;40.39;72.93;36.47;537;268.5;749;374.5;34;17;1525.5;892824;446412;312.58;156.29;209.82;104.91;115.65;57.82;347.28;173.64;254.5;127.25;36.26;18.13;12.28;6.14;0.11;104;52;316.1;158.05;294.5;147.25;177.99;89;460.05;230.02;449.93;224.96;188.12;94.06;344.61;172.3;181.33;90.66;112.11;56.06;2184.5;2238.5;2143.5;2647.5;4;2;4;2
Kehvn & Reevo & Syracks;!;9;5;55.56;3344;371.56;12;1.33;5;0.56;12;1.33;29;3.22;57;6.33;24;2.67;11;1.22;41.38;416.98;46.75;14583;1620.33;9580;1064.44;5003;555.89;117;13;431;47.89;3424;380.44;1881;209;1543;171.44;23;2.56;132;14.67;270.72;30.08;194.77;21.64;2987;331.89;2264;251.56;469;52.11;1612.87;3096245;344027.22;973.78;108.2;791.55;87.95;441.3;49.03;1262.83;140.31;838.39;93.15;105.42;11.71;40.61;4.51;0.11;375;41.67;1045.2;116.13;1101.6;122.4;628.82;69.87;1577.79;175.31;1412.69;156.97;793.92;88.21;1066.02;118.45;648.93;72.1;491.65;54.63;2432.59;2353.74;2469.07;2953.68;6;0.67;6;0.67
Kehvn & Reevo & Syracks;!;7;3;42.86;3833;547.57;11;1.57;4;0.57;14;2;38;5.43;54;7.71;22;3.14;13;1.86;28.95;399.63;47.73;14937;2133.86;10675;1525;4262;608.86;132;18.86;357;51;3391;484.43;1949;278.43;1442;206;25;3.57;117;16.71;243.29;34.76;231.63;33.09;1773;253.29;2485;355;569;81.29;1566.83;3268910;466987.16;980.5;140.07;883.94;126.28;386.07;55.15;1118.82;159.83;983.01;140.43;148.64;21.23;32.34;4.62;0.1;336;48;990.4;141.49;1160.7;165.81;621.16;88.74;1629.33;232.76;1416.02;202.29;834.47;119.21;995.37;142.2;731.86;104.55;523.26;74.75;2124.05;1898.08;2352.25;2674.07;6;0.86;1;0.14
Kehvn & Reevo & Syracks;! A1zy.;3;0;0.00;1444;481.33;4;1.33;0;0;7;2.33;14;4.67;25;8.33;11;3.67;4;1.33;28.57;418.15;48.74;7044;2348;5317;1772.33;1727;575.67;64;21.33;154;51.33;1722;574;1094;364.67;628;209.33;11;3.67;58;19.33;105.28;35.09;85.8;28.6;845;281.67;1095;365;17;5.67;1555.87;1485871;495290.34;468.38;156.13;396.73;132.24;173.55;57.85;528.81;176.27;454.15;151.38;55.69;18.56;10.57;3.52;0.11;97;32.33;469.1;156.37;525.4;175.13;321.38;107.13;717.26;239.09;641.14;213.71;397.5;132.5;428.57;142.86;360.86;120.29;249.2;83.07;2389.31;2214.3;2519.18;3039.38;3;1;1;0.33
Kehvn & Reevo & Syracks;!evas a tahW;4;1;25.00;1991;497.75;5;1.25;1;0.25;9;2.25;10;2.5;34;8.5;12;3;5;1.25;50;466.14;47.24;9665;2416.25;7378;1844.5;2287;571.75;83;20.75;205;51.25;1622;405.5;839;209.75;783;195.75;11;2.75;72;18;180.53;45.13;193;48.25;1298;324.5;1033;258.25;284;71;1602.12;1872034;468008.5;500.03;125.01;493.05;123.26;256.15;64.04;598.61;149.65;556.68;139.17;93.94;23.48;21.83;5.46;0.09;229;57.25;602.2;150.55;599.4;149.85;348.51;87.13;900.73;225.18;789.01;197.25;460.24;115.06;555.17;138.79;418.59;104.65;275.5;68.88;2305.07;2026.37;2560.03;3013.89;8;2;3;0.75
YUS1F & ******* Hayzeas;******* Hayzeas;1;0;0.00;251;251;0;0;0;0;1;1;0;0;8;8;5;5;2;2;0;389;45.86;2225;2225;1779;1779;446;446;20;20;39;39;383;383;314;314;69;69;4;4;6;6;39.3;39.3;29.51;29.51;193;193;132;132;85;85;1511;468836;468836;163.94;163.94;136.81;136.81;45.12;45.12;233.92;233.92;105.78;105.78;6.17;6.17;5.93;5.93;0.1;60;60;172.8;172.8;163.5;163.5;96.39;96.39;249.48;249.48;249.72;249.72;96.15;96.15;196.18;196.18;95.12;95.12;54.57;54.57;2513;2363;2609;2876;1;1;2;2
Kehvn & Reevo & Syracks;**********;2;1;50.00;893;446.5;3;1.5;2;1;2;1;8;4;11;5.5;5;2.5;2;1;37.5;439.52;43.98;3358;1679;2452;1226;906;453;30;15;71;35.5;511;255.5;100;50;411;205.5;1;0.5;27;13.5;55.81;27.9;37.39;18.69;190;95;553;276.5;0;0;1463.95;622419;311209.5;230.51;115.25;184.95;92.48;47.58;23.79;241.99;120.99;188.04;94.02;33.01;16.51;7.54;3.77;0.14;54;27;237.7;118.85;199.1;99.55;82.31;41.15;380.73;190.37;278.3;139.15;184.75;92.38;198.76;99.38;175.62;87.81;88.67;44.33;2384.38;2176.38;2495.77;3068.95;0;0;2;1
Kehvn & Reevo & Syracks;***********;3;3;100.00;1927;642.33;7;2.33;5;1.67;4;1.33;14;4.67;22;7.33;7;2.33;4;1.33;50;441.26;53.92;7741;2580.33;5866;1955.33;1875;625;71;23.67;173;57.67;1974;658;1432;477.33;542;180.67;18;6;50;16.67;118.75;39.58;101.7;33.9;1498;499.33;1212;404;400;133.33;1575.36;1542489;514163;469.41;156.47;409.47;136.49;187.63;62.54;621.9;207.3;375.81;125.27;68.8;22.93;22.65;7.55;0.11;199;66.33;480.5;160.17;528.7;176.23;239.81;79.94;826.7;275.57;681.82;227.27;384.69;128.23;503.47;167.82;338.53;112.84;224.53;74.84;2321.67;2167.62;2409.56;3010.77;2;0.67;5;1.67
