team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
insp1re & trbo.exe & Mat.;!;3;1;33.33;529;176.33;1;0.33;0;0;3;1;8;2.67;21;7;9;3;5;1.67;12.5;418.05;52.94;4171;1390.33;2799;933;1372;457.33;38;12.67;122;40.67;719;239.67;345;115;374;124.67;5;1.67;35;11.67;48.89;16.3;59.54;19.85;794;264.67;1052;350.67;189;63;1641.61;853025;284341.66;324.15;108.05;191.34;63.78;148.54;49.51;408.05;136.02;220.9;73.63;35.07;11.69;10.6;3.53;0.13;90;30;318.8;106.27;375.6;125.2;168.1;56.03;495.94;165.31;507.86;169.29;156.17;52.06;410.71;136.9;166.49;55.5;86.82;28.94;2566.54;2161.43;2543.35;3055.97;1;0.33;0;0
insp1re & trbo.exe & Mat.;(?);2;1;50.00;872;436;2;1;0;0;3;1.5;6;3;20;10;4;2;2;1;33.33;519.14;54.56;5931;2965.5;4685;2342.5;1246;623;62;31;118;59;1828;914;1345;672.5;483;241.5;15;7.5;43;21.5;86.28;43.14;82.87;41.43;1230;615;1628;814;168;84;1669.33;1075357;537678.5;255.37;127.68;223.69;111.85;202.46;101.23;293.01;146.51;332.31;166.15;56.19;28.09;8.93;4.47;0.09;101;50.5;333.7;166.85;327;163.5;169.28;84.64;512.23;256.11;450.16;225.08;231.35;115.68;346.89;173.45;188.65;94.32;145.98;72.99;2412.82;2175.84;2697.25;3215.47;2;1;3;1.5
******* & WardenKL;*******;1;0;0.00;282;282;0;0;1;1;2;2;3;3;12;12;4;4;2;2;0;491;46.96;3347;3347;2591;2591;756;756;32;32;51;51;674;674;391;391;283;283;4;4;17;17;96.82;96.82;39.81;39.81;401;401;608;608;8;8;1566;577437;577437;169.85;169.85;149.42;149.42;80.06;80.06;201.45;201.45;181.6;181.6;16.27;16.27;7.71;7.71;0.2;38;38;188.2;188.2;192.9;192.9;102.23;102.23;297.1;297.1;268.66;268.66;130.67;130.67;198.53;198.53;133.16;133.16;67.64;67.64;2729;2826;2673;3102;0;0;1;1
GymLiions ****** & **********;**********;1;0;0.00;298;298;1;1;0;0;0;0;5;5;9;9;4;4;1;1;20;432;46.72;1852;1852;1135;1135;717;717;15;15;55;55;452;452;230;230;222;222;3;3;20;20;26.71;26.71;27.27;27.27;169;169;389;389;79;79;1609;375638;375638;100.05;100.05;109.21;109.21;43.41;43.41;132.48;132.48;98.7;98.7;21.5;21.5;3.47;3.47;0.09;40;40;114.8;114.8;122;122;66.95;66.95;185.73;185.73;159.44;159.44;93.24;93.24;121.96;121.96;67.02;67.02;63.69;63.69;1933;1296;2422;2988;0;0;2;2
insp1re & trbo.exe & Mat.;**********;2;2;100.00;1347;673.5;5;2.5;1;0.5;5;2.5;12;6;12;6;5;2.5;4;2;41.67;472.69;45.91;5727;2863.5;4381;2190.5;1346;673;52;26;117;58.5;1366;683;916;458;450;225;11;5.5;39;19.5;58.56;29.28;96.47;48.24;670;335;831;415.5;186;93;1618.96;1092205;546102.5;288.9;144.45;304.35;152.18;138.26;69.13;357.69;178.85;330.57;165.29;43.25;21.62;14.19;7.09;0.07;188;94;381.4;190.7;315.6;157.8;166.48;83.24;565.03;282.52;468.09;234.04;263.42;131.71;338.49;169.24;217.96;108.98;175.07;87.54;2192.22;1943.96;2413.15;2828.02;2;1;0;0
insp1re & trbo.exe & Mat.;--;2;2;100.00;963;481.5;4;2;2;1;1;0.5;10;5;8;4;1;0.5;1;0.5;40;514.13;46.77;4182;2091;2849;1424.5;1333;666.5;34;17;119;59.5;1195;597.5;792;396;403;201.5;9;4.5;35;17.5;59.84;29.92;50.89;25.44;977;488.5;575;287.5;106;53;1688.9;802921;401460.5;178.66;89.33;214.61;107.31;115.31;57.65;265.47;132.74;204.75;102.38;38.36;19.18;9.45;4.72;0.11;86;43;210.9;105.45;266.6;133.3;136.75;68.38;371.82;185.91;296.32;148.16;212.26;106.13;203.95;101.97;165.51;82.75;139.14;69.57;2267.34;2097.03;2469.78;3312.28;1;0.5;2;1
insp1re & trbo.exe & Mat.;-breyyn;2;2;100.00;586;293;0;0;6;3;0;0;8;4;6;3;0;0;0;0;0;343;50.09;2928;1464;2206;1103;722;361;28;14;66;33;470;235;176;88;294;147;2;1;26;13;64.89;32.44;42.64;21.32;414;207;646;323;34;17;1600.5;632075;316037.5;177.3;88.65;179.18;89.59;68.24;34.12;254.17;127.09;155.09;77.54;15.44;7.72;8.67;4.34;0.13;66;33;229.8;114.9;172.3;86.15;76.94;38.47;347.76;173.88;234.63;117.32;190.08;95.04;143.5;71.75;176.47;88.24;104.75;52.38;2718;2969.5;2195;3296;0;0;0;0
-poker & acqxaa;-poker;1;0;0.00;1030;1030;4;4;1;1;4;4;9;9;11;11;6;6;3;3;44.44;482;47.16;3297;3297;2582;2582;715;715;29;29;66;66;574;574;353;353;221;221;4;4;19;19;46.86;46.86;54;54;451;451;358;358;53;53;1628;607221;607221;169.97;169.97;157.55;157.55;89.13;89.13;200.62;200.62;184.85;184.85;31.18;31.18;5.97;5.97;0.11;54;54;179.2;179.2;192.7;192.7;100.57;100.57;316.09;316.09;274.09;274.09;142.57;142.57;196.95;196.95;134.62;134.62;85.09;85.09;2478;2270;2672;3089;0;0;0;0
insp1re & trbo.exe & Mat.;-yova;13;9;69.23;7916;608.92;17;1.31;17;1.31;43;3.31;53;4.08;124;9.54;35;2.69;13;1;32.08;457.32;46.9;33916;2608.92;23760;1827.69;10156;781.23;288;22.15;868;66.77;7003;538.69;3977;305.92;3026;232.77;49;3.77;257;19.77;569.41;43.8;451.53;34.73;6459;496.85;5199;399.92;894;68.77;1583.72;6660586;512352.78;1986.76;152.83;1488.38;114.49;1050.03;80.77;2370.41;182.34;1841.49;141.65;313.28;24.1;93.55;7.2;0.1;947;72.85;2400.4;184.65;1984.8;152.68;946.08;72.78;3579.08;275.31;3039.23;233.79;1485.96;114.3;2263.32;174.1;1403.19;107.94;858.7;66.05;2271.53;2147.18;2367.92;2838.55;11;0.85;11;0.85
insp1re & trbo.exe & Mat.;.;2;0;0.00;605;302.5;1;0.5;3;1.5;1;0.5;6;3;24;12;10;5;5;2.5;16.67;403.67;43.7;4894;2447;3160;1580;1734;867;40;20;148;74;1154;577;545;272.5;609;304.5;6;3;48;24;103.39;51.69;50.37;25.19;1039;519.5;892;446;79;39.5;1647.92;1067848;533924;299.95;149.98;241.45;120.73;168.04;84.02;401.14;200.57;286.39;143.2;21.92;10.96;13.9;6.95;0.11;131;65.5;353;176.5;304.6;152.3;187.83;93.91;521.62;260.81;457.83;228.92;251.62;125.81;341.15;170.57;226.32;113.16;141.97;70.99;2257.79;2173.71;2309.31;2935.35;2;1;3;1.5
