team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
rizun & Aiipa & tm8 = bot;" ";2;2;100.00;1764;882;6;3;0;0;8;4;12;6;10;5;2;1;2;1;50;388;44.27;3876;1938;2356;1178;1520;760;26;13;134;67;910;455;400;200;510;255;4;2;44;22;101.99;51;47.85;23.92;746;373;284;142;0;0;1541.5;970755;485377.5;309.42;154.71;231.37;115.68;127.77;63.89;326.75;163.38;295.99;147.99;45.83;22.92;16.79;8.4;0.14;119;59.5;304.2;152.1;328.4;164.2;131.96;65.98;536.61;268.3;416.93;208.46;251.64;125.82;322.41;161.21;193.6;96.8;152.56;76.28;2041;1897;2304.5;2832.5;0;0;0;0
"   AloY Of Rah    & Kucas33 & Soulykamii";"   AloY Of Rah   ";2;1;50.00;851;425.5;4;2;1;0.5;1;0.5;7;3.5;9;4.5;5;2.5;2;1;57.14;474.18;51.2;3392;1696;2381;1190.5;1011;505.5;33;16.5;86;43;759;379.5;392;196;367;183.5;6;3;27;13.5;52.41;26.2;53.34;26.67;667;333.5;947;473.5;223;111.5;1621.19;631393;315696.5;193.06;96.53;148.88;74.44;101;50.5;256.67;128.34;161.74;80.87;24.54;12.27;6.2;3.1;0.14;45;22.5;238.9;119.45;201.9;100.95;110.82;55.41;332.13;166.07;289.77;144.89;153.18;76.59;204.52;102.26;145.69;72.85;92.73;46.36;2256.61;2032.55;2462.31;2972.8;0;0;0;0
rizun & Aiipa & tm8 = bot;"   JWeyts   ";11;8;72.73;6565;596.82;16;1.45;12;1.09;27;2.45;48;4.36;86;7.82;21;1.91;8;0.73;33.33;432.83;53.5;27351;2486.45;20696;1881.45;6655;605;256;23.27;623;56.64;5956;541.45;3958;359.82;1998;181.64;46;4.18;186;16.91;366.07;33.28;526.63;47.88;3588;326.18;5353;486.64;768;69.82;1564.47;5508914;500810.38;1669.11;151.74;1356.73;123.34;726.67;66.06;1891.34;171.94;1591.16;144.65;270.02;24.55;46.11;4.19;0.12;389;35.36;1847.3;167.94;1754;159.45;988.9;89.9;2763.63;251.24;2394.12;217.65;1358.39;123.49;1759.72;159.97;1142.62;103.87;850.2;77.29;2127.82;1965.85;2299.91;2955.82;12;1.09;10;0.91
"   freez & deathski.";"   freez";1;0;0.00;406;406;0;0;0;0;4;4;3;3;7;7;1;1;1;1;0;438;55.87;2273;2273;1771;1771;502;502;23;23;48;48;535;535;380;380;155;155;5;5;15;15;35.39;35.39;42.69;42.69;204;204;574;574;130;130;1526;471897;471897;141.7;141.7;121.16;121.16;53.87;53.87;152.68;152.68;144.79;144.79;19.27;19.27;3.71;3.71;0.14;27;27;147;147;170.6;170.6;91.2;91.2;225.54;225.54;188.21;188.21;128.53;128.53;137.07;137.07;101.26;101.26;78.4;78.4;2083;1877;2288;2679;1;1;0;0
rizun & Aiipa & tm8 = bot;! KiroX;9;6;66.67;4308;478.67;9;1;11;1.22;15;1.67;36;4;60;6.67;21;2.33;6;0.67;25;406.7;47.99;18937;2104.11;14524;1613.78;4413;490.33;180;20;387;43;4490;498.89;3063;340.33;1427;158.56;41;4.56;126;14;288.66;32.07;354.52;39.39;2639;293.22;3494;388.22;981;109;1568.87;4019518;446613.12;1275.35;141.71;973.13;108.13;523.53;58.17;1495.12;166.12;1088.51;120.95;188.41;20.93;39.49;4.39;0.12;329;36.56;1356;150.67;1255.7;139.52;627.03;69.67;2145;238.33;1782.95;198.11;989.08;109.9;1284.25;142.69;890.96;99;596.84;66.32;2300.4;2147.23;2423.96;2984.52;6;0.67;3;0.33
rizun & Aiipa & tm8 = bot;!ols;2;2;100.00;1743;871.5;4;2;1;0.5;9;4.5;7;3.5;20;10;5;2.5;2;1;57.14;460.36;44.74;6469;3234.5;4363;2181.5;2106;1053;55;27.5;189;94.5;1034;517;462;231;572;286;5;2.5;50;25;68.23;34.12;70.5;35.25;553;276.5;721;360.5;22;11;1557.89;1254082;627041;373.4;186.7;330.49;165.24;158.72;79.36;440.57;220.29;348.45;174.23;73.58;36.79;21.84;10.92;0.11;206;103;452.4;226.2;371.5;185.75;169.84;84.92;692.76;346.38;621.16;310.58;241.45;120.72;457.79;228.89;260.8;130.4;144.01;72;2182.37;1932.75;2409.41;3043.8;1;0.5;0;0
rizun & Aiipa & tm8 = bot;$Zerno;4;2;50.00;1902;475.5;4;1;2;0.5;10;2.5;14;3.5;39;9.75;11;2.75;5;1.25;28.57;449.64;43.09;8810;2202.5;6730;1682.5;2080;520;77;19.25;178;44.5;2046;511.5;1592;398;454;113.5;17;4.25;39;9.75;227.88;56.97;99.57;24.89;1458;364.5;904;226;108;27;1531.07;1655271;413817.75;542.57;135.64;408.35;102.09;213.65;53.41;636.12;159.03;472.89;118.22;55.55;13.89;23.68;5.92;0.12;200;50;582.2;145.55;531.6;132.9;257.92;64.48;906.66;226.66;798.66;199.67;365.91;91.48;596.67;149.17;349.91;87.48;217.98;54.5;2430.18;2274.16;2614.8;2861.03;0;0;6;1.5
rizun & Aiipa & tm8 = bot;*$%&@;1;0;0.00;259;259;0;0;0;0;1;1;3;3;5;5;1;1;1;1;0;439;44.46;2330;2330;1587;1587;743;743;18;18;65;65;570;570;318;318;252;252;4;4;22;22;36.66;36.66;28.25;28.25;532;532;238;238;94;94;1542;488172;488172;137.09;137.09;133.26;133.26;54.01;54.01;180.62;180.62;120.88;120.88;22.86;22.86;6.62;6.62;0.11;62;62;187.6;187.6;138.7;138.7;62.79;62.79;261.57;261.57;217.4;217.4;106.97;106.97;156.94;156.94;110.94;110.94;56.48;56.48;2171;1998;2325;2520;1;1;1;1
rizun & Aiipa & tm8 = bot;--;1;0;0.00;663;663;2;2;0;0;2;2;7;7;8;8;4;4;3;3;28.57;444;52.16;3334;3334;2571;2571;763;763;31;31;70;70;661;661;396;396;265;265;5;5;24;24;55.41;55.41;63.23;63.23;401;401;584;584;114;114;1610;679468;679468;176.01;176.01;173.86;173.86;96.97;96.97;216.89;216.89;191.88;191.88;38.06;38.06;10.18;10.18;0.11;89;89;220.5;220.5;206.8;206.8;117.64;117.64;329.2;329.2;282.59;282.59;164.24;164.24;211.03;211.03;134.18;134.18;101.62;101.62;2267;2127;2488;3125;0;0;0;0
rizun & Aiipa & tm8 = bot;-gabi;2;1;50.00;902;451;2;1;2;1;5;2.5;5;2.5;20;10;6;3;4;2;40;408.78;47.59;4490;2245;3165;1582.5;1325;662.5;39;19.5;117;58.5;939;469.5;446;223;493;246.5;6;3;44;22;102.27;51.14;43.85;21.92;908;454;738;369;157;78.5;1509;936459;468229.5;328.45;164.23;232.17;116.08;102.39;51.19;396.4;198.2;229.66;114.83;36.97;18.49;11.37;5.68;0.11;97;48.5;335.9;167.95;302.2;151.1;177.48;88.74;485.55;242.78;426.65;213.32;236.37;118.18;310.21;155.11;214.61;107.3;138.2;69.1;2287.2;2069.88;2498.44;2923.12;4;2;2;1
