team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
"   JWeyts    & CheeseFace & badnezz";"   JWeyts   ";4;4;100.00;1811;452.75;5;1.25;6;1.5;5;1.25;13;3.25;21;5.25;4;1;3;0.75;38.46;441.99;53.84;7927;1981.75;5827;1456.75;2100;525;73;18.25;193;48.25;1727;431.75;856;214;871;217.75;11;2.75;80;20;91.54;22.89;143.95;35.99;1379;344.75;1622;405.5;288;72;1651.04;1573045;393261.25;405.78;101.45;379.96;94.99;237.76;59.44;546.62;136.65;425.31;106.33;51.6;12.9;15.49;3.87;0.11;148;37;476.4;119.1;486.5;121.62;218.29;54.57;805.21;201.3;594.3;148.57;429.23;107.31;396.11;99.03;386.67;96.67;240.73;60.18;2318.87;2238.54;2393.93;3253.49;5;1.25;0;0
wzy-.- & ! & Bolty <3;!;1;1;100.00;358;358;0;0;1;1;2;2;6;6;10;10;3;3;2;2;0;440;50.23;3314;3314;2338;2338;976;976;31;31;82;82;774;774;351;351;423;423;6;6;37;37;51.17;51.17;33.73;33.73;542;542;781;781;255;255;1679;631562;631562;147.5;147.5;176.14;176.14;86.69;86.69;237.66;237.66;150.1;150.1;22.56;22.56;7.3;7.3;0.11;65;65;172.1;172.1;225.9;225.9;128.58;128.58;281.75;281.75;249.91;249.91;160.42;160.42;182.25;182.25;134.19;134.19;93.89;93.89;2250;2117;2299;3000;0;0;3;3
velocity & Mat. & alemz;!ols;1;0;0.00;46;46;0;0;0;0;0;0;1;1;5;5;4;4;0;0;0;476;41.66;1419;1419;919;919;500;500;10;10;36;36;218;218;0;0;218;218;0;0;12;12;22.34;22.34;12.36;12.36;157;157;84;84;0;0;1588;240004;240004;67.67;67.67;69.85;69.85;28.45;28.45;94.79;94.79;64.15;64.15;7.03;7.03;4.29;4.29;0.11;40;40;84.7;84.7;77;77;48.48;48.48;117.49;117.49;105.34;105.34;60.63;60.63;71.35;71.35;64.37;64.37;30.25;30.25;2511;2633;2302;3052;0;0;2;2
velocity & Mat. & alemz;( + - + );2;0;0.00;1006;503;4;2;0;0;4;2;6;3;22;11;6;3;6;3;66.67;476;47.14;5602;2801;3770;1885;1832;916;46;23;158;79;1352;676;684;342;668;334;8;4;56;28;143.09;71.54;58.29;29.15;616;308;882;441;114;57;1674;1173754;586877;267.03;133.51;332.43;166.21;147.16;73.58;378.76;189.38;325.49;162.74;42.36;21.18;10.81;5.41;0.09;115;57.5;355;177.5;368.1;184.05;213.32;106.66;533.31;266.65;497.08;248.54;249.54;124.77;346.82;173.41;268.96;134.48;130.85;65.43;2486.5;2211.5;2703.5;2939.5;2;1;2;1
velocity & Mat. & alemz;****** _maca_rl;5;5;100.00;2561;512.2;11;2.2;4;0.8;6;1.2;26;5.2;24;4.8;7;1.4;6;1.2;42.31;448.74;43.53;8826;1765.2;6100;1220;2726;545.2;73;14.6;230;46;1705;341;852;170.4;853;170.6;11;2.2;75;15;165.76;33.15;112.84;22.57;1148;229.6;1130;226;262;52.4;1561.8;1766737;353347.41;558.75;111.75;432.26;86.45;248.19;49.64;682.12;136.42;517.28;103.46;39.81;7.96;26.67;5.33;0.12;234;46.8;539.8;107.96;607.5;121.5;252.7;50.54;986.5;197.3;779.66;155.93;459.54;91.91;542.95;108.59;423.56;84.71;272.68;54.54;2180.63;2090.61;2200.99;2791.95;5;1;3;0.6
velocity & Mat. & alemz;-breyyn;1;0;0.00;328;328;1;1;0;0;0;0;7;7;4;4;2;2;1;1;14.29;407;56.48;2304;2304;1505;1505;799;799;21;21;71;71;478;478;188;188;290;290;3;3;26;26;31.37;31.37;46.08;46.08;529;529;536;536;127;127;1663;523158;523158;123.09;123.09;130.05;130.05;73.45;73.45;187.6;187.6;116.19;116.19;22.8;22.8;6.01;6.01;0.13;48;48;144.1;144.1;174.7;174.7;75.16;75.16;251.43;251.43;165.38;165.38;161.21;161.21;106.94;106.94;127.67;127.67;91.98;91.98;2339;2015;2568;3401;2;2;0;0
velocity & Mat. & alemz;.;4;2;50.00;1187;296.75;3;0.75;2;0.5;4;1;10;2.5;33;8.25;16;4;8;2;30;484.95;46.75;9090;2272.5;6517;1629.25;2573;643.25;78;19.5;232;58;1403;350.75;644;161;759;189.75;8;2;71;17.75;161.98;40.49;110.14;27.53;1765;441.25;1237;309.25;92;23;1656.26;1706014;426503.5;442.77;110.69;441.29;110.32;251.26;62.81;603.21;150.8;487.24;121.81;44.87;11.22;22.61;5.65;0.12;195;48.75;537.1;134.28;522.3;130.57;296.8;74.2;838.52;209.63;755.06;188.76;380.26;95.07;539.65;134.91;392.12;98.03;203.55;50.89;2377.64;2293.02;2328.72;2952.3;4;1;5;1.25
velocity & Mat. & alemz;.;50;21;42.00;28358;567.16;56;1.12;55;1.1;145;2.9;215;4.3;456;9.12;153;3.06;70;1.4;26.05;456.85;47.03;120354;2407.08;86177;1723.54;34177;683.54;1059;21.18;3008;60.16;28927;578.54;17972;359.44;10955;219.1;216;4.32;976;19.52;1747.62;34.95;1767.09;35.34;15763;315.26;15010;300.2;2485;49.7;1589.04;23722616;474452.31;7034.13;140.68;5807.99;116.16;3289.44;65.79;8229.05;164.58;6846.93;136.94;1055.65;21.11;271.88;5.44;0.12;2350;47;8236.6;164.73;7134.2;142.68;3343.73;66.87;12787.88;255.76;10493.86;209.88;5637.73;112.75;7689.34;153.79;5274.91;105.5;3167.34;63.35;2285.16;2101.33;2426.65;2972.63;37;0.74;64;1.28
. & M;.;1;1;100.00;384;384;2;2;1;1;0;0;4;4;2;2;0;0;0;0;50;369;55.8;1163;1163;684;684;479;479;9;9;41;41;247;247;140;140;107;107;2;2;9;9;9.69;9.69;16.3;16.3;243;243;229;229;60;60;1609;294565;294565;81.81;81.81;71.85;71.85;41.33;41.33;116.9;116.9;69.23;69.23;8.85;8.85;2.71;2.71;0.14;20;20;103.8;103.8;80.2;80.2;32.86;32.86;162.13;162.13;118.3;118.3;76.69;76.69;75.26;75.26;77.47;77.47;42.26;42.26;2390;2349;2421;3238;2;2;0;0
velocity & Mat. & alemz;.;2;0;0.00;919;459.5;2;1;1;0.5;4;2;11;5.5;24;12;7;3.5;1;0.5;18.18;497.07;49.89;6248;3124;4728;2364;1520;760;55;27.5;139;69.5;1685;842.5;1112;556;573;286.5;12;6;51;25.5;78.99;39.5;90.18;45.09;1433;716.5;852;426;114;57;1613.01;1175804;587902;330.08;165.04;288.92;144.46;174.04;87.02;429.31;214.65;301.55;150.77;62.17;31.08;14;7;0.13;101;50.5;321.7;160.85;432.3;216.15;231.23;115.62;561.8;280.9;479.55;239.77;313.49;156.74;351.7;175.85;246.04;123.02;195.3;97.65;2198.56;2044.11;2323.54;2924.03;2;1;1;0.5
