team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
cramox & Anyeelo. &    czudo   ;"   czudo   ";1;0;0.00;614;614;0;0;0;0;6;6;2;2;12;12;1;1;0;0;0;474;48.15;2438;2438;1740;1740;698;698;20;20;62;62;391;391;209;209;182;182;3;3;17;17;25.91;25.91;29.1;29.1;485;485;267;267;102;102;1600;475730;475730;117.21;117.21;124.33;124.33;63.83;63.83;186.35;186.35;112;112;7.02;7.02;3.19;3.19;0.11;28;28;181.4;181.4;136.4;136.4;75.12;75.12;230.24;230.24;218.3;218.3;87.07;87.07;174.31;174.31;78.82;78.82;52.23;52.23;2339;2217;2485;2805;2;2;3;3
Gaheris & swazz & Kehvn;" Cayyh";1;0;0.00;464;464;0;0;1;1;3;3;2;2;6;6;3;3;2;2;0;359;44.33;1058;1058;711;711;347;347;9;9;24;24;248;248;100;100;148;148;1;1;5;5;14.79;14.79;24.07;24.07;73;73;203;203;0;0;1375;253508;253508;111.82;111.82;61.69;61.69;28.07;28.07;85.97;85.97;104.03;104.03;11.59;11.59;4.41;4.41;0.12;36;36;148.9;148.9;127.7;127.7;33.03;33.03;168.56;168.56;140.92;140.92;60.66;60.66;117.65;117.65;50.14;50.14;33.8;33.8;2101;1423;2544;2786;0;0;0;0
Gaheris & swazz & Kehvn;!;1;0;0.00;906;906;1;1;1;1;5;5;4;4;13;13;3;3;0;0;25;343;51.52;2585;2585;1612;1612;973;973;20;20;86;86;350;350;142;142;208;208;2;2;18;18;31.24;31.24;24.16;24.16;233;233;339;339;58;58;1468;609046;609046;226.4;226.4;153.28;153.28;58.39;58.39;243.5;243.5;168.64;168.64;25.94;25.94;8.89;8.89;0.09;100;100;223;223;197.9;197.9;77.96;77.96;360.11;360.11;333.89;333.89;104.15;104.15;257.92;257.92;124.16;124.16;56;56;2357;2185;2563;3182;1;1;0;0
Gaheris & swazz & Kehvn;!;2;2;100.00;844;422;5;2.5;0;0;1;0.5;5;2.5;7;3.5;2;1;1;0.5;100;429.26;47.82;2900;1450;1987;993.5;913;456.5;23;11.5;83;41.5;573;286.5;372;186;201;100.5;4;2;18;9;58.27;29.14;37.95;18.97;670;335;355;177.5;35;17.5;1686.79;630393;315196.5;163.68;81.84;157.62;78.81;109.12;54.56;254.35;127.17;154.1;77.05;21.97;10.98;7.21;3.61;0.11;66;33;184.2;92.1;223.4;111.7;96.95;48.47;333.47;166.74;281.87;140.93;148.55;74.27;198.21;99.1;158.74;79.37;73.47;36.74;2728.46;2485.1;2852.69;3279.75;3;1.5;1;0.5
Gaheris & swazz & Kehvn;!;1;0;0.00;100;100;0;0;0;0;1;1;3;3;8;8;2;2;0;0;0;275;58.74;435;435;237;237;198;198;3;3;19;19;196;196;144;144;52;52;2;2;5;5;10.04;10.04;9.77;9.77;194;194;84;84;63;63;1361;140774;140774;74.46;74.46;29.84;29.84;14;14;82.23;82.23;32.8;32.8;3.27;3.27;2.2;2.2;0.11;20;20;56;56;62.6;62.6;34.33;34.33;83.97;83.97;85.27;85.27;33.03;33.03;67.1;67.1;31.36;31.36;19.83;19.83;2160;2371;1868;2653;0;0;0;0
Gaheris & swazz & Kehvn;! 2 EM;7;1;14.29;3432;490.29;7;1;6;0.86;19;2.71;24;3.43;77;11;30;4.29;19;2.71;29.17;422.76;47.25;16100;2300;10527;1503.86;5573;796.14;126;18;488;69.71;3275;467.86;1460;208.57;1815;259.29;18;2.57;159;22.71;276.24;39.46;187.13;26.73;2465;352.14;2140;305.71;319;45.57;1609.35;3502774;500396.28;984.86;140.69;927.75;132.54;471.35;67.34;1439.65;205.66;844.66;120.67;99.65;14.24;47.65;6.81;0.09;508;72.57;1134.8;162.11;1108.5;158.36;715.38;102.2;1668.61;238.37;1646.93;235.28;737.07;105.3;1209.04;172.72;750.24;107.18;424.7;60.67;2373.07;2121.16;2562.64;3015.83;9;1.29;4;0.57
Gaheris & swazz & Kehvn;! Elijae;1;1;100.00;400;400;1;1;1;1;1;1;6;6;5;5;1;1;0;0;16.67;522;50.24;2674;2674;2096;2096;578;578;25;25;51;51;1099;1099;973;973;126;126;11;11;12;12;35.77;35.77;49.44;49.44;352;352;425;425;138;138;1559;456289;456289;141.16;141.16;102.72;102.72;65.29;65.29;155.18;155.18;128.5;128.5;25.49;25.49;6.9;6.9;0.09;79;79;136.1;136.1;164.5;164.5;71.9;71.9;237.27;237.27;171.7;171.7;137.47;137.47;129.41;129.41;90.15;90.15;89.61;89.61;1905;1670;1900;2755;0;0;1;1
shade. & ! Khan.;! Khan.;1;0;0.00;639;639;1;1;0;0;5;5;5;5;10;10;3;3;1;1;20;390;52.47;2323;2323;1848;1848;475;475;25;25;44;44;1028;1028;796;796;232;232;9;9;21;21;29.73;29.73;48.27;48.27;200;200;675;675;103;103;1572;500240;500240;146.38;146.38;135.71;135.71;55.24;55.24;186.62;186.62;118.83;118.83;31.89;31.89;5.18;5.18;0.09;56;56;150.2;150.2;180.3;180.3;106.5;106.5;230.83;230.83;195.08;195.08;142.25;142.25;136.8;136.8;111.8;111.8;88.73;88.73;2528;2126;2850;3497;0;0;2;2
Gaheris & swazz & Kehvn;! LeV;4;2;50.00;2224;556;6;1.5;2;0.5;10;2.5;18;4.5;38;9.5;10;2.5;6;1.5;33.33;401.85;46.42;7470;1867.5;4819;1204.75;2651;662.75;59;14.75;199;49.75;1160;290;521;130.25;639;159.75;6;1.5;57;14.25;170.96;42.74;140.85;35.21;465;116.25;1159;289.75;104;26;1513.49;1680249;420062.25;571.27;142.82;439.28;109.82;185.56;46.39;566.7;141.67;544.77;136.19;84.63;21.16;16.2;4.05;0.1;150;37.5;561.9;140.48;576.3;144.07;303.69;75.92;892.4;223.1;740.16;185.04;455.93;113.98;541.24;135.31;385.08;96.27;269.78;67.44;2332.88;2288.39;2372.27;2954.42;1;0.25;2;0.5
Gaheris & swazz & Kehvn;! Sultan.;1;0;0.00;340;340;1;1;1;1;1;1;3;3;8;8;6;6;1;1;33.33;452;49.93;3218;3218;2364;2364;854;854;36;36;78;78;953;953;546;546;407;407;8;8;37;37;26.58;26.58;43.34;43.34;643;643;1182;1182;278;278;1690;608721;608721;148.96;148.96;166.31;166.31;96.9;96.9;242.53;242.53;153.49;153.49;16.15;16.15;8.48;8.48;0.11;75;75;196.7;196.7;183.6;183.6;110.87;110.87;301.29;301.29;238.75;238.75;173.42;173.42;165.36;165.36;154.98;154.98;91.83;91.83;2597;2407;2791;3201;1;1;0;0
