team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
Reevo & Syracks & Kehvn;;4;1;25.00;1486;371.5;2;0.5;3;0.75;5;1.25;12;3;33;8.25;11;2.75;4;1;16.67;423.05;48.73;8831;2207.75;6561;1640.25;2270;567.5;79;19.75;202;50.5;1295;323.75;719;179.75;576;144;8;2;52;13;160.76;40.19;111.19;27.8;1093;273.25;1361;340.25;101;25.25;1597.47;1978088;494522;558.82;139.71;476.27;119.07;283.91;70.98;670;167.5;565.18;141.29;83.8;20.95;23.58;5.89;0.08;304;76;677.4;169.35;588.2;147.05;293.8;73.45;1025.19;256.3;848.33;212.08;470.67;117.67;597.18;149.29;453.72;113.43;268.09;67.02;2230.62;2033.52;2422.99;2958.37;2;0.5;3;0.75
CheeseFace &    JWeyts   ;"   JWeyts   ";5;5;100.00;2981;596.2;12;2.4;5;1;7;1.4;17;3.4;26;5.2;8;1.6;5;1;70.59;487.15;52.02;11019;2203.8;8519;1703.8;2500;500;107;21.4;236;47.2;2486;497.2;1437;287.4;1049;209.8;19;3.8;93;18.6;102.92;20.58;216.41;43.28;2687;537.4;2246;449.2;403;80.6;1688.83;2141879;428375.81;513.35;102.67;509.03;101.81;351.32;70.26;718.41;143.68;555.05;111.01;100.25;20.05;16.2;3.24;0.11;153;30.6;570;114;693.9;138.78;329.54;65.91;1044.17;208.83;824.61;164.92;549.11;109.82;581.57;116.31;442.59;88.52;349.54;69.91;2321.06;1897.01;2683.33;3150.08;7;1.4;0;0
Reevo & Syracks & Kehvn;! 2 EM;1;0;0.00;358;358;1;1;1;1;1;1;4;4;11;11;6;6;4;4;25;422;45.34;2422;2422;1452;1452;970;970;17;17;79;79;744;744;450;450;294;294;5;5;26;26;57.82;57.82;22.47;22.47;426;426;181;181;49;49;1617;516426;516426;149.71;149.71;134.1;134.1;70.48;70.48;228.67;228.67;119.17;119.17;6.45;6.45;7.1;7.1;0.1;72;72;198.7;198.7;132.7;132.7;76.62;76.62;277.66;277.66;217.84;217.84;136.45;136.45;158.94;158.94;107.76;107.76;87.6;87.6;2429;2463;2375;2914;1;1;2;2
Reevo & Syracks & Kehvn;! A1zy.;1;0;0.00;152;152;0;0;1;1;0;0;3;3;10;10;4;4;2;2;0;430;46.9;1822;1822;1518;1518;304;304;18;18;28;28;548;548;440;440;108;108;5;5;9;9;34.56;34.56;24.93;24.93;420;420;201;201;60;60;1566;373971;373971;109.57;109.57;106.12;106.12;42.05;42.05;139.28;139.28;105.47;105.47;12.99;12.99;3.08;3.08;0.12;25;25;107;107;132.9;132.9;79.15;79.15;178.59;178.59;158.49;158.49;99.26;99.26;115.97;115.97;75.74;75.74;66.03;66.03;2141;1909;2307;2711;1;1;0;0
Blin xy? & aktn & Ak47;! Ghassan;1;0;0.00;124;124;0;0;0;0;1;1;2;2;8;8;5;5;3;3;0;447;52.08;1656;1656;1275;1275;381;381;18;18;34;34;399;399;247;247;152;152;3;3;13;13;21.12;21.12;52.31;52.31;265;265;546;546;55;55;1490;290858;290858;110;110;71.68;71.68;35.42;35.42;130.56;130.56;79.24;79.24;7.29;7.29;4.36;4.36;0.13;34;34;116.5;116.5;98.6;98.6;49.03;49.03;168.06;168.06;151.16;151.16;65.94;65.94;114.81;114.81;67.58;67.58;34.7;34.7;2403;1825;2792;3158;0;0;2;2
!V! & aqa;!V!;3;3;100.00;2028;676;7;2.33;3;1;6;2;13;4.33;24;8;3;1;3;1;53.85;386.21;44.89;6141;2047;3986;1328.67;2155;718.33;49;16.33;195;65;1609;536.33;930;310;679;226.33;11;3.67;60;20;82.34;27.45;94.01;31.34;992;330.67;952;317.33;179;59.67;1548.83;1419026;473008.66;461.37;153.79;359.55;119.85;163.24;54.41;506.49;168.83;409.04;136.35;68.61;22.87;9.6;3.2;0.1;102;34;416;138.67;517.1;172.37;222.47;74.16;761.68;253.89;601.4;200.47;382.75;127.58;430.5;143.5;309.88;103.29;243.78;81.26;2011.29;1986.11;2058.94;3007.09;2;0.67;1;0.33
!sk. & .Guggi;!sk.;1;0;0.00;16;16;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;341;52.67;245;245;168;168;77;77;2;2;7;7;85;85;78;78;7;7;1;1;1;1;0;0;3.63;3.63;63;63;31;31;21;21;1575;48702;48702;17.03;17.03;13.04;13.04;4.9;4.9;19.2;19.2;11.78;11.78;4;4;0.37;0.37;0.12;3;3;15.5;15.5;15.5;15.5;10.84;10.84;24.14;24.14;19.54;19.54;15.43;15.43;15.37;15.37;9.3;9.3;10.3;10.3;2206;2033;2201;3241;0;0;0;0
Reevo & Syracks & Kehvn;''vax';4;3;75.00;2232;558;4;1;5;1.25;11;2.75;23;5.75;36;9;10;2.5;6;1.5;17.39;406.52;47.95;9600;2400;6845;1711.25;2755;688.75;86;21.5;228;57;2183;545.75;1355;338.75;828;207;17;4.25;63;15.75;157.7;39.42;172.57;43.14;1594;398.5;1852;463;378;94.5;1523.79;2005413;501353.25;680.04;170.01;489.29;122.32;243.69;60.92;790.3;197.57;557.14;139.29;65.59;16.4;17.85;4.46;0.09;191;47.75;639;159.75;720.6;180.15;327.94;81.99;1085.08;271.27;929.01;232.25;483.99;121;687.08;171.77;435.5;108.88;290.41;72.6;2151.46;1939.65;2339.07;2834.29;3;0.75;6;1.5
RSQTZXY & )1123((!(#)::::;)1123((!(#)::::;2;2;100.00;851;425.5;0;0;5;2.5;2;1;11;5.5;14;7;4;2;2;1;0;417.9;50.2;5048;2524;3657;1828.5;1391;695.5;44;22;127;63.5;1382;691;902;451;480;240;10;5;44;22;94.22;47.11;63.94;31.97;597;298.5;754;377;139;69.5;1546.54;1038137;519068.5;323.58;161.79;268.09;134.04;122.21;61.11;363.71;181.85;298.42;149.21;51.76;25.88;12.35;6.18;0.11;105;52.5;363.2;181.6;325.6;162.8;206.42;103.21;507.47;253.73;425.09;212.54;288.79;144.39;307.73;153.86;226.92;113.46;179.24;89.62;2058.79;1917.76;2234.03;2815.35;3;1.5;1;0.5
Reevo & Syracks & Kehvn;***** kong;20;10;50.00;11995;599.75;28;1.4;18;0.9;52;2.6;85;4.25;192;9.6;67;3.35;31;1.55;32.94;490.53;47.44;54904;2745.2;41052;2052.6;13852;692.6;493;24.65;1253;62.65;14259;712.95;8851;442.55;5408;270.4;104;5.2;476;23.8;859.11;42.96;619.61;30.98;8102;405.1;8137;406.85;1542;77.1;1661.25;10150640;507532;2527.67;126.38;2619.34;130.97;1557.31;77.87;3232.71;161.64;3024.72;151.24;446.93;22.35;175.78;8.79;0.09;1945;97.25;2795.7;139.79;3579.7;178.99;2011.47;100.57;4692.86;234.64;4168.25;208.41;2536.13;126.81;3018.28;150.91;2173.23;108.66;1512.81;75.64;2169.04;1923.01;2384.17;3143.13;36;1.8;17;0.85
