team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
mrtn & acqxaa & zalo;;2;0;0.00;1243;621.5;3;1.5;1;0.5;6;3;6;3;25;12.5;9;4.5;4;2;50;462.46;49.7;6338;3169;4596;2298;1742;871;54;27;155;77.5;1415;707.5;858;429;557;278.5;10;5;51;25.5;57.95;28.98;104.69;52.35;1214;607;871;435.5;166;83;1554.55;1160184;580092;366.68;183.34;289.29;144.65;148.89;74.44;464.72;232.36;302.62;151.31;37.52;18.76;13.25;6.62;0.12;109;54.5;386.3;193.15;365.4;182.7;221.63;110.82;583.23;291.61;544.4;272.2;260.46;130.23;396.83;198.42;281.47;140.74;126.56;63.28;2501.41;2309.3;2703.7;3220.8;3;1.5;1;0.5
mrtn & acqxaa & zalo;"   Dani___RL   ";1;1;100.00;580;580;2;2;0;0;2;2;5;5;6;6;1;1;1;1;40;359;47.5;2026;2026;1459;1459;567;567;17;17;52;52;100;100;0;0;100;100;0;0;9;9;39.36;39.36;49.1;49.1;286;286;283;283;9;9;1420;433465;433465;188.61;188.61;98.9;98.9;38.16;38.16;199.93;199.93;113.35;113.35;12.39;12.39;3.82;3.82;0.13;29;29;180.3;180.3;137.5;137.5;73.58;73.58;252.09;252.09;247.15;247.15;78.51;78.51;179.34;179.34;115.92;115.92;30.4;30.4;2607;2527;2675;2887;0;0;0;0
CheeseFace &    JWeyts   ;"   JWeyts   ";3;2;66.67;1950;650;7;2.33;3;1;7;2.33;11;3.67;25;8.33;9;3;4;1.33;63.64;413.64;54.68;6699;2233;4978;1659.33;1721;573.67;64;21.33;158;52.67;2021;673.67;1393;464.33;628;209.33;17;5.67;55;18.33;65.48;21.83;137.8;45.93;1018;339.33;1362;454;259;86.33;1546.99;1351030;450343.34;448.19;149.4;339.95;113.32;167.51;55.84;527.43;175.81;358.79;119.6;69.45;23.15;12.36;4.12;0.11;114;38;417.7;139.23;469.6;156.53;246.31;82.1;709.34;236.45;604.73;201.58;350.92;116.97;450.9;150.3;308.44;102.81;196.29;65.43;2182.47;2073.31;2297.75;3040.13;2;0.67;3;1
mrtn & acqxaa & zalo;!;1;1;100.00;538;538;1;1;1;1;3;3;2;2;5;5;1;1;0;0;50;427;50.73;1823;1823;1358;1358;465;465;17;17;44;44;491;491;371;371;120;120;4;4;12;12;26.58;26.58;19.86;19.86;260;260;370;370;45;45;1631;372832;372832;99.83;99.83;81.34;81.34;65.64;65.64;123.48;123.48;111.97;111.97;11.36;11.36;6.1;6.1;0.1;62;62;107.4;107.4;121.7;121.7;59.52;59.52;187.3;187.3;162;162;84.82;84.82;122.73;122.73;67.43;67.43;56.65;56.65;2729;2677;2725;3548;2;2;1;1
mrtn & acqxaa & zalo;! 2 EM;1;1;100.00;466;466;2;2;1;1;1;1;6;6;11;11;2;2;2;2;33.33;414;45.92;3203;3203;2036;2036;1167;1167;25;25;106;106;771;771;393;393;378;378;5;5;33;33;63.87;63.87;24.21;24.21;629;629;480;480;110;110;1719;753373;753373;150.07;150.07;196.31;196.31;113.75;113.75;275.19;275.19;154.78;154.78;30.17;30.17;10.05;10.05;0.09;106;106;226.4;226.4;215.4;215.4;131.79;131.79;328.35;328.35;308.02;308.02;152.11;152.11;229.57;229.57;141.86;141.86;88.7;88.7;2342;2227;2438;3046;1;1;1;1
mrtn & acqxaa & zalo;!Satsz;1;1;100.00;537;537;3;3;0;0;0;0;4;4;11;11;3;3;1;1;75;383;51.63;2988;2988;2086;2086;902;902;25;25;86;86;652;652;389;389;263;263;4;4;24;24;57.24;57.24;60.05;60.05;417;417;476;476;30;30;1550;673060;673060;214.58;214.58;178.71;178.71;72.32;72.32;263.79;263.79;165.04;165.04;36.79;36.79;9.34;9.34;0.13;71;71;229.4;229.4;209.3;209.3;108.33;108.33;357.29;357.29;293.94;293.94;171.68;171.68;203.55;203.55;180.83;180.83;81.23;81.23;2585;2388;2700;3060;1;1;0;0
mrtn & acqxaa & zalo;!evas a tahW;7;0;0.00;3858;551.14;13;1.86;5;0.71;13;1.86;38;5.43;73;10.43;34;4.86;19;2.71;34.21;469.51;45.51;19452;2778.86;14802;2114.57;4650;664.29;177;25.29;416;59.43;4163;594.71;2921;417.29;1242;177.43;33;4.71;118;16.86;355.43;50.78;341.4;48.77;2855;407.86;2906;415.14;431;61.57;1568.03;3651712;521673.16;1118.86;159.84;979.24;139.89;454.77;64.97;1254.03;179.15;1125.52;160.79;173.31;24.76;43.5;6.21;0.1;452;64.57;1295.3;185.04;1131.3;161.61;706.05;100.86;1846.82;263.83;1697.49;242.5;855.39;122.2;1248.99;178.43;810.6;115.8;493.29;70.47;2301.37;2123.4;2477.01;2974.66;6;0.86;13;1.86
mrtn & acqxaa & zalo;"""vax'";5;3;60.00;3260;652;9;1.8;6;1.2;11;2.2;31;6.2;42;8.4;17;3.4;8;1.6;29.03;398.76;50;12046;2409.2;8973;1794.6;3073;614.6;110;22;275;55;2692;538.4;1844;368.8;848;169.6;24;4.8;76;15.2;202.09;40.42;172.47;34.49;2262;452.4;2038;407.6;581;116.2;1523.16;2603103;520620.59;880.45;176.09;675.41;135.08;319.28;63.86;1078.4;215.68;720.43;144.09;76.34;15.27;28.28;5.66;0.09;302;60.4;921.8;184.36;849.6;169.92;448.35;89.67;1426.79;285.36;1187.14;237.43;688.01;137.6;879.2;175.84;572.6;114.52;423.37;84.67;2218.54;2030.03;2389.01;2802.22;5;1;6;1.2
mrtn & acqxaa & zalo;(:;3;2;66.67;1476;492;5;1.67;2;0.67;5;1.67;11;3.67;17;5.67;6;2;4;1.33;45.45;450.07;50.84;7660;2553.33;5455;1818.33;2205;735;67;22.33;194;64.67;1742;580.67;1026;342;716;238.67;14;4.67;65;21.67;98.57;32.86;108.36;36.12;996;332;1289;429.67;395;131.67;1558.8;1428822;476274;444.99;148.33;354.77;118.26;184.79;61.6;541.53;180.51;386.98;128.99;56.05;18.68;19.87;6.62;0.11;179;59.67;499.3;166.43;458.4;152.8;185.5;61.83;799.05;266.35;647.39;215.8;337.17;112.39;468.99;156.33;321.05;107.02;194.52;64.84;2367.2;2276.52;2440.82;3158.59;2;0.67;2;0.67
*currie,, & byra;*currie,,;3;1;33.33;1432;477.33;5;1.67;1;0.33;6;2;11;3.67;24;8;13;4.33;6;2;45.45;475.54;48.43;8062;2687.33;6195;2065;1867;622.33;72;24;177;59;2068;689.33;1454;484.67;614;204.67;18;6;62;20.67;149.32;49.77;103.86;34.62;1298;432.67;1070;356.67;342;114;1619.58;1429317;476439;396.43;132.14;371.91;123.97;197.26;65.75;498.33;166.11;387.49;129.16;79.77;26.59;12.58;4.19;0.12;109;36.33;463.4;154.47;446.8;148.93;266.58;88.86;699.01;233;588.7;196.23;376.9;125.63;413.74;137.91;323.45;107.82;228.41;76.14;2342.14;2258.96;2379.83;3375.41;0;0;3;1
