team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
chat off & swazz & mrtn;" ";2;2;100.00;1383;691.5;4;2;3;1.5;6;3;13;6.5;18;9;6;3;4;2;30.77;444.01;51.42;5644;2822;4289;2144.5;1355;677.5;52;26;125;62.5;1544;772;1052;526;492;246;12;6;44;22;112.61;56.31;95.31;47.65;816;408;990;495;173;86.5;1646.02;1109342;554671;288.16;144.08;279.11;139.55;169.06;84.53;359.84;179.92;335.17;167.58;41.33;20.67;12.73;6.36;0.12;104;52;346.5;173.25;352.1;176.05;177.48;88.74;558.85;279.42;452.33;226.17;284.01;142.01;330.71;165.35;234.84;117.42;170.78;85.39;2550.85;2414.24;2631;3075.28;7;3.5;1;0.5
! & ziyad;!;1;0;0.00;542;542;2;2;1;1;1;1;5;5;9;9;5;5;4;4;40;458;46.97;2740;2740;2060;2060;680;680;26;26;65;65;451;451;323;323;128;128;5;5;12;12;23.79;23.79;48.38;48.38;252;252;391;391;186;186;1635;517838;517838;140.24;140.24;138.75;138.75;67.96;67.96;173.46;173.46;148.82;148.82;24.66;24.66;5.79;5.79;0.11;53;53;164;164;157;157;81.18;81.18;265.76;265.76;221.89;221.89;125.06;125.06;157.03;157.03;133.15;133.15;56.77;56.77;2361;2146;2622;3279;0;0;0;0
acqua & ! Dcw;! Dcw;2;0;0.00;1567;783.5;2;1;1;0.5;9;4.5;12;6;31;15.5;8;4;5;2.5;16.67;405.15;46.94;8364;4182;6086;3043;2278;1139;71;35.5;199;99.5;1929;964.5;1205;602.5;724;362;14;7;63;31.5;145.67;72.84;187.44;93.72;1333;666.5;986;493;105;52.5;1553.91;1834576;917288;532.36;266.18;509.55;254.77;195.81;97.9;707.05;353.52;474.51;237.26;56.16;28.08;16.55;8.27;0.11;154;77;640.9;320.45;572.3;286.15;309;154.5;928.72;464.36;812.1;406.05;425.62;212.81;573.92;286.96;439.78;219.89;224.02;112.01;2339.14;2114.74;2552.54;3196.88;7;3.5;5;2.5
chat off & swazz & mrtn;! Mayrox;2;1;50.00;1080;540;6;3;0;0;1;0.5;10;5;13;6.5;6;3;1;0.5;60;397.51;50.55;4787;2393.5;3612;1806;1175;587.5;44;22;103;51.5;1014;507;663;331.5;351;175.5;8;4;31;15.5;98.36;49.18;85.6;42.8;936;468;820;410;139;69.5;1513.37;1018594;509297;349.55;174.77;255.83;127.91;120.75;60.38;413.3;206.65;290.17;145.09;22.64;11.32;12.11;6.06;0.11;112;56;308.1;154.05;381.5;190.75;191.12;95.56;535.01;267.51;470.94;235.47;255.18;127.59;344.35;172.18;246.99;123.5;134.77;67.39;2114.98;1776.04;2388.33;2764.82;5;2.5;1;0.5
! w & josh1248;! w;1;0;0.00;156;156;0;0;0;0;1;1;1;1;10;10;2;2;1;1;0;395;50.85;1416;1416;1013;1013;403;403;15;15;35;35;300;300;120;120;180;180;2;2;15;15;17.15;17.15;35.55;35.55;369;369;409;409;79;79;1511;312684;312684;104.01;104.01;65.17;65.17;45.67;45.67;126.88;126.88;75.91;75.91;12.06;12.06;4.56;4.56;0.16;29;29;98.7;98.7;110.2;110.2;65.94;65.94;148.92;148.92;145.35;145.35;69.51;69.51;114.69;114.69;61.35;61.35;38.82;38.82;1865;1812;1832;2571;1;1;0;0
kiwi & !?0A81>;!?0A81>;1;0;0.00;424;424;0;0;0;0;4;4;2;2;11;11;3;3;3;3;0;461;48.43;2117;2117;1585;1585;532;532;20;20;46;46;721;721;483;483;238;238;5;5;21;21;35.4;35.4;20.33;20.33;383;383;419;419;21;21;1569;416106;416106;120.7;120.7;102.68;102.68;53.32;53.32;145.69;145.69;123.05;123.05;7.96;7.96;5.24;5.24;0.12;45;45;149.9;149.9;123.1;123.1;77.45;77.45;199.25;199.25;170.38;170.38;106.31;106.31;132.22;132.22;74.32;74.32;70.16;70.16;2251;2211;2251;2923;0;0;1;1
chat off & swazz & mrtn;#1;1;0;0.00;110;110;0;0;0;0;1;1;2;2;7;7;4;4;4;4;0;404;49.2;1225;1225;827;827;398;398;13;13;35;35;362;362;314;314;48;48;5;5;4;4;23;23;23.43;23.43;237;237;483;483;185;185;1543;290466;290466;98.77;98.77;63.57;63.57;41.73;41.73;106.52;106.52;85.9;85.9;11.65;11.65;3.95;3.95;0.16;25;25;112;112;81.9;81.9;49.15;49.15;154.92;154.92;141.18;141.18;62.88;62.88;107.8;107.8;53.13;53.13;43.14;43.14;2240;2170;2365;2684;1;1;1;1
chat off & swazz & mrtn;#1 goonr;3;1;33.33;790;263.33;1;0.33;3;1;4;1.33;6;2;16;5.33;8;2.67;3;1;16.67;400.21;46.2;4248;1416;2882;960.67;1366;455.33;36;12;120;40;821;273.67;394;131.33;427;142.33;4;1.33;37;12.33;95.93;31.98;68.66;22.89;434;144.67;748;249.33;10;3.33;1550.96;948372;316124;309.49;103.16;268.75;89.58;96.82;32.27;372.98;124.33;269.59;89.86;32.49;10.83;15.98;5.33;0.1;153;51;342.9;114.3;294.3;98.1;180.69;60.23;494.36;164.79;460.79;153.6;214.27;71.42;339.05;113.02;236.85;78.95;99.17;33.06;2333.7;2255.21;2379.23;3016.75;3;1;3;1
chat off & swazz & mrtn;#_#;1;1;100.00;264;264;2;2;0;0;0;0;2;2;3;3;1;1;0;0;100;465;46.7;1354;1354;938;938;416;416;12;12;37;37;348;348;216;216;132;132;3;3;11;11;20.88;20.88;15.74;15.74;144;144;278;278;83;83;1760;272755;272755;61.07;61.07;71.72;71.72;44.69;44.69;99.85;99.85;68.76;68.76;8.88;8.88;2.97;2.97;0.09;34;34;86.7;86.7;69.2;69.2;26.77;26.77;150.72;150.72;126.09;126.09;51.4;51.4;97.48;97.48;57.02;57.02;22.98;22.98;2694;2957;2556;3209;1;1;0;0
chat off & swazz & mrtn;-breyyn;1;1;100.00;617;617;2;2;1;1;1;1;8;8;6;6;2;2;1;1;25;410;50.94;2364;2364;1637;1637;727;727;20;20;66;66;694;694;415;415;279;279;5;5;26;26;52.14;52.14;32.23;32.23;352;352;400;400;99;99;1631;535983;535983;141.65;141.65;157.03;157.03;53.39;53.39;199.4;199.4;142.88;142.88;9.78;9.78;6.62;6.62;0.13;51;51;176.4;176.4;158.3;158.3;78.26;78.26;273.8;273.8;213.81;213.81;138.26;138.26;162.51;162.51;99.9;99.9;89.65;89.65;2065;1733;2347;3158;0;0;0;0
