team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
hesi & prysm! & Suliman.;;1;1;100.00;414;414;1;1;2;2;1;1;5;5;3;3;1;1;0;0;20;476;52.24;1997;1997;1571;1571;426;426;18;18;42;42;565;565;400;400;165;165;4;4;15;15;35.23;35.23;18.29;18.29;121;121;264;264;10;10;1639;343035;343035;97.83;97.83;81.76;81.76;51.98;51.98;100.84;100.84;112.84;112.84;17.89;17.89;4.59;4.59;0.13;35;35;97.7;97.7;114.5;114.5;51.99;51.99;179.59;179.59;140.77;140.77;90.81;90.81;96.74;96.74;76.9;76.9;57.94;57.94;2260;1961;2534;3413;0;0;0;0
hesi & prysm! & Suliman.;"   JWeyts   ";5;2;40.00;2330;466;5;1;2;0.4;11;2.2;21;4.2;30;6;12;2.4;5;1;23.81;440.07;54.03;10938;2187.6;8066;1613.2;2872;574.4;99;19.8;245;49;2726;545.2;1684;336.8;1042;208.4;22;4.4;81;16.2;129.28;25.86;218.03;43.61;1615;323;1978;395.6;525;105;1592.77;2109194;421838.81;612.8;122.56;528.49;105.7;273.22;54.64;725.23;145.05;582.84;116.57;106.44;21.29;22.27;4.45;0.11;193;38.6;699.5;139.9;642.5;128.5;359.78;71.96;1054.73;210.95;920.77;184.15;493.74;98.75;656.52;131.3;458.99;91.8;298.98;59.8;2307.9;2128.03;2436.57;3032.46;4;0.8;3;0.6
"   wizzo    & Beebnou";"   wizzo   ";1;0;0.00;206;206;0;0;0;0;0;0;3;3;7;7;4;4;2;2;0;380;41;1799;1799;1146;1146;653;653;12;12;60;60;429;429;292;292;137;137;3;3;13;13;49.75;49.75;15.37;15.37;169;169;57;57;9;9;1515;376573;376573;136.48;136.48;97.58;97.58;37.36;37.36;148.91;148.91;109.46;109.46;13.06;13.06;6.03;6.03;0.1;60;60;150.9;150.9;118.5;118.5;79.66;79.66;191.76;191.76;196.44;196.44;74.98;74.98;154.41;154.41;70.55;70.55;46.46;46.46;2207;2149;2234;2865;1;1;3;3
hesi & prysm! & Suliman.;" Cayyh";5;1;20.00;3029;605.8;6;1.2;1;0.2;21;4.2;17;3.4;56;11.2;19;3.8;13;2.6;35.29;359.99;50.4;9815;1963;6522;1304.4;3293;658.6;89;17.8;294;58.8;2520;504;1272;254.4;1248;249.6;14;2.8;110;22;121.8;24.36;163.63;32.73;1049;209.8;2410;482;115;23;1562.35;2294909;458981.81;719.85;143.97;596.14;119.23;276.17;55.23;847.06;169.41;664.14;132.83;80.99;16.2;41.03;8.21;0.1;397;79.4;801;160.2;696.8;139.36;370.43;74.09;1221.76;244.35;996.53;199.31;595.63;119.13;725.53;145.11;531.47;106.29;335.18;67.04;2137.81;1820.27;2433.95;2893.13;7;1.4;4;0.8
hesi & prysm! & Suliman.;" Vision zeno";1;1;100.00;740;740;3;3;0;0;3;3;5;5;4;4;1;1;1;1;60;479;53.12;2186;2186;1570;1570;616;616;23;23;57;57;550;550;290;290;260;260;4;4;23;23;29.39;29.39;29.57;29.57;758;758;768;768;109;109;1821;459737;459737;80.93;80.93;85.62;85.62;105.45;105.45;147.13;147.13;104;104;20.86;20.86;5;5;0.12;43;43;134;134;122.7;122.7;58.71;58.71;213.29;213.29;145.63;145.63;126.37;126.37;100.01;100.01;88.73;88.73;83.26;83.26;2437;2308;2610;2898;2;2;0;0
hesi & prysm! & Suliman.;!;1;1;100.00;607;607;2;2;0;0;3;3;4;4;8;8;2;2;1;1;50;511;53.51;2857;2857;2129;2129;728;728;27;27;67;67;463;463;251;251;212;212;3;3;20;20;32.22;32.22;42.13;42.13;632;632;594;594;48;48;1701;548838;548838;121.82;121.82;131.93;131.93;90.26;90.26;202.02;202.02;128.44;128.44;13.54;13.54;5.8;5.8;0.11;52;52;184.9;184.9;156.6;156.6;84.35;84.35;259.65;259.65;210.06;210.06;133.94;133.94;152.54;152.54;100.49;100.49;90.97;90.97;2409;2360;2440;3109;2;2;3;3
! & zrrn;!;1;1;100.00;382;382;2;2;0;0;0;0;3;3;5;5;2;2;2;2;66.67;445;50.33;2473;2473;1792;1792;681;681;21;21;62;62;358;358;191;191;167;167;2;2;15;15;23.58;23.58;44.82;44.82;243;243;338;338;8;8;1526;487894;487894;164.41;164.41;124.4;124.4;54.77;54.77;181.07;181.07;126.53;126.53;35.98;35.98;7.26;7.26;0.11;68;68;175.1;175.1;159.1;159.1;73.84;73.84;269.74;269.74;217.01;217.01;126.57;126.57;162.37;162.37;115.55;115.55;65.67;65.67;2568;2692;2471;3137;0;0;3;3
hesi & prysm! & Suliman.;!;1;0;0.00;206;206;0;0;0;0;1;1;3;3;6;6;4;4;3;3;0;419;41.33;1404;1404;1001;1001;403;403;11;11;36;36;362;362;193;193;169;169;2;2;15;15;30.88;30.88;20.19;20.19;148;148;116;116;9;9;1600;274876;274876;77.52;77.52;69.76;69.76;38.61;38.61;91.8;91.8;84.37;84.37;9.72;9.72;2.11;2.11;0.18;12;12;70;70;112.5;112.5;55.04;55.04;130.85;130.85;106.7;106.7;79.19;79.19;80.49;80.49;60.79;60.79;44.62;44.62;1985;1340;2438;2340;1;1;2;2
hesi & prysm! & Suliman.;!;2;1;50.00;740;370;3;1.5;1;0.5;3;1.5;5;2.5;9;4.5;4;2;2;1;60;465.98;47.54;1896;948;1394;697;502;251;16;8;39;19.5;350;175;200;100;150;75;2;1;13;6.5;34.01;17.01;22.61;11.31;214;107;222;111;0;0;1692.35;408527;204263.5;122.75;61.38;113.16;56.58;58.83;29.42;159.84;79.92;112.87;56.43;22.03;11.02;3.97;1.98;0.11;35;17.5;141.3;70.65;141.2;70.6;95.21;47.6;199.53;99.76;201.81;100.9;92.93;46.47;153.73;76.86;85.11;42.56;55.9;27.95;2161.2;1964.64;2525.61;2770.19;1;0.5;2;1
hesi & prysm! & Suliman.;! Elijae;1;0;0.00;595;595;2;2;1;1;2;2;5;5;12;12;5;5;2;2;40;457;50.87;2848;2848;2265;2265;583;583;26;26;52;52;610;610;387;387;223;223;4;4;20;20;45.79;45.79;42.82;42.82;332;332;359;359;21;21;1574;545555;545555;167.4;167.4;147.8;147.8;65.52;65.52;168.04;168.04;166.62;166.62;46.06;46.06;7.64;7.64;0.1;77;77;196.4;196.4;163.2;163.2;83.49;83.49;297.23;297.23;281.23;281.23;99.49;99.49;212.82;212.82;113.18;113.18;54.72;54.72;2313;2167;2452;2808;1;1;2;2
