team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
Syracks & Reevo & Mat.;;7;4;57.14;3118;445.43;8;1.14;8;1.14;13;1.86;23;3.29;64;9.14;17;2.43;6;0.86;34.78;426.51;47.28;12134;1733.43;8717;1245.29;3417;488.14;103;14.71;312;44.57;2981;425.86;2029;289.86;952;136;24;3.43;84;12;193.14;27.59;200.74;28.68;2072;296;1675;239.29;390;55.71;1505.14;2522520;360360;897.63;128.23;609.11;87.02;301.34;43.05;960.16;137.17;694.47;99.21;153.46;21.92;27.39;3.91;0.12;219;31.29;822.9;117.56;908.9;129.84;420;60;1388.07;198.3;1261.78;180.25;546.3;78.04;912.55;130.36;564.1;80.59;331.41;47.34;2393.43;2187.22;2480.87;3131.01;7;1;8;1.14
"   & stewy";"  ";1;1;100.00;595;595;3;3;1;1;0;0;5;5;4;4;3;3;2;2;60;493;45.62;2589;2589;1935;1935;654;654;23;23;59;59;376;376;129;129;247;247;2;2;22;22;44.22;44.22;33.54;33.54;255;255;310;310;70;70;1621;454327;454327;131.82;131.82;121.53;121.53;60.84;60.84;158.85;158.85;135.38;135.38;19.95;19.95;5.97;5.97;0.12;50;50;148.1;148.1;132;132;74.51;74.51;239.67;239.67;200.53;200.53;113.65;113.65;138.87;138.87;107.8;107.8;67.51;67.51;2571;2685;2512;2814;2;2;0;0
Syracks & Reevo & Mat.;"   JWeyts   ";1;0;0.00;285;285;0;0;2;2;1;1;1;1;9;9;4;4;1;1;0;382;51.3;1867;1867;1496;1496;371;371;20;20;36;36;626;626;497;497;129;129;6;6;13;13;17.19;17.19;47.69;47.69;206;206;453;453;120;120;1478;355991;355991;138.37;138.37;83.85;83.85;42.58;42.58;139.01;139.01;112.21;112.21;13.58;13.58;3.17;3.17;0.11;29;29;119.1;119.1;132.5;132.5;70.48;70.48;194.32;194.32;175.83;175.83;88.97;88.97;118.48;118.48;93.81;93.81;52.5;52.5;2381;2259;2457;3154;2;2;1;1
Syracks & Reevo & Mat.;" Cayyh";1;0;0.00;750;750;3;3;0;0;2;2;8;8;7;7;5;5;4;4;37.5;502;47.73;3052;3052;2443;2443;609;609;29;29;55;55;777;777;608;608;169;169;7;7;16;16;67.72;67.72;46.61;46.61;349;349;481;481;106;106;1590;546443;546443;157.11;157.11;156.69;156.69;63.71;63.71;176.01;176.01;173.53;173.53;27.98;27.98;7.62;7.62;0.11;70;70;145.7;145.7;208.9;208.9;104.27;104.27;273.24;273.24;229.36;229.36;148.15;148.15;157.43;157.43;134.62;134.62;85.46;85.46;2140;1669;2432;3075;0;0;0;0
Syracks & Reevo & Mat.;!;1;1;100.00;372;372;1;1;0;0;0;0;1;1;2;2;0;0;0;0;100;556;51.48;2858;2858;2313;2313;545;545;28;28;45;45;690;690;441;441;249;249;5;5;17;17;46.55;46.55;41.26;41.26;507;507;521;521;86;86;1699;472148;472148;91.37;91.37;141.83;141.83;60.87;60.87;142.5;142.5;128.9;128.9;22.67;22.67;5.81;5.81;0.12;50;50;130.7;130.7;155;155;58.41;58.41;235.66;235.66;167.35;167.35;126.73;126.73;105.8;105.8;112.57;112.57;75.7;75.7;2303;1911;2604;3202;0;0;2;2
Syracks & Reevo & Mat.;!;1;1;100.00;278;278;1;1;1;1;1;1;2;2;5;5;1;1;0;0;50;552;40.68;1219;1219;824;824;395;395;9;9;26;26;184;184;100;100;84;84;1;1;7;7;30.73;30.73;17.21;17.21;132;132;75;75;0;0;1589;214885;214885;65.03;65.03;55.07;55.07;30.62;30.62;67.34;67.34;67.95;67.95;15.43;15.43;2.41;2.41;0.13;18;18;63.2;63.2;75.7;75.7;38.93;38.93;111.8;111.8;104.24;104.24;46.49;46.49;79.84;79.84;43.56;43.56;27.33;27.33;2135;1655;2503;2956;2;2;0;0
Syracks & Reevo & Mat.;! Digitalkiwi.;5;2;40.00;1068;213.6;4;0.8;0;0;5;1;8;1.6;20;4;5;1;0;0;50;383.65;45.62;6152;1230.4;4782;956.4;1370;274;58;11.6;121;24.2;891;178.2;512;102.4;379;75.8;7;1.4;35;7;134.81;26.96;78.42;15.68;695;139;1039;207.8;201;40.2;1501.95;1383385;276677;476.1;95.22;354.04;70.81;154.08;30.82;535.86;107.17;379.23;75.85;69.12;13.82;12.05;2.41;0.11;111;22.2;551.4;110.28;407.5;81.5;195.29;39.06;788.92;157.78;667.23;133.45;317;63.4;487.86;97.57;330.17;66.03;166.21;33.24;2463.44;2471.48;2427.78;3039.75;0;0;7;1.4
! Ghassan & Rixy.;! Ghassan;3;1;33.33;2173;724.33;5;1.67;2;0.67;14;4.67;14;4.67;32;10.67;8;2.67;4;1.33;35.71;442.06;53.19;9078;3026;6572;2190.67;2506;835.33;86;28.67;212;70.67;1632;544;964;321.33;668;222.67;14;4.67;60;20;106.1;35.37;188.81;62.94;1909;636.33;2043;681;438;146;1522.82;1737147;579049;576.01;192;422.23;140.74;218.36;72.79;704.39;234.8;444.99;148.33;67.22;22.41;22.84;7.61;0.09;241;80.33;637.6;212.53;529.2;176.4;247.63;82.54;968.96;322.99;804.77;268.26;411.83;137.28;595.79;198.6;393.83;131.28;226.99;75.66;2491.14;2348.96;2619.22;2957.96;3;1;3;1
Caseymichu. & ! Khan.;! Khan.;9;7;77.78;5981;664.56;22;2.44;7;0.78;18;2;58;6.44;78;8.67;29;3.22;16;1.78;37.93;404.36;46.65;21746;2416.22;16404;1822.67;5342;593.56;200;22.22;481;53.44;4822;535.78;3064;340.44;1758;195.33;34;3.78;155;17.22;314.48;34.94;276.98;30.78;1527;169.67;2433;270.33;224;24.89;1577.92;4453062;494784.66;1346.83;149.65;1151.6;127.96;590.51;65.61;1528.76;169.86;1407.62;156.4;152.57;16.95;65.01;7.22;0.09;691;76.78;1433.9;159.32;1537;170.78;796.19;88.47;2292.74;254.75;1935.37;215.04;1153.56;128.17;1377.72;153.08;1027.82;114.2;683.4;75.93;2275.11;1957.4;2547.74;3194.51;3;0.33;16;1.78
Syracks & Reevo & Mat.;!evas a tahW;9;5;55.56;5781;642.33;14;1.56;10;1.11;19;2.11;44;4.89;76;8.44;21;2.33;11;1.22;31.82;466.22;48.74;25936;2881.78;19840;2204.44;6096;677.33;236;26.22;555;61.67;4249;472.11;2377;264.11;1872;208;31;3.44;171;19;355.34;39.48;518.01;57.56;3999;444.33;3954;439.33;772;85.78;1627.38;5084453;564939.25;1285.4;142.82;1336.06;148.45;708.35;78.71;1674.82;186.09;1387.22;154.14;267.82;29.76;54.85;6.09;0.1;549;61;1611.6;179.07;1566.2;174.02;832.56;92.51;2497.28;277.48;2165.33;240.59;1164.53;129.39;1538.13;170.9;1161.25;129.03;630.46;70.05;2302.26;2065.62;2530.89;2984.97;4;0.44;9;1
