team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
CheeseFace &    JWeyts   ;"   JWeyts   ";1;0;0.00;562;562;1;1;1;1;3;3;4;4;10;10;3;3;3;3;25;388;45.39;2217;2217;1514;1514;703;703;18;18;63;63;660;660;440;440;220;220;6;6;20;20;45.48;45.48;27.99;27.99;363;363;265;265;159;159;1621;526027;526027;140.64;140.64;136.49;136.49;69.87;69.87;192.27;192.27;140.42;140.42;14.32;14.32;4.38;4.38;0.12;37;37;176.9;176.9;163;163;87.21;87.21;259.79;259.79;211.89;211.89;135.11;135.11;157.33;157.33;108.83;108.83;80.83;80.83;2135;1973;2230;2875;0;0;3;3
Dragon <3 & shallow _0 & Kehvn;!;1;1;100.00;757;757;3;3;2;2;1;1;7;7;3;3;1;1;0;0;42.86;418;46.37;1999;1999;1401;1401;598;598;16;16;46;46;469;469;286;286;183;183;3;3;16;16;28.71;28.71;23.61;23.61;377;377;164;164;19;19;1583;416843;416843;118.04;118.04;123.64;123.64;44.76;44.76;178.67;178.67;95.57;95.57;12.2;12.2;5.74;5.74;0.14;41;41;114.2;114.2;154.5;154.5;52.16;52.16;234.28;234.28;158.95;158.95;127.5;127.5;104.18;104.18;97.89;97.89;84.37;84.37;2409;1970;2933;3070;1;1;1;1
Dragon <3 & shallow _0 & Kehvn;! Mayrox;6;4;66.67;2722;453.67;6;1;5;0.83;14;2.33;19;3.17;47;7.83;7;1.17;3;0.5;31.58;404.4;48.72;10983;1830.5;8541;1423.5;2442;407;104;17.33;221;36.83;2042;340.33;1439;239.83;603;100.5;16;2.67;51;8.5;176.51;29.42;198.42;33.07;1964;327.33;1854;309;105;17.5;1479.32;2211493;368582.16;795.84;132.64;528.96;88.16;275.08;45.85;886.38;147.73;648.01;108;65.49;10.91;22.94;3.82;0.11;204;34;778.8;129.8;769.9;128.32;376.02;62.67;1223.85;203.97;1106.75;184.46;493.11;82.18;862.21;143.7;461.26;76.88;276.4;46.07;2236.62;2054.15;2387.36;2924.44;4;0.67;7;1.17
Dragon <3 & shallow _0 & Kehvn;!sk.;1;0;0.00;272;272;1;1;0;0;1;1;2;2;5;5;4;4;2;2;50;425;45.84;1091;1091;727;727;364;364;9;9;34;34;153;153;85;85;68;68;1;1;6;6;11.85;11.85;22.02;22.02;109;109;197;197;18;18;1687;236622;236622;60.18;60.18;59.97;59.97;39.69;39.69;84.72;84.72;65.63;65.63;9.48;9.48;1.91;1.91;0.08;25;25;53.6;53.6;91.2;91.2;60.15;60.15;99.69;99.69;113.77;113.77;46.07;46.07;79.38;79.38;54.58;54.58;25.88;25.88;1971;1585;2219;2953;1;1;0;0
Dragon <3 & shallow _0 & Kehvn;--;2;0;0.00;749;374.5;1;0.5;2;1;5;2.5;3;1.5;21;10.5;8;4;3;1.5;33.33;447.29;46.76;3581;1790.5;2709;1354.5;872;436;33;16.5;69;34.5;529;264.5;300;150;229;114.5;3;1.5;20;10;80.76;40.38;42.18;21.09;484;242;517;258.5;7;3.5;1654.44;774267;387133.5;198.83;99.41;187.1;93.55;124.94;62.47;245.39;122.69;225.78;112.89;39.71;19.85;13.16;6.58;0.13;102;51;238.4;119.2;237.1;118.55;147.02;73.51;363.84;181.92;352.39;176.2;158.47;79.24;256.1;128.05;159.4;79.7;95.36;47.68;2366.56;2098.24;2540.41;3092.17;0;0;1;0.5
Dragon <3 & shallow _0 & Kehvn;-yova;18;14;77.78;10133;562.94;28;1.56;17;0.94;49;2.72;64;3.56;132;7.33;32;1.78;18;1;43.75;476.81;47.74;40906;2272.56;29314;1628.56;11592;644;343;19.06;984;54.67;8568;476;4973;276.28;3595;199.72;58;3.22;301;16.72;685.82;38.1;506.47;28.14;6860;381.11;4858;269.89;777;43.17;1560.59;7599317;422184.28;2377.82;132.1;1785.2;99.18;1090.54;60.59;2748.21;152.68;2166.39;120.36;338.93;18.83;113.99;6.33;0.09;1255;69.72;2684.8;149.16;2315.5;128.64;1103.73;61.32;4149.75;230.54;3436.37;190.91;1817.11;100.95;2558.31;142.13;1600.34;88.91;1094.88;60.83;2168.68;2065.28;2254.8;2950.24;20;1.11;15;0.83
Dragon <3 & shallow _0 & Kehvn;.;2;1;50.00;1034;517;4;2;0;0;2;1;11;5.5;12;6;4;2;2;1;36.36;505.31;47.61;5614;2807;4118;2059;1496;748;49;24.5;133;66.5;1494;747;1031;515.5;463;231.5;12;6;41;20.5;91.84;45.92;62.52;31.26;821;410.5;727;363.5;167;83.5;1609.23;1065524;532762;281.37;140.68;264.59;132.29;153.08;76.54;338.95;169.48;300.81;150.4;59.26;29.63;8.89;4.45;0.07;125;62.5;299.9;149.95;374.5;187.25;184.34;92.17;514.68;257.34;432.13;216.07;266.9;133.45;310.42;155.21;226.94;113.47;161.67;80.84;2155.4;1935.12;2392.08;2939.21;3;1.5;2;1
Dragon <3 & shallow _0 & Kehvn;.;1;0;0.00;405;405;1;1;0;0;2;2;4;4;9;9;3;3;2;2;25;457;54.24;3505;3505;2405;2405;1100;1100;33;33;93;93;1089;1089;733;733;356;356;11;11;34;34;32.98;32.98;80.48;80.48;730;730;957;957;391;391;1582;691183;691183;188.72;188.72;184.88;184.88;84.32;84.32;253.07;253.07;174.18;174.18;30.67;30.67;5.64;5.64;0.12;49;49;222.7;222.7;229.6;229.6;98.66;98.66;359.25;359.25;273.75;273.75;184.16;184.16;209.28;209.28;123.88;123.88;124.75;124.75;2299;2052;2505;3314;0;0;2;2
Dragon <3 & shallow _0 & Kehvn;.;1;0;0.00;213;213;0;0;0;0;1;1;1;1;6;6;3;3;2;2;0;430;42.62;1745;1745;1119;1119;626;626;13;13;55;55;789;789;465;465;324;324;5;5;28;28;33.16;33.16;19.53;19.53;291;291;203;203;38;38;1585;378104;378104;111.76;111.76;85.99;85.99;52.94;52.94;130.69;130.69;93.93;93.93;26.06;26.06;3.37;3.37;0.11;32;32;104.4;104.4;139.8;139.8;90.76;90.76;159.93;159.93;135.2;135.2;115.49;115.49;90.55;90.55;82.13;82.13;78.01;78.01;2064;1905;2180;2890;3;3;0;0
Dragon <3 & shallow _0 & Kehvn;.;2;0;0.00;881;440.5;2;1;2;1;3;1.5;8;4;24;12;11;5.5;4;2;25;382.93;49.22;4144;2072;2920;1460;1224;612;34;17;109;54.5;855;427.5;495;247.5;360;180;6;3;31;15.5;77.24;38.62;44.3;22.15;434;217;395;197.5;104;52;1515.68;931980;465990;324.77;162.39;270.29;135.14;84.24;42.12;375.24;187.62;270.08;135.04;33.98;16.99;13.28;6.64;0.08;159;79.5;322.4;161.2;297.5;148.75;182.06;91.03;497.23;248.62;450.64;225.32;228.66;114.33;323.52;161.76;231.33;115.67;124.44;62.22;2295.06;2135.49;2475.43;2878.94;1;0.5;0;0
