team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
Abdullah & Aiipa & Mat.;"   Czudo   ";2;1;50.00;1188;594;2;1;0;0;8;4;5;2.5;15;7.5;4;2;0;0;40;454;47.12;5442;2721;4139;2069.5;1303;651.5;52;26;120;60;811;405.5;556;278;255;127.5;7;3.5;23;11.5;89.3;44.65;70.46;35.23;1288;644;1099;549.5;151;75.5;1599.58;1053932;526966;292.19;146.1;233.93;116.96;168.43;84.21;418.23;209.12;253.03;126.51;23.28;11.64;7.75;3.88;0.14;56;28;368.9;184.45;302.9;151.45;158.37;79.18;536.17;268.09;491.26;245.63;203.28;101.64;370.98;185.49;215.26;107.63;108.3;54.15;2302.47;2114.5;2430.9;3040.9;2;1;1;0.5
Abdullah & Aiipa & Mat.;" Rh7.";1;0;0.00;606;606;2;2;2;2;2;2;3;3;13;13;5;5;3;3;66.67;422;43.5;2606;2606;1709;1709;897;897;21;21;79;79;499;499;243;243;256;256;3;3;23;23;52.66;52.66;51.09;51.09;337;337;343;343;68;68;1541;565154;565154;186.28;186.28;142.51;142.51;75.66;75.66;219.15;219.15;171.19;171.19;14.11;14.11;5.96;5.96;0.11;52;52;211.2;211.2;174.9;174.9;79.33;79.33;325.12;325.12;258.64;258.64;145.8;145.8;195.04;195.04;129.75;129.75;79.66;79.66;2266;2110;2442;3112;1;1;3;3
acqua & ! Dcw;! Dcw;1;1;100.00;575;575;3;3;0;0;1;1;6;6;4;4;2;2;2;2;50;381;48.13;1632;1632;1194;1194;438;438;14;14;40;40;197;197;45;45;152;152;1;1;14;14;36.25;36.25;30.9;30.9;158;158;219;219;56;56;1567;375499;375499;111;111;111.15;111.15;39.47;39.47;150.29;150.29;92.67;92.67;18.66;18.66;3.74;3.74;0.1;37;37;142;142;99.7;99.7;38.78;38.78;222.84;222.84;191.19;191.19;70.43;70.43;138;138;87.81;87.81;35.81;35.81;2358;2154;2574;3022;1;1;0;0
Abdullah & Aiipa & Mat.;! Elijae;2;2;100.00;1398;699;8;4;0;0;0;0;12;6;14;7;4;2;2;1;66.67;537.5;51.58;6036;3018;4430;2215;1606;803;50;25;124;62;1394;697;784;392;610;305;8;4;52;26;115.98;57.99;74.38;37.19;1041;520.5;618;309;14;7;1605;1060767;530383.5;299.7;149.85;269.58;134.79;142.68;71.34;391.95;195.98;279.57;139.79;40.44;20.22;16.57;8.28;0.09;191;95.5;289;144.5;376.3;188.15;218;109;493.96;246.98;411.76;205.88;300.21;150.11;269.93;134.96;271.74;135.87;170.29;85.14;2148;2137.5;2173.99;3010.5;0;0;0;0
Abdullah & Aiipa & Mat.;! Khan.;1;0;0.00;594;594;2;2;0;0;2;2;7;7;5;5;3;3;1;1;28.57;428;48.59;2641;2641;1911;1911;730;730;24;24;64;64;538;538;298;298;240;240;4;4;21;21;30.91;30.91;51.34;51.34;352;352;500;500;106;106;1554;555785;555785;164.38;164.38;152.34;152.34;62.61;62.61;176.73;176.73;177.85;177.85;24.75;24.75;6.99;6.99;0.09;78;78;186.1;186.1;182.2;182.2;71.95;71.95;307.38;307.38;240.66;240.66;138.68;138.68;171.85;171.85;122.21;122.21;85.28;85.28;2236;1893;2478;2911;2;2;2;2
Abdullah & Aiipa & Mat.;! LeV;9;6;66.67;5291;587.89;16;1.78;10;1.11;18;2;42;4.67;76;8.44;24;2.67;20;2.22;38.1;389.81;48.68;17130;1903.33;12430;1381.11;4700;522.22;155;17.22;380;42.22;3044;338.22;1840;204.44;1204;133.78;21;2.33;107;11.89;357.86;39.76;377.45;41.94;1546;171.78;3242;360.22;339;37.67;1531.72;3907341;434149;1287.64;143.07;1036.51;115.17;439.54;48.84;1312.28;145.81;1240.28;137.81;211.12;23.46;43.01;4.78;0.12;359;39.89;1429.1;158.79;1172.9;130.32;628.23;69.8;2135.46;237.27;1918.26;213.14;845.41;93.93;1444.7;160.52;835.91;92.88;483.1;53.68;2262.35;2112.54;2399.6;2927.43;4;0.44;2;0.22
Abdullah & Aiipa & Mat.;& .FlowZ. &;1;1;100.00;843;843;3;3;1;1;3;3;5;5;13;13;4;4;2;2;60;412;48.99;2633;2633;1835;1835;798;798;21;21;68;68;545;545;346;346;199;199;4;4;20;20;31.84;31.84;52.72;52.72;330;330;289;289;67;67;1542;543651;543651;192.41;192.41;126.72;126.72;70.52;70.52;197.82;197.82;171.23;171.23;20.6;20.6;6.8;6.8;0.13;52;52;175.4;175.4;188.3;188.3;95.74;95.74;293.91;293.91;276.37;276.37;113.28;113.28;197.99;197.99;133.24;133.24;58.42;58.42;2780;2630;2866;3188;1;1;2;2
Abdullah & Aiipa & Mat.;*******;2;1;50.00;996;498;3;1.5;3;1.5;2;1;18;9;19;9.5;8;4;5;2.5;16.67;514.5;44.94;6663;3331.5;4785;2392.5;1878;939;57;28.5;156;78;2193;1096.5;1421;710.5;772;386;17;8.5;69;34.5;128.52;64.26;80.62;40.31;1772;886;953;476.5;299;149.5;1644.74;1205153;602576.5;329.47;164.74;280.39;140.2;190.39;95.19;459.47;229.73;303.77;151.89;37.01;18.5;20.69;10.35;0.12;171;85.5;351.4;175.7;412.2;206.1;263.81;131.9;536.43;268.21;424.01;212.01;376.23;188.11;285.22;142.61;269.85;134.93;245.16;122.58;2370.86;2193.06;2529.62;2965.37;5;2.5;3;1.5
Abdullah & Aiipa & Mat.;*******;1;1;100.00;779;779;3;3;1;1;2;2;5;5;10;10;3;3;2;2;60;439;44.68;3448;3448;2570;2570;878;878;30;30;77;77;442;442;216;216;226;226;3;3;20;20;66.45;66.45;62.88;62.88;270;270;449;449;88;88;1526;674732;674732;227.89;227.89;165.89;165.89;78.12;78.12;228.16;228.16;199.93;199.93;43.81;43.81;8.8;8.8;0.07;123;123;221.5;221.5;229.6;229.6;124.01;124.01;347.89;347.89;346.67;346.67;125.22;125.22;278.97;278.97;113.52;113.52;79.41;79.41;2297;2134;2494;2802;1;1;2;2
Abdullah & Aiipa & Mat.;-trace;1;1;100.00;424;424;1;1;1;1;2;2;3;3;9;9;1;1;1;1;33.33;390;48.4;2088;2088;1136;1136;952;952;12;12;76;76;365;365;100;100;265;265;1;1;23;23;40.39;40.39;33.05;33.05;278;278;89;89;5;5;1476;462078;462078;172.21;172.21;122.29;122.29;37.9;37.9;196.91;196.91;111.04;111.04;24.45;24.45;6.02;6.02;0.11;54;54;189.2;189.2;136.8;136.8;77.7;77.7;254.71;254.71;221.05;221.05;111.36;111.36;171.62;171.62;98.75;98.75;62.04;62.04;2437;2244;2592;2951;0;0;1;1
Abdullah & Aiipa & Mat.;.;2;2;100.00;1115;557.5;4;2;1;0.5;4;2;8;4;15;7.5;7;3.5;4;2;50;385.25;46.66;4202;2101;2767;1383.5;1435;717.5;35;17.5;133;66.5;1214;607;854;427;360;180;11;5.5;33;16.5;101.27;50.64;69.41;34.71;599;299.5;821;410.5;274;137;1554.62;942008;471004;325.82;162.91;224.31;112.15;130.7;65.35;384.45;192.23;262.26;131.13;34.11;17.06;13.95;6.97;0.12;113;56.5;298.2;149.1;322.3;161.15;154.3;77.15;526.52;263.26;471.94;235.97;208.87;104.43;339.76;169.88;236.45;118.23;104.6;52.3;2300.73;2165.01;2441.24;2423.27;1;0.5;1;0.5
Abdullah & Aiipa & Mat.;.;1;0;0.00;114;114;0;0;0;0;1;1;0;0;3;3;2;2;1;1;0;501;50.7;1436;1436;1083;1083;353;353;13;13;31;31;322;322;151;151;171;171;2;2;15;15;18.59;18.59;22.33;22.33;338;338;229;229;49;49;1509;257064;257064;84.32;84.32;60.07;60.07;33.62;33.62;101.71;101.71;65.88;65.88;10.42;10.42;3.3;3.3;0.11;31;31;107.4;107.4;62.7;62.7;38.75;38.75;139.26;139.26;112.41;112.41;65.6;65.6;73.95;73.95;78.18;78.18;25.88;25.88;2364;2108;2554;2933;0;0;0;0
Abdullah & Aiipa & Mat.;.;2;0;0.00;529;264.5;0;0;0;0;4;2;5;2.5;12;6;4;2;3;1.5;0;384;45.3;2981;1490.5;1985;992.5;996;498;26;13;90;45;605;302.5;276;138;329;164.5;3;1.5;28;14;47.42;23.71;54.16;27.08;354;177;640;320;25;12.5;1524.26;676889;338444.5;222.44;111.22;173.65;86.82;68.42;34.21;257.96;128.98;182.68;91.34;23.88;11.94;10.13;5.07;0.11;86;43;222.3;111.15;236.6;118.3;134.99;67.5;329.52;164.76;282.52;141.26;181.98;90.99;197.45;98.73;163.58;81.79;103.48;51.74;2188.22;1918.9;2369.85;2943.19;1;0.5;0;0
Abdullah & Aiipa & Mat.;.;2;0;0.00;735;367.5;3;1.5;0;0;1;0.5;8;4;15;7.5;8;4;6;3;37.5;449.58;43.46;3896;1948;2856;1428;1040;520;33;16.5;92;46;652;326;371;185.5;281;140.5;4;2;26;13;70.9;35.45;47.37;23.69;723;361.5;465;232.5;37;18.5;1648.15;803555;401777.5;207.97;103.99;206.18;103.09;119.29;59.65;278.51;139.26;207.77;103.88;47.17;23.58;14.4;7.2;0.11;130;65;250.1;125.05;245.5;122.75;124.51;62.25;408.93;204.46;312.56;156.28;220.88;110.44;222.3;111.15;189.36;94.68;121.78;60.89;2481.09;2096.45;2912.99;3194.03;0;0;0;0
Abdullah & Aiipa & Mat.;.jelly.  ;1;1;100.00;354;354;2;2;0;0;1;1;2;2;4;4;0;0;0;0;100;456;42.88;1362;1362;1030;1030;332;332;13;13;32;32;342;342;213;213;129;129;3;3;12;12;17.64;17.64;17.52;17.52;256;256;274;274;86;86;1675;280603;280603;71.22;71.22;63.05;63.05;48.44;48.44;102.9;102.9;69.99;69.99;9.81;9.81;4.06;4.06;0.07;57;57;80.7;80.7;93.3;93.3;35.45;35.45;147.25;147.25;118.53;118.53;64.18;64.18;87.07;87.07;54.84;54.84;40.79;40.79;2366;2197;2605;2743;0;0;2;2
Abdullah & Aiipa & Mat.;1rb;2;1;50.00;799;399.5;0;0;2;1;5;2.5;5;2.5;21;10.5;2;1;1;0.5;0;416.82;42.54;4238;2119;2729;1364.5;1509;754.5;31;15.5;131;65.5;1250;625;652;326;598;299;7;3.5;47;23.5;96.48;48.24;46.78;23.39;526;263;405;202.5;47;23.5;1568.32;934639;467319.5;271.53;135.76;233.72;116.86;118.76;59.38;337.59;168.8;253.13;126.57;33.31;16.65;13.55;6.78;0.12;105;52.5;254.1;127.05;353.7;176.85;166.19;83.1;457.82;228.91;420.88;210.44;203.14;101.57;322.51;161.26;180.75;90.38;120.77;60.39;2084.16;1832.52;2253.78;2793.19;4;2;1;0.5
Abdullah & Aiipa & Mat.;2Piece;3;3;100.00;2163;721;8;2.67;4;1.33;3;1;22;7.33;21;7;9;3;6;2;36.36;496.47;44.96;8736;2912;6266;2088.67;2470;823.33;68;22.67;213;71;1839;613;789;263;1050;350;9;3;84;28;156.78;52.26;105.31;35.1;1198;399.33;646;215.33;148;49.33;1577.16;1611174;537058;470;156.67;442.78;147.59;193.89;64.63;563.96;187.99;449.14;149.71;93.59;31.2;25.04;8.35;0.11;226;75.33;551.4;183.8;516;172;215.65;71.88;891.04;297.01;605;201.67;501.68;167.23;394.29;131.43;420.29;140.1;292.1;97.37;2394.06;2204.27;2646.42;3269.74;3;1;2;0.67
Abdullah & Aiipa & Mat.;54;1;0;0.00;387;387;1;1;1;1;2;2;1;1;12;12;5;5;1;1;100;362;47.46;1805;1805;1200;1200;605;605;15;15;50;50;333;333;168;168;165;165;3;3;15;15;38.4;38.4;30.44;30.44;435;435;318;318;133;133;1506;396239;396239;146.78;146.78;85.9;85.9;55.83;55.83;173.32;173.32;109.36;109.36;5.83;5.83;4.29;4.29;0.1;42;42;146.8;146.8;128.3;128.3;69.34;69.34;219.17;219.17;198.79;198.79;89.72;89.72;155.42;155.42;90.17;90.17;42.91;42.91;2459;2498;2398;2827;0;0;1;1
