team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
ant8pizza & evelynn & swazz;;3;1;33.33;657;219;1;0.33;1;0.33;3;1;4;1.33;19;6.33;11;3.67;4;1.33;25;361.2;49.61;4284;1428;3162;1054;1122;374;41;13.67;104;34.67;1041;347;817;272.33;224;74.67;9;3;20;6.67;41.57;13.86;53.58;17.86;495;165;945;315;80;26.67;1541.5;1027431;342477;336.23;112.08;281.12;93.71;111.07;37.02;393.82;131.27;283.67;94.56;50.93;16.98;11.93;3.98;0.08;146;48.67;364.7;121.57;327.4;109.13;211.34;70.45;517.07;172.36;504.29;168.1;224.13;74.71;390.48;130.16;201.88;67.29;136.06;45.35;2520.77;2256.11;2649.49;2847.61;1;0.33;1;0.33
ant8pizza & evelynn & swazz;;1;0;0.00;100;100;0;0;0;0;1;1;0;0;8;8;5;5;3;3;0;368;49.45;894;894;666;666;228;228;9;9;20;20;124;124;79;79;45;45;1;1;4;4;13.31;13.31;13.18;13.18;110;110;243;243;20;20;1619;189273;189273;63.93;63.93;46.97;46.97;25.46;25.46;82.8;82.8;43.54;43.54;10.01;10.01;3.74;3.74;0.18;21;21;56.5;56.5;62.3;62.3;45.42;45.42;90.94;90.94;110.65;110.65;25.71;25.71;86.5;86.5;39.59;39.59;10.27;10.27;2287;2038;2405;2574;1;1;0;0
ant8pizza & evelynn & swazz;"   JWeyts   ";13;2;15.38;6120;470.77;13;1;3;0.23;30;2.31;52;4;121;9.31;45;3.46;15;1.15;25;461.8;53.02;33338;2564.46;25013;1924.08;8325;640.38;317;24.38;773;59.46;9190;706.92;5987;460.54;3203;246.38;74;5.69;295;22.69;381.78;29.37;592.98;45.61;6211;477.77;6907;531.31;1504;115.69;1650.53;6498901;499915.47;1650.77;126.98;1599.55;123.04;973.9;74.92;2156.53;165.89;1741.08;133.93;326.62;25.12;63.56;4.89;0.13;499;38.38;1751.1;134.7;2267.1;174.39;1309.66;100.74;2914.55;224.2;2529.16;194.55;1695.05;130.39;1817.79;139.83;1349.7;103.82;1056.73;81.29;2269.73;1975.83;2551.53;3083.42;11;0.85;9;0.69
ant8pizza & evelynn & swazz;" Cayyh";4;2;50.00;2540;635;7;1.75;4;1;12;3;14;3.5;45;11.25;12;3;6;1.5;50;441.11;48.31;11157;2789.25;8675;2168.75;2482;620.5;105;26.25;226;56.5;2430;607.5;1579;394.75;851;212.75;19;4.75;79;19.75;186.34;46.59;159.11;39.78;1805;451.25;1895;473.75;377;94.25;1590.43;2148114;537028.5;617.56;154.39;533.56;133.39;310.03;77.51;737.09;184.27;646.37;161.59;77.73;19.43;34.55;8.64;0.12;298;74.5;648.2;162.05;728.7;182.18;395.86;98.96;1065.31;266.33;916.47;229.12;544.7;136.18;656.23;164.06;487.1;121.78;317.85;79.46;2050.99;1852.72;2241.84;2874.62;2;0.5;5;1.25
ant8pizza & evelynn & swazz;!;7;2;28.57;2851;407.29;7;1;4;0.57;11;1.57;23;3.29;50;7.14;25;3.57;7;1;30.43;502.03;46.57;17263;2466.14;13023;1860.43;4240;605.71;158;22.57;388;55.43;4837;691;3061;437.29;1776;253.71;38;5.43;161;23;250.97;35.85;209.95;29.99;2613;373.29;2645;377.86;647;92.43;1675.75;3312161;473165.84;803.28;114.75;782.97;111.85;550.53;78.65;1076.58;153.8;956.12;136.59;104.08;14.87;37.57;5.37;0.12;319;45.57;1000.7;142.96;1021.9;145.99;614.73;87.82;1522.02;217.43;1292.39;184.63;844.38;120.63;904.37;129.2;706.76;100.97;525.64;75.09;2190.55;1945.96;2413.44;2993.65;11;1.57;7;1
! & Jenna & .;!;2;0;0.00;1038;519;3;1.5;0;0;4;2;9;4.5;14;7;5;2.5;2;1;33.33;437.51;50.46;4861;2430.5;3710;1855;1151;575.5;46;23;106;53;1576;788;1215;607.5;361;180.5;14;7;32;16;70.24;35.12;46.57;23.28;655;327.5;925;462.5;192;96;1572.26;1016824;508412;285.98;142.99;286.14;143.07;112.41;56.21;379.9;189.95;261.73;130.87;42.92;21.46;10.88;5.44;0.11;98;49;335.8;167.9;332.8;166.4;164.11;82.06;520.43;260.21;392.23;196.11;292.32;146.16;281.07;140.54;212;106;191.48;95.74;2347.08;1959.48;2710;2998.13;1;0.5;3;1.5
ant8pizza & evelynn & swazz;!;6;3;50.00;3211;535.17;11;1.83;0;0;13;2.17;27;4.5;53;8.83;17;2.83;9;1.5;40.74;473.01;50.27;15006;2501;11098;1849.67;3908;651.33;136;22.67;331;55.17;3559;593.17;2247;374.5;1312;218.67;26;4.33;114;19;215.49;35.91;200.4;33.4;2428;404.67;2438;406.33;413;68.83;1590.26;2873700;478950;802.66;133.78;705.4;117.57;414.53;69.09;972.79;162.13;813.09;135.51;136.73;22.79;33.66;5.61;0.08;413;68.83;847.4;141.23;1006.1;167.68;564.16;94.03;1358.44;226.41;1225.17;204.19;697.43;116.24;902.33;150.39;583.59;97.26;436.69;72.78;2138.48;1780.8;2425.28;2922.34;6;1;8;1.33
ant8pizza & evelynn & swazz;!;1;1;100.00;1167;1167;6;6;0;0;3;3;7;7;12;12;5;5;1;1;85.71;461;48.27;3007;3007;2119;2119;888;888;24;24;81;81;453;453;268;268;185;185;3;3;17;17;46.78;46.78;34.28;34.28;507;507;313;313;36;36;1683;606973;606973;154.37;154.37;159.44;159.44;96;96;231.87;231.87;152.41;152.41;25.54;25.54;7.61;7.61;0.12;63;63;177.6;177.6;203.9;203.9;96.73;96.73;313.08;313.08;284.84;284.84;124.97;124.97;215.18;215.18;122.37;122.37;72.26;72.26;2533;2439;2631;3230;3;3;3;3
! Khan. & Caseymichu.;! Khan.;7;6;85.71;6314;902;18;2.57;3;0.43;35;5;41;5.86;67;9.57;16;2.29;11;1.57;43.9;389.12;47.21;16864;2409.14;11894;1699.14;4970;710;148;21.14;448;64;2684;383.43;1303;186.14;1381;197.29;18;2.57;125;17.86;291.89;41.7;241.16;34.45;1222;174.57;1783;254.71;101;14.43;1563.09;3846776;549539.44;1157.3;165.33;1035.99;148;457.45;65.35;1328.59;189.8;1187.93;169.7;134.22;19.17;55.11;7.87;0.09;624;89.14;1409.8;201.4;1185;169.29;609.15;87.02;2041.59;291.66;1729.66;247.09;921.09;131.58;1261.64;180.23;837.29;119.61;551.83;78.83;2316.37;2184.96;2455.89;3084.66;4;0.57;10;1.43
ant8pizza & evelynn & swazz;! Sultan.;2;1;50.00;1345;672.5;5;2.5;1;0.5;6;3;5;2.5;18;9;4;2;1;0.5;100;490.79;52.24;5538;2769;4164;2082;1374;687;51;25.5;123;61.5;933;466.5;578;289;355;177.5;6;3;35;17.5;87.18;43.59;70.6;35.3;1408;704;907;453.5;25;12.5;1623.2;1029981;514990.5;273.4;136.7;236.94;118.47;164.46;82.23;404.17;202.09;242.08;121.04;28.53;14.27;15.57;7.78;0.09;162;81;326.5;163.25;318.3;159.15;158.32;79.16;516.47;258.23;420.23;210.11;254.56;127.28;300.67;150.34;244.71;122.35;129.41;64.71;2530.29;2292.86;2797.36;3078.67;3;1.5;0;0
