team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
mrtn & Jup. & nibra;"   JWeyts   ";3;2;66.67;1599;533;4;1.33;3;1;7;2.33;13;4.33;31;10.33;12;4;5;1.67;30.77;428.95;53.43;8826;2942;6445;2148.33;2381;793.67;77;25.67;220;73.33;2017;672.33;1129;376.33;888;296;14;4.67;83;27.67;106.91;35.64;149.52;49.84;1135;378.33;1399;466.33;317;105.67;1551.17;1710293;570097.69;567.9;189.3;419.06;139.69;216.67;72.22;659.21;219.74;472.63;157.54;71.79;23.93;21.55;7.18;0.14;161;53.67;622.4;207.47;505.8;168.6;316.88;105.63;886.75;295.58;734.92;244.97;468.71;156.24;518.56;172.85;409.25;136.42;275.81;91.94;2442.4;2436.61;2443.34;3063.47;6;2;4;1.33
mrtn & Jup. & nibra;" Chox";1;0;0.00;563;563;1;1;0;0;4;4;7;7;10;10;3;3;3;3;14.29;456;44.12;2738;2738;1790;1790;948;948;21;21;90;90;734;734;289;289;445;445;4;4;42;42;57.12;57.12;21.6;21.6;491;491;349;349;124;124;1575;517234;517234;144.32;144.32;142.23;142.23;64.65;64.65;166.61;166.61;165.72;165.72;18.86;18.86;8.6;8.6;0.1;90;90;160.9;160.9;175.3;175.3;99.96;99.96;251.22;251.22;197.01;197.01;154.18;154.18;142.39;142.39;107.38;107.38;101.42;101.42;2532;2453;2584;3244;3;3;1;1
mrtn & Jup. & nibra;!;2;2;100.00;1263;631.5;5;2.5;3;1.5;2;1;8;4;16;8;6;3;3;1.5;62.5;508.03;50.9;5820;2910;4328;2164;1492;746;54;27;121;60.5;1205;602.5;692;346;513;256.5;8;4;30;15;82.8;41.4;70.35;35.18;1174;587;1043;521.5;45;22.5;1654.99;1102088;551044;277.53;138.76;291.66;145.83;161.53;80.76;402.09;201.05;281.84;140.92;46.79;23.4;17.09;8.55;0.12;140;70;356.6;178.3;335.4;167.7;190.28;95.14;540.43;270.21;473.01;236.51;257.7;128.85;325.86;162.93;259.69;129.85;145.17;72.58;2463.94;2301.45;2640.03;3222.44;4;2;2;1
! & diego;!;12;5;41.67;7308;609;20;1.67;11;0.92;29;2.42;56;4.67;98;8.17;50;4.17;30;2.5;35.71;525.89;50.58;34382;2865.17;26122;2176.83;8260;688.33;344;28.67;767;63.92;8741;728.42;5882;490.17;2859;238.25;69;5.75;253;21.08;352.94;29.41;442.43;36.87;4230;352.5;6998;583.17;909;75.75;1677.21;5901773;491814.41;1406.13;117.18;1504.23;125.35;924.22;77.02;1972.65;164.39;1574.7;131.23;287.26;23.94;95.72;7.98;0.1;953;79.42;1834.5;152.87;1777.4;148.12;1034.44;86.2;2800.13;233.34;2335.53;194.63;1499.03;124.92;1662.56;138.55;1203.1;100.26;968.92;80.74;2278.93;1950.13;2598.71;3044.92;20;1.67;24;2
nuxie & FERGM. & Kiroxxxxxxx.;!;2;0;0.00;1396;698;5;2.5;1;0.5;6;3;12;6;16;8;8;4;4;2;41.67;433.79;48.87;4968;2484;3893;1946.5;1075;537.5;49;24.5;98;49;842;421;467;233.5;375;187.5;7;3.5;36;18;109.64;54.82;83.46;41.73;875;437.5;982;491;264;132;1575.61;1044296;522148;318.9;159.45;257.05;128.53;141.25;70.62;371.92;185.96;295.27;147.64;50.01;25.01;10.68;5.34;0.12;86;43;341.2;170.6;329.1;164.55;173.01;86.5;544.19;272.1;441.74;220.87;275.46;137.73;320.59;160.3;230.53;115.26;166.08;83.04;2218.09;2065.48;2420.36;2925.45;2;1;2;1
mrtn & Jup. & nibra;! Sultan.;1;1;100.00;525;525;3;3;0;0;1;1;4;4;6;6;2;2;1;1;75;498;55.65;2080;2080;1722;1722;358;358;25;25;33;33;168;168;136;136;32;32;2;2;4;4;20.97;20.97;20.49;20.49;345;345;795;795;63;63;1752;375264;375264;86.69;86.69;91.51;91.51;66.1;66.1;123.93;123.93;107.11;107.11;13.26;13.26;3.23;3.23;0.08;38;38;124.2;124.2;98.3;98.3;57.24;57.24;187.07;187.07;168.76;168.76;75.55;75.55;126.18;126.18;82.34;82.34;35.79;35.79;3063;3000;3101;3467;0;0;2;2
mrtn & Jup. & nibra;! Z H E N #;5;1;20.00;2561;512.2;8;1.6;0;0;9;1.8;29;5.8;43;8.6;17;3.4;6;1.2;27.59;413.08;50.17;12107;2421.4;8042;1608.4;4065;813;101;20.2;362;72.4;2947;589.4;1534;306.8;1413;282.6;19;3.8;126;25.2;158.66;31.73;185.55;37.11;1911;382.2;2151;430.2;390;78;1578.97;2452827;490565.41;733.66;146.73;637.99;127.6;300.9;60.18;978.24;195.65;638.12;127.62;56.18;11.24;27.18;5.44;0.12;228;45.6;783.1;156.62;807;161.4;416.82;83.36;1255.74;251.15;1037.03;207.41;635.52;127.1;732.76;146.55;575.58;115.12;364.23;72.85;2158.01;2061.81;2212.1;2917.54;2;0.4;6;1.2
mrtn & Jup. & nibra;!Satsz;1;0;0.00;196;196;0;0;1;1;0;0;2;2;9;9;2;2;0;0;0;346;51.28;1943;1943;1290;1290;653;653;16;16;59;59;510;510;270;270;240;240;3;3;21;21;53.47;53.47;28.63;28.63;206;206;355;355;34;34;1461;472445;472445;176.18;176.18;122.57;122.57;39.86;39.86;190.7;190.7;125.88;125.88;22.03;22.03;4.61;4.61;0.11;43;43;180;180;153.8;153.8;86.96;86.96;251.65;251.65;210.48;210.48;128.13;128.13;145.52;145.52;125.78;125.78;67.3;67.3;2340;2216;2485;3008;0;0;2;2
nuxie & FERGM. & Kiroxxxxxxx.;*******;1;0;0.00;525;525;0;0;2;2;4;4;4;4;9;9;3;3;0;0;0;323;48.57;2191;2191;1606;1606;585;585;20;20;52;52;158;158;0;0;158;158;0;0;15;15;49.94;49.94;64.47;64.47;277;277;411;411;13;13;1497;491425;491425;168.54;168.54;134.86;134.86;47.39;47.39;214.35;214.35;123.26;123.26;13.18;13.18;4.97;4.97;0.15;33;33;191.9;191.9;157.2;157.2;92.55;92.55;258.23;258.23;227.61;227.61;123.18;123.18;159.65;159.65;122.27;122.27;68.87;68.87;2263;2260;2273;3006;0;0;2;2
mrtn & Jup. & nibra;-Kryy\;1;1;100.00;609;609;2;2;0;0;3;3;7;7;6;6;2;2;1;1;28.57;474;44.83;2702;2702;2063;2063;639;639;24;24;57;57;1008;1008;701;701;307;307;8;8;26;26;64.76;64.76;36.17;36.17;409;409;352;352;105;105;1570;514897;514897;153.41;153.41;128.05;128.05;68.9;68.9;167.97;167.97;152.46;152.46;29.91;29.91;6.63;6.63;0.09;71;71;149.8;149.8;183.7;183.7;84.33;84.33;266.02;266.02;149.81;149.81;200.53;200.53;110.37;110.37;104.33;104.33;135.64;135.64;1993;1741;2221;3084;3;3;0;0
mrtn & Jup. & nibra;-gabi;9;4;44.44;4990;554.44;12;1.33;10;1.11;24;2.67;38;4.22;65;7.22;23;2.56;15;1.67;31.58;436.35;46.3;19821;2202.33;13685;1520.56;6136;681.78;164;18.22;538;59.78;5615;623.89;3440;382.22;2175;241.67;39;4.33;189;21;280.47;31.16;201.12;22.35;3302;366.89;2440;271.11;378;42;1551.11;4005360;445040;1276.26;141.81;1001.49;111.28;499.93;55.55;1606.48;178.5;1041.22;115.69;129.97;14.44;45.18;5.02;0.12;371;41.22;1347.7;149.74;1338.1;148.68;651.73;72.41;2125.94;236.22;1714.37;190.49;1063.31;118.15;1248.65;138.74;884.63;98.29;644.39;71.6;2244.15;2108.45;2356.63;3045.56;8;0.89;13;1.44
mrtn & Jup. & nibra;-tms;1;0;0.00;557;557;2;2;1;1;2;2;5;5;10;10;5;5;1;1;40;402;44.87;2337;2337;1505;1505;832;832;17;17;70;70;246;246;99;99;147;147;1;1;13;13;39.04;39.04;41.15;41.15;296;296;201;201;0;0;1554;519516;519516;164.13;164.13;138.83;138.83;64.93;64.93;197.52;197.52;150.57;150.57;19.79;19.79;7.54;7.54;0.11;69;69;198.6;198.6;138.6;138.6;83.34;83.34;284.54;284.54;278.05;278.05;89.83;89.83;200.64;200.64;116.32;116.32;50.93;50.93;2452;2174;2745;3225;1;1;0;0
mrtn & Jup. & nibra;-trace;3;1;33.33;1670;556.67;4;1.33;4;1.33;7;2.33;15;5;28;9.33;10;3.33;4;1.33;26.67;393.81;45.78;6909;2303;4964;1654.67;1945;648.33;58;19.33;170;56.67;1544;514.67;971;323.67;573;191;10;3.33;50;16.67;161.56;53.85;100.65;33.55;708;236;895;298.33;54;18;1464.59;1399448;466482.66;523.85;174.62;371.7;123.9;134.43;44.81;566;188.67;399.77;133.26;64.22;21.41;19.99;6.66;0.13;155;51.67;495.9;165.3;477.6;159.2;237.81;79.27;792.19;264.06;650.48;216.83;379.51;126.5;467.68;155.89;353.97;117.99;208.36;69.45;2424.02;2319.89;2541.68;2929.29;2;0.67;1;0.33
mrtn & Jup. & nibra;-yova;7;4;57.14;4145;592.14;10;1.43;5;0.71;19;2.71;28;4;60;8.57;23;3.29;15;2.14;35.71;474.26;49.21;20685;2955;15208;2172.57;5477;782.43;185;26.43;491;70.14;3956;565.14;2196;313.71;1760;251.43;26;3.71;158;22.57;327.97;46.85;247.45;35.35;3703;529;3365;480.71;416;59.43;1549.67;3813896;544842.31;1219.6;174.23;860.18;122.88;598.9;85.56;1306.09;186.58;1179.76;168.54;192.81;27.54;57.47;8.21;0.1;583;83.29;1398;199.71;1203.6;171.94;596.3;85.19;2082.37;297.48;1805.79;257.97;872.87;124.7;1365.69;195.1;808.05;115.44;504.92;72.13;2302.37;2087.65;2483.95;3109.2;8;1.14;2;0.29
mrtn & Jup. & nibra;.;1;1;100.00;549;549;2;2;1;1;2;2;6;6;4;4;2;2;1;1;33.33;498;43.08;2134;2134;1562;1562;572;572;17;17;43;43;379;379;116;116;263;263;2;2;16;16;38.1;38.1;18.86;18.86;238;238;137;137;83;83;1651;387340;387340;97.36;97.36;102.56;102.56;60.29;60.29;129.12;129.12;128.78;128.78;2.3;2.3;6.77;6.77;0.12;58;58;145.4;145.4;88.3;88.3;50.52;50.52;209.69;209.69;155.03;155.03;105.18;105.18;109.7;109.7;90.13;90.13;60.38;60.38;2149;2042;2268;2946;1;1;0;0
. & Kito;.;4;2;50.00;2264;566;6;1.5;3;0.75;9;2.25;20;5;30;7.5;10;2.5;5;1.25;30;454.48;48.9;10451;2612.75;7485;1871.25;2966;741.5;92;23;254;63.5;2576;644;1491;372.75;1085;271.25;19;4.75;92;23;174.55;43.64;173.49;43.37;1373;343.25;1822;455.5;461;115.25;1672.94;2232788;558197;526.52;131.63;554.39;138.6;348.18;87.04;711.14;177.79;632.41;158.1;85.57;21.39;37.63;9.41;0.12;323;80.75;697.7;174.43;682.7;170.67;319.81;79.95;1109.31;277.33;890.86;222.71;538.25;134.56;655.18;163.79;457.81;114.45;316.11;79.03;2387.72;2235.15;2544.89;3066.94;5;1.25;4;1
mrtn & Jup. & nibra;.;1;1;100.00;1045;1045;3;3;3;3;4;4;10;10;10;10;4;4;2;2;30;486;42.02;3044;3044;2375;2375;669;669;29;29;60;60;453;453;269;269;184;184;3;3;16;16;32.8;32.8;57.54;57.54;484;484;534;534;30;30;1642;563809;563809;152.79;152.79;144.09;144.09;86.45;86.45;184.02;184.02;178.85;178.85;20.47;20.47;7.71;7.71;0.09;86;86;180.6;180.6;164.5;164.5;104.55;104.55;278.78;278.78;235.39;235.39;147.94;147.94;168.1;168.1;122.05;122.05;93.18;93.18;2252;2215;2405;2908;1;1;0;0
mrtn & Jup. & nibra;.;1;0;0.00;74;74;0;0;0;0;0;0;1;1;5;5;5;5;2;2;0;484;42.86;1588;1588;1137;1137;451;451;13;13;31;31;83;83;0;0;83;83;0;0;7;7;22.95;22.95;18.29;18.29;82;82;162;162;0;0;1525;246666;246666;88.35;88.35;59.96;59.96;32.28;32.28;96.31;96.31;72.73;72.73;11.56;11.56;4.73;4.73;0.14;34;34;84.6;84.6;85.8;85.8;60.73;60.73;119.87;119.87;140.53;140.53;40.07;40.07;100.76;100.76;62.51;62.51;17.33;17.33;2234;1761;2416;2735;0;0;0;0
mrtn & Jup. & nibra;.;6;2;33.33;2373;395.5;6;1;2;0.33;11;1.83;26;4.33;56;9.33;20;3.33;11;1.83;23.08;458.74;46.72;14663;2443.83;10351;1725.17;4312;718.67;128;21.33;396;66;3545;590.83;2074;345.67;1471;245.17;24;4;135;22.5;211.14;35.19;155.25;25.88;1972;328.67;2563;427.17;355;59.17;1596.8;2794342;465723.66;783.45;130.57;732;122;368.09;61.35;998.14;166.36;798.63;133.1;86.76;14.46;76.76;12.79;0.2;397;66.17;821.5;136.92;973.6;162.27;657.15;109.53;1226.39;204.4;1128.05;188.01;755.47;125.91;774.28;129.05;650.44;108.41;458.8;76.47;2446.76;2283.96;2556.49;3187.19;3;0.5;8;1.33
mrtn & Jup. & nibra;.;7;6;85.71;3999;571.29;18;2.57;6;0.86;10;1.43;30;4.29;40;5.71;16;2.29;5;0.71;60;390.3;42.01;11481;1640.14;8876;1268;2605;372.14;102;14.57;234;33.43;2246;320.86;1458;208.29;788;112.57;16;2.29;71;10.14;160.56;22.94;199.61;28.52;1596;228;1277;182.43;168;24;1333.93;2204524;314932;598.05;85.44;578.23;82.6;312.61;44.66;679.73;97.1;694.36;99.19;114.82;16.4;20.73;2.96;0.1;174;24.86;655.1;93.59;726.3;103.76;313.47;44.78;1175.44;167.92;943.38;134.77;545.51;77.93;688.48;98.35;481.65;68.81;318.77;45.54;2770.37;1822.74;1944.89;3082.33;4;0.57;5;0.71
mrtn & Jup. & nibra;.;1;0;0.00;904;904;3;3;0;0;3;3;9;9;9;9;4;4;0;0;33.33;439;55.29;2870;2870;2259;2259;611;611;29;29;53;53;707;707;571;571;136;136;7;7;12;12;37.56;37.56;44.3;44.3;256;256;665;665;138;138;1639;557040;557040;149.06;149.06;143.2;143.2;77.82;77.82;187.05;187.05;153.13;153.13;29.9;29.9;8.15;8.15;0.13;63;63;134.1;134.1;210.1;210.1;112.74;112.74;257.34;257.34;222.82;222.82;147.26;147.26;175.33;175.33;91.14;91.14;103.61;103.61;1995;1945;2027;2886;3;3;0;0
mrtn & Jup. & nibra;.;4;2;50.00;1547;386.75;1;0.25;4;1;11;2.75;6;1.5;26;6.5;10;2.5;5;1.25;16.67;405.99;44.19;5747;1436.75;4335;1083.75;1412;353;53;13.25;123;30.75;1465;366.25;1037;259.25;428;107;13;3.25;37;9.25;135.55;33.89;90.85;22.71;666;166.5;932;233;226;56.5;1590.06;1311894;327973.5;394.7;98.68;306.6;76.65;192.41;48.1;404.97;101.24;424.92;106.23;63.83;15.96;16.32;4.08;0.11;137;34.25;428.2;107.05;406.5;101.62;215.23;53.81;678.49;169.62;640.78;160.2;252.93;63.23;491.02;122.75;255.45;63.86;147.24;36.81;2217.29;1990.28;2381.88;2644.13;1;0.25;3;0.75
