team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
prysm! & Snowzzee & Aiipa;"  ";1;1;100.00;372;372;2;2;1;1;0;0;2;2;5;5;2;2;0;0;100;445;45.01;1626;1626;1376;1376;250;250;15;15;22;22;374;374;338;338;36;36;4;4;3;3;32.81;32.81;17.17;17.17;335;335;123;123;61;61;1611;277369;277369;80.3;80.3;82.23;82.23;31.78;31.78;98.39;98.39;85.55;85.55;10.38;10.38;1.27;1.27;0.18;7;7;64.1;64.1;113.5;113.5;58.83;58.83;135.49;135.49;121.59;121.59;72.73;72.73;83.49;83.49;65.05;65.05;45.78;45.78;2196;2486;1938;2866;1;1;0;0
prysm! & Snowzzee & Aiipa;"   Zangel   ";5;4;80.00;3319;663.8;14;2.8;2;0.4;8;1.6;22;4.4;39;7.8;17;3.4;12;2.4;63.64;455.48;52.79;13655;2731;10114;2022.8;3541;708.2;121;24.2;305;61;3144;628.8;2084;416.8;1060;212;24;4.8;95;19;134.18;26.84;258.55;51.71;1951;390.2;2117;423.4;294;58.8;1598.5;2575376;515075.19;751.73;150.35;662.8;132.56;351.8;70.36;898.6;179.72;707.71;141.54;160.04;32.01;32.13;6.43;0.11;290;58;805.2;161.04;847.8;169.56;426;85.2;1340.35;268.07;1143.16;228.63;623.19;124.64;834.27;166.85;561.34;112.27;370.73;74.15;2128.55;1955.16;2257.59;3010.14;10;2;6;1.2
prysm! & Snowzzee & Aiipa;"   wizzo   ";2;1;50.00;244;122;0;0;1;0.5;0;0;1;0.5;10;5;4;2;3;1.5;0;503.03;49.18;3001;1500.5;2356;1178;645;322.5;28;14;59;29.5;910;455;714;357;196;98;9;4.5;18;9;39.53;19.76;34.11;17.06;513;256.5;472;236;184;92;1633.38;552503;276251.5;136.03;68.01;162.28;81.14;63.81;31.91;196;98;150.88;75.44;15.26;7.63;6.95;3.47;0.09;76;38;163.3;81.65;179.5;89.75;114.83;57.41;247.3;123.65;219.3;109.65;142.83;71.42;157.69;78.85;122.9;61.45;81.54;40.77;2031.59;1794.25;2110.92;2798.35;1;0.5;1;0.5
prysm! & Snowzzee & Aiipa;! E;2;1;50.00;1604;802;8;4;0;0;5;2.5;14;7;25;12.5;8;4;3;1.5;57.14;446.98;47.48;5543;2771.5;4210;2105;1333;666.5;48;24;122;61;1543;771.5;1061;530.5;482;241;11;5.5;43;21.5;107.79;53.9;66.59;33.29;1025;512.5;619;309.5;43;21.5;1631.26;1111304;555652;295.23;147.61;303.35;151.67;151.52;75.76;427.46;213.73;292.77;146.39;29.85;14.92;11.06;5.53;0.1;111;55.5;319.7;159.85;386.8;193.4;221.19;110.6;528.9;264.45;439.16;219.58;310.93;155.46;317.59;158.79;244.47;122.24;188.04;94.02;2430.48;2238.93;2583;3180.94;3;1.5;3;1.5
prysm! & Snowzzee & Aiipa;!!!;1;1;100.00;587;587;0;0;1;1;5;5;2;2;8;8;1;1;0;0;0;402;56.32;2413;2413;1767;1767;646;646;24;24;47;47;703;703;569;569;134;134;7;7;13;13;40.21;40.21;47.32;47.32;361;361;666;666;140;140;1555;501613;501613;149.38;149.38;134.72;134.72;53.43;53.43;181.56;181.56;134.57;134.57;21.39;21.39;4.38;4.38;0.12;37;37;175.1;175.1;154.6;154.6;81.93;81.93;255.59;255.59;207.29;207.29;130.23;130.23;158.02;158.02;98.47;98.47;81.03;81.03;2181;1738;2579;2865;1;1;0;0
prysm! & Snowzzee & Aiipa;$ARCHIE;2;1;50.00;1158;579;6;3;0;0;2;1;15;7.5;9;4.5;5;2.5;3;1.5;40;450.67;47.8;3836;1918;2875;1437.5;961;480.5;36;18;87;43.5;1409;704.5;1049;524.5;360;180;13;6.5;33;16.5;39.72;19.86;57.77;28.88;607;303.5;745;372.5;258;129;1563.67;728781;364390.5;248.6;124.3;178.32;89.16;98.58;49.29;290.15;145.07;202.92;101.46;32.44;16.22;7.82;3.91;0.12;60;30;205.9;102.95;307.4;153.7;116.5;58.25;409;204.5;287.58;143.79;237.93;118.96;198.94;99.47;173.14;86.57;153.43;76.71;2349.33;2202.67;2580.67;3288;1;0.5;2;1
prysm! & Snowzzee & Aiipa;$cythe;1;0;0.00;709;709;2;2;0;0;4;4;5;5;7;7;3;3;0;0;40;431;52.16;2624;2624;1900;1900;724;724;24;24;65;65;619;619;334;334;285;285;4;4;25;25;35.05;35.05;54.82;54.82;487;487;543;543;73;73;1436;514900;514900;201.19;201.19;118.23;118.23;63.36;63.36;219.59;219.59;145.71;145.71;17.47;17.47;4.23;4.23;0.16;27;27;195.2;195.2;170.7;170.7;84.79;84.79;297.98;297.98;238.32;238.32;144.45;144.45;170.06;170.06;140.1;140.1;72.62;72.62;2359;2115;2586;2837;2;2;0;0
prysm! & Snowzzee & Aiipa;&AVC;1;0;0.00;609;609;1;1;0;0;4;4;5;5;9;9;3;3;1;1;20;479;50.91;2731;2731;2075;2075;656;656;26;26;59;59;686;686;466;466;220;220;5;5;20;20;39.14;39.14;50.45;50.45;754;754;536;536;34;34;1610;539939;539939;150.15;150.15;115.92;115.92;91.63;91.63;215.37;215.37;128.71;128.71;13.62;13.62;8.73;8.73;0.1;91;91;165.8;165.8;173.2;173.2;83.79;83.79;273.91;273.91;225.43;225.43;132.27;132.27;175.3;175.3;100.91;100.91;81.48;81.48;2200;2238;2141;3270;4;4;0;0
(?)imakynax & -xzao.0';(?)imakynax;1;1;100.00;1008;1008;3;3;1;1;6;6;7;7;9;9;2;2;0;0;42.86;403;46.13;2251;2251;1539;1539;712;712;21;21;66;66;525;525;309;309;216;216;4;4;18;18;19.17;19.17;34.39;34.39;335;335;597;597;90;90;1570;496997;496997;151.25;151.25;132.92;132.92;55.82;55.82;183.35;183.35;136.24;136.24;20.4;20.4;4.37;4.37;0.12;35;35;150.4;150.4;170.2;170.2;91.18;91.18;248.81;248.81;225.48;225.48;114.51;114.51;174.6;174.6;88.33;88.33;77.05;77.05;2425;1956;2884;3174;0;0;1;1
prysm! & Snowzzee & Aiipa;***********;1;0;0.00;623;623;2;2;0;0;3;3;3;3;12;12;4;4;2;2;66.67;437;43.93;2642;2642;1717;1717;925;925;19;19;68;68;1048;1048;713;713;335;335;8;8;23;23;69.87;69.87;23.07;23.07;464;464;197;197;91;91;1628;525442;525442;136.34;136.34;142.24;142.24;70.41;70.41;197.78;197.78;123.36;123.36;27.85;27.85;8.68;8.68;0.11;76;76;163.5;163.5;189;189;90.76;90.76;258.22;258.22;222.67;222.67;126.31;126.31;162.39;162.39;96.86;96.86;89.74;89.74;2069;1856;2304;3038;0;0;3;3
