team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
Linear & Dragon. & nibra;;6;3;50.00;2444;407.33;5;0.83;4;0.67;12;2;22;3.67;36;6;10;1.67;5;0.83;22.73;449.53;47.97;15536;2589.33;11291;1881.83;4245;707.5;135;22.5;388;64.67;3268;544.67;1876;312.67;1392;232;24;4;128;21.33;258.54;43.09;216.05;36.01;2633;438.83;2361;393.5;572;95.33;1565.84;3015411;502568.5;909.16;151.53;714.82;119.14;409.7;68.28;1120.4;186.73;781.97;130.33;131.3;21.88;32.24;5.37;0.13;253;42.17;958.9;159.82;1019.8;169.97;484.44;80.74;1549.23;258.2;1272.55;212.09;761.14;126.86;871.51;145.25;701.13;116.86;461.02;76.84;2241.9;2219.64;2238.39;3191.49;8;1.33;9;1.5
Linear & Dragon. & nibra;;4;4;100.00;1883;470.75;6;1.5;4;1;4;1;24;6;21;5.25;7;1.75;4;1;25;397.85;49.32;7602;1900.5;5579;1394.75;2023;505.75;67;16.75;179;44.75;1394;348.5;676;169;718;179.5;7;1.75;64;16;142.78;35.69;88.59;22.15;598;149.5;1103;275.75;23;5.75;1517.32;1617798;404449.5;531.61;132.9;473.14;118.28;147.67;36.92;595.26;148.82;491.99;123;65.16;16.29;23.53;5.88;0.1;225;56.25;522;130.5;581.3;145.32;306.66;76.66;845.74;211.43;732.79;183.2;419.62;104.9;532.37;133.09;349.23;87.31;270.8;67.7;2198.19;2065.38;2242.65;2937.42;3;0.75;4;1
Deca61_ & JassoFx & !;!;1;0;0.00;466;466;1;1;0;0;2;2;5;5;8;8;4;4;2;2;20;460;51.9;2284;2284;1676;1676;608;608;20;20;58;58;925;925;749;749;176;176;8;8;16;16;50.58;50.58;24.22;24.22;440;440;358;358;50;50;1579;472512;472512;137.15;137.15;123.83;123.83;59.83;59.83;190.97;190.97;110.13;110.13;19.72;19.72;7.09;7.09;0.12;60;60;164;164;136;136;98.66;98.66;222.16;222.16;179.19;179.19;141.63;141.63;125.16;125.16;107.83;107.83;87.84;87.84;2168;1970;2344;3139;1;1;0;0
! Khan. & emyrcito & shade.;! Khan.;8;3;37.50;3991;498.88;12;1.5;4;0.5;17;2.12;35;4.38;50;6.25;25;3.12;12;1.5;34.29;406.24;44.5;14286;1785.75;10423;1302.88;3863;482.88;124;15.5;328;41;3442;430.25;1971;246.38;1471;183.88;24;3;122;15.25;256.23;32.03;218.27;27.28;1459;182.38;1440;180;325;40.62;1552.66;3032059;379007.38;983.21;122.9;813.94;101.74;356.8;44.6;1010.99;126.37;1019.25;127.41;123.72;15.47;41.04;5.13;0.08;482;60.25;1020.1;127.51;1020.2;127.53;560.96;70.12;1593.02;199.13;1302.43;162.8;851.53;106.44;893.97;111.75;735.49;91.94;524.51;65.56;2389.38;2106.12;2601.81;3223.18;7;0.88;10;1.25
Linear & Dragon. & nibra;! Nwz;1;1;100.00;940;940;2;2;1;1;8;8;3;3;17;17;2;2;1;1;66.67;397;45.31;2199;2199;1521;1521;678;678;18;18;56;56;226;226;100;100;126;126;1;1;12;12;51.51;51.51;40.72;40.72;318;318;290;290;0;0;1506;485191;485191;165.2;165.2;126.24;126.24;58.25;58.25;190.56;190.56;141.1;141.1;18.03;18.03;8.98;8.98;0.1;90;90;191.5;191.5;146.3;146.3;90.98;90.98;258.71;258.71;257.19;257.19;92.51;92.51;199.85;199.85;100.2;100.2;49.65;49.65;2638;2511;2705;3065;0;0;2;2
Linear & Dragon. & nibra;! aRa;2;0;0.00;1099;549.5;3;1.5;0;0;5;2.5;7;3.5;19;9.5;5;2.5;3;1.5;42.86;458.94;49.11;5157;2578.5;3417;1708.5;1740;870;40;20;151;75.5;1135;567.5;651;325.5;484;242;8;4;43;21.5;66.31;33.15;72.59;36.29;523;261.5;662;331;156;78;1521.26;1018059;509029.5;322.52;161.26;269.84;134.92;115.78;57.89;370.94;185.47;282.18;141.09;55.02;27.51;13.86;6.93;0.09;147;73.5;392.1;196.05;304.2;152.1;139.8;69.9;568.34;284.17;474.31;237.15;233.83;116.92;356.09;178.04;219.28;109.64;132.77;66.38;2296.08;2246.88;2340.74;3167.5;1;0.5;5;2.5
Linear & Dragon. & nibra;-> m4;7;3;42.86;4132;590.29;11;1.57;7;1;17;2.43;29;4.14;61;8.71;22;3.14;15;2.14;37.93;449.85;48.99;18130;2590;13120;1874.29;5010;715.71;151;21.57;443;63.29;3837;548.14;2326;332.29;1511;215.86;26;3.71;136;19.43;308.7;44.1;240.03;34.29;3599;514.14;1988;284;223;31.86;1576.81;3619745;517106.44;1080.16;154.31;931.06;133.01;468.49;66.93;1448.54;206.93;913.87;130.55;117.29;16.76;44.37;6.34;0.12;388;55.43;1230.5;175.79;1122.8;160.4;581.74;83.11;1897.96;271.14;1602.38;228.91;877.31;125.33;1138.03;162.58;840.23;120.03;501.44;71.63;2336.73;2159.32;2486.1;3069.86;3;0.43;3;0.43
Linear & Dragon. & nibra;-yova;2;0;0.00;663;331.5;1;0.5;0;0;5;2.5;6;3;16;8;5;2.5;3;1.5;16.67;476.98;50.29;3951;1975.5;2966;1483;985;492.5;37;18.5;91;45.5;704;352;406;203;298;149;5;2.5;29;14.5;61.72;30.86;59.11;29.56;658;329;688;344;115;57.5;1578.45;755431;377715.5;221.34;110.67;174.83;87.42;110.26;55.13;216.72;108.36;248.93;124.47;40.76;20.38;10.61;5.3;0.09;110;55;278.7;139.35;211.5;105.75;135.06;67.53;371.36;185.68;328.93;164.46;177.5;88.75;252.79;126.39;149.93;74.96;103.7;51.85;2193.67;2208.01;2160.8;3145.17;3;1.5;2;1
Pychoy. & .;.;1;0;0.00;161;161;0;0;0;0;1;1;2;2;10;10;5;5;3;3;0;401;52.57;1472;1472;1141;1141;331;331;16;16;32;32;378;378;295;295;83;83;5;5;8;8;22.45;22.45;24.93;24.93;334;334;410;410;140;140;1552;298242;298242;91.18;91.18;87.19;87.19;37.31;37.31;128.75;128.75;74.41;74.41;12.52;12.52;3;3;0.07;41;41;103.7;103.7;103.6;103.6;70.9;70.9;144.78;144.78;155.13;155.13;60.54;60.54;120.83;120.83;52.36;52.36;42.48;42.48;1971;1755;1866;2687;0;0;2;2
Linear & Dragon. & nibra;.;10;7;70.00;6128;612.8;17;1.7;8;0.8;32;3.2;42;4.2;98;9.8;22;2.2;8;0.8;40.48;467.89;46.54;25226;2522.6;19647;1964.7;5579;557.9;238;23.8;493;49.3;6033;603.3;4467;446.7;1566;156.6;55;5.5;142;14.2;474.47;47.45;251.87;25.19;3204;320.4;4004;400.4;1057;105.7;1578.09;4898734;489873.41;1417.41;141.74;1289.14;128.91;611.88;61.19;1623.72;162.37;1543.05;154.31;151.65;15.17;84.07;8.41;0.11;758;75.8;1472.1;147.21;1788.7;178.87;951.06;95.11;2367.37;236.74;2223.54;222.35;1094.89;109.49;1687.65;168.76;1001.48;100.15;629.3;62.93;2136.24;1993.48;2257.33;2925.16;5;0.5;12;1.2
