team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
KnightYuh :) & Kehvn & swazz;;2;2;100.00;466;233;0;0;2;1;1;0.5;6;3;16;8;3;1.5;0;0;0;451.81;51.16;4855;2427.5;3701;1850.5;1154;577;46;23;104;52;770;385;372;186;398;199;4;2;36;18;111.27;55.63;53.74;26.87;975;487.5;910;455;35;17.5;1526.35;931542;465771;297.81;148.9;234.34;117.17;116.35;58.17;373.37;186.68;251.98;125.99;23.16;11.58;12.48;6.24;0.11;117;58.5;363.6;181.8;268.3;134.15;129.81;64.9;518.69;259.35;427.71;213.85;220.79;110.39;304.65;152.32;232.34;116.17;111.5;55.75;2393.76;2371.62;2363.77;2960.49;3;1.5;2;1
KnightYuh :) & Kehvn & swazz;;5;5;100.00;3288;657.6;6;1.2;11;2.2;14;2.8;21;4.2;53;10.6;14;2.8;6;1.2;28.57;439.1;48.94;13734;2746.8;10278;2055.6;3456;691.2;124;24.8;310;62;2844;568.8;1793;358.6;1051;210.2;22;4.4;97;19.4;205.62;41.12;200.86;40.17;2241;448.2;2164;432.8;454;90.8;1583.73;2675060;535012;793.75;158.75;659.92;131.98;377.04;75.41;960.71;192.14;742.49;148.5;127.5;25.5;21.16;4.23;0.13;165;33;843.7;168.74;898.4;179.68;445.17;89.03;1385.54;277.11;1224.81;244.96;605.9;121.18;913.18;182.64;573.38;114.68;344.15;68.83;2305.71;2144.24;2397.43;2983.54;2;0.4;7;1.4
"  .Spiritual53.   & Trixzy";"  .Spiritual53.  ";1;1;100.00;355;355;0;0;0;0;3;3;1;1;7;7;0;0;0;0;0;445;53.3;1996;1996;1388;1388;608;608;17;17;57;57;331;331;105;105;226;226;2;2;20;20;38.83;38.83;31.78;31.78;414;414;344;344;102;102;1632;423765;423765;98.03;98.03;100.94;100.94;65.78;65.78;143.03;143.03;119.04;119.04;2.68;2.68;4.75;4.75;0.13;36;36;168.1;168.1;91;91;64.59;64.59;200.17;200.17;176.11;176.11;88.64;88.64;130.85;130.85;83.09;83.09;50.81;50.81;2250;2181;2252;3021;1;1;0;0
KnightYuh :) & Kehvn & swazz;!;3;1;33.33;1590;530;5;1.67;2;0.67;5;1.67;13;4.33;24;8;14;4.67;4;1.33;38.46;425.82;42.97;6749;2249.67;4838;1612.67;1911;637;58;19.33;176;58.67;1594;531.33;1060;353.33;534;178;12;4;51;17;135.15;45.05;63.14;21.05;932;310.67;758;252.67;149;49.67;1651.39;1493289;497763;404.62;134.87;349.36;116.45;244.01;81.34;567.65;189.22;400.93;133.64;29.4;9.8;15.37;5.12;0.16;100;33.33;441.2;147.07;477;159;257.99;86;739.99;246.66;664.2;221.4;333.79;111.26;485.32;161.77;329.62;109.87;183.05;61.02;2400.81;2325.38;2447.43;3011.14;4;1.33;1;0.33
KnightYuh :) & Kehvn & swazz;!;3;2;66.67;1897;632.33;7;2.33;2;0.67;6;2;12;4;27;9;11;3.67;5;1.67;58.33;398.03;47.91;7310;2436.67;5329;1776.33;1981;660.33;67;22.33;176;58.67;1865;621.67;1160;386.67;705;235;16;5.33;61;20.33;144.97;48.32;63.66;21.22;719;239.67;1370;456.67;420;140;1557.65;1574870;524956.69;498.95;166.32;428.55;142.85;183.09;61.03;620.42;206.81;436.72;145.57;53.45;17.82;19.64;6.55;0.13;157;52.33;517.4;172.47;517;172.33;255.65;85.22;854.94;284.98;738.53;246.18;372.06;124.02;540.74;180.25;344.04;114.68;225.83;75.28;2392.02;2236.7;2500.74;3009;1;0.33;2;0.67
Fr.Sh & !;!;1;0;0.00;553;553;1;1;2;2;1;1;6;6;5;5;4;4;0;0;16.67;456;42.56;2650;2650;2003;2003;647;647;24;24;59;59;540;540;299;299;241;241;3;3;20;20;54.41;54.41;28.76;28.76;461;461;403;403;0;0;1556;526888;526888;160.31;160.31;155.18;155.18;56.89;56.89;213.27;213.27;142.8;142.8;16.31;16.31;5.68;5.68;0.13;45;45;182;182;176.1;176.1;91.33;91.33;281.05;281.05;224.6;224.6;147.78;147.78;164.21;164.21;120.51;120.51;87.67;87.67;2158;1913;2466;2694;0;0;0;0
C & ! Khan.;! Khan.;5;1;20.00;2995;599;5;1;5;1;12;2.4;26;5.2;44;8.8;15;3;10;2;19.23;436.94;46.03;12714;2542.8;9362;1872.4;3352;670.4;114;22.8;299;59.8;3281;656.2;2122;424.4;1159;231.8;24;4.8;102;20.4;211.1;42.22;124.76;24.95;1476;295.2;1035;207;39;7.8;1578.57;2606851;521370.19;767.57;153.51;672.17;134.43;347.88;69.58;918.65;183.73;775.6;155.12;93.38;18.68;38.78;7.76;0.09;425;85;870;174;879.9;175.98;497.77;99.55;1289.86;257.97;1104.95;220.99;682.68;136.54;766.35;153.27;628.39;125.68;392.9;78.58;2229.78;2089.03;2396.31;3181.83;2;0.4;3;0.6
KnightYuh :) & Kehvn & swazz;! Sultan.;1;1;100.00;601;601;3;3;0;0;2;2;5;5;10;10;4;4;2;2;60;464;45.89;2918;2918;2197;2197;721;721;27;27;63;63;376;376;200;200;176;176;2;2;16;16;43.52;43.52;34.08;34.08;502;502;501;501;0;0;1643;573462;573462;161.5;161.5;140.27;140.27;85.09;85.09;217.66;217.66;156.23;156.23;12.97;12.97;5.83;5.83;0.08;69;69;196.1;196.1;165.7;165.7;73.8;73.8;313.06;313.06;277.59;277.59;109.27;109.27;214.35;214.35;114.62;114.62;57.88;57.88;2641;2082;3078;3037;1;1;2;2
KnightYuh :) & Kehvn & swazz;! TKL;3;0;0.00;1381;460.33;2;0.67;2;0.67;6;2;14;4.67;30;10;10;3.33;6;2;14.29;457.4;46.92;7326;2442;5761;1920.33;1565;521.67;67;22.33;136;45.33;1661;553.67;1120;373.33;541;180.33;12;4;44;14.67;160.66;53.55;131.11;43.7;858;286;986;328.67;92;30.67;1614.35;1483070;494356.66;378.5;126.17;416.04;138.68;184.25;61.42;457.58;152.53;441.37;147.12;79.84;26.61;19;6.33;0.09;208;69.33;424.9;141.63;516.6;172.2;276.55;92.18;702.25;234.08;619.5;206.5;359.28;119.76;451.9;150.63;328.36;109.45;198.53;66.18;2228.25;1840.48;2500.59;3207.62;4;1.33;2;0.67
KnightYuh :) & Kehvn & swazz;!evas a tahW;2;1;50.00;932;466;3;1.5;1;0.5;2;1;6;3;9;4.5;2;1;1;0.5;50;463.32;45.69;4124;2062;2955;1477.5;1169;584.5;37;18.5;100;50;848;424;412;206;436;218;5;2.5;36;18;83.45;41.72;74.87;37.44;475;237.5;762;381;86;43;1669.89;804526;402263;181.56;90.78;215.16;107.58;117.09;58.54;233.45;116.72;244.2;122.1;36.16;18.08;6.87;3.43;0.09;79;39.5;239.2;119.6;262.7;131.35;136.78;68.39;377.03;188.51;351.17;175.59;162.64;81.32;258.54;129.27;173.7;86.85;81.56;40.78;2303.05;2159.2;2377.01;3167;0;0;3;1.5
