team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
prysm! & rizun & alemz;"   JWeyts   ";1;1;100.00;600;600;2;2;0;0;3;3;8;8;9;9;3;3;2;2;25;373;50.23;2531;2531;1731;1731;800;800;20;20;65;65;665;665;514;514;151;151;6;6;15;15;43.8;43.8;44.44;44.44;346;346;301;301;98;98;1498;517349;517349;188.69;188.69;128.04;128.04;58.53;58.53;199.93;199.93;155.01;155.01;20.32;20.32;7.53;7.53;0.13;58;58;174.5;174.5;174.3;174.3;79.69;79.69;295.57;295.57;242.01;242.01;133.25;133.25;182.41;182.41;112.76;112.76;80.09;80.09;2477;2448;2604;2675;0;0;1;1
Chronomia & . &  Cayyh;" Cayyh";1;1;100.00;623;623;2;2;1;1;2;2;7;7;6;6;0;0;0;0;28.57;369;51.08;1685;1685;1164;1164;521;521;14;14;46;46;130;130;0;0;130;130;0;0;11;11;35.16;35.16;22.95;22.95;67;67;256;256;1;1;1542;406627;406627;116.79;116.79;118.76;118.76;39.24;39.24;118.91;118.91;134.4;134.4;21.48;21.48;7.01;7.01;0.12;57;57;129.2;129.2;131.6;131.6;59.17;59.17;215.63;215.63;175.07;175.07;99.72;99.72;124.88;124.88;96.33;96.33;53.59;53.59;2020;1777;2243;2541;0;0;0;0
prysm! & rizun & alemz;" t";2;1;50.00;1338;669;5;2.5;0;0;6;3;8;4;16;8;4;2;2;1;62.5;450.9;49.95;3875;1937.5;3089;1544.5;786;393;40;20;72;36;775;387.5;533;266.5;242;121;7;3.5;22;11;70.51;35.26;50.69;25.34;396;198;928;464;170;85;1591.66;788006;394003;230.3;115.15;210.38;105.19;100.52;50.26;262.23;131.12;246.64;123.32;32.33;16.17;8.75;4.38;0.15;58;29;242.5;121.25;260;130;117.27;58.63;423.94;211.97;341.17;170.59;200.05;100.02;248.24;124.12;165.83;82.91;127.15;63.58;2254.58;1958.91;2547.02;2816.9;3;1.5;0;0
prysm! & rizun & alemz;!;2;0;0.00;434;217;0;0;1;0.5;2;1;5;2.5;15;7.5;6;3;3;1.5;0;507.33;43.43;4212;2106;3004;1502;1208;604;34;17;101;50.5;1000;500;673;336.5;327;163.5;7;3.5;29;14.5;75.03;37.51;46.02;23.01;568;284;350;175;25;12.5;1664.92;804007;402003.5;194.42;97.21;210.69;105.35;115.9;57.95;268.78;134.39;224.98;112.49;27.25;13.62;13.89;6.95;0.12;120;60;230.6;115.3;267.4;133.7;156.36;78.18;364.66;182.33;348.37;174.18;172.65;86.32;243.35;121.67;176.81;88.4;100.85;50.43;2198.68;1999.5;2347.69;2993.02;3;1.5;0;0
markyzoza & ! Bomba;! Bomba;1;0;0.00;282;282;1;1;0;0;1;1;2;2;4;4;2;2;1;1;50;409;50.71;2383;2383;1529;1529;854;854;18;18;61;61;372;372;145;145;227;227;2;2;21;21;30.46;30.46;28.49;28.49;158;158;73;73;0;0;1511;482269;482269;163.46;163.46;117.58;117.58;52.67;52.67;198.2;198.2;123.97;123.97;11.54;11.54;9.44;9.44;0.12;77;77;197.4;197.4;126.9;126.9;77.84;77.84;255.87;255.87;204.69;204.69;129.02;129.02;145.79;145.79;111.62;111.62;76.3;76.3;2612;2398;2827;2817;1;1;0;0
! Dcw & alexicalie;! Dcw;1;1;100.00;532;532;2;2;2;2;0;0;7;7;3;3;2;2;0;0;28.57;409;46.82;2300;2300;1721;1721;579;579;20;20;53;53;734;734;547;547;187;187;6;6;17;17;30.97;30.97;42.69;42.69;349;349;305;305;70;70;1481;466557;466557;164.67;164.67;134.46;134.46;42.13;42.13;183.75;183.75;137.47;137.47;20.04;20.04;4.74;4.74;0.1;49;49;160.4;160.4;169;169;88.06;88.06;253.19;253.19;206.7;206.7;134.55;134.55;141.44;141.44;112.87;112.87;86.94;86.94;2372;2432;2293;2877;1;1;1;1
prysm! & rizun & alemz;! LeV;7;5;71.43;4818;688.29;10;1.43;8;1.14;27;3.86;34;4.86;64;9.14;22;3.14;4;0.57;29.41;401.44;47.38;17817;2545.29;13242;1891.71;4575;653.57;171;24.43;415;59.29;4081;583;3049;435.57;1032;147.43;37;5.29;96;13.71;355.8;50.83;313.38;44.77;1459;208.43;3879;554.14;711;101.57;1585.42;3807000;543857.12;1075.55;153.65;1086.39;155.2;432.71;61.82;1225.17;175.02;1236.45;176.64;133.05;19.01;47.6;6.8;0.11;445;63.57;1244;177.71;1205.2;172.17;596.42;85.2;1998.24;285.46;1714.27;244.9;880.4;125.77;1232.28;176.04;876.94;125.28;485.49;69.36;2273.95;1988.88;2491.85;2982.96;3;0.43;8;1.14
prysm! & rizun & alemz;!boA;7;5;71.43;4116;588;12;1.71;4;0.57;19;2.71;33;4.71;47;6.71;15;2.14;10;1.43;36.36;471.91;47.32;15890;2270;11214;1602;4676;668;131;18.71;406;58;2582;368.86;1381;197.29;1201;171.57;15;2.14;110;15.71;315.19;45.03;149.31;21.33;1673;239;1885;269.29;129;18.43;1523.2;2969065;424152.16;977.75;139.68;814.81;116.4;307.91;43.99;1213.35;173.34;790.7;112.96;96.46;13.78;59.11;8.44;0.11;554;79.14;1094.2;156.31;902.1;128.87;407.99;58.28;1692.52;241.79;1367.25;195.32;733.26;104.75;966.76;138.11;731.18;104.45;402.56;57.51;2269.24;2124.58;2413.63;2904.43;2;0.29;8;1.14
prysm! & rizun & alemz;!ollie;23;15;65.22;14585;634.13;48;2.09;13;0.57;53;2.3;125;5.43;197;8.57;60;2.61;24;1.04;38.4;442.68;44.99;58083;2525.35;39424;1714.09;18659;811.26;476;20.7;1684;73.22;12083;525.35;6132;266.61;5951;258.74;71;3.09;531;23.09;845.46;36.76;651.51;28.33;5792;251.83;5819;253;618;26.87;1578.15;11650766;506555.03;3464.53;150.63;3105.6;135.03;1402.85;60.99;4218.85;183.43;3250.84;141.34;503.3;21.88;182.55;7.94;0.1;1913;83.17;3627.9;157.73;3997.5;173.8;2081.59;90.5;5891.37;256.15;5080.14;220.88;2892.85;125.78;3680.82;160.04;2616.27;113.75;1675.85;72.86;2180.75;2006.23;2347.94;2835.66;18;0.78;19;0.83
!tj & Itotenariagh;!tj;1;0;0.00;462;462;1;1;1;1;2;2;3;3;8;8;3;3;2;2;33.33;398;49.47;2266;2266;1449;1449;817;817;18;18;72;72;651;651;365;365;286;286;5;5;25;25;28.93;28.93;39.39;39.39;420;420;369;369;134;134;1592;529140;529140;144.9;144.9;136.29;136.29;73.2;73.2;206.26;206.26;135.45;135.45;12.67;12.67;6.47;6.47;0.08;80;80;171;171;167.1;167.1;91;91;263.38;263.38;214.81;214.81;139.57;139.57;149.58;149.58;114.81;114.81;90;90;2370;2174;2554;3029;0;0;0;0
