team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
reevo. & rizun & deadloxmonster;;3;0;0.00;1788;596;2;0.67;1;0.33;14;4.67;13;4.33;40;13.33;10;3.33;5;1.67;15.38;463.53;54.31;7714;2571.33;5403;1801;2311;770.33;69;23;202;67.33;2328;776;1634;544.67;694;231.33;20;6.67;63;21;112.28;37.43;101.91;33.97;1555;518.33;1572;524;360;120;1593.28;1490697;496899;420.54;140.18;335.22;111.74;239.93;79.98;537.24;179.08;405.43;135.14;53.03;17.68;22.76;7.59;0.09;246;82;456.4;152.13;500.7;166.9;297.78;99.26;697.91;232.64;629.39;209.8;366.3;122.1;483.4;161.13;276.56;92.19;235.75;78.58;2325.1;2131.83;2461.5;3051.18;3;1;1;0.33
"   & luc  fer";"  ";2;0;0.00;1400;700;3;1.5;3;1.5;7;3.5;5;2.5;24;12;7;3.5;4;2;60;445.82;41.99;4600;2300;3224;1612;1376;688;39;19.5;122;61;614;307;281;140.5;333;166.5;3;1.5;29;14.5;89.73;44.86;40.79;20.4;793;396.5;683;341.5;18;9;1489.23;879984;439992;306.82;153.41;241.2;120.6;93.33;46.67;356.05;178.02;266.2;133.1;19.08;9.54;11.57;5.78;0.13;91;45.5;306.4;153.2;302.9;151.45;144.67;72.33;496.67;248.34;493.39;246.69;147.95;73.98;376.07;188.04;187.01;93.5;78.26;39.13;2143.34;1984.63;2290.32;2604.88;1;0.5;2;1
reevo. & rizun & deadloxmonster;"   Dani___RL   ";5;3;60.00;2413;482.6;6;1.2;3;0.6;9;1.8;22;4.4;37;7.4;14;2.8;6;1.2;27.27;400.86;49.93;11314;2262.8;8712;1742.4;2602;520.4;106;21.2;228;45.6;2318;463.6;1555;311;763;152.6;20;4;66;13.2;208.79;41.76;207.87;41.57;1961;392.2;1809;361.8;473;94.6;1469.68;2369081;473816.19;883.8;176.76;609;121.8;243.66;48.73;1043.61;208.72;612.35;122.47;80.52;16.1;22.67;4.53;0.13;162;32.4;870.3;174.06;779.5;155.9;370.51;74.1;1365.95;273.19;1117.39;223.48;619.07;123.81;788.8;157.76;585.57;117.11;362.1;72.42;2380.6;2273.15;2490.99;3015.24;4;0.8;2;0.4
! & Jacket 0_0 & Endre.;!;2;1;50.00;740;370;3;1.5;1;0.5;1;0.5;7;3.5;11;5.5;6;3;1;0.5;42.86;493.26;49.21;3695;1847.5;2655;1327.5;1040;520;33;16.5;95;47.5;852;426;536;268;316;158;7;3.5;29;14.5;55.67;27.83;47.57;23.78;824;412;703;351.5;185;92.5;1684.26;696684;348342;177.54;88.77;178;89;108.86;54.43;285.92;142.96;159.4;79.7;19.08;9.54;8.47;4.24;0.11;78;39;232.9;116.45;202.8;101.4;130.77;65.38;333.63;166.82;294.74;147.37;169.66;84.83;208.27;104.13;150.26;75.13;105.88;52.94;2326.66;2277.63;2355.26;3083.05;2;1;2;1
reevo. & rizun & deadloxmonster;! TKL;1;1;100.00;553;553;2;2;1;1;2;2;5;5;6;6;2;2;1;1;40;397;47.98;2382;2382;1976;1976;406;406;24;24;35;35;377;377;280;280;97;97;3;3;9;9;76.72;76.72;46.07;46.07;301;301;432;432;27;27;1622;527965;527965;143.55;143.55;126.3;126.3;78.7;78.7;152.22;152.22;178.18;178.18;18.14;18.14;6.24;6.24;0.07;95;95;168.1;168.1;165.8;165.8;88.1;88.1;260.45;260.45;196.93;196.93;151.62;151.62;133.05;133.05;123.72;123.72;91.78;91.78;2394;1987;2780;3043;1;1;1;1
Azertatane & Puff Panda & ! aRa;! aRa;3;0;0.00;1472;490.67;2;0.67;2;0.67;10;3.33;9;3;29;9.67;10;3.33;6;2;22.22;400.31;45.74;7173;2391;4304;1434.67;2869;956.33;53;17.67;256;85.33;1512;504;705;235;807;269;10;3.33;73;24.33;105.59;35.2;109.3;36.43;1026;342;974;324.67;234;78;1475.12;1498032;499344;540.23;180.08;393.05;131.02;156.83;52.28;621.96;207.32;424.14;141.38;44.01;14.67;23.55;7.85;0.11;219;73;577.6;192.53;460.4;153.47;212.4;70.8;877.72;292.57;760.56;253.52;329.56;109.85;557.69;185.9;371.64;123.88;160.8;53.6;2367.47;2334.83;2395.01;2990.12;2;0.67;1;0.33
reevo. & rizun & deadloxmonster;! wikixi;1;0;0.00;216;216;1;1;0;0;1;1;1;1;6;6;3;3;2;2;100;395;54.93;986;986;661;661;325;325;8;8;29;29;299;299;183;183;116;116;3;3;11;11;15.46;15.46;17.74;17.74;165;165;155;155;133;133;1609;220907;220907;67.9;67.9;50.46;50.46;34;34;89.28;89.28;57.96;57.96;5.13;5.13;3.03;3.03;0.16;19;19;81.6;81.6;67.5;67.5;40.05;40.05;112.32;112.32;103.29;103.29;49.08;49.08;78.45;78.45;47.11;47.11;26.8;26.8;2598;2439;2637;3440;2;2;1;1
reevo. & rizun & deadloxmonster;';2;0;0.00;767;383.5;2;1;0;0;4;2;10;5;18;9;8;4;4;2;20;456.51;48.42;5206;2603;3541;1770.5;1665;832.5;40;20;142;71;1090;545;536;268;554;277;7;3.5;51;25.5;104.53;52.26;51.33;25.67;624;312;494;247;193;96.5;1567.66;990140;495070;296.59;148.29;284.92;142.46;100.62;50.31;363.39;181.7;273.09;136.54;45.64;22.82;13.27;6.64;0.12;107;53.5;347.7;173.85;298.8;149.4;170.12;85.06;511.99;255.99;392;196;290.12;145.06;272.82;136.41;241.64;120.82;167.65;83.82;2502.34;2313.89;2657.33;3170.67;0;0;1;0.5
reevo. & rizun & deadloxmonster;(:;4;3;75.00;1987;496.75;8;2;1;0.25;4;1;16;4;34;8.5;11;2.75;6;1.5;50;413.95;46.06;8997;2249.25;5903;1475.75;3094;773.5;76;19;259;64.75;1928;482;1001;250.25;927;231.75;13;3.25;84;21;168.05;42.01;101.85;25.46;1410;352.5;1797;449.25;326;81.5;1528.24;1853581;463395.25;611.67;152.92;470.71;117.68;233.57;58.39;766.67;191.67;488.96;122.24;60.34;15.09;24.12;6.03;0.1;230;57.5;623;155.75;623.4;155.85;290.99;72.75;1024.96;256.24;861.72;215.43;454.22;113.56;659.67;164.92;384.72;96.18;271.58;67.9;2185.75;1974.82;2371.92;2954.26;5;1.25;1;0.25
reevo. & rizun & deadloxmonster;(yr~s|6;3;0;0.00;352;117.33;0;0;1;0.33;1;0.33;4;1.33;23;7.67;14;4.67;8;2.67;0;398.4;43.23;4113;1371;2983;994.33;1130;376.67;34;11.33;98;32.67;494;164.67;243;81;251;83.67;3;1;21;7;126.43;42.14;43.63;14.54;534;178;351;117;56;18.67;1642.96;837102;279034;261.35;87.12;227.91;75.97;116.65;38.88;330.91;110.3;249.21;83.07;25.79;8.6;7.35;2.45;0.14;52;17.33;263.8;87.93;292.3;97.43;223.62;74.54;382.29;127.43;439.51;146.5;166.4;55.47;351.5;117.17;152.43;50.81;101.97;33.99;2634.95;2485.49;2656.83;3105.09;0;0;0;0
reevo. & rizun & deadloxmonster;-breyyn;1;0;0.00;742;742;2;2;1;1;3;3;6;6;11;11;5;5;3;3;33.33;381;50.68;2505;2505;1730;1730;775;775;21;21;71;71;515;515;172;172;343;343;2;2;29;29;47.34;47.34;37.2;37.2;389;389;387;387;31;31;1606;548824;548824;161.55;161.55;138.01;138.01;75.76;75.76;217.48;217.48;140.7;140.7;17.14;17.14;7.52;7.52;0.14;53;53;171;171;179.1;179.1;90.29;90.29;285.03;285.03;224.79;224.79;150.53;150.53;157.88;157.88;132.65;132.65;84.8;84.8;2516;2124;2793;3048;1;1;1;1
reevo. & rizun & deadloxmonster;.;1;0;0.00;173;173;0;0;0;0;2;2;0;0;8;8;4;4;2;2;0;322;30.78;529;529;281;281;248;248;3;3;21;21;46;46;0;0;46;46;0;0;4;4;27.15;27.15;5.16;5.16;60;60;20;20;2;2;1458;183993;183993;72.42;72.42;50.48;50.48;18.22;18.22;67.9;67.9;65.03;65.03;8.18;8.18;2.53;2.53;0.12;21;21;64.9;64.9;68.8;68.8;48.77;48.77;92.34;92.34;123.84;123.84;17.27;17.27;98.73;98.73;35.72;35.72;6.67;6.67;2151;1924;2110;2906;0;0;2;2
reevo. & rizun & deadloxmonster;.;2;0;0.00;739;369.5;1;0.5;0;0;5;2.5;9;4.5;15;7.5;6;3;3;1.5;11.11;500.22;50.57;4387;2193.5;3385;1692.5;1002;501;41;20.5;92;46;1041;520.5;682;341;359;179.5;8;4;33;16.5;41.4;20.7;97.54;48.77;651;325.5;767;383.5;133;66.5;1668.59;826828;413414;194.29;97.15;203.57;101.79;129.49;64.74;254.77;127.39;236.04;118.02;36.53;18.26;8.51;4.26;0.13;64;32;268.2;134.1;230.5;115.25;128.02;64.01;399.33;199.67;308.9;154.45;218.45;109.22;213.39;106.69;184.95;92.47;129.01;64.51;2553.42;2219.09;2859.75;3387.56;0;0;1;0.5
