team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
swazz & Aiipa & Shark.;!;2;2;100.00;1309;654.5;5;2.5;2;1;4;2;9;4.5;9;4.5;0;0;0;0;55.56;442.79;49.18;4011;2005.5;2952;1476;1059;529.5;36;18;90;45;984;492;636;318;348;174;7;3.5;32;16;52.85;26.42;110.65;55.33;767;383.5;693;346.5;75;37.5;1545.28;812811;406405.5;256.91;128.46;197.67;98.83;100.75;50.38;300.73;150.37;215.07;107.54;39.54;19.77;10.13;5.07;0.12;84;42;268.6;134.3;271.9;135.95;107.65;53.82;447.68;223.84;338.01;169.01;217.31;108.65;232.95;116.47;192.93;96.46;129.45;64.73;2249.08;2150.31;2403.99;2892.05;2;1;5;2.5
swazz & Aiipa & Shark.;! Mayrox;2;1;50.00;1138;569;4;2;3;1.5;3;1.5;10;5;16;8;7;3.5;5;2.5;40;415.74;45.7;4339;2169.5;3533;1766.5;806;403;42;21;73;36.5;1170;585;930;465;240;120;10;5;21;10.5;98.19;49.1;66.59;33.29;694;347;606;303;68;34;1546.06;869315;434657.5;290.56;145.28;231.48;115.74;97.81;48.9;352.98;176.49;240.16;120.08;26.73;13.36;8.83;4.41;0.1;88;44;286.1;143.05;295.5;147.75;146.61;73.31;473.25;236.62;405.25;202.62;214.6;107.3;292.41;146.21;202.06;101.03;125.38;62.69;2375.97;2111.05;2604.8;3035.36;2;1;1;0.5
swazz & Aiipa & Shark.;!?0A81>;1;0;0.00;306;306;0;0;1;1;1;1;4;4;9;9;3;3;0;0;0;501;48.57;3049;3049;2311;2311;738;738;33;33;68;68;789;789;574;574;215;215;8;8;19;19;37.65;37.65;32.97;32.97;737;737;920;920;225;225;1651;547829;547829;140.54;140.54;128.11;128.11;86.88;86.88;195.07;195.07;146.47;146.47;14;14;7.5;7.5;0.13;57;57;174.6;174.6;165.7;165.7;94.04;94.04;261.49;261.49;222.12;222.12;133.41;133.41;158.31;158.31;120.97;120.97;76.26;76.26;2344;2038;2630;3361;1;1;1;1
swazz & Aiipa & Shark.;!sk.;2;0;0.00;597;298.5;0;0;1;0.5;2;1;8;4;14;7;8;4;3;1.5;0;405.01;49.32;4045;2022.5;2716;1358;1329;664.5;33;16.5;113;56.5;824;412;322;161;502;251;4;2;36;18;57.39;28.69;80.59;40.29;437;218.5;624;312;76;38;1581.12;862758;431379;247.1;123.55;233.94;116.97;101.36;50.68;319.66;159.83;239.17;119.59;23.58;11.79;9.84;4.92;0.11;91;45.5;296;148;265.3;132.65;165.65;82.82;416.75;208.38;349.3;174.65;233.09;116.54;253.74;126.87;181.42;90.71;147.24;73.62;2502.41;2423.92;2584.67;3225.94;2;1;2;1
swazz & Aiipa & Shark.;#1 goonr;1;1;100.00;672;672;2;2;1;1;2;2;2;2;9;9;2;2;0;0;100;430;47.5;2523;2523;1843;1843;680;680;22;22;67;67;584;584;400;400;184;184;4;4;20;20;41.68;41.68;46.67;46.67;396;396;382;382;17;17;1557;522070;522070;155.25;155.25;154.06;154.06;52.32;52.32;192.94;192.94;145.61;145.61;23.07;23.07;7.31;7.31;0.09;83;83;191.2;191.2;148.5;148.5;81.23;81.23;280.39;280.39;267.44;267.44;94.19;94.19;194.29;194.29;119.28;119.28;48.06;48.06;2373;2360;2393;3005;0;0;0;0
swazz & Aiipa & Shark.;(:;2;1;50.00;1086;543;4;2;1;0.5;2;1;7;3.5;17;8.5;7;3.5;4;2;57.14;419.91;48.03;5203;2601.5;3717;1858.5;1486;743;47;23.5;134;67;799;399.5;385;192.5;414;207;4;2;39;19.5;68.48;34.24;64.76;32.38;709;354.5;1036;518;13;6.5;1550.97;1049410;524705;340.49;170.24;249.93;124.96;146.85;73.43;419.12;209.56;282;141;36.14;18.07;12.81;6.4;0.11;122;61;367.5;183.75;337.7;168.85;198.47;99.24;538.79;269.4;542.33;271.17;194.93;97.46;414;207;218.47;109.24;104.79;52.4;2358.46;2238.52;2452.53;2924.87;2;1;3;1.5
swazz & Aiipa & Shark.;**********;1;1;100.00;434;434;2;2;1;1;0;0;4;4;3;3;1;1;0;0;50;479;51.72;2202;2202;1603;1603;599;599;19;19;53;53;591;591;354;354;237;237;4;4;21;21;23.4;23.4;57.31;57.31;529;529;331;331;56;56;1557;430721;430721;136.06;136.06;110.89;110.89;45.75;45.75;171.22;171.22;107.01;107.01;14.47;14.47;5.92;5.92;0.09;63;63;141.7;141.7;134.4;134.4;61.22;61.22;231.48;231.48;175.02;175.02;117.68;117.68;116.03;116.03;105.25;105.25;71.42;71.42;2385;2143;2646;2721;2;2;0;0
swazz & Aiipa & Shark.;***********;2;2;100.00;837;418.5;3;1.5;2;1;1;0.5;5;2.5;10;5;3;1.5;1;0.5;60;507.14;46.47;5155;2577.5;3825;1912.5;1330;665;44;22;116;58;1765;882.5;1183;591.5;582;291;14;7;51;25.5;94.46;47.23;44.25;22.12;1179;589.5;607;303.5;232;116;1629.53;928092;464046;243.88;121.94;224.3;112.15;139.63;69.82;343.94;171.97;229.09;114.54;34.79;17.4;14.77;7.39;0.11;134;67;227.5;113.75;362.7;181.35;195.91;97.96;411.89;205.95;340.66;170.33;267.16;133.58;232.75;116.38;223.05;111.53;152.02;76.01;2291.8;2212.95;2324.23;3092.44;4;2;0;0
swazz & Aiipa & Shark.;+IX+;1;0;0.00;132;132;0;0;0;0;1;1;0;0;7;7;3;3;1;1;0;426;47.24;1675;1675;1388;1388;287;287;17;17;24;24;288;288;228;228;60;60;3;3;5;5;35.23;35.23;28.23;28.23;224;224;311;311;71;71;1583;338620;338620;94.22;94.22;96.33;96.33;34.38;34.38;127.93;127.93;92.48;92.48;4.52;4.52;3.65;3.65;0.09;42;42;107.1;107.1;108;108;68.52;68.52;156.41;156.41;145.15;145.15;79.78;79.78;98.57;98.57;87.59;87.59;38.76;38.76;2245;1910;2418;2767;2;2;0;0
PAOsousSTATIK. & acqua & drakster;-breyyn;2;1;50.00;1404;702;5;2.5;2;1;5;2.5;15;7.5;17;8.5;5;2.5;0;0;33.33;362.87;46.35;4233;2116.5;2622;1311;1611;805.5;30;15;142;71;1108;554;556;278;552;276;6;3;48;24;66.78;33.39;45.49;22.74;392;196;423;211.5;62;31;1597.11;993290;496645;291.56;145.78;264.24;132.12;120.37;60.18;351.7;175.85;277.71;138.86;46.75;23.38;9.2;4.6;0.12;76;38;318.6;159.3;312.7;156.35;141.16;70.58;535.01;267.51;442.58;221.29;233.58;116.79;325.91;162.95;212.25;106.12;138.01;69;2262.57;2106.69;2424.28;3020.65;0;0;0;0
