team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
anxl y boost & ;;1;1;100.00;864;864;3;3;1;1;3;3;8;8;12;12;6;6;3;3;37.5;376;46.74;2873;2873;2033;2033;840;840;23;23;76;76;553;553;289;289;264;264;3;3;25;25;51.59;51.59;66.21;66.21;433;433;295;295;30;30;1549;587603;587603;216.13;216.13;148.84;148.84;68.03;68.03;261.55;261.55;146.81;146.81;24.64;24.64;6.46;6.46;0.11;57;57;209;209;186.6;186.6;87.89;87.89;345.11;345.11;255.51;255.51;177.49;177.49;179.04;179.04;156.68;156.68;97.28;97.28;2639;2424;2844;3095;0;0;1;1
Syracks & DL9 & aerion;;2;1;50.00;985;492.5;5;2.5;1;0.5;2;1;9;4.5;9;4.5;5;2.5;0;0;55.56;486.25;45.88;4504;2252;3125;1562.5;1379;689.5;36;18;109;54.5;1251;625.5;823;411.5;428;214;9;4.5;37;18.5;74.84;37.42;58.09;29.05;584;292;497;248.5;72;36;1739.41;874829;437414.5;185.55;92.78;209.03;104.51;155.25;77.62;260.91;130.46;256.15;128.07;32.77;16.39;10.04;5.02;0.12;84;42;192.7;96.35;316.6;158.3;159.94;79.97;389.89;194.95;326.51;163.26;223.32;111.66;218.69;109.35;191.87;95.93;139.26;69.63;2394.84;2217.54;2587.81;3179.53;2;1;1;0.5
Syracks & DL9 & aerion;"   JWeyts   ";3;0;0.00;948;316;1;0.33;1;0.33;4;1.33;7;2.33;21;7;7;2.33;2;0.67;14.29;436.28;55.15;5688;1896;4212;1404;1476;492;56;18.67;141;47;1273;424.33;805;268.33;468;156;9;3;45;15;34.42;11.47;127.52;42.51;1092;364;1494;498;121;40.33;1572.11;1153861;384620.34;344.65;114.88;288.55;96.18;143.21;47.74;400.95;133.65;335.79;111.93;39.67;13.22;11.72;3.91;0.14;95;31.67;352.7;117.57;398.3;132.77;197.92;65.97;578.49;192.83;500.31;166.77;276.1;92.03;364.85;121.62;239.48;79.83;172.08;57.36;2099.83;1882.47;2320.36;2998.96;2;0.67;1;0.33
Syracks & DL9 & aerion;" Cayyh";2;0;0.00;569;284.5;0;0;1;0.5;3;1.5;11;5.5;11;5.5;4;2;3;1.5;0;459.17;47.26;4155;2077.5;3049;1524.5;1106;553;36;18;100;50;943;471.5;566;283;377;188.5;7;3.5;37;18.5;68.93;34.47;51.13;25.56;755;377.5;548;274;153;76.5;1641.12;856106;428053;220.83;110.41;220.67;110.33;115.87;57.93;274.53;137.26;246.91;123.46;35.92;17.96;12.82;6.41;0.11;125;62.5;281.1;140.55;266.4;133.2;120.02;60.01;437.34;218.67;331.65;165.82;225.71;112.85;239.18;119.59;160.01;80.01;158.16;79.08;2021.54;1756.61;2315.35;2838.31;2;1;3;1.5
Syracks & DL9 & aerion;!;2;1;50.00;1595;797.5;3;1.5;3;1.5;10;5;11;5.5;23;11.5;6;3;2;1;27.27;501.6;49.47;5908;2954;4571;2285.5;1337;668.5;54;27;120;60;818;409;486;243;332;166;6;3;30;15;90.75;45.38;121.94;60.97;756;378;812;406;117;58.5;1616.86;1084600;542300;297.92;148.96;292.34;146.17;136.64;68.32;369.15;184.58;321.37;160.68;36.37;18.19;13.44;6.72;0.09;137;68.5;335.1;167.55;350.7;175.35;164.73;82.37;562.16;281.08;475.76;237.88;251.13;125.57;337.2;168.6;250.57;125.29;139.12;69.56;2428.54;2264.24;2604.04;3168.57;3;1.5;2;1
Syracks & DL9 & aerion;!;1;1;100.00;987;987;3;3;3;3;3;3;5;5;9;9;4;4;3;3;60;446;48.02;2689;2689;2053;2053;636;636;25;25;55;55;602;602;312;312;290;290;4;4;26;26;32.41;32.41;31.84;31.84;371;371;459;459;87;87;1614;561718;561718;167.79;167.79;147.35;147.35;77.09;77.09;195.45;195.45;162.73;162.73;34.04;34.04;4.94;4.94;0.11;46;46;219.9;219.9;154.4;154.4;83.92;83.92;308.3;308.3;255.11;255.11;137.12;137.12;202.92;202.92;106.19;106.19;83.12;83.12;2470;2413;2478;3184;0;0;2;2
Syracks & DL9 & aerion;!;7;6;85.71;3457;493.86;10;1.43;3;0.43;18;2.57;19;2.71;52;7.43;11;1.57;6;0.86;52.63;504.29;45.45;17531;2504.43;13472;1924.57;4059;579.86;162;23.14;365;52.14;3156;450.86;1958;279.71;1198;171.14;22;3.14;108;15.43;343.01;49;205.99;29.43;4104;586.29;2606;372.29;270;38.57;1695.44;3334110;476301.44;731.43;104.49;841.92;120.27;535.54;76.51;1110.12;158.59;854.62;122.09;144.15;20.59;38.91;5.56;0.11;346;49.43;1082.3;154.61;942.6;134.66;475;67.86;1633.89;233.41;1328.08;189.73;780.81;111.54;968.75;138.39;704.52;100.65;435.62;62.23;2323.33;2166.02;2501.5;3130.65;7;1;3;0.43
Na!ro. & ! 2 EM & .Guggi;! 2 EM;2;2;100.00;1397;698.5;6;3;3;1.5;3;1.5;8;4;17;8.5;8;4;3;1.5;75;419.28;49.22;5207;2603.5;3509;1754.5;1698;849;42;21;155;77.5;1271;635.5;757;378.5;514;257;9;4.5;46;23;104.43;52.22;63.47;31.74;722;361;777;388.5;157;78.5;1594.21;1121036;560518;347.98;173.99;283.9;141.95;149.38;74.69;463.16;231.58;282.13;141.07;35.97;17.99;13.9;6.95;0.09;159;79.5;343.7;171.85;376.1;188.05;222.73;111.37;558.53;279.27;529.94;264.97;251.31;125.65;406.24;203.12;232.17;116.08;142.85;71.43;2384.52;2236.02;2541.35;2919.27;3;1.5;1;0.5
! Ghassan & Gucci Bag Gareth;! Ghassan;1;1;100.00;653;653;3;3;1;1;0;0;6;6;3;3;3;3;3;3;50;462;52.73;2876;2876;2286;2286;590;590;27;27;52;52;507;507;252;252;255;255;4;4;19;19;53.43;53.43;53.19;53.19;538;538;472;472;150;150;1509;500260;500260;171.25;171.25;137.25;137.25;52.41;52.41;196.42;196.42;141.38;141.38;23.11;23.11;6.67;6.67;0.11;61;61;179.8;179.8;154.3;154.3;80.4;80.4;280.51;280.51;207.21;207.21;153.7;153.7;130.65;130.65;138.6;138.6;91.67;91.67;2641;2510;2842;3231;1;1;0;0
Syracks & DL9 & aerion;! S A Y Y Z Z;4;2;50.00;2407;601.75;6;1.5;3;0.75;14;3.5;14;3.5;29;7.25;7;1.75;3;0.75;42.86;404.3;49.48;8162;2040.5;5752;1438;2410;602.5;69;17.25;219;54.75;1880;470;1052;263;828;207;15;3.75;75;18.75;151.54;37.88;75.9;18.98;1603;400.75;1217;304.25;471;117.75;1541.19;1794248;448562;574.64;143.66;426.81;106.7;243.33;60.83;711.23;177.81;457.35;114.34;76.22;19.06;22.56;5.64;0.12;190;47.5;631;157.75;569.8;142.45;268.86;67.21;975.94;243.99;744.18;186.04;500.61;125.15;551.48;137.87;383.42;95.85;309.88;77.47;2323.1;2284.52;2369.72;3019.35;4;1;5;1.25
