team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
insp1re & Reevo & velocity;;2;0;0.00;762;381;1;0.5;0;0;6;3;6;3;20;10;7;3.5;1;0.5;16.67;377.39;53.85;3781;1890.5;2734;1367;1047;523.5;36;18;92;46;729;364.5;332;166;397;198.5;4;2;32;16;27.83;13.91;38.54;19.27;516;258;899;449.5;97;48.5;1482.48;835002;417501;299.74;149.87;227.17;113.58;78.67;39.33;355.24;177.62;220.16;110.08;30.17;15.08;11.09;5.55;0.09;122;61;316.7;158.35;264.2;132.1;126.06;63.03;479.52;239.76;379.52;189.76;226.05;113.03;290.52;145.26;174.93;87.47;140.13;70.07;2108.22;2120.04;2076.47;2710.11;0;0;1;0.5
insp1re & Reevo & velocity;" Cayyh";1;1;100.00;547;547;0;0;1;1;4;4;6;6;8;8;1;1;1;1;0;440;48.31;2475;2475;1906;1906;569;569;21;21;51;51;347;347;200;200;147;147;2;2;14;14;56.46;56.46;44.95;44.95;265;265;201;201;2;2;1615;518317;518317;127.08;127.08;144.82;144.82;63.97;63.97;158.29;158.29;152.54;152.54;25.04;25.04;6.41;6.41;0.1;66;66;174.4;174.4;160.8;160.8;55.56;55.56;280.3;280.3;225.45;225.45;110.41;110.41;157.18;157.18;121.73;121.73;56.95;56.95;2209;2016;2367;2727;0;0;2;2
insp1re & Reevo & velocity;!;10;5;50.00;5997;599.7;19;1.9;2;0.2;25;2.5;45;4.5;84;8.4;31;3.1;19;1.9;42.22;456.34;45.14;25734;2573.4;18277;1827.7;7457;745.7;228;22.8;618;61.8;5670;567;3375;337.5;2295;229.5;41;4.1;183;18.3;484.04;48.4;367.75;36.78;3628;362.8;4497;449.7;774;77.4;1608.26;5175688;517568.81;1494.65;149.47;1202.59;120.26;769.68;76.97;1789.07;178.91;1454.72;145.47;223.11;22.31;63.04;6.3;0.12;505;50.5;1695.4;169.54;1622.2;162.22;920.52;92.05;2546.41;254.64;2286.88;228.69;1180.05;118.01;1676.75;167.68;1105.22;110.52;684.94;68.49;2243.77;2043.74;2487.73;2927.95;9;0.9;17;1.7
insp1re & Reevo & velocity;!;27;11;40.74;13854;513.11;34;1.26;24;0.89;65;2.41;113;4.19;237;8.78;76;2.81;35;1.3;30.09;417.87;45.98;56963;2109.74;42120;1560;14843;549.74;505;18.7;1308;48.44;10230;378.89;5921;219.3;4309;159.59;74;2.74;380;14.07;927.08;34.34;954.58;35.35;5650;209.26;7897;292.48;1496;55.41;1535.85;11387095;421744.25;3816.67;141.36;2969.89;110;1409.23;52.19;4126.05;152.82;3617.55;133.98;452.23;16.75;120.72;4.47;0.15;807;29.89;3971.9;147.11;3988.2;147.71;2069.03;76.63;6126.77;226.92;5532.03;204.89;2663.78;98.66;4038;149.56;2652.74;98.25;1505.11;55.74;2351.25;2103.92;2504.85;3024.05;18;0.67;23;0.85
insp1re & Reevo & velocity;!;2;2;100.00;979;489.5;2;1;1;0.5;6;3;4;2;21;10.5;4;2;3;1.5;50;431.51;47.63;4799;2399.5;3452;1726;1347;673.5;41;20.5;111;55.5;955;477.5;674;337;281;140.5;7;3.5;25;12.5;81.79;40.9;83.33;41.67;780;390;671;335.5;25;12.5;1619.8;981501;490750.5;270.93;135.46;245.92;122.96;134.03;67.01;377.13;188.57;247.07;123.54;26.68;13.34;7.55;3.77;0.12;62;31;336.1;168.05;283.4;141.7;150.67;75.34;500.21;250.11;433.1;216.55;217.77;108.88;336.59;168.3;200.71;100.35;113.57;56.78;2293.99;2104.37;2476.17;3056.42;3;1.5;4;2
insp1re & Reevo & velocity;!;1;0;0.00;469;469;0;0;0;0;3;3;5;5;8;8;1;1;1;1;0;466;58.06;2730;2730;1963;1963;767;767;25;25;69;69;698;698;465;465;233;233;5;5;23;23;25.97;25.97;51.69;51.69;585;585;623;623;66;66;1667;575382;575382;120.07;120.07;155.29;155.29;78.41;78.41;200.03;200.03;124.54;124.54;29.19;29.19;7.96;7.96;0.11;72;72;192;192;162.7;162.7;74.92;74.92;278.84;278.84;224.67;224.67;129.09;129.09;158.01;158.01;122.38;122.38;73.37;73.37;2150;1749;2485;3091;2;2;1;1
insp1re & Reevo & velocity;! Ghassan;4;2;50.00;2291;572.75;8;2;3;0.75;8;2;16;4;41;10.25;16;4;7;1.75;50;436.12;46.54;10887;2721.75;8143;2035.75;2744;686;96;24;229;57.25;2710;677.5;1865;466.25;845;211.25;20;5;65;16.25;218.47;54.62;181.12;45.28;1601;400.25;1531;382.75;142;35.5;1499.23;2080937;520234.25;740.46;185.12;560.62;140.15;214.52;53.63;870.03;217.51;578.2;144.55;67.35;16.84;28.22;7.06;0.1;291;72.75;684.6;171.15;731.6;182.9;394.6;98.65;1121;280.25;1001.46;250.36;514.14;128.54;720.71;180.18;494.7;123.67;300.18;75.04;2408.68;2241.93;2556.32;2914.89;2;0.5;3;0.75
insp1re & Reevo & velocity;! Khan.;2;0;0.00;827;413.5;1;0.5;3;1.5;4;2;3;1.5;19;9.5;10;5;7;3.5;33.33;379.29;47.11;3746;1873;2677;1338.5;1069;534.5;33;16.5;96;48;907;453.5;533;266.5;374;187;6;3;32;16;54.52;27.26;47.02;23.51;321;160.5;420;210;16;8;1564.9;866710;433355;270.96;135.48;234.45;117.22;103.88;51.94;297.31;148.65;286.87;143.43;25.1;12.55;11.36;5.68;0.09;132;66;363.5;181.75;221.4;110.7;156.32;78.16;452.97;226.49;400.23;200.11;209.05;104.52;302.13;151.07;187.31;93.65;119.85;59.92;2368.77;2167.9;2539.48;3383.01;4;2;4;2
insp1re & Reevo & velocity;!ols;3;1;33.33;1486;495.33;3;1;2;0.67;7;2.33;11;3.67;25;8.33;10;3.33;2;0.67;27.27;468.37;48.52;7443;2481;4855;1618.33;2588;862.67;59;19.67;224;74.67;1304;434.67;629;209.67;675;225;7;2.33;64;21.33;80.27;26.76;91.58;30.53;892;297.33;819;273;87;29;1593.74;1398887;466295.66;392.95;130.98;376.46;125.49;175.11;58.37;506.92;168.97;388.86;129.62;48.76;16.25;19.42;6.47;0.09;220;73.33;405.6;135.2;505.1;168.37;290.18;96.73;654.35;218.12;628.13;209.38;316.4;105.47;470.69;156.9;275.7;91.9;198.14;66.05;2276.03;1970.73;2569.12;3008.5;1;0.33;5;1.67
Darkrai    & !sk.;!sk.;2;0;0.00;677;338.5;0;0;2;1;5;2.5;4;2;16;8;8;4;3;1.5;0;365.06;49.95;3522;1761;2261;1130.5;1261;630.5;28;14;115;57.5;969;484.5;594;297;375;187.5;7;3.5;36;18;65.76;32.88;58.44;29.22;308;154;610;305;142;71;1564.9;846921;423460.5;254.33;127.16;230.11;115.05;98.37;49.18;297.8;148.9;255.15;127.57;29.86;14.93;10.6;5.3;0.11;102;51;277.6;138.8;274.8;137.4;166.5;83.25;416.31;208.15;363.41;181.71;219.41;109.71;257.71;128.85;194.46;97.23;130.63;65.32;2345.63;2123.97;2448.13;3180.79;0;0;1;0.5
S. & ''W'';''W'';1;0;0.00;421;421;1;1;2;2;1;1;1;1;11;11;5;5;3;3;100;403;46.04;2632;2632;1941;1941;691;691;21;21;64;64;302;302;100;100;202;202;1;1;19;19;64.98;64.98;41.67;41.67;270;270;204;204;9;9;1502;531711;531711;183.31;183.31;169.34;169.34;38.47;38.47;219.47;219.47;145.42;145.42;26.23;26.23;5.56;5.56;0.09;60;60;186.3;186.3;171.8;171.8;90.37;90.37;300.75;300.75;269.89;269.89;121.23;121.23;186.48;186.48;136.24;136.24;68.4;68.4;2669;2644;2686;2899;1;1;0;0
insp1re & Reevo & velocity;**********;1;0;0.00;76;76;0;0;0;0;0;0;1;1;7;7;4;4;1;1;0;437;44.44;943;943;783;783;160;160;9;9;15;15;240;240;172;172;68;68;2;2;6;6;11.09;11.09;8.89;8.89;146;146;125;125;27;27;1664;190927;190927;63.16;63.16;48.28;48.28;28.27;28.27;80.68;80.68;52.21;52.21;6.82;6.82;2.05;2.05;0.12;17;17;63.9;63.9;65.6;65.6;49.68;49.68;90.03;90.03;104.01;104.01;35.7;35.7;79.38;79.38;44.06;44.06;16.27;16.27;2594;2865;2396;3184;2;2;1;1
insp1re & Reevo & velocity;***********;1;0;0.00;364;364;1;1;2;2;0;0;4;4;6;6;5;5;4;4;25;515;47.1;2850;2850;2078;2078;772;772;23;23;64;64;878;878;600;600;278;278;7;7;26;26;51.88;51.88;34.65;34.65;609;609;260;260;115;115;1655;530344;530344;133.61;133.61;138.38;138.38;78.43;78.43;199.31;199.31;130.06;130.06;21.04;21.04;9.32;9.32;0.13;71;71;156.7;156.7;175.4;175.4;116.74;116.74;233.67;233.67;209.15;209.15;141.27;141.27;142.49;142.49;115.94;115.94;91.98;91.98;2328;2022;2593;3154;1;1;1;1
