team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
Reevo & Dragon <3 & .;" Cayyh";1;0;0.00;258;258;0;0;0;0;1;1;3;3;8;8;2;2;2;2;0;405;48.11;2077;2077;1546;1546;531;531;19;19;49;49;532;532;339;339;193;193;5;5;18;18;57.84;57.84;22.2;22.2;272;272;371;371;175;175;1641;514372;514372;118.49;118.49;135.62;135.62;70.31;70.31;140.7;140.7;165.53;165.53;18.2;18.2;7.35;7.35;0.11;67;67;141.2;141.2;175.2;175.2;84.23;84.23;240.19;240.19;175.39;175.39;149.04;149.04;105.38;105.38;137.22;137.22;81.83;81.83;2179;1975;2388;2824;0;0;0;0
! & ziyad;!;3;1;33.33;2238;746;7;2.33;4;1.33;8;2.67;21;7;31;10.33;9;3;2;0.67;33.33;458.91;44.18;8794;2931.33;6400;2133.33;2394;798;76;25.33;208;69.33;2158;719.33;1292;430.67;866;288.67;16;5.33;76;25.33;188.24;62.75;109.68;36.56;1159;386.33;1135;378.33;314;104.67;1587.83;1742870;580956.69;523.59;174.53;406.73;135.58;260.65;86.88;607.66;202.55;514.37;171.46;68.95;22.98;20.33;6.78;0.13;150;50;568.8;189.6;560.4;186.8;307.09;102.36;883.87;294.62;737.99;246;452.99;151;561.81;187.27;344.78;114.93;284.39;94.8;2230.48;2183.35;2274.35;3113.39;2;0.67;1;0.33
iZerk & ! Khan.;! Khan.;1;1;100.00;905;905;2;2;0;0;6;6;6;6;11;11;0;0;0;0;33.33;403;52.14;2169;2169;1561;1561;608;608;19;19;53;53;309;309;163;163;146;146;2;2;13;13;17.09;17.09;49.34;49.34;79;79;352;352;39;39;1460;449213;449213;155.76;155.76;114.8;114.8;52.11;52.11;150.37;150.37;155.02;155.02;17.29;17.29;4.24;4.24;0.09;47;47;170.5;170.5;153;153;69.99;69.99;252.69;252.69;233.15;233.15;89.53;89.53;169.44;169.44;106.07;106.07;47.17;47.17;2543;2177;2943;3299;0;0;4;4
katana & LF1 Shrapstar! & ! Krabby.;! Krabby.;1;0;0.00;448;448;1;1;1;1;1;1;4;4;12;12;3;3;1;1;25;401;46.68;2306;2306;1810;1810;496;496;23;23;48;48;490;490;369;369;121;121;5;5;11;11;95.21;95.21;32.23;32.23;261;261;409;409;49;49;1596;503796;503796;141.37;141.37;136.78;136.78;60.41;60.41;173.19;173.19;143.33;143.33;22.05;22.05;7;7;0.13;52;52;127;127;193.4;193.4;128.1;128.1;210.47;210.47;235.38;235.38;103.19;103.19;166.83;166.83;113.92;113.92;57.82;57.82;2116;2006;2208;2939;0;0;0;0
Reevo & Dragon <3 & .;! Mohammed.;1;1;100.00;799;799;3;3;0;0;3;3;9;9;7;7;3;3;1;1;33.33;386;45.03;2433;2433;1790;1790;643;643;19;19;59;59;394;394;193;193;201;201;2;2;18;18;56.79;56.79;32.03;32.03;266;266;128;128;6;6;1596;566513;566513;160.94;160.94;147.67;147.67;75.8;75.8;197.31;197.31;171.53;171.53;15.56;15.56;11.28;11.28;0.08;146;146;191.8;191.8;176.8;176.8;107.81;107.81;276.6;276.6;237.3;237.3;147.11;147.11;169.56;169.56;135.01;135.01;79.83;79.83;2525;2273;2702;2942;0;0;2;2
Reevo & Dragon <3 & .;! Sultan.;5;1;20.00;3104;620.8;9;1.8;2;0.4;15;3;24;4.8;47;9.4;19;3.8;14;2.8;37.5;517.07;47.55;13488;2697.6;10507;2101.4;2981;596.2;130;26;264;52.8;2416;483.2;1621;324.2;795;159;18;3.6;70;14;190.85;38.17;132.82;26.56;2747;549.4;2437;487.4;177;35.4;1680.69;2479261;495852.19;590.24;118.05;603.22;120.64;411.26;82.25;849.48;169.9;662.45;132.49;92.76;18.55;25.17;5.03;0.09;293;58.6;804.2;160.84;724.8;144.96;408.67;81.73;1196.02;239.2;1097.41;219.48;507.3;101.46;804.95;160.99;510.64;102.13;289.12;57.82;2507.24;2334.97;2630.05;3240.8;2;0.4;5;1
Reevo & Dragon <3 & .;! TKL;2;1;50.00;1066;533;3;1.5;1;0.5;4;2;11;5.5;16;8;6;3;3;1.5;27.27;372.93;46.54;4324;2162;3172;1586;1152;576;38;19;101;50.5;881;440.5;497;248.5;384;192;6;3;34;17;76.54;38.27;97.16;48.58;441;220.5;570;285;117;58.5;1521.06;999049;499524.5;334.22;167.11;256.09;128.04;114.68;57.34;330.62;165.31;311.93;155.96;62.45;31.23;12.76;6.38;0.09;146;73;345.8;172.9;314.9;157.45;152.8;76.4;552.19;276.1;449.81;224.9;255.18;127.59;328.03;164.01;226.14;113.07;150.82;75.41;2544.55;2283.7;2777.98;3051.01;1;0.5;0;0
Reevo & Dragon <3 & .;!Satsz;1;0;0.00;426;426;0;0;3;3;1;1;3;3;9;9;4;4;2;2;0;404;49.52;2354;2354;1547;1547;807;807;21;21;71;71;719;719;456;456;263;263;5;5;24;24;36.33;36.33;27.14;27.14;294;294;565;565;49;49;1600;527625;527625;151.48;151.48;133.86;133.86;76.97;76.97;175.46;175.46;162.75;162.75;24.1;24.1;4.82;4.82;0.11;42;42;166.7;166.7;185.2;185.2;107.87;107.87;254.45;254.45;216.25;216.25;146.06;146.06;155.84;155.84;123.01;123.01;83.46;83.46;2371;2106;2614;3219;2;2;2;2
Reevo & Dragon <3 & .;# # Markuisio;3;2;66.67;2011;670.33;7;2.33;2;0.67;7;2.33;12;4;26;8.67;9;3;3;1;58.33;472.22;45.09;8070;2690;5908;1969.33;2162;720.67;65;21.67;177;59;1025;341.67;497;165.67;528;176;5;1.67;48;16;129.11;43.04;77.37;25.79;1237;412.33;624;208;10;3.33;1577.27;1555468;518489.34;460.55;153.52;408.72;136.24;208.88;69.63;565.66;188.55;458.71;152.9;53.79;17.93;24.5;8.17;0.08;293;97.67;567.3;189.1;541;180.33;239.42;79.81;838.71;279.57;735.85;245.28;342.29;114.1;541.69;180.56;356.67;118.89;179.78;59.93;2338.36;1989.67;2662.22;2962.24;1;0.33;3;1
Reevo & Dragon <3 & .;##boom;16;4;25.00;6722;420.12;16;1;10;0.62;32;2;59;3.69;162;10.12;58;3.62;27;1.69;27.12;449.75;49.94;39982;2498.88;29826;1864.12;10156;634.75;386;24.12;909;56.81;9119;569.94;5664;354;3455;215.94;69;4.31;303;18.94;497.57;31.1;682.47;42.65;9190;574.38;8808;550.5;1299;81.19;1611.36;7686414;480400.88;2222.94;138.93;1837.41;114.84;1208.48;75.53;3020.37;188.77;1943.78;121.49;304.67;19.04;109.33;6.83;0.14;819;51.19;2557.5;159.84;2645.4;165.34;1511.59;94.47;3757.24;234.83;3403.54;212.72;1865.27;116.58;2526.91;157.93;1704.39;106.52;1037.54;64.85;2436.8;2214.4;2573.55;3131.91;13;0.81;20;1.25
Reevo & Dragon <3 & .;#zed031;1;0;0.00;317;317;1;1;1;1;2;2;1;1;11;11;7;7;5;5;100;348;42.93;1895;1895;1203;1203;692;692;14;14;66;66;239;239;134;134;105;105;2;2;11;11;66.82;66.82;28.69;28.69;286;286;225;225;76;76;1473;418939;418939;167.89;167.89;113.11;113.11;39.47;39.47;199.23;199.23;109.62;109.62;11.63;11.63;7.77;7.77;0.14;54;54;143.8;143.8;139;139;80.33;80.33;240.14;240.14;247.43;247.43;73.03;73.03;176.28;176.28;113.28;113.28;30.91;30.91;2396;2434;2316;2696;1;1;0;0
'1-(.o & ~;'1-(.o;1;1;100.00;827;827;2;2;3;3;3;3;5;5;11;11;3;3;2;2;40;429;44.21;2439;2439;1801;1801;638;638;19;19;59;59;401;401;196;196;205;205;2;2;18;18;47.5;47.5;43.61;43.61;191;191;125;125;15;15;1636;555419;555419;155.48;155.48;142.27;142.27;74.97;74.97;166.95;166.95;174.38;174.38;31.39;31.39;4.47;4.47;0.14;33;33;188.5;188.5;165.3;165.3;72.11;72.11;300.62;300.62;254.98;254.98;117.75;117.75;194.87;194.87;99.19;99.19;78.66;78.66;2639;2343;2981;3173;2;2;2;2
Reevo & Dragon <3 & .;);1;0;0.00;274;274;1;1;0;0;1;1;3;3;12;12;4;4;4;4;33.33;412;47.6;1978;1978;1404;1404;574;574;19;19;54;54;255;255;148;148;107;107;2;2;10;10;50.71;50.71;23.06;23.06;309;309;501;501;63;63;1554;391661;391661;127.45;127.45;94.85;94.85;52.64;52.64;142.21;142.21;111.53;111.53;21.2;21.2;7.92;7.92;0.12;67;67;138;138;134.2;134.2;79.87;79.87;195.07;195.07;197.06;197.06;77.87;77.87;157.12;157.12;81.23;81.23;36.59;36.59;2472;2315;2562;2969;0;0;1;1
