team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
Reevo & swazz & Knight;"  ";13;11;84.62;7728;594.46;22;1.69;12;0.92;32;2.46;78;6;108;8.31;30;2.31;15;1.15;28.21;502.28;48.4;36901;2838.54;27392;2107.08;9509;731.46;327;25.15;832;64;8583;660.23;6154;473.38;2429;186.85;75;5.77;211;16.23;690.95;53.15;501.54;38.58;5377;413.62;4450;342.31;1226;94.31;1615.23;6868649;528357.62;1802.85;138.68;1847.17;142.09;911.1;70.08;2416.21;185.86;1887.05;145.16;257.82;19.83;91.14;7.01;0.12;742;57.08;2114;162.62;2306.1;177.39;1119.12;86.09;3441.97;264.77;2924.9;224.99;1636.22;125.86;2188.35;168.33;1308.44;100.65;1064.29;81.87;2617.86;2406.16;2847.82;3261.49;20;1.54;18;1.38
! 2 EM & H~;! 2 EM;1;0;0.00;104;104;0;0;0;0;1;1;0;0;8;8;4;4;3;3;0;389;48.71;821;821;565;565;256;256;7;7;22;22;118;118;84;84;34;34;1;1;3;3;13.04;13.04;14.49;14.49;69;69;136;136;17;17;1545;200931;200931;73.45;73.45;46.59;46.59;26.06;26.06;86.44;86.44;58.95;58.95;0.71;0.71;2.3;2.3;0.1;22;22;81.3;81.3;53.4;53.4;41.04;41.04;105.06;105.06;112.06;112.06;34.05;34.05;91.64;91.64;39.72;39.72;14.74;14.74;1977;1943;1977;2495;0;0;0;0
Reevo & swazz & Knight;! D;3;0;0.00;1132;377.33;3;1;2;0.67;0;0;17;5.67;14;4.67;10;3.33;5;1.67;17.65;441.9;47.6;7498;2499.33;5557;1852.33;1941;647;72;24;170;56.67;1673;557.67;1032;344;641;213.67;12;4;61;20.33;135.21;45.07;94.3;31.43;933;311;1677;559;204;68;1641.74;1588339;529446.31;416.23;138.74;403.85;134.62;218.81;72.94;542.86;180.95;432.43;144.14;63.6;21.2;19.99;6.66;0.12;160;53.33;490.3;163.43;507.6;169.2;330.33;110.11;708.57;236.19;613.3;204.43;425.59;141.86;436.87;145.62;349.72;116.57;252.29;84.1;2050.68;1756.92;2300.22;2852.08;4;1.33;6;2
Reevo & swazz & Knight;!Satsz;1;0;0.00;102;102;0;0;0;0;0;0;3;3;8;8;4;4;3;3;0;424;48.27;1223;1223;940;940;283;283;10;10;26;26;120;120;56;56;64;64;1;1;6;6;16.78;16.78;8.71;8.71;105;105;71;71;43;43;1595;236153;236153;69.96;69.96;63.82;63.82;29.37;29.37;86.38;86.38;71;71;5.77;5.77;1.97;1.97;0.11;18;18;94.6;94.6;63.1;63.1;51.34;51.34;111.81;111.81;109.48;109.48;53.67;53.67;82.84;82.84;51.64;51.64;28.66;28.66;2223;2094;2400;3035;0;0;1;1
Reevo & swazz & Knight;#1;4;1;25.00;1155;288.75;4;1;0;0;2;0.5;10;2.5;27;6.75;9;2.25;7;1.75;40;473.39;46.82;8811;2202.75;6156;1539;2655;663.75;74;18.5;218;54.5;2164;541;1258;314.5;906;226.5;15;3.75;74;18.5;136.4;34.1;89.11;22.28;1320;330;1250;312.5;248;62;1579.85;1624582;406145.5;461.92;115.48;393.49;98.37;235.16;58.79;527.68;131.92;495.31;123.83;67.58;16.9;23.57;5.89;0.14;174;43.5;486.9;121.72;573.3;143.32;323.96;80.99;766.61;191.65;657.04;164.26;433.53;108.38;444.12;111.03;375.46;93.87;270.98;67.75;1953.97;1879.85;1994.62;2929.73;5;1.25;2;0.5
simort29 & 0'lazer. & ''vax';''vax';1;1;100.00;899;899;1;1;2;2;6;6;6;6;11;11;2;2;1;1;16.67;457;49.07;2516;2516;1829;1829;687;687;24;24;56;56;493;493;212;212;281;281;3;3;19;19;41.98;41.98;50.24;50.24;210;210;592;592;87;87;1553;515161;515161;160.89;160.89;137.76;137.76;59.85;59.85;159.38;159.38;161.14;161.14;37.98;37.98;4.48;4.48;0.1;44;44;161.5;161.5;174.9;174.9;86.87;86.87;271.62;271.62;226.97;226.97;131.53;131.53;164.11;164.11;112.23;112.23;82.16;82.16;1974;1609;2356;2803;0;0;0;0
Reevo & swazz & Knight;*******;1;1;100.00;763;763;4;4;1;1;1;1;6;6;3;3;1;1;0;0;66.67;432;39.66;1083;1083;741;741;342;342;8;8;31;31;172;172;100;100;72;72;1;1;6;6;21.09;21.09;4.86;4.86;25;25;67;67;0;0;1547;238665;238665;89.23;89.23;64.87;64.87;24.09;24.09;86.13;86.13;83.42;83.42;8.64;8.64;2.82;2.82;0.09;31;31;71.7;71.7;82.9;82.9;27.89;27.89;150.29;150.29;98.68;98.68;79.51;79.51;72.92;72.92;56.37;56.37;48.9;48.9;2078;2099;2072;2570;0;0;0;0
+ & sobral;+;1;1;100.00;673;673;1;1;1;1;4;4;7;7;12;12;3;3;1;1;14.29;422;45.24;3148;3148;2234;2234;914;914;29;29;81;81;447;447;161;161;286;286;3;3;24;24;48.72;48.72;55.21;55.21;732;732;678;678;140;140;1552;649936;649936;216.57;216.57;145.17;145.17;87.57;87.57;262.01;262.01;156.46;156.46;30.85;30.85;5.07;5.07;0.14;36;36;242;242;191.7;191.7;107.83;107.83;341.48;341.48;269.65;269.65;179.66;179.66;186.99;186.99;157.92;157.92;104.41;104.41;2459;2399;2458;3353;0;0;0;0
Reevo & swazz & Knight;,;2;1;50.00;1056;528;3;1.5;0;0;3;1.5;7;3.5;15;7.5;7;3.5;3;1.5;42.86;486.23;46.97;6192;3096;4565;2282.5;1627;813.5;51;25.5;136;68;1313;656.5;700;350;613;306.5;7;3.5;49;24.5;94.29;47.15;118.09;59.04;492;246;615;307.5;18;9;1628.9;1144082;572041;297.19;148.6;327.35;163.67;127.97;63.99;335.68;167.84;339.1;169.55;77.74;38.87;13.64;6.82;0.12;117;58.5;355.7;177.85;353.3;176.65;196.02;98.01;556.5;278.25;468.88;234.44;283.64;141.82;334.78;167.39;247.27;123.63;170.47;85.24;2068.56;1780.92;2292.7;2947.15;1;0.5;1;0.5
Reevo & swazz & Knight;-trace;1;1;100.00;410;410;1;1;1;1;3;3;1;1;5;5;0;0;0;0;100;376;45.41;1404;1404;805;805;599;599;10;10;54;54;213;213;83;83;130;130;1;1;12;12;9.72;9.72;22.66;22.66;174;174;221;221;26;26;1395;324420;324420;142.9;142.9;72.35;72.35;29.07;29.07;132.89;132.89;101.17;101.17;10.27;10.27;3.5;3.5;0.09;37;37;144.6;144.6;99.5;99.5;30.17;30.17;214.16;214.16;194.49;194.49;49.84;49.84;154.58;154.58;60.65;60.65;29.1;29.1;2295;2498;2169;2833;1;1;1;1
