team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
prysm & reekkan & rizun;"  ";1;1;100.00;628;628;2;2;1;1;2;2;4;4;16;16;3;3;2;2;50;369;45.52;2426;2426;1647;1647;779;779;19;19;63;63;682;682;461;461;221;221;5;5;19;19;42.81;42.81;31.72;31.72;283;283;235;235;38;38;1511;532545;532545;185.03;185.03;146.16;146.16;51.16;51.16;224.97;224.97;146.38;146.38;11;11;4.78;4.78;0.1;46;46;189.5;189.5;165.6;165.6;96.49;96.49;285.85;285.85;268.22;268.22;114.12;114.12;205.82;205.82;118.17;118.17;58.35;58.35;2382;2445;2285;2866;1;1;0;0
prysm & reekkan & rizun;!;15;8;53.33;7029;468.6;17;1.13;16;1.07;31;2.07;53;3.53;129;8.6;37;2.47;21;1.4;32.08;440.73;49.06;31502;2100.13;23183;1545.53;8319;554.6;275;18.33;753;50.2;6708;447.2;4059;270.6;2649;176.6;46;3.07;235;15.67;443.86;29.59;396.59;26.44;3797;253.13;3088;205.87;378;25.2;1559.12;6434986;428999.06;1989.45;132.63;1640.7;109.38;825.9;55.06;2245.09;149.67;1914.18;127.61;296.76;19.78;59.73;3.98;0.14;416;27.73;2176.8;145.12;2069;137.93;1111.47;74.1;3344.59;222.97;2873.17;191.54;1582.86;105.52;2060.21;137.35;1479.05;98.6;916.78;61.12;2164.48;2033.93;2276.62;2946.01;17;1.13;16;1.07
prysm & reekkan & rizun;! -200;1;0;0.00;554;554;1;1;1;1;3;3;5;5;8;8;3;3;3;3;20;390;48.71;2457;2457;1687;1687;770;770;20;20;72;72;546;546;288;288;258;258;3;3;25;25;37.96;37.96;47.82;47.82;281;281;374;374;54;54;1537;542363;542363;179;179;129.98;129.98;66.07;66.07;208.41;208.41;144.81;144.81;21.84;21.84;9.31;9.31;0.1;92;92;191.3;191.3;169;169;93.06;93.06;281.99;281.99;240.43;240.43;134.62;134.62;173.98;173.98;133.1;133.1;67.97;67.97;2148;2037;2217;2993;2;2;1;1
! Khan. & shade.;! Khan.;1;0;0.00;469;469;1;1;0;0;3;3;1;1;10;10;4;4;2;2;100;385;42.73;1946;1946;1473;1473;473;473;18;18;42;42;327;327;207;207;120;120;3;3;10;10;37.99;37.99;30.05;30.05;258;258;329;329;92;92;1444;431414;431414;168.53;168.53;104.4;104.4;48.53;48.53;171.46;171.46;133.35;133.35;16.64;16.64;5.67;5.67;0.09;60;60;149;149;155;155;85.01;85.01;236.45;236.45;209.51;209.51;111.94;111.94;152.85;152.85;108.34;108.34;60.26;60.26;2062;2038;2071;3088;3;3;1;1
prysm & reekkan & rizun;! TKL;1;1;100.00;677;677;3;3;1;1;1;1;10;10;3;3;1;1;1;1;30;457;47.4;2271;2271;1810;1810;461;461;20;20;41;41;461;461;293;293;168;168;3;3;15;15;25.32;25.32;39;39;234;234;196;196;6;6;1685;474495;474495;111.69;111.69;107.45;107.45;84.21;84.21;142.38;142.38;144.74;144.74;16.24;16.24;6.4;6.4;0.09;74;74;131.6;131.6;154.3;154.3;79.94;79.94;223.41;223.41;173.84;173.84;129.52;129.52;119.41;119.41;104.79;104.79;79.15;79.15;2604;2465;2720;3122;3;3;2;2
prysm & reekkan & rizun;! aRa;3;0;0.00;1735;578.33;4;1.33;2;0.67;9;3;9;3;28;9.33;13;4.33;5;1.67;44.44;444.95;43.76;7104;2368;4560;1520;2544;848;52;17.33;219;73;1643;547.67;839;279.67;804;268;9;3;70;23.33;132.12;44.04;91.67;30.56;783;261;715;238.33;91;30.33;1497.62;1396313;465437.66;478.56;159.52;380.29;126.76;151.35;50.45;563.38;187.79;404.37;134.79;42.44;14.15;18.31;6.1;0.1;182;60.67;524.1;174.7;443;147.67;218.85;72.95;791.35;263.78;690.35;230.12;319.86;106.62;520.06;173.35;307.52;102.51;182.62;60.87;2142.08;2046.64;2201.27;2955.99;1;0.33;2;0.67
prysm & reekkan & rizun;"! vax '""";4;1;25.00;1692;423;4;1;0;0;10;2.5;11;2.75;36;9;12;3;7;1.75;36.36;392.62;43.51;7887;1971.75;5422;1355.5;2465;616.25;63;15.75;217;54.25;1741;435.25;833;208.25;908;227;11;2.75;79;19.75;174.15;43.54;98.99;24.75;1235;308.75;828;207;179;44.75;1585.75;1861795;465448.75;538.99;134.75;494.2;123.55;220.28;55.07;669.56;167.39;522.61;130.65;61.31;15.33;15.59;3.9;0.1;160;40;585.4;146.35;635.1;158.78;372.22;93.06;881.26;220.32;818.72;204.68;434.77;108.69;592.66;148.16;389.4;97.35;271.43;67.86;2168.21;1999.01;2315.37;2772.48;3;0.75;8;2
prysm & reekkan & rizun;!rx;1;0;0.00;383;383;1;1;0;0;2;2;6;6;11;11;5;5;3;3;16.67;369;50.63;1745;1745;1136;1136;609;609;15;15;57;57;198;198;0;0;198;198;0;0;19;19;20.28;20.28;52.11;52.11;314;314;352;352;5;5;1619;398894;398894;112.84;112.84;111.22;111.22;50.56;50.56;162.37;162.37;105.09;105.09;7.17;7.17;1.57;1.57;0.1;15;15;138.8;138.8;117.8;117.8;54.73;54.73;219.9;219.9;178.03;178.03;96.6;96.6;113.54;113.54;107.32;107.32;53.77;53.77;2527;2679;2442;2897;2;2;0;0
prysm & reekkan & rizun;!saphiix;2;2;100.00;1133;566.5;6;3;1;0.5;1;0.5;12;6;7;3.5;3;1.5;1;0.5;50;451.47;46.64;4214;2107;3028;1514;1186;593;37;18.5;104;52;1347;673.5;967;483.5;380;190;11;5.5;36;18;54.69;27.34;52.73;26.36;565;282.5;694;347;145;72.5;1633.57;833435;416717.5;229.74;114.87;206.57;103.29;121.36;60.68;257.57;128.79;254.64;127.32;45.45;22.73;14.11;7.06;0.08;175;87.5;259.3;129.65;281.1;140.55;124.75;62.38;432.91;216.46;336.64;168.32;221.02;110.51;244.49;122.25;176.79;88.39;136.38;68.19;2381.5;2234.63;2500.87;3066.38;1;0.5;2;1
. & (;(;2;2;100.00;1676;838;7;3.5;0;0;5;2.5;15;7.5;17;8.5;5;2.5;4;2;46.67;502.9;49.11;5898;2949;4497;2248.5;1401;700.5;55;27.5;128;64;1069;534.5;529;264.5;540;270;8;4;48;24;75.53;37.76;107.52;53.76;875;437.5;1036;518;220;110;1621.69;1107685;553842.5;302.44;151.22;250.67;125.34;178.32;89.16;336.78;168.39;332.37;166.18;62.27;31.14;14.93;7.47;0.13;110;55;311.1;155.55;384.1;192.05;183.43;91.71;547.99;273.99;461.09;230.54;270.33;135.17;324.4;162.2;245.92;122.96;161.11;80.56;2386.91;2238.64;2514.69;3199.31;1;0.5;0;0
