team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
mrtn & Aiipa & Syracks;" ";8;3;37.50;4257;532.12;14;1.75;7;0.88;12;1.5;47;5.88;70;8.75;30;3.75;15;1.88;29.79;513.81;50.55;21733;2716.62;16063;2007.88;5670;708.75;195;24.38;487;60.88;5971;746.38;3648;456;2323;290.38;42;5.25;182;22.75;371.68;46.46;266.78;33.35;3924;490.5;3558;444.75;570;71.25;1675.35;3916968;489621;931.86;116.48;968.39;121.05;643.79;80.47;1342.69;167.84;1076.11;134.51;125.24;15.65;47.67;5.96;0.11;422;52.75;1020.6;127.57;1378.8;172.35;810.25;101.28;1733.79;216.72;1459.7;182.46;1084.34;135.54;1035.66;129.46;801.66;100.21;706.72;88.34;2346.61;2165.91;2518.15;3045.16;12;1.5;5;0.62
mrtn & Aiipa & Syracks;"   JWeyts   ";6;3;50.00;2561;426.83;10;1.67;3;0.5;6;1;22;3.67;47;7.83;17;2.83;11;1.83;45.45;457.05;50.79;12754;2125.67;9250;1541.67;3504;584;121;20.17;315;52.5;2816;469.33;1518;253;1298;216.33;21;3.5;115;19.17;149.49;24.92;182.3;30.38;2016;336;2737;456.17;511;85.17;1610.75;2523846;420641;702.38;117.06;645.3;107.55;357.37;59.56;898.07;149.68;688;114.67;118.98;19.83;26.67;4.44;0.14;198;33;791;131.83;818.6;136.43;441.64;73.61;1263.42;210.57;1027.27;171.21;677.79;112.97;715.84;119.31;589.64;98.27;399.59;66.6;2294.19;2219.76;2324.67;3050.33;10;1.67;7;1.17
mrtn & Aiipa & Syracks;! 2 EM;1;1;100.00;244;244;2;2;0;0;0;0;2;2;0;0;0;0;0;0;100;450;39.86;554;554;387;387;167;167;4;4;15;15;183;183;100;100;83;83;1;1;7;7;10.69;10.69;2.69;2.69;36;36;12;12;0;0;1530;113075;113075;40.78;40.78;26.4;26.4;14.8;14.8;51.6;51.6;25.62;25.62;4.75;4.75;2.57;2.57;0.11;24;24;37.4;37.4;35.3;35.3;10.58;10.58;71.4;71.4;32.64;32.64;49.34;49.34;24.19;24.19;26.88;26.88;30.91;30.91;2052;2018;2057;2810;0;0;0;0
mrtn & Aiipa & Syracks;! Elijae;5;2;40.00;2472;494.4;6;1.2;1;0.2;3;0.6;30;6;23;4.6;11;2.2;7;1.4;20;530.46;47.15;14579;2915.8;11408;2281.6;3171;634.2;127;25.4;271;54.2;4323;864.6;2979;595.8;1344;268.8;32;6.4;110;22;303.05;60.61;195.46;39.09;1702;340.4;1389;277.8;239;47.8;1592.8;2536598;507319.59;668.42;133.68;693.36;138.67;323.71;64.74;753.52;150.7;748.51;149.7;183.49;36.7;31.18;6.24;0.09;352;70.4;760.7;152.14;891.8;178.36;471.49;94.3;1214.02;242.8;1023.56;204.71;661.93;132.39;746.58;149.32;505.26;101.05;433.66;86.73;2029.94;1676.66;2365.52;2953.55;4;0.8;5;1
mrtn & Aiipa & Syracks;!evas a tahW;2;0;0.00;1179;589.5;3;1.5;4;2;3;1.5;11;5.5;25;12.5;10;5;8;4;27.27;459.2;48.46;6010;3005;4621;2310.5;1389;694.5;55;27.5;126;63;1440;720;984;492;456;228;12;6;40;20;109.15;54.57;106.92;53.46;1166;583;858;429;138;69;1577.64;1134285;567142.5;345.51;172.76;292.23;146.11;153.55;76.77;394.23;197.11;346.95;173.48;50.12;25.06;11.04;5.52;0.1;110;55;402.7;201.35;344.4;172.2;185.85;92.93;605.45;302.72;527.25;263.62;264.05;132.02;397.37;198.68;234.84;117.42;159.09;79.54;2403.03;2370.9;2426.05;3016.45;0;0;5;2.5
mrtn & Aiipa & Syracks;!ols;1;0;0.00;281;281;1;1;0;0;1;1;1;1;9;9;4;4;2;2;100;447;42.36;2030;2030;1374;1374;656;656;15;15;53;53;112;112;0;0;112;112;0;0;10;10;42.49;42.49;18.61;18.61;280;280;103;103;0;0;1536;378536;378536;118.23;118.23;112.07;112.07;39.84;39.84;140.47;140.47;114.1;114.1;15.58;15.58;6.89;6.89;0.09;81;81;99.3;99.3;150.6;150.6;95.78;95.78;174.37;174.37;208.37;208.37;61.77;61.77;151.54;151.54;94.44;94.44;24.17;24.17;2396;2132;2566;3078;0;0;0;0
mrtn & Aiipa & Syracks;"""  Vek-idge "" ";1;0;0.00;345;345;0;0;0;0;2;2;1;1;8;8;2;2;1;1;0;366;52.99;2261;2261;1585;1585;676;676;21;21;63;63;338;338;109;109;229;229;2;2;20;20;41.5;41.5;37.29;37.29;329;329;549;549;96;96;1455;489734;489734;179.73;179.73;120.05;120.05;51.3;51.3;209.04;209.04;120.42;120.42;21.62;21.62;8.33;8.33;0.09;91;91;179.6;179.6;158.7;158.7;78.51;78.51;272.57;272.57;230.76;230.76;120.32;120.32;179.75;179.75;94.46;94.46;76.87;76.87;2159;1998;2302;3148;1;1;1;1
# & ZKikko7Xyn;#;1;0;0.00;400;400;1;1;0;0;2;2;2;2;7;7;3;3;1;1;50;462;52.56;2377;2377;1712;1712;665;665;24;24;61;61;441;441;215;215;226;226;3;3;21;21;32.98;32.98;37.33;37.33;652;652;630;630;97;97;1700;487190;487190;97.53;97.53;134.59;134.59;69.29;69.29;193.12;193.12;93.99;93.99;14.29;14.29;4.05;4.05;0.09;44;44;168.7;168.7;130.9;130.9;61.69;61.69;239.72;239.72;196.95;196.95;104.46;104.46;153.31;153.31;87.36;87.36;60.73;60.73;2514;2468;2437;3040;1;1;3;3
$ & PLAY SONG;$;1;0;0.00;291;291;0;0;1;1;1;1;3;3;7;7;5;5;2;2;0;483;50.3;2154;2154;1600;1600;554;554;21;21;51;51;701;701;552;552;149;149;6;6;15;15;37.12;37.12;42.19;42.19;456;456;434;434;52;52;1691;402175;402175;94.28;94.28;90.14;90.14;78.57;78.57;133.36;133.36;116.83;116.83;12.8;12.8;5.07;5.07;0.12;41;41;122.6;122.6;123.2;123.2;78.6;78.6;184.38;184.38;167.21;167.21;95.77;95.77;133.75;133.75;63.26;63.26;65.99;65.99;2108;1898;2311;2752;0;0;1;1
mrtn & Aiipa & Syracks;***********;1;0;0.00;128;128;0;0;0;0;0;0;3;3;5;5;3;3;2;2;0;533;41.05;1971;1971;1369;1369;602;602;15;15;53;53;585;585;314;314;271;271;4;4;24;24;36.16;36.16;26.67;26.67;594;594;144;144;96;96;1600;354901;354901;99.92;99.92;80.81;80.81;51.69;51.69;128.52;128.52;85.37;85.37;18.54;18.54;5.63;5.63;0.1;54;54;110.4;110.4;113.8;113.8;73.49;73.49;158.93;158.93;126.79;126.79;105.63;105.63;79.35;79.35;99.91;99.91;53.17;53.17;2056;1698;2289;3156;2;2;0;0
